,domestic,commercial,public
0,422.0,0.0,500.0
1,389.0,0.0,500.0
2,372.0,0.0,500.0
3,390.0,0.0,0.0
4,368.0,0.0,0.0
5,390.0,0.0,0.0
6,413.0,0.0,0.0
7,115.0,0.0,0.0
8,85.0,0.0,0.0
9,95.0,950.0,0.0
10,170.0,1300.0,0.0
11,100.0,1500.0,0.0
12,140.0,700.0,0.0
13,125.0,550.0,0.0
14,110.0,750.0,0.0
15,150.0,1650.0,0.0
16,105.0,1700.0,0.0
17,650.0,1650.0,0.0
18,1223.0,550.0,500.0
19,1260.0,600.0,500.0
20,1289.0,200.0,500.0
21,1079.0,700.0,500.0
22,935.0,0.0,500.0
23,715.0,0.0,500.0
24,419.0,0.0,500.0
25,398.0,0.0,500.0
26,407.0,350.0,500.0
27,344.0,0.0,0.0
28,390.0,750.0,0.0
29,389.0,0.0,0.0
30,471.0,0.0,0.0
31,95.0,0.0,0.0
32,115.0,1950.0,0.0
33,145.0,900.0,0.0
34,140.0,2050.0,0.0
35,150.0,1300.0,0.0
36,115.0,750.0,0.0
37,120.0,1150.0,0.0
38,130.0,1600.0,0.0
39,110.0,700.0,0.0
40,120.0,1500.0,0.0
41,682.0,1100.0,0.0
42,1286.0,1650.0,500.0
43,1329.0,950.0,500.0
44,1206.0,750.0,500.0
45,1056.0,950.0,500.0
46,875.0,0.0,500.0
47,708.0,0.0,500.0
48,376.0,0.0,500.0
49,389.0,350.0,500.0
50,394.0,0.0,500.0
51,370.0,0.0,0.0
52,366.0,350.0,0.0
53,376.0,0.0,0.0
54,474.0,750.0,0.0
55,85.0,750.0,0.0
56,100.0,200.0,0.0
57,130.0,2000.0,0.0
58,150.0,550.0,0.0
59,135.0,1650.0,0.0
60,150.0,1050.0,0.0
61,165.0,950.0,0.0
62,85.0,1800.0,0.0
63,115.0,2000.0,0.0
64,105.0,200.0,0.0
65,683.0,1100.0,0.0
66,1286.0,750.0,500.0
67,1215.0,1500.0,500.0
68,1212.0,400.0,500.0
69,1091.0,0.0,500.0
70,920.0,200.0,500.0
71,679.0,0.0,500.0
72,382.0,0.0,500.0
73,410.0,0.0,500.0
74,380.0,0.0,500.0
75,414.0,0.0,0.0
76,336.0,0.0,0.0
77,412.0,0.0,0.0
78,482.0,750.0,0.0
79,65.0,0.0,0.0
80,100.0,1300.0,0.0
81,125.0,1300.0,0.0
82,140.0,1100.0,0.0
83,205.0,2600.0,0.0
84,150.0,1100.0,0.0
85,110.0,750.0,0.0
86,120.0,1300.0,0.0
87,115.0,1150.0,0.0
88,140.0,1300.0,0.0
89,668.0,1650.0,0.0
90,1283.0,400.0,500.0
91,1298.0,0.0,500.0
92,1169.0,0.0,500.0
93,1088.0,350.0,500.0
94,776.0,0.0,500.0
95,680.0,0.0,500.0
96,362.0,0.0,500.0
97,439.0,0.0,500.0
98,397.0,0.0,500.0
99,411.0,0.0,0.0
100,412.0,0.0,0.0
101,382.0,0.0,0.0
102,487.0,0.0,0.0
103,55.0,0.0,0.0
104,95.0,600.0,0.0
105,120.0,950.0,0.0
106,150.0,950.0,0.0
107,120.0,1150.0,0.0
108,95.0,750.0,0.0
109,115.0,700.0,0.0
110,115.0,1850.0,0.0
111,130.0,1650.0,0.0
112,145.0,1100.0,0.0
113,618.0,1850.0,0.0
114,1269.0,1500.0,500.0
115,1359.0,200.0,500.0
116,1165.0,0.0,500.0
117,1078.0,1100.0,500.0
118,860.0,750.0,500.0
119,727.0,350.0,500.0
120,406.0,0.0,500.0
121,400.0,0.0,500.0
122,346.0,0.0,500.0
123,358.0,0.0,0.0
124,396.0,0.0,0.0
125,389.0,0.0,0.0
126,473.0,0.0,0.0
127,105.0,1100.0,0.0
128,140.0,550.0,0.0
129,180.0,550.0,0.0
130,100.0,0.0,0.0
131,115.0,1100.0,0.0
132,90.0,0.0,0.0
133,145.0,950.0,0.0
134,115.0,950.0,0.0
135,165.0,1650.0,0.0
136,130.0,1500.0,0.0
137,617.0,1300.0,0.0
138,1282.0,600.0,500.0
139,1295.0,1700.0,500.0
140,1236.0,200.0,500.0
141,1068.0,0.0,500.0
142,784.0,550.0,500.0
143,668.0,0.0,500.0
144,387.0,0.0,500.0
145,387.0,0.0,500.0
146,383.0,0.0,500.0
147,394.0,0.0,0.0
148,398.0,0.0,0.0
149,417.0,0.0,0.0
150,518.0,0.0,0.0
151,45.0,0.0,0.0
152,85.0,550.0,0.0
153,180.0,550.0,0.0
154,120.0,1050.0,0.0
155,170.0,700.0,0.0
156,125.0,400.0,0.0
157,120.0,350.0,0.0
158,115.0,1300.0,0.0
159,135.0,1800.0,0.0
160,160.0,1450.0,0.0
161,563.0,2000.0,0.0
162,1297.0,1300.0,500.0
163,1236.0,400.0,500.0
164,1265.0,0.0,500.0
165,1127.0,950.0,500.0
166,823.0,200.0,500.0
167,690.0,0.0,500.0
168,420.0,0.0,500.0
169,366.0,0.0,500.0
170,376.0,0.0,500.0
171,413.0,0.0,0.0
172,429.0,0.0,0.0
173,380.0,0.0,0.0
174,475.0,0.0,0.0
175,55.0,0.0,0.0
176,115.0,2200.0,0.0
177,130.0,1450.0,0.0
178,130.0,950.0,0.0
179,130.0,1650.0,0.0
180,130.0,1800.0,0.0
181,100.0,1100.0,0.0
182,150.0,1500.0,0.0
183,125.0,2400.0,0.0
184,140.0,1850.0,0.0
185,530.0,1700.0,0.0
186,1281.0,350.0,500.0
187,1266.0,1300.0,500.0
188,1228.0,0.0,500.0
189,1056.0,0.0,500.0
190,867.0,0.0,500.0
191,650.0,0.0,500.0
192,382.0,0.0,500.0
193,353.0,0.0,500.0
194,352.0,750.0,500.0
195,348.0,0.0,0.0
196,419.0,0.0,0.0
197,388.0,0.0,0.0
198,466.0,0.0,0.0
199,75.0,0.0,0.0
200,130.0,1500.0,0.0
201,90.0,1500.0,0.0
202,90.0,1800.0,0.0
203,95.0,400.0,0.0
204,85.0,1350.0,0.0
205,115.0,350.0,0.0
206,140.0,1450.0,0.0
207,140.0,1650.0,0.0
208,120.0,1150.0,0.0
209,553.0,2400.0,0.0
210,1227.0,950.0,500.0
211,1325.0,400.0,500.0
212,1280.0,950.0,500.0
213,1065.0,0.0,500.0
214,901.0,0.0,500.0
215,679.0,0.0,500.0
216,370.0,0.0,500.0
217,381.0,350.0,500.0
218,314.0,0.0,500.0
219,403.0,0.0,0.0
220,424.0,0.0,0.0
221,407.0,350.0,0.0
222,488.0,0.0,0.0
223,55.0,0.0,0.0
224,105.0,0.0,0.0
225,140.0,2050.0,0.0
226,135.0,1500.0,0.0
227,125.0,1500.0,0.0
228,110.0,700.0,0.0
229,110.0,1450.0,0.0
230,105.0,1850.0,0.0
231,115.0,2750.0,0.0
232,130.0,900.0,0.0
233,521.0,2050.0,0.0
234,1198.0,1100.0,500.0
235,1297.0,200.0,500.0
236,1269.0,200.0,500.0
237,1091.0,750.0,500.0
238,857.0,0.0,500.0
239,684.0,0.0,500.0
240,381.0,0.0,500.0
241,390.0,0.0,500.0
242,397.0,0.0,500.0
243,337.0,0.0,0.0
244,341.0,0.0,0.0
