electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,24.438,0.0
0.0,0.0,0.0,23.091,0.0
0.0,0.0,0.0,22.0,0.0
0.0,0.0,0.0,24.827,0.0
0.0,0.0,0.0,24.335,0.0
0.0,0.0,0.0,23.725,0.0
0.01,0.008,0.014,23.191,0.022
0.215,0.162,0.075,24.513,0.237
0.449,0.40700000000000003,0.09,26.859,0.497
0.622,0.619,0.099,29.398,0.718
0.743,0.792,0.10300000000000001,31.673000000000002,0.895
0.809,0.9,0.105,33.489,1.0050000000000001
0.8280000000000001,0.9390000000000001,0.10400000000000001,34.814,1.0430000000000001
0.796,0.895,0.10300000000000001,35.645,0.998
0.714,0.775,0.101,35.975,0.876
0.585,0.6000000000000001,0.095,35.817,0.6950000000000001
0.403,0.379,0.085,35.097,0.464
0.176,0.14100000000000001,0.065,33.742,0.20600000000000002
0.002,0.003,0.007,30.318,0.01
0.0,0.0,0.0,28.793,0.0
0.0,0.0,0.0,27.959,0.0
0.0,0.0,0.0,27.198,0.0
0.0,0.0,0.0,26.576,0.0
0.0,0.0,0.0,26.259,0.0
0.0,0.0,0.0,26.098,0.0
0.0,0.0,0.0,25.57,0.0
0.0,0.0,0.0,24.629,0.0
0.0,0.0,0.0,23.72,0.0
0.0,0.0,0.0,23.043,0.0
0.0,0.0,0.0,22.439,0.0
0.01,0.007,0.014,22.321,0.021
0.197,0.135,0.083,24.183,0.21800000000000003
0.433,0.377,0.1,26.725,0.477
0.628,0.631,0.096,29.564,0.727
0.749,0.808,0.098,32.062,0.906
0.8130000000000001,0.913,0.101,34.025,1.014
0.8300000000000001,0.9510000000000001,0.101,35.452,1.052
0.798,0.907,0.1,36.307,1.0070000000000001
0.718,0.789,0.097,36.596,0.886
0.59,0.613,0.09,36.37,0.703
0.405,0.385,0.083,35.6,0.468
0.17500000000000002,0.139,0.065,34.185,0.20400000000000001
0.002,0.003,0.007,30.521,0.01
0.0,0.0,0.0,28.956,0.0
0.0,0.0,0.0,28.11,0.0
0.0,0.0,0.0,27.374,0.0
0.0,0.0,0.0,26.778,0.0
0.0,0.0,0.0,26.36,0.0
0.0,0.0,0.0,25.985,0.0
0.0,0.0,0.0,25.234,0.0
0.0,0.0,0.0,24.099,0.0
0.0,0.0,0.0,23.024,0.0
0.0,0.0,0.0,22.382,0.0
0.0,0.0,0.0,21.959,0.0
0.012,0.01,0.014,21.916,0.024
0.23,0.186,0.067,24.319,0.253
0.461,0.431,0.08,27.018,0.511
0.637,0.651,0.08700000000000001,29.667,0.738
0.755,0.8210000000000001,0.092,31.999,0.913
0.8190000000000001,0.928,0.095,33.897,1.0230000000000001
0.836,0.965,0.095,35.306,1.06
0.805,0.922,0.094,36.165,1.016
0.726,0.807,0.09,36.462,0.897
0.596,0.627,0.085,36.233,0.712
0.41100000000000003,0.397,0.078,35.464,0.47500000000000003
0.178,0.146,0.063,33.958,0.209
0.002,0.003,0.007,29.812,0.01
0.0,0.0,0.0,28.147,0.0
0.0,0.0,0.0,27.166,0.0
0.0,0.0,0.0,26.296,0.0
0.0,0.0,0.0,25.667,0.0
0.0,0.0,0.0,25.447,0.0
0.0,0.0,0.0,25.289,0.0
0.0,0.0,0.0,24.767,0.0
0.0,0.0,0.0,23.728,0.0
0.0,0.0,0.0,22.532,0.0
0.0,0.0,0.0,20.831,0.0
0.0,0.0,0.0,19.883,0.0
0.012,0.01,0.014,19.984,0.024
0.233,0.188,0.066,23.198,0.254
0.463,0.432,0.08,26.329,0.512
0.641,0.655,0.08600000000000001,29.211,0.741
0.757,0.8240000000000001,0.092,31.654,0.916
0.8210000000000001,0.929,0.095,33.582,1.024
0.838,0.965,0.095,34.985,1.06
0.806,0.921,0.094,35.854,1.0150000000000001
0.726,0.804,0.091,36.208,0.895
0.595,0.623,0.08600000000000001,36.049,0.709
0.41000000000000003,0.394,0.079,35.342,0.47300000000000003
0.177,0.14400000000000002,0.063,33.996,0.20700000000000002
0.002,0.003,0.007,30.623,0.01
0.0,0.0,0.0,29.114,0.0
0.0,0.0,0.0,28.327,0.0
0.0,0.0,0.0,27.601,0.0
0.0,0.0,0.0,26.983,0.0
0.0,0.0,0.0,26.484,0.0
0.0,0.0,0.0,25.961,0.0
0.0,0.0,0.0,25.201,0.0
0.0,0.0,0.0,24.32,0.0
0.0,0.0,0.0,23.627,0.0
0.0,0.0,0.0,23.272,0.0
0.0,0.0,0.0,23.048,0.0
0.01,0.007,0.014,23.221,0.021
0.215,0.162,0.076,25.266,0.238
0.445,0.402,0.093,27.493,0.495
0.599,0.5760000000000001,0.113,29.732,0.6890000000000001
0.745,0.797,0.10200000000000001,31.94,0.899
0.8160000000000001,0.917,0.101,33.854,1.018
0.8290000000000001,0.9460000000000001,0.10200000000000001,35.248,1.048
0.796,0.901,0.10200000000000001,36.075,1.0030000000000001
0.717,0.786,0.098,36.401,0.884
0.596,0.624,0.08700000000000001,36.251,0.711
0.41200000000000003,0.397,0.079,35.478,0.47600000000000003
0.18,0.148,0.062,34.099,0.21
0.002,0.003,0.007,30.719,0.01
0.0,0.0,0.0,29.151,0.0
0.0,0.0,0.0,28.325,0.0
0.0,0.0,0.0,27.609,0.0
0.0,0.0,0.0,26.993,0.0
0.0,0.0,0.0,26.428,0.0
0.0,0.0,0.0,25.801,0.0
0.0,0.0,0.0,25.206,0.0
0.0,0.0,0.0,24.768,0.0
