,domestic,commercial,public
0,0,0,204.13799999999998
1,0,0,198.701
2,0,0,199.05100000000002
3,0,0,200.91600000000003
4,0,0,163.217
5,0,0,35.723
6,0,0,36.829
7,0,0,34.784
8,0,0,32.64
9,0,0,35.903999999999996
10,0,0,32.766000000000005
11,0,0,34.903999999999996
12,0,0,33.349
13,0,0,33.484
14,0,0,33.641
15,0,0,34.305
16,0,0,33.639
17,0,0,32.877
18,0,0,47.046
19,0,0,190.796
20,0,0,185.90699999999998
21,0,0,194.17200000000003
22,0,0,195.09
23,0,0,203.177
24,0,0,199.565
25,0,0,199.66500000000002
26,0,0,200.741
27,0,0,189.081
28,0,0,185.685
29,0,0,83.876
30,0,0,35.198
31,0,0,34.214
32,0,0,34.958999999999996
33,0,0,33.028
34,0,0,34.714
35,0,0,34.969
36,0,0,34.708999999999996
37,0,0,35.033
38,0,0,34.13999999999999
39,0,0,33.759
40,0,0,33.794
41,0,0,34.001999999999995
42,0,0,48.393
43,0,0,197.283
44,0,0,193.918
45,0,0,193.278
46,0,0,195.756
47,0,0,190.222
48,0,0,188.56
49,0,0,198.64299999999997
50,0,0,198.039
51,0,0,194.624
52,0,0,186.249
53,0,0,76.986
54,0,0,35.333999999999996
55,0,0,34.409
56,0,0,34.264
57,0,0,34.601
58,0,0,35.29
59,0,0,35.003
60,0,0,34.664
61,0,0,34.348
62,0,0,35.249
63,0,0,33.524
64,0,0,32.557
65,0,0,33.175999999999995
66,0,0,44.204
67,0,0,163.95499999999998
68,0,0,187.17600000000002
69,0,0,197.118
70,0,0,195.84199999999998
71,0,0,192.606
72,0,0,197.26399999999998
73,0,0,195.603
74,0,0,191.512
75,0,0,192.189
76,0,0,178.45600000000002
77,0,0,47.324999999999996
78,0,0,132.657
79,0,0,45.617
80,0,0,37.681
81,0,0,35.147
82,0,0,39.821000000000005
83,0,0,37.924
84,0,0,38.807
85,0,0,37.837
86,0,0,39.912000000000006
87,0,0,36.683
88,0,0,32.931000000000004
89,0,0,33.721000000000004
90,0,0,67.229
91,0,0,180.99
92,0,0,182.90699999999998
93,0,0,188.63299999999998
94,0,0,184.738
95,0,0,188.357
