,domestic,commercial,public
0,0,0,642.8399999999999
1,0,0,641.3729999999999
2,0,0,718.626
3,0,0,709.8109999999999
4,0,0,720.249
5,0,0,719.81
6,0,0,382.549
7,0,0,184.531
8,0,0,185.028
9,0,0,200.701
10,0,0,209.846
11,0,0,220.505
12,0,0,217.622
13,0,0,209.48
14,0,0,195.00500000000002
15,0,0,190.44
16,0,0,179.136
17,0,0,184.588
18,0,0,192.413
19,0,0,198.573
20,0,0,195.407
21,0,0,196.58
22,0,0,596.347
23,0,0,655.85
24,0,0,681.47
25,0,0,699.403
26,0,0,703.902
27,0,0,720.954
28,0,0,652.957
29,0,0,665.3430000000001
30,0,0,723.5740000000001
31,0,0,336.59299999999996
32,0,0,175.60899999999998
33,0,0,189.12300000000002
34,0,0,209.061
35,0,0,218.628
36,0,0,214.09900000000002
37,0,0,208.16899999999998
38,0,0,213.613
39,0,0,198.49
40,0,0,192.869
41,0,0,184.796
42,0,0,191.31799999999998
43,0,0,664.51
44,0,0,655.775
45,0,0,670.071
46,0,0,634.1210000000001
47,0,0,647.503
48,0,0,684.318
49,0,0,592.912
50,0,0,650.9970000000001
51,0,0,714.919
52,0,0,717.7170000000001
53,0,0,707.28
54,0,0,410.269
55,0,0,175.676
56,0,0,190.67899999999997
57,0,0,191.422
58,0,0,220.494
59,0,0,254.40600000000003
60,0,0,203.22
61,0,0,193.327
62,0,0,201.57
63,0,0,118.961
64,0,0,27.77
65,0,0,24.89
66,0,0,46.42
67,0,0,317.847
68,0,0,659.997
69,0,0,556.043
70,0,0,444.589
71,0,0,398.265
72,0,0,429.78499999999997
73,0,0,431.572
74,0,0,425.918
75,0,0,486.576
76,0,0,492.38100000000003
77,0,0,489.445
78,0,0,482.08099999999996
79,0,0,328.336
80,0,0,144.277
81,0,0,18.838
82,0,0,23.262999999999998
83,0,0,25.238
84,0,0,34.175
85,0,0,27.394000000000002
86,0,0,27.968
87,0,0,27.028
88,0,0,26.09
89,0,0,23.321
90,0,0,24.792
91,0,0,147.13000000000002
92,0,0,576.509
93,0,0,414.914
94,0,0,466.581
95,0,0,450.727
96,0,0,423.956
97,0,0,415.925
98,0,0,473.86699999999996
99,0,0,463.10699999999997
100,0,0,453.789
101,0,0,447.59
102,0,0,476.35
103,0,0,127.78900000000002
104,0,0,36.436
105,0,0,55.516000000000005
106,0,0,66.572
107,0,0,68.653
108,0,0,33.825
109,0,0,35.155
110,0,0,34.373
111,0,0,38.42
112,0,0,38.443999999999996
113,0,0,46.326
114,0,0,55.410000000000004
115,0,0,320.217
116,0,0,385.095
117,0,0,449.065
118,0,0,419.71599999999995
119,0,0,434.798
120,0,0,404.183
121,0,0,443.778
122,0,0,472.90900000000005
123,0,0,472.136
124,0,0,470.02
125,0,0,465.176
126,0,0,555.551
127,0,0,501.677
128,0,0,670.465
129,0,0,316.846
130,0,0,26.751
131,0,0,26.356
132,0,0,28.605999999999998
133,0,0,33.019
134,0,0,338.39399999999995
135,0,0,158.145
136,0,0,25.464000000000002
137,0,0,39.64
138,0,0,83.73700000000001
139,0,0,393.443
140,0,0,407.401
141,0,0,431.269
142,0,0,441.92900000000003
143,0,0,458.382
144,0,0,448.041
145,0,0,437.12
146,0,0,449.938
147,0,0,361.952
148,0,0,441.988
149,0,0,420.365
150,0,0,422.32
151,0,0,181.461
152,0,0,73.128
153,0,0,79.29
154,0,0,46.059000000000005
155,0,0,82.99199999999999
156,0,0,39.773
157,0,0,43.443000000000005
158,0,0,32.391000000000005
159,0,0,31.912000000000003
160,0,0,26.718
161,0,0,27.427
162,0,0,23.309
163,0,0,435.135
164,0,0,423.08
165,0,0,435.687
166,0,0,436.92900000000003
167,0,0,425.212
168,0,0,454.312
169,0,0,423.603
170,0,0,459.913
171,0,0,435.27
172,0,0,469.66
173,0,0,447.245
174,0,0,288.63
175,0,0,19.374
176,0,0,16.208
177,0,0,18.572000000000003
178,0,0,22.532
179,0,0,22.317
180,0,0,24.764000000000003
181,0,0,23.307000000000002
182,0,0,24.983
183,0,0,24.737
184,0,0,23.775000000000002
185,0,0,24.791
186,0,0,25.967
187,0,0,374.14599999999996
188,0,0,385.98
189,0,0,416.59200000000004
190,0,0,466.808
191,0,0,463.921
192,0,0,440.396
193,0,0,442.848
194,0,0,453.474
195,0,0,484.606
196,0,0,467.31600000000003
197,0,0,486.74
198,0,0,479.68699999999995
199,0,0,268.522
200,0,0,17.843999999999998
201,0,0,19.043999999999997
202,0,0,23.119
203,0,0,33.245
204,0,0,33.349
205,0,0,32.774
206,0,0,31.334
207,0,0,34.107
208,0,0,31.704000000000004
209,0,0,33.616
210,0,0,32.616
211,0,0,121.777
212,0,0,400.123
213,0,0,457.35900000000004
214,0,0,475.62
215,0,0,474.536
216,0,0,469.792
217,0,0,460.807
218,0,0,485.38100000000003
219,0,0,482.276
220,0,0,440.62800000000004
221,0,0,490.774
222,0,0,356.094
223,0,0,22.747
224,0,0,39.055
225,0,0,49.561
226,0,0,61.531000000000006
227,0,0,68.94500000000001
228,0,0,56.122
229,0,0,28.37
230,0,0,26.758
231,0,0,54.107
232,0,0,51.666999999999994
