,domestic,commercial,public
0,0,0,3.7840000000000003
1,0,0,3.27
2,0,0,2.435
3,0,0,5.296
4,0,0,7.787
5,0,0,4.093
6,0,0,8.824
7,0,0,1.564
8,0,0,3.059
9,0,0,1.9729999999999999
10,0,0,3.0109999999999997
11,0,0,5.95
12,0,0,4.2940000000000005
13,0,0,1.771
14,0,0,4.052
15,0,0,2.7239999999999998
16,0,0,3.599
17,0,0,4.048
18,0,0,3.29
19,0,0,4.33
20,0,0,1.193
21,0,0,4.648000000000001
22,0,0,1.036
23,0,0,3.7039999999999997
24,0,0,1.1219999999999999
25,0,0,2.153
26,0,0,2.271
27,0,0,2.077
28,0,0,1.792
29,0,0,2.497
30,0,0,3.734
31,0,0,2.491
32,0,0,2.9499999999999997
33,0,0,1.9929999999999999
34,0,0,1.456
35,0,0,2.693
36,0,0,2.281
37,0,0,2.7390000000000003
38,0,0,2.193
39,0,0,1.3259999999999998
40,0,0,2.352
41,0,0,2.146
42,0,0,2.444
43,0,0,3.261
44,0,0,2.101
45,0,0,4.827999999999999
46,0,0,2.618
47,0,0,2.782
48,0,0,2.511
49,0,0,1.9009999999999998
50,0,0,1.95
51,0,0,1.9449999999999998
52,0,0,1.531
53,0,0,1.942
54,0,0,2.897
55,0,0,2.1879999999999997
56,0,0,3.307
57,0,0,5.377
58,0,0,3.218
59,0,0,4.048
60,0,0,3.483
61,0,0,1.908
62,0,0,4.166
63,0,0,3.298
64,0,0,2.032
65,0,0,1.949
66,0,0,4.038
67,0,0,4.283
68,0,0,3.9659999999999997
69,0,0,2.9819999999999998
70,0,0,4.346
71,0,0,2.321
72,0,0,2.399
73,0,0,1.8539999999999999
74,0,0,0.7060000000000001
75,0,0,1.74
76,0,0,1.868
77,0,0,2.444
78,0,0,2.775
79,0,0,2.1159999999999997
80,0,0,1.5
81,0,0,3.7880000000000003
82,0,0,4.664
83,0,0,3.5109999999999997
84,0,0,1.782
85,0,0,2.477
86,0,0,1.575
87,0,0,1.738
88,0,0,2.355
89,0,0,2.6020000000000003
90,0,0,4.093
