,domestic,commercial,public
0,0,0,70.899
1,0,0,76.49499999999999
2,0,0,75.71600000000001
3,0,0,70.045
4,0,0,61.923
5,0,0,62.643
6,0,0,62.74100000000001
7,0,0,72.40599999999999
8,0,0,72.697
9,0,0,78.86999999999999
10,0,0,64.149
11,0,0,66.917
12,0,0,70.47
13,0,0,77.79700000000001
14,0,0,100.978
15,0,0,85.826
16,0,0,73.54299999999999
17,0,0,81.14699999999999
18,0,0,82.241
19,0,0,77.102
20,0,0,75.22
21,0,0,74.582
22,0,0,28.938
23,0,0,13.104
24,0,0,20.148
25,0,0,23.968
26,0,0,27.969
27,0,0,28.497999999999998
28,0,0,28.561
29,0,0,16.188000000000002
30,0,0,14.369
31,0,0,14.193000000000001
32,0,0,9.117
33,0,0,17.375999999999998
34,0,0,31.981
35,0,0,28.677
36,0,0,17.04
37,0,0,15.31
38,0,0,15.224
39,0,0,14.456999999999999
40,0,0,18.283
41,0,0,21.395
42,0,0,16.376
43,0,0,23.369999999999997
44,0,0,26.62
45,0,0,25.375999999999998
46,0,0,35.274
47,0,0,34.333000000000006
48,0,0,33.010999999999996
49,0,0,21.872
50,0,0,15.876000000000001
51,0,0,14.065
52,0,0,12.848
53,0,0,9.457
54,0,0,14.615
55,0,0,16.756
56,0,0,9.08
57,0,0,8.018
58,0,0,7.927999999999999
59,0,0,7.927
60,0,0,93.477
61,0,0,156.70600000000002
62,0,0,133.609
63,0,0,117.532
64,0,0,112.92699999999999
65,0,0,104.088
66,0,0,187.013
67,0,0,185.625
68,0,0,224.98000000000002
69,0,0,197.929
70,0,0,164.59199999999998
71,0,0,116.3
72,0,0,104.51
73,0,0,100.714
74,0,0,158.129
75,0,0,96.271
76,0,0,92.531
77,0,0,92.695
78,0,0,78.171
79,0,0,70.89
80,0,0,83.123
81,0,0,82.498
82,0,0,82.314
83,0,0,83.448
84,0,0,77.987
85,0,0,80.072
86,0,0,95.822
87,0,0,86.925
88,0,0,126.0
89,0,0,125.27499999999999
90,0,0,88.26100000000001
91,0,0,87.821
92,0,0,105.506
93,0,0,115.466
94,0,0,95.28
95,0,0,92.99300000000001
96,0,0,81.39
97,0,0,70.718
98,0,0,68.943
99,0,0,67.693
100,0,0,66.62899999999999
101,0,0,76.079
102,0,0,76.32799999999999
103,0,0,83.323
104,0,0,79.383
105,0,0,73.927
106,0,0,68.584
107,0,0,86.08200000000001
108,0,0,100.62400000000001
109,0,0,73.34
110,0,0,86.56800000000001
111,0,0,92.796
112,0,0,86.619
113,0,0,82.57499999999999
114,0,0,94.306
115,0,0,96.80900000000001
116,0,0,282.217
117,0,0,283.903
118,0,0,259.30199999999996
119,0,0,134.836
120,0,0,109.285
121,0,0,116.988
122,0,0,102.56700000000001
123,0,0,94.959
124,0,0,88.835
125,0,0,90.507
126,0,0,118.46900000000001
127,0,0,110.781
128,0,0,87.589
129,0,0,91.616
130,0,0,91.792
131,0,0,80.709
132,0,0,77.761
133,0,0,102.054
134,0,0,135.878
135,0,0,156.506
136,0,0,224.471
137,0,0,111.15
138,0,0,111.93599999999999
139,0,0,126.23200000000001
140,0,0,216.245
141,0,0,147.767
142,0,0,97.244
143,0,0,86.608
144,0,0,86.75099999999999
145,0,0,79.053
146,0,0,77.678
147,0,0,76.004
148,0,0,89.55000000000001
149,0,0,54.893
150,0,0,91.534
151,0,0,171.267
152,0,0,131.432
153,0,0,135.378
154,0,0,88.458
155,0,0,108.833
156,0,0,115.241
157,0,0,199.535
158,0,0,180.69
159,0,0,141.857
160,0,0,128.05
161,0,0,110.256
162,0,0,235.034
163,0,0,173.996
164,0,0,191.942
165,0,0,177.77200000000002
166,0,0,111.902
167,0,0,95.13499999999999
168,0,0,106.232
169,0,0,99.26899999999999
170,0,0,80.562
171,0,0,69.017
172,0,0,178.10899999999998
173,0,0,105.891
174,0,0,92.44800000000001
175,0,0,137.725
176,0,0,175.854
177,0,0,175.741
