,domestic,commercial,public
0,0,0,15.68
1,0,0,12.524000000000001
2,0,0,16.067999999999998
3,0,0,22.671
4,0,0,23.176
5,0,0,16.599
6,0,0,12.579999999999998
7,0,0,15.343
8,0,0,34.344
9,0,0,29.753
10,0,0,31.611
11,0,0,34.477000000000004
12,0,0,34.415
13,0,0,31.364000000000004
14,0,0,56.454
15,0,0,46.929
16,0,0,40.983
17,0,0,30.886
18,0,0,11.960999999999999
19,0,0,19.541
20,0,0,17.288999999999998
21,0,0,11.828999999999999
22,0,0,18.496
23,0,0,25.314
24,0,0,13.086
25,0,0,11.547
26,0,0,17.535999999999998
27,0,0,24.927
28,0,0,27.179
29,0,0,24.241
30,0,0,13.687
31,0,0,16.858
32,0,0,20.61
33,0,0,30.422
34,0,0,40.626000000000005
35,0,0,38.911
36,0,0,41.643
37,0,0,51.817
38,0,0,60.051
39,0,0,51.416999999999994
40,0,0,43.055
41,0,0,33.229
42,0,0,22.528
43,0,0,19.907999999999998
44,0,0,19.458
45,0,0,11.956
46,0,0,16.187
47,0,0,23.619999999999997
48,0,0,15.346
49,0,0,11.243
50,0,0,15.605
51,0,0,22.919999999999998
52,0,0,25.579
53,0,0,20.521
54,0,0,13.731
55,0,0,10.399000000000001
56,0,0,17.118000000000002
57,0,0,13.571
58,0,0,10.316
59,0,0,14.693
60,0,0,18.968
61,0,0,16.391
62,0,0,12.714
63,0,0,10.175
64,0,0,14.378
65,0,0,19.246
66,0,0,55.0
67,0,0,111.797
68,0,0,66.319
69,0,0,13.100999999999999
70,0,0,19.52
71,0,0,15.673
72,0,0,22.229
73,0,0,18.869
74,0,0,12.08
75,0,0,14.089
76,0,0,11.889000000000001
77,0,0,11.554
78,0,0,12.407
79,0,0,11.33
80,0,0,14.763
81,0,0,18.316
82,0,0,29.776
83,0,0,13.279
84,0,0,11.555
85,0,0,16.397
86,0,0,23.357
87,0,0,38.535
88,0,0,19.043
89,0,0,14.7
90,0,0,87.416
91,0,0,138.179
92,0,0,107.871
93,0,0,18.933
94,0,0,12.377
95,0,0,14.738
96,0,0,24.59
97,0,0,20.361
98,0,0,13.724
99,0,0,11.974
100,0,0,14.871
101,0,0,20.485
102,0,0,18.724999999999998
103,0,0,15.261999999999999
104,0,0,10.193000000000001
105,0,0,15.011
106,0,0,33.050000000000004
107,0,0,14.225
108,0,0,9.805
109,0,0,11.903
110,0,0,10.167
111,0,0,12.014999999999999
112,0,0,10.008
113,0,0,10.181000000000001
114,0,0,11.157
115,0,0,17.03
116,0,0,12.633000000000001
117,0,0,12.888
118,0,0,18.447000000000003
119,0,0,20.294
120,0,0,15.988
121,0,0,21.274
122,0,0,24.607
123,0,0,23.015
124,0,0,15.899
125,0,0,13.809999999999999
126,0,0,21.718
127,0,0,30.307000000000002
128,0,0,12.992
129,0,0,22.248
130,0,0,11.867
131,0,0,10.201
132,0,0,6.872999999999999
133,0,0,8.356
134,0,0,9.907
