,domestic,commercial,public
0,0,0,28.128
1,0,0,21.905
2,0,0,19.653
3,0,0,18.432000000000002
4,0,0,16.755
5,0,0,15.575000000000001
6,0,0,15.789000000000001
7,0,0,18.168
8,0,0,22.701999999999998
9,0,0,29.259
10,0,0,22.502000000000002
11,0,0,17.715
12,0,0,18.354
13,0,0,24.410999999999998
14,0,0,29.343
15,0,0,28.637
16,0,0,27.032
17,0,0,28.455000000000002
18,0,0,20.400000000000002
19,0,0,16.074
20,0,0,18.427
21,0,0,20.96
22,0,0,25.249000000000002
23,0,0,28.683
24,0,0,28.943
25,0,0,26.068
26,0,0,19.656
27,0,0,18.944
28,0,0,17.472
29,0,0,15.582
30,0,0,15.488
31,0,0,19.047
32,0,0,27.347
33,0,0,27.549
34,0,0,19.986
35,0,0,17.04
36,0,0,20.054
37,0,0,26.868
38,0,0,29.325
39,0,0,27.402
40,0,0,25.764
41,0,0,27.826
42,0,0,25.503999999999998
43,0,0,17.683999999999997
44,0,0,16.712
45,0,0,20.488
46,0,0,24.371
47,0,0,28.29
48,0,0,29.291999999999998
49,0,0,26.929000000000002
50,0,0,20.702
51,0,0,18.375
52,0,0,16.704
53,0,0,15.032
54,0,0,15.113
55,0,0,10.047
56,0,0,9.987
57,0,0,3.421
58,0,0,3.922
59,0,0,9.975
60,0,0,10.019
61,0,0,10.009
62,0,0,9.838
63,0,0,5.58
64,0,0,1.861
65,0,0,4.037
66,0,0,11.155
67,0,0,16.674000000000003
68,0,0,20.477
69,0,0,21.955
70,0,0,26.407
71,0,0,29.399
72,0,0,29.773999999999997
73,0,0,25.627
74,0,0,21.125
75,0,0,19.849999999999998
76,0,0,17.886
77,0,0,17.465
78,0,0,17.214
79,0,0,10.809
80,0,0,9.573
81,0,0,3.417
82,0,0,9.308
83,0,0,10.017
84,0,0,10.013
85,0,0,8.71
86,0,0,1.035
87,0,0,0.24899999999999997
88,0,0,0.333
89,0,0,0.0
90,0,0,15.456
91,0,0,18.881999999999998
92,0,0,16.125
93,0,0,17.815
94,0,0,20.341
95,0,0,24.585
96,0,0,28.233999999999998
97,0,0,28.043
98,0,0,24.639999999999997
99,0,0,20.986
100,0,0,19.185000000000002
101,0,0,19.779
102,0,0,19.264
103,0,0,9.951
104,0,0,0.665
105,0,0,6.13
106,0,0,9.979999999999999
107,0,0,10.014000000000001
108,0,0,10.01
109,0,0,6.917000000000001
110,0,0,0.954
111,0,0,1.74
112,0,0,3.732
113,0,0,8.671999999999999
114,0,0,11.528
115,0,0,13.82
116,0,0,15.469
117,0,0,19.001
118,0,0,21.094
119,0,0,24.424999999999997
120,0,0,26.738000000000003
121,0,0,27.777
122,0,0,26.055
123,0,0,23.254
124,0,0,20.989
125,0,0,20.114
126,0,0,18.166999999999998
127,0,0,10.039
128,0,0,9.991
129,0,0,4.296
130,0,0,9.104
131,0,0,9.927999999999999
132,0,0,10.014999999999999
133,0,0,10.013
134,0,0,9.843
135,0,0,10.014999999999999
136,0,0,9.853000000000002
137,0,0,10.012
138,0,0,10.013
139,0,0,10.019
140,0,0,9.852
141,0,0,7.675999999999999
142,0,0,4.464
143,0,0,0.622
144,0,0,4.9959999999999996
145,0,0,6.928
146,0,0,9.950000000000001
147,0,0,10.052999999999999
148,0,0,10.041
149,0,0,10.032
150,0,0,10.038
151,0,0,9.818999999999999
152,0,0,7.882
153,0,0,1.661
154,0,0,5.385
155,0,0,9.934999999999999
156,0,0,10.014999999999999
157,0,0,10.02
158,0,0,10.016
159,0,0,10.019
160,0,0,10.023000000000001
161,0,0,10.014999999999999
162,0,0,10.023000000000001
163,0,0,9.854999999999999
164,0,0,8.475
165,0,0,4.171
166,0,0,0.9129999999999999
167,0,0,5.634
168,0,0,9.323
169,0,0,10.041
170,0,0,10.033
171,0,0,9.876
172,0,0,9.879000000000001
173,0,0,10.055
174,0,0,10.052999999999999
175,0,0,10.033999999999999
176,0,0,9.99
177,0,0,1.1640000000000001
178,0,0,5.635000000000001
179,0,0,10.02
180,0,0,10.357
181,0,0,10.014999999999999
182,0,0,9.969000000000001
183,0,0,84.253
184,0,0,89.521
185,0,0,103.514
186,0,0,111.859
187,0,0,133.909
188,0,0,133.977
189,0,0,132.479
190,0,0,132.835
191,0,0,133.306
192,0,0,131.344
193,0,0,128.56799999999998
194,0,0,128.703
195,0,0,127.107
196,0,0,128.476
197,0,0,128.209
198,0,0,127.93499999999999
199,0,0,129.34300000000002
200,0,0,131.59
201,0,0,133.87199999999999
202,0,0,134.16400000000002
203,0,0,133.12099999999998
204,0,0,131.869
205,0,0,131.723
206,0,0,131.738
207,0,0,130.69
208,0,0,131.589
209,0,0,131.41
210,0,0,130.79399999999998
211,0,0,133.06799999999998
212,0,0,133.554
213,0,0,132.95399999999998
214,0,0,132.786
215,0,0,132.065
216,0,0,132.209
217,0,0,131.17999999999998
218,0,0,129.225
219,0,0,128.938
220,0,0,127.12599999999999
221,0,0,127.881
222,0,0,128.091
223,0,0,82.497
224,0,0,7.431
225,0,0,3.088
226,0,0,9.937
227,0,0,10.011000000000001
228,0,0,10.017
229,0,0,9.844000000000001
230,0,0,6.197
231,0,0,2.9859999999999998
232,0,0,0.621
233,0,0,83.968
234,0,0,91.289
235,0,0,120.441
236,0,0,129.889
237,0,0,132.28699999999998
238,0,0,133.722
239,0,0,132.196
240,0,0,132.14000000000001
241,0,0,132.467
242,0,0,130.811
243,0,0,128.87599999999998
244,0,0,128.629
245,0,0,127.09899999999999
246,0,0,111.004
247,0,0,90.063
248,0,0,42.831
249,0,0,5.256
250,0,0,10.014000000000001
251,0,0,10.014000000000001
252,0,0,10.176
253,0,0,10.094000000000001
254,0,0,3.571
255,0,0,1.163
256,0,0,0.457
257,0,0,0.662
258,0,0,7.792000000000001
259,0,0,14.819
260,0,0,15.764
261,0,0,19.361
262,0,0,21.125
263,0,0,25.53
264,0,0,29.044
265,0,0,29.022
266,0,0,24.986
267,0,0,21.568
268,0,0,19.777
269,0,0,19.699
270,0,0,62.973
271,0,0,80.496
272,0,0,6.466
273,0,0,5.216
274,0,0,9.975
275,0,0,10.013
276,0,0,10.939
277,0,0,9.086
278,0,0,1.7409999999999999
279,0,0,0.456
280,0,0,0.208
281,0,0,87.11099999999999
282,0,0,95.683
283,0,0,116.643
284,0,0,127.48300000000002
285,0,0,128.119
286,0,0,130.17999999999998
287,0,0,129.686
288,0,0,128.353
289,0,0,129.06699999999998
290,0,0,128.416
291,0,0,126.637
292,0,0,123.223
293,0,0,121.442
294,0,0,72.23
295,0,0,85.199
296,0,0,15.242
297,0,0,6.425
298,0,0,9.809999999999999
299,0,0,10.142999999999999
300,0,0,9.184
301,0,0,1.9919999999999998
302,0,0,0.709
303,0,0,9.431999999999999
304,0,0,10.028
305,0,0,86.11399999999999
306,0,0,96.261
307,0,0,125.40599999999999
308,0,0,126.361
309,0,0,127.877
310,0,0,129.968
311,0,0,130.271
312,0,0,129.952
313,0,0,128.6
314,0,0,128.84699999999998
315,0,0,129.238
316,0,0,127.15199999999999
317,0,0,124.40700000000001
318,0,0,123.043
319,0,0,87.137
320,0,0,10.415000000000001
321,0,0,8.370000000000001
322,0,0,10.038
323,0,0,10.039
324,0,0,7.184
325,0,0,0.7060000000000001
326,0,0,7.646
327,0,0,10.696000000000002
328,0,0,9.938
329,0,0,85.93
330,0,0,96.84700000000001
331,0,0,119.917
332,0,0,126.23799999999999
333,0,0,125.90399999999998
334,0,0,127.994
335,0,0,129.227
336,0,0,129.902
337,0,0,129.471
338,0,0,128.705
339,0,0,128.008
340,0,0,128.963
341,0,0,127.98100000000001
342,0,0,126.976
343,0,0,129.997
344,0,0,110.389
345,0,0,96.753
346,0,0,12.183
347,0,0,10.549
348,0,0,4.890000000000001
349,0,0,0.208
350,0,0,9.06
351,0,0,10.030000000000001
352,0,0,10.032
353,0,0,9.491
354,0,0,6.6
355,0,0,14.811
356,0,0,12.942
357,0,0,10.253
358,0,0,10.681
359,0,0,12.477
360,0,0,14.587
361,0,0,19.733
362,0,0,20.663999999999998
363,0,0,21.124
364,0,0,22.128999999999998
365,0,0,22.893
366,0,0,21.799
367,0,0,23.387999999999998
368,0,0,21.695
369,0,0,14.050999999999998
370,0,0,10.664
371,0,0,13.415
372,0,0,8.469000000000001
373,0,0,4.931
374,0,0,10.039
375,0,0,10.029
376,0,0,10.024999999999999
377,0,0,9.905000000000001
378,0,0,6.518000000000001
379,0,0,15.907999999999998
380,0,0,12.614
381,0,0,13.456
382,0,0,10.642999999999999
383,0,0,10.181000000000001
384,0,0,10.263
385,0,0,10.595
386,0,0,12.107
387,0,0,12.951
388,0,0,16.064
389,0,0,19.551
390,0,0,20.187
391,0,0,115.736
392,0,0,97.12
393,0,0,95.084
394,0,0,60.778999999999996
395,0,0,10.040000000000001
396,0,0,7.517
397,0,0,3.125
398,0,0,4.087000000000001
399,0,0,9.732
400,0,0,27.195
401,0,0,93.575
402,0,0,117.756
403,0,0,128.112
404,0,0,128.06300000000002
405,0,0,128.919
406,0,0,127.141
407,0,0,129.25300000000001
408,0,0,129.863
409,0,0,128.23999999999998
410,0,0,128.93699999999998
411,0,0,129.321
412,0,0,123.079
413,0,0,128.381
414,0,0,123.061
415,0,0,94.85000000000001
416,0,0,56.082
417,0,0,0.0
418,0,0,0.0
419,0,0,0.0
420,0,0,0.0
421,0,0,0.0
422,0,0,0.0
423,0,0,0.0
424,0,0,0.0
425,0,0,0.0
426,0,0,2.974
427,0,0,20.112000000000002
428,0,0,19.761
429,0,0,20.877
430,0,0,21.722
431,0,0,21.676000000000002
432,0,0,22.673
433,0,0,21.454
434,0,0,17.95
435,0,0,13.431000000000001
436,0,0,12.293999999999999
437,0,0,11.325
438,0,0,27.014
439,0,0,68.326
440,0,0,8.197
441,0,0,7.324
442,0,0,9.781
443,0,0,10.032
444,0,0,10.024999999999999
445,0,0,9.972
446,0,0,8.554
447,0,0,5.041
448,0,0,27.614
449,0,0,97.01700000000001
450,0,0,126.977
451,0,0,126.664
452,0,0,128.186
453,0,0,128.72
454,0,0,129.02700000000002
455,0,0,129.376
456,0,0,128.134
457,0,0,127.58200000000001
458,0,0,127.997
459,0,0,128.016
460,0,0,126.356
461,0,0,123.568
462,0,0,121.08099999999999
463,0,0,86.929
464,0,0,12.005
465,0,0,6.734
466,0,0,10.01
467,0,0,10.026
468,0,0,10.022
469,0,0,9.987
470,0,0,4.796
471,0,0,1.5430000000000001
472,0,0,0.709
473,0,0,0.662
474,0,0,6.593
475,0,0,10.593
476,0,0,10.596
477,0,0,12.239
478,0,0,12.937000000000001
479,0,0,18.513
480,0,0,20.785999999999998
481,0,0,21.162
482,0,0,20.818
483,0,0,19.674
484,0,0,16.093
485,0,0,12.585
486,0,0,32.660000000000004
487,0,0,96.62700000000001
488,0,0,97.432
489,0,0,97.27900000000001
490,0,0,94.503
491,0,0,58.065
492,0,0,10.218
493,0,0,10.077
494,0,0,6.795
495,0,0,6.045
496,0,0,9.279
497,0,0,9.530999999999999
498,0,0,9.867
499,0,0,10.172
500,0,0,11.305000000000001
501,0,0,12.136
502,0,0,17.294
503,0,0,19.723000000000003
504,0,0,20.773
505,0,0,21.067
506,0,0,20.848
507,0,0,19.574
508,0,0,17.753999999999998
509,0,0,13.504999999999999
510,0,0,11.991
511,0,0,13.972
512,0,0,56.689
513,0,0,1.9189999999999998
514,0,0,9.041
515,0,0,10.043
516,0,0,10.05
517,0,0,6.862
518,0,0,10.029
519,0,0,9.325
520,0,0,7.984
521,0,0,9.268
522,0,0,10.027
523,0,0,10.437999999999999
524,0,0,12.109
525,0,0,16.477
526,0,0,20.650000000000002
527,0,0,21.191000000000003
528,0,0,19.957
529,0,0,15.153
530,0,0,11.658
531,0,0,11.200999999999999
532,0,0,10.578000000000001
533,0,0,10.21
534,0,0,10.207
535,0,0,11.035
536,0,0,14.154
537,0,0,22.432000000000002
538,0,0,16.706
539,0,0,11.398
540,0,0,10.812000000000001
541,0,0,9.841000000000001
542,0,0,3.9259999999999997
543,0,0,0.25
544,0,0,0.25
545,0,0,0.16799999999999998
546,0,0,6.777
547,0,0,10.261
548,0,0,10.65
549,0,0,13.123
550,0,0,15.620000000000001
551,0,0,19.966
552,0,0,20.905
553,0,0,21.011
554,0,0,19.516
555,0,0,16.069
556,0,0,13.218
557,0,0,11.783
558,0,0,36.13
559,0,0,57.283
560,0,0,8.596
561,0,0,4.7749999999999995
562,0,0,10.05
563,0,0,10.033999999999999
564,0,0,10.046
565,0,0,9.036000000000001
566,0,0,0.954
567,0,0,0.833
568,0,0,0.16699999999999998
569,0,0,7.656
570,0,0,7.156
571,0,0,11.719999999999999
572,0,0,10.468
573,0,0,10.298
574,0,0,12.208
575,0,0,13.297
576,0,0,17.448999999999998
577,0,0,20.663
578,0,0,21.335
579,0,0,21.652
580,0,0,21.323
581,0,0,19.174
582,0,0,66.012
583,0,0,96.17399999999999
584,0,0,45.605
585,0,0,9.83
586,0,0,10.050999999999998
587,0,0,10.038
588,0,0,7.804
589,0,0,1.7440000000000002
590,0,0,0.9169999999999999
591,0,0,8.515
592,0,0,0.377
593,0,0,0.333
594,0,0,5.682
595,0,0,10.057
596,0,0,10.058
597,0,0,10.056000000000001
598,0,0,10.052999999999999
599,0,0,8.324
600,0,0,4.937
601,0,0,1.036
602,0,0,5.007000000000001
603,0,0,8.274000000000001
604,0,0,9.960999999999999
605,0,0,10.047
606,0,0,35.363
607,0,0,104.977
608,0,0,48.449
609,0,0,9.427
610,0,0,10.07
611,0,0,10.34
612,0,0,7.103
613,0,0,0.376
614,0,0,0.628
615,0,0,10.33
616,0,0,25.622
617,0,0,92.209
618,0,0,91.81200000000001
619,0,0,113.128
620,0,0,124.695
621,0,0,126.23300000000002
622,0,0,127.66900000000001
623,0,0,128.191
624,0,0,128.215
625,0,0,125.692
626,0,0,126.86
627,0,0,124.767
628,0,0,122.96
629,0,0,118.72399999999999
630,0,0,118.51599999999999
631,0,0,41.308
632,0,0,22.482
633,0,0,16.075
634,0,0,10.714
635,0,0,9.2
636,0,0,7.707999999999999
637,0,0,7.498
638,0,0,3.052
639,0,0,1.295
640,0,0,9.690000000000001
641,0,0,9.982
642,0,0,18.447000000000003
643,0,0,12.782
644,0,0,11.766
645,0,0,10.040000000000001
646,0,0,10.635
647,0,0,13.001000000000001
648,0,0,17.804000000000002
649,0,0,20.078
650,0,0,21.180999999999997
651,0,0,20.96
652,0,0,17.883
653,0,0,13.138
654,0,0,33.435
655,0,0,96.82499999999999
656,0,0,96.76
657,0,0,19.455
658,0,0,10.02
659,0,0,16.503
660,0,0,55.108
661,0,0,3.755
662,0,0,9.93
663,0,0,9.85
664,0,0,9.681000000000001
665,0,0,10.012
666,0,0,14.615
667,0,0,21.22
668,0,0,11.889000000000001
669,0,0,12.021
670,0,0,10.379
671,0,0,10.248999999999999
672,0,0,10.587
673,0,0,12.014999999999999
674,0,0,12.996
675,0,0,17.737
676,0,0,20.101
677,0,0,21.451
678,0,0,21.756999999999998
679,0,0,12.258
680,0,0,5.596
681,0,0,9.979999999999999
682,0,0,10.038
683,0,0,8.819
684,0,0,0.49700000000000005
685,0,0,5.976999999999999
686,0,0,9.574
687,0,0,9.66
688,0,0,9.579
689,0,0,9.823
690,0,0,6.1339999999999995
691,0,0,12.27
692,0,0,10.638
693,0,0,10.255
694,0,0,12.269
695,0,0,14.751999999999999
696,0,0,20.122999999999998
697,0,0,21.166
698,0,0,21.889
699,0,0,20.888
700,0,0,18.131999999999998
701,0,0,13.514999999999999
702,0,0,12.197
703,0,0,14.971
704,0,0,23.377
705,0,0,18.595
706,0,0,11.6
707,0,0,11.336
708,0,0,18.08
709,0,0,21.305999999999997
710,0,0,15.854
711,0,0,13.39
712,0,0,13.097
713,0,0,13.769
714,0,0,19.659
715,0,0,14.291
716,0,0,11.089
717,0,0,10.286999999999999
718,0,0,10.205
719,0,0,10.077
720,0,0,10.661999999999999
721,0,0,11.818
722,0,0,14.013
723,0,0,18.194
724,0,0,20.056
725,0,0,20.938
726,0,0,21.59
727,0,0,4.888
728,0,0,8.322
729,0,0,10.01
730,0,0,9.879999999999999
731,0,0,9.867
732,0,0,6.135
733,0,0,0.789
734,0,0,4.059
735,0,0,9.949
736,0,0,9.535
737,0,0,9.782
738,0,0,14.363000000000001
739,0,0,14.069999999999999
740,0,0,12.213999999999999
741,0,0,11.323
742,0,0,10.41
743,0,0,10.073
744,0,0,11.963
745,0,0,12.409999999999998
746,0,0,15.190999999999999
747,0,0,19.083
748,0,0,20.557
749,0,0,21.366
750,0,0,42.998000000000005
751,0,0,80.558
752,0,0,5.814
753,0,0,9.996
754,0,0,10.036
755,0,0,8.189
756,0,0,1.5430000000000001
757,0,0,4.887
758,0,0,9.904
759,0,0,10.024999999999999
760,0,0,10.024
761,0,0,10.039
762,0,0,17.253999999999998
763,0,0,21.476
764,0,0,18.611
765,0,0,12.649000000000001
766,0,0,11.979
767,0,0,10.687999999999999
768,0,0,10.258
769,0,0,10.266
770,0,0,10.505
771,0,0,11.556000000000001
772,0,0,12.703000000000001
773,0,0,16.56
774,0,0,54.18
775,0,0,94.759
776,0,0,52.858000000000004
777,0,0,10.036
778,0,0,10.036
779,0,0,6.974
780,0,0,0.746
781,0,0,1.2930000000000001
782,0,0,9.982
783,0,0,9.903
784,0,0,9.737
785,0,0,9.610000000000001
786,0,0,4.341
787,0,0,9.275
788,0,0,10.004000000000001
789,0,0,10.040000000000001
790,0,0,10.031
791,0,0,10.031
792,0,0,10.030000000000001
793,0,0,9.907
794,0,0,9.872
795,0,0,8.988
796,0,0,9.239
797,0,0,5.682
798,0,0,0.5
799,0,0,1.5859999999999999
800,0,0,7.108
801,0,0,10.052
802,0,0,10.037
803,0,0,10.045
804,0,0,10.052
805,0,0,9.117999999999999
806,0,0,4.753
807,0,0,0.875
808,0,0,3.218
809,0,0,9.742
810,0,0,7.223
811,0,0,9.911
812,0,0,10.052999999999999
813,0,0,10.054
814,0,0,10.047
815,0,0,10.052999999999999
816,0,0,9.885
817,0,0,9.811
818,0,0,9.261999999999999
819,0,0,5.36
820,0,0,1.3370000000000002
821,0,0,3.049
822,0,0,6.278
823,0,0,5.053
824,0,0,2.721
825,0,0,10.007
826,0,0,10.037
827,0,0,9.912
828,0,0,3.712
829,0,0,0.414
830,0,0,7.101
831,0,0,10.078
832,0,0,10.0
833,0,0,10.040000000000001
834,0,0,8.027
835,0,0,12.082
836,0,0,11.628
837,0,0,10.579
838,0,0,10.121
839,0,0,10.501999999999999
840,0,0,13.056
841,0,0,18.693
842,0,0,20.633
843,0,0,21.683
844,0,0,20.209
845,0,0,14.916
846,0,0,12.355
847,0,0,19.483
848,0,0,17.349
849,0,0,9.724
850,0,0,10.030000000000001
851,0,0,10.368
852,0,0,1.961
853,0,0,6.481
854,0,0,10.032
855,0,0,10.033999999999999
856,0,0,10.023000000000001
857,0,0,10.02
858,0,0,12.755
859,0,0,21.381
860,0,0,19.855999999999998
861,0,0,12.784
862,0,0,12.061
863,0,0,10.626999999999999
864,0,0,10.21
865,0,0,11.152000000000001
866,0,0,12.945
867,0,0,13.601
868,0,0,19.053
869,0,0,20.816000000000003
870,0,0,21.618
871,0,0,20.351000000000003
872,0,0,12.813
873,0,0,10.383
874,0,0,12.07
875,0,0,20.947
876,0,0,17.064
877,0,0,12.731
878,0,0,10.243
879,0,0,11.796
880,0,0,13.682
881,0,0,10.737
882,0,0,11.368
883,0,0,19.257
884,0,0,21.180999999999997
885,0,0,14.119
886,0,0,11.654
887,0,0,10.161999999999999
888,0,0,10.539
889,0,0,12.364
890,0,0,14.594
891,0,0,19.219
892,0,0,20.441000000000003
893,0,0,20.945999999999998
894,0,0,16.111
895,0,0,4.686
896,0,0,9.834000000000001
897,0,0,9.993
898,0,0,10.081
899,0,0,8.347999999999999
900,0,0,1.45
901,0,0,4.756
902,0,0,9.697000000000001
903,0,0,9.658
904,0,0,8.865
905,0,0,9.24
906,0,0,12.478
907,0,0,14.375
908,0,0,11.344
909,0,0,11.212
910,0,0,10.176
911,0,0,10.184000000000001
912,0,0,10.975
913,0,0,12.321
914,0,0,14.895999999999999
915,0,0,18.963
916,0,0,19.914
917,0,0,20.811
918,0,0,32.050000000000004
919,0,0,97.261
920,0,0,39.768
921,0,0,10.040000000000001
922,0,0,10.044
923,0,0,10.030000000000001
924,0,0,2.205
925,0,0,0.8350000000000001
926,0,0,9.904
927,0,0,10.152
928,0,0,9.867
929,0,0,9.987
930,0,0,11.037999999999998
931,0,0,20.594
932,0,0,13.913
933,0,0,11.417
934,0,0,10.18
935,0,0,10.218
936,0,0,11.645000000000001
937,0,0,14.544
938,0,0,19.176
939,0,0,20.054
940,0,0,20.767
941,0,0,20.686
942,0,0,36.985
943,0,0,109.946
944,0,0,43.386
945,0,0,9.991
946,0,0,10.037
947,0,0,9.399
948,0,0,1.577
949,0,0,2.6719999999999997
950,0,0,9.696
951,0,0,9.277000000000001
952,0,0,9.332
953,0,0,10.032
954,0,0,11.844000000000001
955,0,0,20.602
956,0,0,15.014
957,0,0,10.841999999999999
958,0,0,10.085
959,0,0,10.421
960,0,0,11.049
961,0,0,14.575
962,0,0,18.699
963,0,0,19.669
964,0,0,20.219
965,0,0,20.477
966,0,0,17.395999999999997
967,0,0,4.978
968,0,0,8.042
969,0,0,10.05
970,0,0,10.037
971,0,0,7.976000000000001
972,0,0,0.5820000000000001
973,0,0,8.65
974,0,0,10.036
975,0,0,10.156
976,0,0,10.026
977,0,0,10.024999999999999
978,0,0,11.298
979,0,0,20.25
980,0,0,20.912
981,0,0,13.962
982,0,0,11.018
983,0,0,10.134
984,0,0,10.179
985,0,0,10.675
986,0,0,10.793000000000001
987,0,0,13.530000000000001
988,0,0,18.354
989,0,0,19.629
990,0,0,39.43
991,0,0,79.97999999999999
992,0,0,9.594
993,0,0,9.996
994,0,0,10.039
995,0,0,5.006
996,0,0,1.338
997,0,0,9.74
998,0,0,10.02
999,0,0,10.032
1000,0,0,10.029
1001,0,0,10.023000000000001
1002,0,0,11.211
1003,0,0,20.242
1004,0,0,20.088
1005,0,0,14.761
1006,0,0,11.315000000000001
1007,0,0,10.253
1008,0,0,9.911
1009,0,0,10.158000000000001
1010,0,0,11.167
1011,0,0,12.229000000000001
1012,0,0,16.557
1013,0,0,19.706999999999997
1014,0,0,19.796
1015,0,0,19.473
1016,0,0,34.084
1017,0,0,67.509
1018,0,0,10.042
1019,0,0,5.508
1020,0,0,1.5870000000000002
1021,0,0,9.870000000000001
1022,0,0,10.032
1023,0,0,10.033999999999999
1024,0,0,10.031
1025,0,0,10.032
1026,0,0,10.037
1027,0,0,13.787
1028,0,0,17.167
1029,0,0,11.604
1030,0,0,10.73
1031,0,0,10.096
1032,0,0,11.1
1033,0,0,13.041
1034,0,0,17.998
1035,0,0,19.803
1036,0,0,20.767
1037,0,0,20.273
1038,0,0,19.168
1039,0,0,21.047
1040,0,0,18.734
1041,0,0,10.97
1042,0,0,10.352
1043,0,0,13.866
1044,0,0,20.596
1045,0,0,14.452
1046,0,0,10.958
1047,0,0,10.11
1048,0,0,10.866999999999999
1049,0,0,10.965000000000002
1050,0,0,11.261000000000001
1051,0,0,20.058
1052,0,0,19.587
1053,0,0,12.481000000000002
1054,0,0,10.839
1055,0,0,10.041
1056,0,0,10.545
1057,0,0,11.39
1058,0,0,15.046000000000001
1059,0,0,19.073
1060,0,0,20.17
1061,0,0,20.774
1062,0,0,51.992
1063,0,0,95.598
1064,0,0,17.223
1065,0,0,10.003
1066,0,0,10.036
1067,0,0,5.63
1068,0,0,4.2620000000000005
1069,0,0,9.646999999999998
1070,0,0,10.022
1071,0,0,10.524000000000001
1072,0,0,10.023000000000001
1073,0,0,10.033
1074,0,0,10.031
1075,0,0,17.228
1076,0,0,21.057
1077,0,0,17.811
1078,0,0,11.616
1079,0,0,10.562999999999999
1080,0,0,10.091
1081,0,0,11.350000000000001
1082,0,0,12.106
1083,0,0,16.325
1084,0,0,19.990000000000002
1085,0,0,20.112000000000002
1086,0,0,35.132999999999996
1087,0,0,97.843
1088,0,0,9.929
1089,0,0,10.052
1090,0,0,10.044
1091,0,0,7.348000000000001
1092,0,0,0.33
1093,0,0,8.324
1094,0,0,10.033999999999999
1095,0,0,10.030000000000001
1096,0,0,10.035
1097,0,0,10.028
1098,0,0,10.703000000000001
1099,0,0,18.648999999999997
1100,0,0,20.224
1101,0,0,16.163
1102,0,0,10.776000000000002
1103,0,0,10.395
1104,0,0,10.104000000000001
1105,0,0,10.446
1106,0,0,11.289
1107,0,0,13.729
1108,0,0,18.415
1109,0,0,19.712
1110,0,0,29.669
1111,0,0,93.217
1112,0,0,34.713
1113,0,0,9.867
1114,0,0,10.046
1115,0,0,3.798
1116,0,0,5.978
1117,0,0,10.572
1118,0,0,10.364999999999998
1119,0,0,10.035
1120,0,0,9.898
1121,0,0,9.392
1122,0,0,10.024999999999999
1123,0,0,11.839
1124,0,0,13.535
1125,0,0,19.666
1126,0,0,21.108999999999998
1127,0,0,16.602999999999998
1128,0,0,11.684999999999999
1129,0,0,10.3
1130,0,0,10.09
1131,0,0,10.458
1132,0,0,11.171000000000001
1133,0,0,13.124
1134,0,0,28.43
1135,0,0,130.782
1136,0,0,53.555
1137,0,0,10.046
1138,0,0,8.487
1139,0,0,2.0
1140,0,0,9.424
1141,0,0,9.027999999999999
1142,0,0,10.028
1143,0,0,9.687
1144,0,0,9.851
1145,0,0,10.023000000000001
1146,0,0,10.207
1147,0,0,12.092
1148,0,0,12.299
1149,0,0,18.62
1150,0,0,20.72
1151,0,0,19.113000000000003
1152,0,0,12.776
1153,0,0,11.229
1154,0,0,10.168999999999999
1155,0,0,10.123999999999999
1156,0,0,11.051
1157,0,0,12.73
1158,0,0,52.933
1159,0,0,40.353
1160,0,0,11.981
1161,0,0,45.871
1162,0,0,8.532
1163,0,0,1.211
1164,0,0,9.684
1165,0,0,10.036
1166,0,0,10.033
1167,0,0,10.026
1168,0,0,10.442
1169,0,0,10.029
1170,0,0,10.373000000000001
1171,0,0,17.763
1172,0,0,20.157999999999998
1173,0,0,19.631
1174,0,0,14.587
1175,0,0,10.626999999999999
1176,0,0,10.376
1177,0,0,10.232
1178,0,0,10.141
1179,0,0,10.183
1180,0,0,10.812000000000001
1181,0,0,11.102
1182,0,0,13.323
1183,0,0,12.156
1184,0,0,100.805
1185,0,0,1.842
1186,0,0,0.0
1187,0,0,0.0
1188,0,0,0.0
1189,0,0,0.0
1190,0,0,0.0
1191,0,0,0.0
1192,0,0,0.0
1193,0,0,0.0
1194,0,0,0.0
1195,0,0,0.0
1196,0,0,15.6121578947368
1197,0,0,13.799722222222199
1198,0,0,12.1691111111111
1199,0,0,0.0
1200,0,0,10.31885
1201,0,0,11.834947368421
1202,0,0,13.3985263157894
1203,0,0,0.0
1204,0,0,16.4066315789473
1205,0,0,16.1236
1206,0,0,27.912894736842098
1207,0,0,51.4555
1208,0,0,0.0
1209,0,0,0.0
1210,0,0,0.0
1211,0,0,0.0
1212,0,0,0.0
1213,0,0,0.0
1214,0,0,0.0
1215,0,0,0.0
1216,0,0,0.0
1217,0,0,0.0
1218,0,0,0.0
1219,0,0,0.0
1220,0,0,15.6121578947368
1221,0,0,13.799722222222199
1222,0,0,12.1691111111111
1223,0,0,0.0
1224,0,0,10.31885
1225,0,0,11.834947368421
1226,0,0,13.3985263157894
1227,0,0,0.0
1228,0,0,16.4066315789473
1229,0,0,16.1236
1230,0,0,27.912894736842098
1231,0,0,51.4555
1232,0,0,0.0
1233,0,0,0.0
1234,0,0,0.0
1235,0,0,0.0
1236,0,0,0.0
1237,0,0,0.0
1238,0,0,0.0
1239,0,0,0.0
1240,0,0,6.5166666666666
1241,0,0,6.6665555555555
