,domestic,commercial,public
0,0,0,7.583
1,0,0,9.399
2,0,0,16.81
3,0,0,17.579
4,0,0,13.692
5,0,0,10.184999999999999
6,0,0,9.116000000000001
7,0,0,16.434
8,0,0,13.979999999999999
9,0,0,7.589
10,0,0,7.575
11,0,0,3.0709999999999997
12,0,0,2.353
13,0,0,7.563000000000001
14,0,0,7.437
15,0,0,7.5649999999999995
16,0,0,7.563000000000001
17,0,0,7.562
18,0,0,7.438000000000001
19,0,0,3.233
20,0,0,7.273
21,0,0,7.572
22,0,0,7.5680000000000005
23,0,0,7.582
24,0,0,7.58
25,0,0,7.672
26,0,0,12.061
27,0,0,17.698999999999998
28,0,0,17.193
29,0,0,11.776
30,0,0,8.744
31,0,0,16.448999999999998
32,0,0,12.274000000000001
33,0,0,7.584
34,0,0,7.574
35,0,0,3.32
36,0,0,2.856
37,0,0,7.561
38,0,0,7.566
39,0,0,7.562
40,0,0,7.5649999999999995
41,0,0,7.564
42,0,0,7.5649999999999995
43,0,0,3.611
44,0,0,7.106999999999999
45,0,0,7.57
46,0,0,7.574
47,0,0,7.586
48,0,0,7.46
49,0,0,7.671
50,0,0,13.12
51,0,0,17.4
52,0,0,14.076
53,0,0,7.549
54,0,0,7.677
55,0,0,8.735
56,0,0,16.647
57,0,0,8.005999999999998
58,0,0,7.574
59,0,0,7.361000000000001
60,0,0,2.729
61,0,0,0.16799999999999998
62,0,0,5.335
63,0,0,7.564
64,0,0,7.563000000000001
65,0,0,7.567
66,0,0,6.517
67,0,0,6.18
68,0,0,7.58
69,0,0,7.57
70,0,0,7.5760000000000005
71,0,0,7.579
72,0,0,7.579
73,0,0,8.164
74,0,0,15.532
75,0,0,17.519
76,0,0,12.08
77,0,0,7.971000000000001
78,0,0,7.896999999999999
79,0,0,12.127
80,0,0,13.254
81,0,0,7.58
82,0,0,7.4879999999999995
83,0,0,1.7229999999999999
84,0,0,6.18
85,0,0,7.564
86,0,0,7.5680000000000005
87,0,0,7.564
88,0,0,7.394
89,0,0,7.439
90,0,0,7.563000000000001
91,0,0,5.930000000000001
92,0,0,5.256
93,0,0,7.5329999999999995
94,0,0,7.326
95,0,0,7.583
96,0,0,7.584
97,0,0,7.58
98,0,0,8.899000000000001
99,0,0,17.1
100,0,0,17.741
101,0,0,17.657
102,0,0,17.709
103,0,0,15.958
104,0,0,7.589
105,0,0,7.5760000000000005
106,0,0,7.236000000000001
107,0,0,3.614
108,0,0,4.078
109,0,0,7.566
110,0,0,7.5680000000000005
111,0,0,7.562
112,0,0,7.566
113,0,0,7.5680000000000005
114,0,0,7.5249999999999995
115,0,0,3.654
116,0,0,7.0280000000000005
117,0,0,7.575
118,0,0,7.572
119,0,0,7.5760000000000005
120,0,0,7.575
121,0,0,7.582
122,0,0,7.58
123,0,0,7.579
124,0,0,7.709
125,0,0,8.13
126,0,0,7.795
127,0,0,8.461
128,0,0,8.559000000000001
129,0,0,7.584
130,0,0,7.32
131,0,0,7.275
132,0,0,6.644
133,0,0,2.9810000000000003
134,0,0,1.8920000000000001
135,0,0,1.849
136,0,0,2.0149999999999997
137,0,0,1.512
138,0,0,6.637
139,0,0,8.895
140,0,0,7.486
141,0,0,7.575
142,0,0,7.819
143,0,0,7.414
144,0,0,7.994
145,0,0,7.499
146,0,0,7.579
147,0,0,8.595
148,0,0,11.088000000000001
