,domestic,commercial,public
0,0,0,27.542
1,0,0,27.283
2,0,0,27.491999999999997
3,0,0,27.802
4,0,0,27.877
5,0,0,27.755
6,0,0,27.75
7,0,0,27.255000000000003
8,0,0,28.375
9,0,0,27.089
10,0,0,27.273
11,0,0,27.25
12,0,0,27.515
13,0,0,27.874
14,0,0,27.256
15,0,0,28.921
16,0,0,28.983999999999998
17,0,0,29.537999999999997
18,0,0,28.709
19,0,0,27.531
20,0,0,27.594
21,0,0,26.841
22,0,0,26.721
23,0,0,27.368
24,0,0,27.622
25,0,0,27.542
26,0,0,27.933
27,0,0,28.330000000000002
28,0,0,27.14
29,0,0,26.922
30,0,0,17.291999999999998
31,0,0,0.258
32,0,0,0.34299999999999997
33,0,0,0.0
34,0,0,0.0
35,0,0,0.0
36,0,0,0.0
37,0,0,0.0
38,0,0,0.0
39,0,0,0.0
40,0,0,0.0
41,0,0,0.0
42,0,0,0.0
43,0,0,26.345
44,0,0,27.376
45,0,0,27.136
46,0,0,27.456
47,0,0,27.509
48,0,0,27.684
49,0,0,26.672
50,0,0,27.105
51,0,0,27.903000000000002
52,0,0,27.096
53,0,0,25.863
54,0,0,26.188
55,0,0,2.877
56,0,0,17.984
57,0,0,27.404
58,0,0,28.132
59,0,0,27.974
60,0,0,26.875
61,0,0,27.989
62,0,0,28.169
63,0,0,28.728
64,0,0,28.511000000000003
65,0,0,28.083000000000002
66,0,0,28.918
67,0,0,27.27
68,0,0,27.54
69,0,0,27.159
70,0,0,27.011
71,0,0,27.539
72,0,0,26.155
73,0,0,26.711
74,0,0,27.534
75,0,0,28.212
76,0,0,27.134999999999998
77,0,0,27.341
78,0,0,24.389
79,0,0,0.0
80,0,0,0.0
81,0,0,0.0
82,0,0,0.776
83,0,0,0.0
84,0,0,3.736
85,0,0,23.409
86,0,0,11.783999999999999
87,0,0,0.0
88,0,0,0.0
89,0,0,0.0
90,0,0,0.0
91,0,0,26.658
92,0,0,26.941
93,0,0,25.159999999999997
94,0,0,26.674
95,0,0,27.713
96,0,0,27.29
97,0,0,26.551000000000002
98,0,0,27.399
99,0,0,26.805
100,0,0,27.341
101,0,0,24.726000000000003
102,0,0,0.0
103,0,0,0.0
104,0,0,10.448
105,0,0,23.916
106,0,0,24.223000000000003
107,0,0,24.633
108,0,0,16.157999999999998
109,0,0,13.29
110,0,0,3.056
111,0,0,0.0
112,0,0,0.0
113,0,0,0.0
114,0,0,7.732
115,0,0,27.312
116,0,0,26.306
117,0,0,26.729
118,0,0,26.569
119,0,0,26.518
120,0,0,26.971999999999998
121,0,0,26.936999999999998
122,0,0,26.77
123,0,0,26.03
124,0,0,26.247
125,0,0,25.686
126,0,0,9.417
127,0,0,0.127
128,0,0,13.774
129,0,0,62.441
130,0,0,41.897999999999996
131,0,0,50.625
132,0,0,27.756
133,0,0,1.565
134,0,0,56.275
135,0,0,14.572
136,0,0,0.0
137,0,0,0.0
138,0,0,0.0
139,0,0,0.0
140,0,0,23.438
141,0,0,26.009999999999998
142,0,0,26.041
143,0,0,26.084
144,0,0,26.479
145,0,0,27.124
146,0,0,26.438
147,0,0,26.38
148,0,0,25.467
149,0,0,26.421
150,0,0,25.937
151,0,0,10.197
152,0,0,24.136000000000003
153,0,0,73.534
154,0,0,101.44
155,0,0,104.343
156,0,0,65.82499999999999
157,0,0,50.838
158,0,0,52.612
159,0,0,51.137
160,0,0,50.596000000000004
161,0,0,50.151
162,0,0,51.277
163,0,0,49.373
164,0,0,50.395
165,0,0,50.196999999999996
166,0,0,48.768
167,0,0,50.26
168,0,0,48.929
169,0,0,49.474
170,0,0,49.418
171,0,0,49.7
172,0,0,49.04
173,0,0,49.532
174,0,0,48.472
175,0,0,47.821000000000005
176,0,0,49.571
177,0,0,49.254
178,0,0,50.94
179,0,0,54.089999999999996
180,0,0,55.912000000000006
181,0,0,53.338
182,0,0,51.869
183,0,0,53.461
184,0,0,51.341
185,0,0,50.999
186,0,0,50.590999999999994
187,0,0,51.68
188,0,0,50.659000000000006
189,0,0,50.315
