,domestic,commercial,public
0,0,0,14.42
1,0,0,16.902
2,0,0,17.687
3,0,0,15.268
4,0,0,18.322000000000003
5,0,0,18.845
6,0,0,19.182000000000002
7,0,0,19.253
8,0,0,19.256
9,0,0,19.130000000000003
10,0,0,16.558
11,0,0,16.913
12,0,0,14.909
13,0,0,12.933
14,0,0,11.965
15,0,0,15.931000000000001
16,0,0,19.23
17,0,0,19.267
18,0,0,19.186999999999998
19,0,0,18.832
20,0,0,13.695
21,0,0,11.566999999999998
22,0,0,11.568
23,0,0,13.053
24,0,0,12.770999999999999
25,0,0,16.389
26,0,0,18.282
27,0,0,15.440000000000001
28,0,0,18.21
29,0,0,19.094
30,0,0,19.256
31,0,0,19.249
32,0,0,19.186999999999998
33,0,0,18.569
34,0,0,15.605
35,0,0,17.121000000000002
36,0,0,13.733
37,0,0,12.129
38,0,0,16.301
39,0,0,19.15
40,0,0,19.212
41,0,0,19.273
42,0,0,19.223
43,0,0,18.506999999999998
44,0,0,19.144000000000002
45,0,0,17.621000000000002
46,0,0,12.527
47,0,0,11.245
48,0,0,12.334
49,0,0,13.413
50,0,0,14.174000000000001
51,0,0,17.636
52,0,0,16.477999999999998
53,0,0,16.077
54,0,0,18.043
55,0,0,27.447
56,0,0,42.016
57,0,0,45.879000000000005
58,0,0,46.771
59,0,0,42.184
60,0,0,45.379999999999995
61,0,0,26.262
62,0,0,35.666999999999994
63,0,0,59.126
64,0,0,68.011
65,0,0,29.475
66,0,0,41.370999999999995
67,0,0,37.848
68,0,0,25.115
69,0,0,20.906000000000002
70,0,0,19.511
71,0,0,17.658
72,0,0,16.060000000000002
73,0,0,15.741999999999999
74,0,0,18.151
75,0,0,18.839000000000002
76,0,0,19.485
77,0,0,19.756
78,0,0,31.418000000000003
79,0,0,60.242999999999995
80,0,0,52.331999999999994
81,0,0,47.631
82,0,0,42.501
83,0,0,40.425999999999995
84,0,0,36.498999999999995
85,0,0,35.467
86,0,0,51.501
87,0,0,45.643
88,0,0,37.193
89,0,0,41.068
90,0,0,29.138
91,0,0,32.516000000000005
92,0,0,37.155
93,0,0,38.457
94,0,0,40.282
95,0,0,39.396
96,0,0,30.075999999999997
97,0,0,30.727999999999998
98,0,0,28.404
99,0,0,25.237
100,0,0,23.08
101,0,0,21.599
102,0,0,26.848
103,0,0,39.628
104,0,0,32.436
105,0,0,31.026
106,0,0,33.076
107,0,0,50.73
108,0,0,53.219
109,0,0,45.056
110,0,0,66.993
111,0,0,89.25800000000001
112,0,0,34.224
113,0,0,37.808
114,0,0,29.49
115,0,0,28.362
116,0,0,25.649
117,0,0,20.066
118,0,0,20.144
119,0,0,19.261
120,0,0,17.788999999999998
121,0,0,16.108
122,0,0,15.983
123,0,0,16.549999999999997
124,0,0,19.042
125,0,0,19.039
126,0,0,25.97
127,0,0,58.145
128,0,0,81.775
129,0,0,86.29199999999999
130,0,0,59.202
131,0,0,44.807
132,0,0,69.113
133,0,0,56.419
134,0,0,61.574999999999996
135,0,0,54.46
136,0,0,47.131
137,0,0,41.064
138,0,0,22.459
139,0,0,20.387
140,0,0,20.070999999999998
141,0,0,18.592000000000002
142,0,0,17.875
143,0,0,17.787
144,0,0,18.588
145,0,0,17.498
146,0,0,17.586000000000002
147,0,0,18.999
148,0,0,19.483
149,0,0,19.814
150,0,0,44.677
151,0,0,71.827
152,0,0,104.944
153,0,0,98.69600000000001
154,0,0,74.235
155,0,0,50.092999999999996
156,0,0,50.933
157,0,0,59.858000000000004
158,0,0,81.25200000000001
159,0,0,67.869
160,0,0,96.058
161,0,0,192.06799999999998
162,0,0,157.833
163,0,0,33.567
164,0,0,41.22
165,0,0,38.202
166,0,0,31.52
167,0,0,24.855999999999998
168,0,0,24.421000000000003
169,0,0,24.423000000000002
170,0,0,23.384999999999998
171,0,0,23.776
172,0,0,27.999
173,0,0,29.939
174,0,0,28.583000000000002
175,0,0,30.758
176,0,0,28.86
177,0,0,58.342999999999996
178,0,0,29.166
179,0,0,22.741
180,0,0,16.676
181,0,0,11.846
182,0,0,11.847
183,0,0,19.192
184,0,0,20.641
185,0,0,42.8
186,0,0,62.477
187,0,0,31.163
188,0,0,30.785
189,0,0,29.78
190,0,0,26.105
191,0,0,22.288
192,0,0,21.767000000000003
193,0,0,21.356
194,0,0,22.419
195,0,0,26.093
196,0,0,28.101000000000003
197,0,0,28.586
198,0,0,30.556
199,0,0,36.182
200,0,0,41.153
201,0,0,25.758
202,0,0,24.796
203,0,0,24.57
204,0,0,21.656000000000002
205,0,0,28.087999999999997
206,0,0,34.913
207,0,0,28.09
208,0,0,94.653
209,0,0,96.665
210,0,0,64.259
211,0,0,31.085
212,0,0,29.904
213,0,0,26.072000000000003
214,0,0,24.419
215,0,0,23.293000000000003
216,0,0,22.984
217,0,0,24.750999999999998
218,0,0,27.514
219,0,0,29.132
220,0,0,28.242
221,0,0,29.75
222,0,0,115.048
223,0,0,207.10899999999998
224,0,0,210.447
225,0,0,169.36100000000002
226,0,0,99.25
227,0,0,61.150000000000006
228,0,0,57.605999999999995
229,0,0,64.458
230,0,0,73.28
231,0,0,120.911
232,0,0,129.392
233,0,0,101.30799999999999
234,0,0,186.027
235,0,0,102.48599999999999
236,0,0,89.95
237,0,0,75.38499999999999
238,0,0,69.673
239,0,0,72.157
240,0,0,68.268
241,0,0,58.872
242,0,0,53.303999999999995
243,0,0,51.749
244,0,0,52.519999999999996
245,0,0,57.609
246,0,0,210.18800000000002
247,0,0,321.50600000000003
248,0,0,316.459
249,0,0,255.612
250,0,0,149.29899999999998
251,0,0,94.476
252,0,0,46.926
253,0,0,58.661
254,0,0,68.51599999999999
255,0,0,127.946
256,0,0,122.813
257,0,0,108.788
258,0,0,118.518
259,0,0,76.194
260,0,0,69.986
261,0,0,72.453
262,0,0,70.733
263,0,0,61.865
264,0,0,54.498
265,0,0,54.535
266,0,0,61.156
267,0,0,56.866
268,0,0,52.961
269,0,0,55.264
270,0,0,196.112
271,0,0,131.248
272,0,0,48.733
273,0,0,24.788
274,0,0,12.809
275,0,0,22.209
276,0,0,30.616
277,0,0,38.138999999999996
278,0,0,98.83
279,0,0,118.051
280,0,0,83.216
281,0,0,51.202
282,0,0,126.00200000000001
283,0,0,130.339
284,0,0,158.194
285,0,0,126.59400000000001
286,0,0,116.48899999999999
287,0,0,100.565
288,0,0,95.163
289,0,0,88.409
290,0,0,84.271
291,0,0,83.08
292,0,0,80.391
293,0,0,84.98400000000001
294,0,0,245.145
295,0,0,195.709
296,0,0,103.94200000000001
297,0,0,81.12
298,0,0,54.519
299,0,0,56.986000000000004
300,0,0,58.996
301,0,0,43.056999999999995
302,0,0,83.68
303,0,0,58.702
304,0,0,72.762
305,0,0,127.081
306,0,0,154.56900000000002
307,0,0,173.02
308,0,0,187.102
309,0,0,160.864
310,0,0,184.79000000000002
311,0,0,206.30499999999998
312,0,0,194.09199999999998
313,0,0,185.64600000000002
314,0,0,166.458
315,0,0,155.78900000000002
316,0,0,149.46
317,0,0,144.981
318,0,0,154.401
319,0,0,131.863
320,0,0,146.958
321,0,0,96.149
322,0,0,46.955999999999996
323,0,0,39.236
324,0,0,49.042
325,0,0,67.46000000000001
326,0,0,95.89
327,0,0,103.252
328,0,0,64.455
329,0,0,53.703
330,0,0,86.83399999999999
331,0,0,67.94
332,0,0,168.678
333,0,0,94.262
334,0,0,99.121
335,0,0,104.05799999999999
336,0,0,109.543
337,0,0,103.722
338,0,0,88.838
339,0,0,76.097
340,0,0,75.992
341,0,0,68.576
342,0,0,61.405
343,0,0,75.306
344,0,0,59.672000000000004
345,0,0,19.692
346,0,0,21.625
347,0,0,19.283
348,0,0,19.294999999999998
349,0,0,19.736
350,0,0,22.578
351,0,0,54.346
352,0,0,64.79799999999999
353,0,0,76.465
354,0,0,96.264
355,0,0,63.68
356,0,0,67.53099999999999
357,0,0,71.618
358,0,0,81.37700000000001
359,0,0,86.30699999999999
360,0,0,91.38300000000001
361,0,0,92.405
362,0,0,86.863
363,0,0,80.399
364,0,0,72.45
365,0,0,67.613
366,0,0,65.53
367,0,0,69.729
368,0,0,73.604
369,0,0,90.777
370,0,0,90.08099999999999
371,0,0,125.716
372,0,0,182.77599999999998
373,0,0,120.81400000000001
374,0,0,150.563
375,0,0,119.946
376,0,0,90.64999999999999
377,0,0,102.825
378,0,0,107.94
379,0,0,104.87100000000001
380,0,0,75.892
381,0,0,81.67099999999999
382,0,0,85.051
383,0,0,88.584
384,0,0,91.005
385,0,0,91.86999999999999
386,0,0,86.55699999999999
387,0,0,81.206
388,0,0,74.684
389,0,0,67.851
390,0,0,196.78
391,0,0,160.08700000000002
392,0,0,74.864
393,0,0,69.872
394,0,0,122.622
395,0,0,99.76400000000001
396,0,0,49.391
397,0,0,38.782
398,0,0,29.966
399,0,0,36.433
400,0,0,23.571
401,0,0,78.551
402,0,0,101.221
403,0,0,61.295
404,0,0,61.002
405,0,0,48.299
406,0,0,145.153
407,0,0,130.373
408,0,0,115.093
409,0,0,98.183
410,0,0,87.161
411,0,0,83.92099999999999
412,0,0,77.795
413,0,0,78.849
414,0,0,145.448
415,0,0,366.19800000000004
416,0,0,389.99899999999997
417,0,0,328.18399999999997
418,0,0,177.503
419,0,0,54.437
