,domestic,commercial,public
0,0,0,57.289
1,0,0,56.868
2,0,0,43.342999999999996
3,0,0,38.788000000000004
4,0,0,45.54
5,0,0,47.573
6,0,0,44.067
7,0,0,37.023
8,0,0,48.738
9,0,0,58.024
10,0,0,66.516
11,0,0,45.168
12,0,0,39.068
13,0,0,46.689
14,0,0,55.506
15,0,0,57.901
16,0,0,58.253
17,0,0,54.911
18,0,0,56.279999999999994
19,0,0,58.486000000000004
20,0,0,52.414
21,0,0,42.844
22,0,0,37.328
23,0,0,45.046
24,0,0,53.42
25,0,0,52.96
26,0,0,51.556
27,0,0,35.871
28,0,0,43.125
29,0,0,46.508
30,0,0,40.791000000000004
31,0,0,35.791000000000004
32,0,0,44.538000000000004
33,0,0,52.296
34,0,0,57.505
35,0,0,46.048
36,0,0,40.99
37,0,0,54.461000000000006
38,0,0,52.837
39,0,0,45.815000000000005
40,0,0,46.940999999999995
41,0,0,45.282000000000004
42,0,0,48.663
43,0,0,52.669000000000004
44,0,0,59.282000000000004
45,0,0,48.02
46,0,0,41.472
47,0,0,34.192
48,0,0,44.872
49,0,0,55.113
50,0,0,57.094
51,0,0,40.302
52,0,0,35.358000000000004
53,0,0,36.442
54,0,0,38.038000000000004
55,0,0,38.076
56,0,0,44.292
57,0,0,56.576
58,0,0,52.604
59,0,0,41.812000000000005
60,0,0,52.287
61,0,0,66.479
62,0,0,58.666999999999994
63,0,0,44.341
64,0,0,43.247
65,0,0,49.007000000000005
66,0,0,48.7
67,0,0,53.699999999999996
68,0,0,57.668
69,0,0,51.379
70,0,0,42.645
71,0,0,36.418
72,0,0,49.743
73,0,0,52.814
74,0,0,51.62
75,0,0,42.138000000000005
76,0,0,39.239999999999995
77,0,0,38.905
78,0,0,53.498999999999995
79,0,0,19.116
80,0,0,16.524
81,0,0,19.361
82,0,0,16.471
83,0,0,14.850999999999999
84,0,0,17.693
85,0,0,15.441
86,0,0,12.853
87,0,0,12.857999999999999
88,0,0,14.753
89,0,0,15.186
90,0,0,12.257
91,0,0,12.34
92,0,0,21.576999999999998
93,0,0,34.378
94,0,0,42.219
95,0,0,31.995
96,0,0,23.544
97,0,0,26.19
98,0,0,29.804000000000002
99,0,0,34.537
100,0,0,31.141
101,0,0,34.156
102,0,0,31.822000000000003
103,0,0,35.166000000000004
104,0,0,37.735
105,0,0,57.126000000000005
106,0,0,55.521
107,0,0,37.539
108,0,0,22.418
109,0,0,27.036
110,0,0,37.379999999999995
111,0,0,73.31400000000001
112,0,0,16.458000000000002
113,0,0,19.098
114,0,0,53.573
115,0,0,101.12400000000001
116,0,0,87.31800000000001
117,0,0,78.519
118,0,0,68.175
119,0,0,54.218
120,0,0,39.512
121,0,0,43.067
122,0,0,41.49
123,0,0,60.635
124,0,0,50.590999999999994
125,0,0,52.518
126,0,0,52.398
127,0,0,41.529999999999994
128,0,0,55.573
129,0,0,44.076
130,0,0,40.391000000000005
131,0,0,40.073
132,0,0,22.246
133,0,0,12.099
134,0,0,22.875
135,0,0,21.464000000000002
136,0,0,17.347
137,0,0,21.168
138,0,0,27.663
139,0,0,110.352
140,0,0,89.661
141,0,0,96.50200000000001
142,0,0,76.159
143,0,0,66.455
144,0,0,58.656
145,0,0,53.631
146,0,0,47.603
147,0,0,68.678
148,0,0,76.526
149,0,0,74.519
150,0,0,67.068
151,0,0,47.629999999999995
152,0,0,31.433999999999997
153,0,0,50.96
154,0,0,55.352
155,0,0,44.581
156,0,0,32.550000000000004
157,0,0,35.625
158,0,0,55.204
159,0,0,44.833
160,0,0,21.214
161,0,0,21.208000000000002
162,0,0,56.510999999999996
163,0,0,70.41
164,0,0,58.62
165,0,0,61.123
166,0,0,85.684
167,0,0,66.232
168,0,0,76.533
169,0,0,76.132
170,0,0,62.447
171,0,0,57.112
172,0,0,54.727
173,0,0,47.52
174,0,0,44.599
175,0,0,44.614000000000004
176,0,0,59.564
177,0,0,65.747
178,0,0,49.184
179,0,0,24.874
180,0,0,51.059
181,0,0,74.253
182,0,0,58.451
183,0,0,51.572
184,0,0,39.512
185,0,0,37.778
186,0,0,51.642
187,0,0,80.735
188,0,0,92.296
189,0,0,56.226
190,0,0,41.975
191,0,0,64.084
192,0,0,68.745
193,0,0,58.077
194,0,0,53.229
195,0,0,40.749
196,0,0,39.625
197,0,0,37.137
198,0,0,34.375
199,0,0,34.526
200,0,0,40.189
201,0,0,51.555
202,0,0,69.96
203,0,0,52.245
204,0,0,48.273
205,0,0,75.35799999999999
206,0,0,78.264
207,0,0,59.496
208,0,0,41.293000000000006
209,0,0,49.655
210,0,0,53.282000000000004
211,0,0,133.98399999999998
212,0,0,98.184
213,0,0,92.82700000000001
214,0,0,51.27
215,0,0,64.468
216,0,0,71.321
217,0,0,79.714
218,0,0,85.214
219,0,0,56.46
220,0,0,56.23800000000001
221,0,0,50.566
222,0,0,45.363
223,0,0,43.288
224,0,0,56.796
225,0,0,70.381
226,0,0,55.385
227,0,0,27.488
228,0,0,0.0
229,0,0,41.9787999999999
230,0,0,46.0441
231,0,0,44.8528333333333
232,0,0,37.105199999999996
233,0,0,36.483399999999996
234,0,0,14.765
235,0,0,116.888
236,0,0,137.469
237,0,0,114.74
238,0,0,60.949000000000005
239,0,0,48.671
240,0,0,54.832
241,0,0,65.42699999999999
242,0,0,72.116
243,0,0,74.127
244,0,0,58.207
245,0,0,58.312999999999995
246,0,0,22.858
247,0,0,0.0
248,0,0,41.5929
249,0,0,19.551
250,0,0,24.060000000000002
251,0,0,56.465
252,0,0,20.296000000000003
253,0,0,16.954
254,0,0,31.473000000000003
255,0,0,19.136
256,0,0,12.215
257,0,0,10.14
258,0,0,10.183
259,0,0,11.639
260,0,0,17.776
261,0,0,17.138
262,0,0,14.68
263,0,0,13.703999999999999
264,0,0,15.703000000000001
265,0,0,17.155
266,0,0,18.044
267,0,0,16.853
268,0,0,15.617
269,0,0,14.515
270,0,0,14.347999999999999
271,0,0,18.212
272,0,0,28.441000000000003
273,0,0,40.876000000000005
274,0,0,35.448
275,0,0,13.498
276,0,0,12.693
277,0,0,16.417
278,0,0,13.708
279,0,0,13.394
280,0,0,20.788
281,0,0,11.544
282,0,0,10.147
283,0,0,13.024000000000001
284,0,0,17.559
285,0,0,15.601
286,0,0,12.917
287,0,0,11.22
288,0,0,14.108
289,0,0,17.203
290,0,0,17.459
291,0,0,12.885
292,0,0,14.51
293,0,0,15.622
294,0,0,18.360000000000003
295,0,0,16.032
296,0,0,35.702999999999996
297,0,0,47.211999999999996
298,0,0,46.553
299,0,0,48.543000000000006
300,0,0,26.335
301,0,0,16.72
302,0,0,38.551
303,0,0,30.616999999999997
304,0,0,13.350000000000001
305,0,0,10.856
306,0,0,10.189
307,0,0,10.656
308,0,0,12.049000000000001
309,0,0,17.006
310,0,0,16.25
311,0,0,12.187
312,0,0,12.148000000000001
313,0,0,17.02
314,0,0,17.416
315,0,0,12.795000000000002
316,0,0,12.59
317,0,0,11.089
318,0,0,12.616
319,0,0,13.943000000000001
320,0,0,16.059
321,0,0,46.537
322,0,0,14.556
323,0,0,34.902
324,0,0,34.147999999999996
325,0,0,26.355
326,0,0,22.793
327,0,0,39.284
328,0,0,35.568000000000005
329,0,0,19.849
330,0,0,19.714
331,0,0,25.215
332,0,0,34.241
333,0,0,44.341
334,0,0,51.371
335,0,0,44.37
336,0,0,38.118
337,0,0,34.602000000000004
338,0,0,44.795
339,0,0,51.579
340,0,0,51.067
341,0,0,56.187
342,0,0,52.369
343,0,0,56.759
344,0,0,56.784
345,0,0,38.599000000000004
346,0,0,28.604
347,0,0,39.966
348,0,0,32.093999999999994
349,0,0,24.042
350,0,0,27.467
351,0,0,27.675
352,0,0,34.012
353,0,0,41.986999999999995
354,0,0,54.339
355,0,0,29.793
356,0,0,36.193999999999996
357,0,0,43.426
358,0,0,50.287
359,0,0,49.577999999999996
360,0,0,46.512
361,0,0,39.347
362,0,0,37.464999999999996
363,0,0,44.111
364,0,0,33.195
365,0,0,37.058
366,0,0,38.448
367,0,0,39.791
368,0,0,40.412
369,0,0,53.867
370,0,0,56.107
371,0,0,47.317
372,0,0,37.818
373,0,0,36.717
374,0,0,32.943
375,0,0,44.838
376,0,0,36.147
377,0,0,29.531000000000002
378,0,0,35.471999999999994
379,0,0,60.172999999999995
380,0,0,54.542
381,0,0,83.193
382,0,0,57.451
383,0,0,26.458
384,0,0,27.824
385,0,0,31.996999999999996
386,0,0,38.25
387,0,0,37.792
388,0,0,32.953
389,0,0,26.71
390,0,0,25.599
391,0,0,28.915
392,0,0,48.429
393,0,0,64.65
394,0,0,45.144999999999996
395,0,0,74.147
396,0,0,68.77999999999999
397,0,0,42.105
398,0,0,62.385999999999996
399,0,0,53.326
400,0,0,31.488000000000003
401,0,0,30.291999999999998
402,0,0,18.991999999999997
403,0,0,33.809
404,0,0,36.546
405,0,0,24.032999999999998
406,0,0,18.875
407,0,0,22.499000000000002
408,0,0,15.054
409,0,0,22.793999999999997
410,0,0,22.921
411,0,0,23.137
412,0,0,26.803
413,0,0,29.349
414,0,0,28.578
415,0,0,45.35
416,0,0,58.872
417,0,0,35.187000000000005
418,0,0,53.492
419,0,0,32.025999999999996
420,0,0,26.603
421,0,0,40.992
422,0,0,70.39399999999999
423,0,0,44.553000000000004
424,0,0,42.8
425,0,0,45.599000000000004
426,0,0,33.914
427,0,0,46.486
428,0,0,36.466
429,0,0,43.119
430,0,0,40.332
431,0,0,32.689
432,0,0,28.261000000000003
433,0,0,22.453999999999997
434,0,0,15.274
435,0,0,18.686999999999998
436,0,0,18.174
437,0,0,24.895
438,0,0,23.737000000000002
439,0,0,20.706
440,0,0,26.557000000000002
441,0,0,25.158
442,0,0,33.289
443,0,0,38.688
444,0,0,31.891000000000002
445,0,0,26.048000000000002
446,0,0,35.235
447,0,0,46.932
448,0,0,35.958
449,0,0,30.46
450,0,0,30.16
451,0,0,31.129
452,0,0,40.82
453,0,0,35.1
454,0,0,29.926000000000002
455,0,0,35.36
456,0,0,17.657
457,0,0,13.93
458,0,0,33.004
459,0,0,24.147
460,0,0,26.168
461,0,0,38.445
462,0,0,42.129
463,0,0,33.039
464,0,0,68.385
465,0,0,59.887
466,0,0,61.032000000000004
467,0,0,67.089
468,0,0,78.038
469,0,0,48.584
470,0,0,48.271
471,0,0,38.982
472,0,0,47.239000000000004
473,0,0,48.59
474,0,0,35.321
475,0,0,58.028999999999996
476,0,0,74.85600000000001
477,0,0,59.251
478,0,0,54.873
479,0,0,60.824999999999996
480,0,0,44.214000000000006
481,0,0,17.612
482,0,0,4.502
483,0,0,15.232000000000001
484,0,0,17.259
485,0,0,27.217000000000002
486,0,0,31.319
487,0,0,30.061
488,0,0,47.196000000000005
489,0,0,63.127
490,0,0,52.939
491,0,0,54.115
492,0,0,36.693999999999996
493,0,0,41.034
494,0,0,34.652
495,0,0,33.141999999999996
496,0,0,32.29
497,0,0,28.905
498,0,0,27.88
499,0,0,107.33099999999999
500,0,0,69.64
501,0,0,49.248
502,0,0,57.061
503,0,0,61.417
504,0,0,50.618
505,0,0,32.315000000000005
506,0,0,32.052
507,0,0,36.675
508,0,0,33.103
509,0,0,32.981
510,0,0,34.29900000000001
511,0,0,31.621999999999996
512,0,0,46.292
513,0,0,41.368
514,0,0,38.894
515,0,0,37.031
516,0,0,42.213
517,0,0,65.12700000000001
518,0,0,31.476999999999997
519,0,0,26.503
520,0,0,30.203
521,0,0,34.156
522,0,0,29.081
523,0,0,52.738
524,0,0,67.219
525,0,0,72.95400000000001
526,0,0,34.928
527,0,0,45.324999999999996
528,0,0,34.832
529,0,0,21.309
530,0,0,49.781
531,0,0,59.557
532,0,0,65.52
533,0,0,57.300999999999995
534,0,0,33.721000000000004
535,0,0,30.741999999999997
536,0,0,43.461
537,0,0,31.042
538,0,0,44.142
539,0,0,40.010999999999996
540,0,0,43.79
541,0,0,79.645
542,0,0,66.826
543,0,0,53.699
544,0,0,46.593
545,0,0,44.358000000000004
546,0,0,45.344
547,0,0,93.734
548,0,0,72.49600000000001
549,0,0,63.766000000000005
550,0,0,34.056000000000004
551,0,0,68.14
552,0,0,44.263
553,0,0,33.599
554,0,0,44.049
555,0,0,43.375
556,0,0,55.184999999999995
557,0,0,54.635999999999996
558,0,0,42.657000000000004
559,0,0,30.22
560,0,0,35.98500000000001
561,0,0,31.951
562,0,0,50.846000000000004
563,0,0,189.405
564,0,0,168.744
565,0,0,178.895
566,0,0,159.73499999999999
567,0,0,82.631
568,0,0,48.721000000000004
569,0,0,34.293
570,0,0,27.192999999999998
571,0,0,107.892
572,0,0,97.473
573,0,0,51.495
574,0,0,44.848
575,0,0,44.041999999999994
576,0,0,52.509
577,0,0,56.438
578,0,0,40.787
579,0,0,29.791999999999998
580,0,0,27.116
581,0,0,34.765
582,0,0,39.708
583,0,0,27.721
584,0,0,22.709
585,0,0,45.843
586,0,0,63.986000000000004
587,0,0,47.388
588,0,0,26.99
589,0,0,26.24
590,0,0,47.942
591,0,0,44.086
592,0,0,29.791
593,0,0,27.584
594,0,0,18.237
595,0,0,52.865
596,0,0,90.09100000000001
597,0,0,78.616
598,0,0,57.964
599,0,0,48.09
600,0,0,59.932
601,0,0,72.674
602,0,0,68.386
603,0,0,52.092
604,0,0,54.553
605,0,0,59.608000000000004
606,0,0,55.635999999999996
607,0,0,34.913
608,0,0,30.675
609,0,0,25.916
610,0,0,33.049
611,0,0,69.701
612,0,0,66.62899999999999
613,0,0,30.673
614,0,0,34.908
615,0,0,58.944
616,0,0,43.865
617,0,0,33.055
618,0,0,48.711
619,0,0,49.163
620,0,0,52.997
621,0,0,50.344
622,0,0,57.137
623,0,0,98.521
624,0,0,99.198
625,0,0,60.962
626,0,0,49.592
627,0,0,34.448
628,0,0,27.452
629,0,0,26.698
630,0,0,25.255
631,0,0,40.775999999999996
632,0,0,70.601
633,0,0,63.359
634,0,0,38.041
635,0,0,39.056
636,0,0,23.874
637,0,0,21.332
638,0,0,60.809000000000005
639,0,0,70.638
640,0,0,56.692
641,0,0,77.082
642,0,0,33.286
643,0,0,57.914
