,domestic,commercial,public
0,0,0,16.369999999999997
1,0,0,10.614
2,0,0,11.535
3,0,0,12.543000000000001
4,0,0,16.459999999999997
5,0,0,17.024
6,0,0,17.421
7,0,0,16.601000000000003
8,0,0,11.568
9,0,0,15.871
10,0,0,17.132
11,0,0,15.530000000000001
12,0,0,10.565
13,0,0,12.734
14,0,0,17.187
15,0,0,16.274
16,0,0,11.682
17,0,0,10.144
18,0,0,13.463
19,0,0,10.099
20,0,0,10.147
21,0,0,11.102
22,0,0,15.225000000000001
23,0,0,17.17
24,0,0,16.541
25,0,0,11.325
26,0,0,10.821000000000002
27,0,0,12.456999999999999
28,0,0,14.164
29,0,0,16.991
30,0,0,17.467
31,0,0,16.349
32,0,0,10.902000000000001
33,0,0,14.241
34,0,0,19.541
35,0,0,20.075
36,0,0,17.48
37,0,0,24.725
38,0,0,19.646
39,0,0,11.633
40,0,0,27.043999999999997
41,0,0,24.722
42,0,0,23.116999999999997
43,0,0,13.613
44,0,0,10.355
45,0,0,10.283999999999999
46,0,0,12.783
47,0,0,16.512999999999998
48,0,0,17.365
49,0,0,16.796
50,0,0,12.158999999999999
51,0,0,11.862
52,0,0,12.831999999999999
53,0,0,16.625
54,0,0,17.155
55,0,0,15.33
56,0,0,11.072000000000001
57,0,0,11.202
58,0,0,15.782
59,0,0,15.712
60,0,0,14.407
61,0,0,10.695
62,0,0,10.484
63,0,0,14.888
64,0,0,17.207
65,0,0,17.211000000000002
66,0,0,12.811
67,0,0,9.975
68,0,0,10.227
69,0,0,11.23
70,0,0,16.051
71,0,0,15.737000000000002
72,0,0,11.027000000000001
73,0,0,12.369
74,0,0,15.945
75,0,0,16.541
76,0,0,16.907
77,0,0,17.483999999999998
78,0,0,17.457
79,0,0,17.343999999999998
80,0,0,15.495
81,0,0,11.318
82,0,0,15.178
83,0,0,14.801
84,0,0,10.104000000000001
85,0,0,15.555
86,0,0,17.281000000000002
87,0,0,11.851
88,0,0,9.856
89,0,0,9.976
90,0,0,13.634
91,0,0,14.772
92,0,0,11.228
93,0,0,10.024999999999999
94,0,0,10.446
95,0,0,12.741999999999999
96,0,0,16.945999999999998
97,0,0,17.059
98,0,0,15.377
99,0,0,11.195
100,0,0,10.489
101,0,0,11.627
102,0,0,15.428
103,0,0,20.660999999999998
104,0,0,15.073
105,0,0,14.756
106,0,0,11.639999999999999
107,0,0,8.516
108,0,0,16.35
109,0,0,15.604
110,0,0,10.238000000000001
111,0,0,12.257
112,0,0,14.799
113,0,0,17.285999999999998
114,0,0,15.346
115,0,0,10.024
116,0,0,10.067
117,0,0,10.606000000000002
118,0,0,12.357999999999999
119,0,0,15.616
120,0,0,17.651
121,0,0,17.211000000000002
122,0,0,14.912999999999998
123,0,0,18.185
124,0,0,22.796
125,0,0,20.444
126,0,0,17.269
127,0,0,20.983
128,0,0,19.237000000000002
129,0,0,19.086
130,0,0,18.625
131,0,0,15.905
132,0,0,17.343
133,0,0,15.712
134,0,0,14.992
135,0,0,15.947
136,0,0,14.284
137,0,0,21.345
138,0,0,21.916
139,0,0,18.122
140,0,0,16.723
141,0,0,16.741
142,0,0,16.639
143,0,0,15.841000000000001
144,0,0,16.494000000000003
145,0,0,15.915
146,0,0,18.197000000000003
147,0,0,20.229
148,0,0,23.114
149,0,0,23.035
150,0,0,25.117
151,0,0,19.241
152,0,0,17.076999999999998
153,0,0,17.955
154,0,0,21.226
155,0,0,20.587999999999997
156,0,0,16.947
157,0,0,14.987
158,0,0,16.251
159,0,0,13.205
160,0,0,14.346
161,0,0,12.961
162,0,0,16.683
163,0,0,20.732
164,0,0,18.381
165,0,0,17.714000000000002
166,0,0,16.676
167,0,0,15.682000000000002
168,0,0,15.581
169,0,0,15.858
170,0,0,18.573
171,0,0,20.983999999999998
172,0,0,22.286
173,0,0,21.499000000000002
174,0,0,18.794999999999998
175,0,0,20.035
176,0,0,22.208
177,0,0,18.275
178,0,0,16.332
179,0,0,19.347
180,0,0,20.303
181,0,0,14.291
182,0,0,16.613
183,0,0,17.96
184,0,0,19.471
185,0,0,19.168999999999997
186,0,0,16.317
187,0,0,14.706999999999999
188,0,0,20.652
189,0,0,21.426000000000002
190,0,0,18.549
191,0,0,16.834
192,0,0,15.878
193,0,0,14.67
194,0,0,16.698999999999998
195,0,0,22.297
196,0,0,23.471
197,0,0,21.624000000000002
198,0,0,21.149
199,0,0,22.395000000000003
200,0,0,21.217
201,0,0,15.450000000000001
202,0,0,16.912
203,0,0,20.601000000000003
204,0,0,19.871
205,0,0,14.943
206,0,0,15.037
207,0,0,18.585
208,0,0,18.955
209,0,0,17.581
210,0,0,15.241
211,0,0,18.587
212,0,0,21.378999999999998
213,0,0,21.277
214,0,0,20.823
215,0,0,16.92
216,0,0,15.746
217,0,0,16.069
218,0,0,17.076
219,0,0,22.093
220,0,0,23.721
221,0,0,22.721999999999998
222,0,0,19.121
223,0,0,18.691
224,0,0,13.689
225,0,0,11.865
226,0,0,14.418999999999999
227,0,0,16.365000000000002
228,0,0,16.650000000000002
229,0,0,10.059000000000001
230,0,0,11.931000000000001
231,0,0,14.087
232,0,0,10.803999999999998
233,0,0,11.138
234,0,0,14.219000000000001
235,0,0,12.059999999999999
236,0,0,9.977
237,0,0,10.359
238,0,0,11.728
239,0,0,16.808
240,0,0,17.162
241,0,0,15.482
242,0,0,10.775
243,0,0,10.36
244,0,0,11.700999999999999
245,0,0,13.237
246,0,0,16.331
247,0,0,22.678
248,0,0,18.125
249,0,0,16.598000000000003
250,0,0,16.415
251,0,0,17.753
252,0,0,14.751999999999999
253,0,0,10.474
254,0,0,14.341
255,0,0,16.183
256,0,0,15.324000000000002
257,0,0,15.392
258,0,0,13.325999999999999
