,domestic,commercial,public
0,0,0,66.934
1,0,0,75.82300000000001
2,0,0,79.028
3,0,0,74.654
4,0,0,63.370999999999995
5,0,0,57.684
6,0,0,56.704
7,0,0,58.885
8,0,0,46.541
9,0,0,19.21
10,0,0,20.839
11,0,0,15.718
12,0,0,11.574
13,0,0,10.055
14,0,0,12.235
15,0,0,15.282
16,0,0,16.502
17,0,0,17.434
18,0,0,18.424
19,0,0,11.759
20,0,0,36.958
21,0,0,54.760000000000005
22,0,0,53.652
23,0,0,61.454
24,0,0,68.965
25,0,0,76.036
26,0,0,78.918
27,0,0,70.79199999999999
28,0,0,62.419000000000004
29,0,0,56.982
30,0,0,51.933
31,0,0,45.129000000000005
32,0,0,45.17
33,0,0,19.959999999999997
34,0,0,20.485
35,0,0,16.199
36,0,0,11.689
37,0,0,11.482
38,0,0,15.177
39,0,0,12.45
40,0,0,17.924
41,0,0,17.346
42,0,0,24.549000000000003
43,0,0,44.523
44,0,0,46.058
45,0,0,54.695
46,0,0,55.550000000000004
47,0,0,62.370000000000005
48,0,0,72.081
49,0,0,77.982
50,0,0,71.25
51,0,0,65.592
52,0,0,57.726
53,0,0,55.794000000000004
54,0,0,51.99
55,0,0,36.568999999999996
56,0,0,13.318999999999999
57,0,0,16.205000000000002
58,0,0,21.424
59,0,0,15.234
60,0,0,10.915
61,0,0,12.222999999999999
62,0,0,13.553
63,0,0,17.357
64,0,0,15.89
65,0,0,17.185
66,0,0,18.165
67,0,0,76.697
68,0,0,65.189
69,0,0,59.089000000000006
70,0,0,52.614000000000004
71,0,0,58.423
72,0,0,67.433
73,0,0,76.664
74,0,0,78.82799999999999
75,0,0,68.28099999999999
76,0,0,58.567
77,0,0,55.186
78,0,0,51.916
79,0,0,25.227
80,0,0,27.845000000000002
81,0,0,37.238
82,0,0,55.048
83,0,0,58.379
84,0,0,30.86
85,0,0,10.916
86,0,0,71.512
87,0,0,108.282
88,0,0,26.483
89,0,0,21.75
90,0,0,19.391
91,0,0,55.055
92,0,0,62.369
93,0,0,75.92
94,0,0,60.716
95,0,0,54.291
96,0,0,53.982
97,0,0,62.241
98,0,0,67.221
99,0,0,72.223
100,0,0,78.447
101,0,0,75.294
102,0,0,55.048
103,0,0,64.94900000000001
104,0,0,427.066
105,0,0,117.287
106,0,0,108.652
107,0,0,102.085
108,0,0,91.947
109,0,0,94.869
110,0,0,88.39800000000001
111,0,0,95.73700000000001
112,0,0,110.67299999999999
113,0,0,109.769
114,0,0,133.746
115,0,0,172.328
116,0,0,157.12300000000002
117,0,0,181.656
118,0,0,173.854
119,0,0,169.352
120,0,0,174.187
121,0,0,185.979
122,0,0,189.12599999999998
123,0,0,207.60999999999999
124,0,0,210.91899999999998
125,0,0,219.917
126,0,0,220.13
127,0,0,112.74000000000001
128,0,0,73.12299999999999
129,0,0,40.695
130,0,0,134.995
131,0,0,109.29700000000001
132,0,0,64.39
133,0,0,10.664
134,0,0,14.729000000000001
135,0,0,15.011999999999999
136,0,0,13.605
137,0,0,16.933
138,0,0,40.533
139,0,0,40.275999999999996
140,0,0,45.486
141,0,0,53.739000000000004
142,0,0,53.105
143,0,0,57.466
144,0,0,60.858000000000004
145,0,0,63.142
146,0,0,71.607
147,0,0,75.333
148,0,0,68.164
149,0,0,78.046
150,0,0,75.02399999999999
151,0,0,20.72
152,0,0,62.142
153,0,0,132.208
154,0,0,126.73300000000002
155,0,0,123.71600000000001
156,0,0,87.29599999999999
157,0,0,26.436
158,0,0,58.867000000000004
159,0,0,92.95299999999999
160,0,0,17.96
161,0,0,14.961
162,0,0,19.796999999999997
163,0,0,52.501
164,0,0,56.304
165,0,0,61.113
166,0,0,54.329
167,0,0,52.619
168,0,0,57.973
169,0,0,64.24199999999999
170,0,0,73.18299999999999
171,0,0,77.97999999999999
172,0,0,76.095
173,0,0,72.227
174,0,0,68.584
175,0,0,67.09700000000001
176,0,0,35.077
177,0,0,35.488
178,0,0,27.976999999999997
179,0,0,25.075
180,0,0,24.792
181,0,0,28.221
182,0,0,31.681
183,0,0,32.464
184,0,0,28.647
185,0,0,26.673
186,0,0,28.556
187,0,0,74.549
188,0,0,77.382
189,0,0,68.47399999999999
190,0,0,58.272
191,0,0,53.897
192,0,0,53.491
193,0,0,60.276999999999994
194,0,0,66.916
195,0,0,72.51
196,0,0,76.444
197,0,0,79.192
198,0,0,78.331
199,0,0,40.168
200,0,0,35.596999999999994
201,0,0,34.544
202,0,0,32.419000000000004
203,0,0,24.512
204,0,0,11.158
205,0,0,12.047
206,0,0,16.064999999999998
207,0,0,17.405
208,0,0,16.061
209,0,0,11.548
210,0,0,14.716
211,0,0,55.021
212,0,0,64.967
213,0,0,64.33
214,0,0,61.017
215,0,0,56.605000000000004
216,0,0,54.725
217,0,0,61.122
218,0,0,66.37700000000001
219,0,0,71.556
220,0,0,77.383
221,0,0,77.989
222,0,0,66.137
223,0,0,32.474999999999994
224,0,0,20.031
225,0,0,21.592
226,0,0,17.141
227,0,0,81.455
228,0,0,56.583
229,0,0,12.807
230,0,0,53.174
231,0,0,116.729
232,0,0,16.174999999999997
233,0,0,12.194999999999999
234,0,0,20.016
235,0,0,51.955
236,0,0,65.439
237,0,0,77.849
238,0,0,63.925
239,0,0,58.74
240,0,0,53.309000000000005
241,0,0,56.118
242,0,0,61.101
243,0,0,69.179
244,0,0,74.074
245,0,0,78.042
246,0,0,68.042
247,0,0,29.323999999999998
248,0,0,19.179000000000002
249,0,0,93.609
250,0,0,135.21800000000002
251,0,0,120.612
252,0,0,81.88900000000001
253,0,0,36.799
254,0,0,83.521
255,0,0,114.46000000000001
256,0,0,106.359
257,0,0,45.594
258,0,0,17.578
259,0,0,53.518
260,0,0,62.977000000000004
261,0,0,75.96799999999999
262,0,0,61.43
263,0,0,56.565999999999995
264,0,0,52.156
265,0,0,58.61
266,0,0,63.817
267,0,0,71.44200000000001
268,0,0,77.484
269,0,0,73.549
270,0,0,58.6573666666666
271,0,0,17.881999999999998
272,0,0,65.072
273,0,0,116.9
274,0,0,100.01899999999999
275,0,0,156.097
276,0,0,204.31199999999998
277,0,0,111.79799999999999
278,0,0,78.817
279,0,0,71.539
280,0,0,26.909
281,0,0,12.648
282,0,0,24.724
283,0,0,77.761
284,0,0,79.64200000000001
285,0,0,75.697
286,0,0,62.196
287,0,0,55.79
288,0,0,61.824
289,0,0,69.94699999999999
290,0,0,76.49499999999999
291,0,0,78.94500000000001
292,0,0,68.19500000000001
293,0,0,57.754
294,0,0,46.808
295,0,0,13.081000000000001
296,0,0,15.151
297,0,0,19.868
298,0,0,15.072000000000001
299,0,0,11.49
300,0,0,11.108
301,0,0,14.916
302,0,0,17.508
303,0,0,14.924
304,0,0,12.939
305,0,0,12.293999999999999
306,0,0,11.266
307,0,0,35.837
308,0,0,66.648
309,0,0,76.74300000000001
310,0,0,70.963
311,0,0,58.06
312,0,0,52.731
313,0,0,58.06
314,0,0,67.115
315,0,0,73.235
316,0,0,77.517
317,0,0,75.711
318,0,0,45.121
319,0,0,38.533
320,0,0,100.63
321,0,0,131.834
322,0,0,128.121
323,0,0,100.861
324,0,0,92.947
325,0,0,104.125
326,0,0,110.67
327,0,0,101.362
328,0,0,50.708000000000006
329,0,0,12.527
330,0,0,46.32
331,0,0,80.65899999999999
332,0,0,78.676
333,0,0,79.86999999999999
334,0,0,79.758
335,0,0,65.135
336,0,0,60.291
337,0,0,54.906000000000006
338,0,0,57.442
339,0,0,63.879000000000005
340,0,0,68.841
341,0,0,74.296
342,0,0,78.033
343,0,0,68.10900000000001
344,0,0,19.575
345,0,0,15.888
346,0,0,74.797
347,0,0,229.64499999999998
348,0,0,14.642000000000001
349,0,0,18.711
350,0,0,15.5
351,0,0,13.473
352,0,0,14.089
353,0,0,12.187999999999999
354,0,0,12.237
355,0,0,43.807
356,0,0,64.018
357,0,0,73.483
358,0,0,77.508
359,0,0,80.812
360,0,0,71.39099999999999
361,0,0,60.789
362,0,0,55.324
363,0,0,54.263
364,0,0,60.382
365,0,0,64.984
366,0,0,71.608
367,0,0,61.657999999999994
368,0,0,57.145
369,0,0,53.745000000000005
370,0,0,40.578
371,0,0,15.758999999999999
372,0,0,9.648
373,0,0,12.269
374,0,0,17.375
375,0,0,19.303
376,0,0,20.202
377,0,0,18.256
378,0,0,15.530000000000001
379,0,0,36.114
380,0,0,52.729
381,0,0,53.021
382,0,0,54.049
383,0,0,57.918
384,0,0,53.285
385,0,0,55.949
386,0,0,62.091
387,0,0,69.19
388,0,0,74.442
389,0,0,77.902
390,0,0,54.254999999999995
391,0,0,19.695
392,0,0,20.554
393,0,0,50.391
394,0,0,97.562
395,0,0,95.435
396,0,0,106.186
397,0,0,29.024
398,0,0,11.334999999999999
399,0,0,73.174
400,0,0,24.668
401,0,0,10.16
402,0,0,11.709999999999999
403,0,0,27.400000000000002
404,0,0,59.249
405,0,0,77.504
406,0,0,63.915
407,0,0,58.248000000000005
408,0,0,62.803
409,0,0,61.041
410,0,0,62.326
411,0,0,62.029
412,0,0,52.147
413,0,0,52.337
414,0,0,51.306999999999995
415,0,0,34.723
416,0,0,50.787
417,0,0,62.74
418,0,0,189.858
419,0,0,146.259
420,0,0,134.036
421,0,0,34.376
422,0,0,19.796
423,0,0,19.456
424,0,0,13.269
425,0,0,12.531
426,0,0,12.444
427,0,0,36.37
428,0,0,53.74
429,0,0,78.83999999999999
430,0,0,78.991
431,0,0,69.94200000000001
432,0,0,62.411
433,0,0,57.599
434,0,0,56.406
435,0,0,53.86
436,0,0,53.654
437,0,0,49.269
438,0,0,40.803
439,0,0,39.584
440,0,0,90.345
441,0,0,115.146
442,0,0,122.496
443,0,0,105.034
444,0,0,65.079
445,0,0,9.771
446,0,0,11.315000000000001
447,0,0,11.195
448,0,0,13.357000000000001
449,0,0,16.997000000000003
450,0,0,14.08
451,0,0,40.815999999999995
452,0,0,43.992000000000004
453,0,0,53.941
454,0,0,59.114
455,0,0,65.711
456,0,0,75.52300000000001
457,0,0,72.547
458,0,0,61.878
459,0,0,56.924
460,0,0,56.749
461,0,0,40.904999999999994
462,0,0,24.179
463,0,0,26.684
464,0,0,21.133
465,0,0,58.579
466,0,0,120.899
467,0,0,99.951
468,0,0,50.655
469,0,0,7.794
470,0,0,40.281
471,0,0,98.083
472,0,0,9.114
473,0,0,11.422
474,0,0,9.511000000000001
475,0,0,15.796999999999999
476,0,0,29.766000000000002
477,0,0,24.183
478,0,0,27.189
479,0,0,34.181999999999995
480,0,0,45.305
481,0,0,31.321
482,0,0,30.895
483,0,0,25.852
484,0,0,31.906999999999996
485,0,0,30.77
486,0,0,19.729
487,0,0,13.858
488,0,0,19.526999999999997
489,0,0,15.488999999999999
490,0,0,85.267
491,0,0,85.365
492,0,0,69.667
493,0,0,95.328
494,0,0,108.17
495,0,0,100.16600000000001
496,0,0,12.940999999999999
497,0,0,18.846
498,0,0,26.145000000000003
499,0,0,41.76
500,0,0,35.925
501,0,0,30.271
502,0,0,34.151
503,0,0,39.484
504,0,0,50.463
505,0,0,54.204
506,0,0,68.36399999999999
507,0,0,71.809
508,0,0,69.68
509,0,0,58.101
510,0,0,54.305
511,0,0,59.833
512,0,0,16.298
513,0,0,19.596
514,0,0,20.291
515,0,0,8.277
516,0,0,7.583
517,0,0,7.746
518,0,0,8.173
519,0,0,10.082
520,0,0,12.902000000000001
521,0,0,13.838
522,0,0,12.212
523,0,0,26.605
524,0,0,27.244999999999997
525,0,0,25.364
526,0,0,31.903000000000002
527,0,0,33.319
528,0,0,47.253
529,0,0,40.445
530,0,0,31.127
531,0,0,30.694
532,0,0,26.214000000000002
533,0,0,23.892
534,0,0,23.396
535,0,0,21.598
536,0,0,8.068999999999999
537,0,0,10.142999999999999
538,0,0,18.651999999999997
539,0,0,42.042
540,0,0,27.239
541,0,0,23.942
542,0,0,8.392999999999999
543,0,0,10.014000000000001
544,0,0,17.264000000000003
545,0,0,17.954
546,0,0,19.643
547,0,0,35.301
548,0,0,38.906000000000006
549,0,0,43.17
550,0,0,39.995000000000005
551,0,0,50.726
552,0,0,54.585
553,0,0,67.78399999999999
554,0,0,68.521
555,0,0,60.505
556,0,0,50.84
557,0,0,44.763
558,0,0,34.92
559,0,0,7.863
560,0,0,8.767999999999999
561,0,0,12.792
562,0,0,173.85
563,0,0,34.573
564,0,0,98.532
565,0,0,25.729
566,0,0,41.663
567,0,0,44.855
568,0,0,17.222
569,0,0,15.955
570,0,0,13.049
571,0,0,32.156
572,0,0,50.136
573,0,0,62.472
574,0,0,44.137
575,0,0,42.69
576,0,0,52.516
577,0,0,59.143
578,0,0,69.23
