,domestic,commercial,public
0,0,0,107.63799999999999
1,0,0,111.51700000000001
2,0,0,103.583
3,0,0,94.279
4,0,0,78.883
5,0,0,77.44800000000001
6,0,0,70.92099999999999
7,0,0,37.024
8,0,0,14.963000000000001
9,0,0,15.762000000000002
10,0,0,11.035
11,0,0,10.302
12,0,0,10.263
13,0,0,12.577
14,0,0,15.305
15,0,0,13.751
16,0,0,14.78
17,0,0,15.302
18,0,0,17.989
19,0,0,81.28699999999999
20,0,0,35.388000000000005
21,0,0,34.12
22,0,0,40.791000000000004
23,0,0,41.715
24,0,0,43.327999999999996
25,0,0,48.132
26,0,0,51.531
27,0,0,47.912000000000006
28,0,0,35.751
29,0,0,41.868
30,0,0,50.537
31,0,0,28.016
32,0,0,44.237
33,0,0,38.795
34,0,0,23.737000000000002
35,0,0,10.436
36,0,0,10.945
37,0,0,14.616999999999999
38,0,0,13.171000000000001
39,0,0,11.552
40,0,0,12.527999999999999
41,0,0,15.374
42,0,0,20.282
43,0,0,71.285
44,0,0,36.748999999999995
45,0,0,33.777
46,0,0,37.774
47,0,0,40.372
48,0,0,53.138999999999996
49,0,0,56.043
50,0,0,56.972
51,0,0,48.744
52,0,0,37.803999999999995
53,0,0,39.910000000000004
54,0,0,34.909000000000006
55,0,0,30.515
56,0,0,35.842
57,0,0,15.360000000000001
58,0,0,17.365
59,0,0,11.777
60,0,0,10.607
61,0,0,11.674999999999999
62,0,0,14.959
63,0,0,15.826
64,0,0,15.762000000000002
65,0,0,15.763
66,0,0,11.763
67,0,0,21.893
68,0,0,21.377
69,0,0,20.879
70,0,0,23.32
71,0,0,26.194
72,0,0,37.865
73,0,0,41.955
74,0,0,40.933
75,0,0,41.169
76,0,0,34.701
77,0,0,25.073999999999998
78,0,0,56.759
79,0,0,31.514
80,0,0,27.588
81,0,0,36.021
82,0,0,49.211
83,0,0,28.871000000000002
84,0,0,10.254
85,0,0,9.886000000000001
86,0,0,9.373
87,0,0,9.459999999999999
88,0,0,12.748000000000001
89,0,0,11.971
90,0,0,14.364999999999998
91,0,0,131.28500000000003
92,0,0,154.821
93,0,0,79.74499999999999
94,0,0,52.051
95,0,0,48.402
96,0,0,48.237
97,0,0,59.998999999999995
98,0,0,61.584
99,0,0,70.502
100,0,0,77.575
101,0,0,75.64500000000001
102,0,0,127.177
103,0,0,94.92
104,0,0,11.56
105,0,0,9.41
106,0,0,8.25
107,0,0,7.197
108,0,0,10.271
109,0,0,10.253
110,0,0,9.991
111,0,0,9.472
112,0,0,13.24
113,0,0,11.106
114,0,0,19.531
115,0,0,122.979
116,0,0,118.632
117,0,0,37.934000000000005
118,0,0,35.638000000000005
119,0,0,32.792
120,0,0,33.383
121,0,0,39.635999999999996
122,0,0,46.605000000000004
123,0,0,45.275000000000006
124,0,0,45.722
125,0,0,41.161
126,0,0,55.713
127,0,0,77.00999999999999
128,0,0,14.541
129,0,0,11.08
130,0,0,9.873
131,0,0,1.577
132,0,0,0.17200000000000001
133,0,0,9.619000000000002
134,0,0,10.257
135,0,0,10.719
136,0,0,39.341
137,0,0,36.73
138,0,0,33.203
139,0,0,74.59
140,0,0,47.785000000000004
141,0,0,45.683
142,0,0,45.479
143,0,0,42.539
144,0,0,43.812999999999995
145,0,0,40.927
146,0,0,16.631
147,0,0,42.817
148,0,0,41.425
149,0,0,41.491
150,0,0,72.702
151,0,0,59.741
152,0,0,29.242
153,0,0,10.272
154,0,0,10.09
155,0,0,14.553
156,0,0,14.551
157,0,0,10.35
158,0,0,13.583
159,0,0,47.508
160,0,0,17.51
161,0,0,10.392999999999999
162,0,0,14.264000000000001
163,0,0,69.929
164,0,0,55.742
165,0,0,45.416
166,0,0,42.636
167,0,0,49.193
168,0,0,55.504999999999995
169,0,0,57.548
170,0,0,52.854
171,0,0,44.338
172,0,0,37.001
173,0,0,40.0
174,0,0,56.653
175,0,0,48.744
176,0,0,10.882
177,0,0,12.804
178,0,0,18.699
179,0,0,10.951
180,0,0,10.524000000000001
181,0,0,10.429
182,0,0,13.543
183,0,0,15.056
184,0,0,15.233
185,0,0,14.975999999999999
186,0,0,20.52
187,0,0,65.22699999999999
188,0,0,19.691
189,0,0,19.872
190,0,0,22.621
191,0,0,25.326999999999998
192,0,0,35.738
193,0,0,39.08
194,0,0,40.162000000000006
195,0,0,31.524000000000004
196,0,0,20.432
197,0,0,22.4
198,0,0,55.28
199,0,0,40.522000000000006
200,0,0,39.104
201,0,0,36.151999999999994
202,0,0,29.936
203,0,0,16.935
204,0,0,10.996
205,0,0,11.165
206,0,0,14.024
207,0,0,15.73
208,0,0,16.016
209,0,0,15.248
210,0,0,17.421
211,0,0,63.187999999999995
212,0,0,20.592
213,0,0,20.745
214,0,0,25.437
215,0,0,26.676
216,0,0,45.196
217,0,0,55.089
218,0,0,58.475
219,0,0,54.954
220,0,0,42.031
221,0,0,36.852000000000004
222,0,0,91.25500000000001
223,0,0,52.153999999999996
224,0,0,10.739
225,0,0,8.035
226,0,0,0.64
227,0,0,5.3020000000000005
228,0,0,10.263
229,0,0,10.213
230,0,0,9.821
231,0,0,8.864
232,0,0,18.613
233,0,0,27.339
234,0,0,15.571
235,0,0,91.965
236,0,0,107.957
237,0,0,112.06
238,0,0,103.357
239,0,0,93.063
240,0,0,107.856
241,0,0,109.10300000000001
242,0,0,124.045
243,0,0,136.923
244,0,0,144.253
245,0,0,143.36499999999998
246,0,0,119.45100000000001
247,0,0,60.547
248,0,0,30.103
249,0,0,7.432
250,0,0,4.054
251,0,0,8.894
252,0,0,10.263
253,0,0,9.950000000000001
254,0,0,10.299000000000001
255,0,0,16.797
256,0,0,17.526
257,0,0,21.930999999999997
258,0,0,12.768
259,0,0,92.297
260,0,0,106.996
261,0,0,105.11800000000001
262,0,0,104.285
263,0,0,107.357
264,0,0,112.372
265,0,0,121.07900000000001
266,0,0,130.655
267,0,0,130.162
268,0,0,126.69
269,0,0,125.62499999999999
270,0,0,126.644
271,0,0,62.70399999999999
272,0,0,20.262
273,0,0,1.952
274,0,0,0.127
275,0,0,8.377
276,0,0,10.262
277,0,0,10.246
278,0,0,15.781
279,0,0,15.044
280,0,0,18.338
281,0,0,29.912000000000003
282,0,0,14.27
283,0,0,88.801
284,0,0,99.792
285,0,0,80.22500000000001
286,0,0,83.46199999999999
287,0,0,95.307
288,0,0,100.463
289,0,0,98.78099999999999
290,0,0,101.662
291,0,0,99.05600000000001
292,0,0,90.487
293,0,0,83.151
294,0,0,101.451
295,0,0,46.671
296,0,0,10.992999999999999
297,0,0,3.711
298,0,0,36.576
299,0,0,6.962000000000001
300,0,0,10.237
301,0,0,8.731
302,0,0,7.236000000000001
303,0,0,12.87
304,0,0,11.337
305,0,0,10.784
306,0,0,13.139
307,0,0,102.04100000000001
308,0,0,98.361
309,0,0,24.282999999999998
310,0,0,20.901
311,0,0,25.2
312,0,0,25.558999999999997
313,0,0,32.98800000000001
314,0,0,40.65
315,0,0,40.647999999999996
316,0,0,26.925
317,0,0,20.997999999999998
318,0,0,83.61300000000001
319,0,0,56.982
320,0,0,18.467000000000002
321,0,0,6.987
322,0,0,0.638
323,0,0,9.436
324,0,0,10.238999999999999
325,0,0,9.699
326,0,0,12.297
327,0,0,10.806
328,0,0,12.036
329,0,0,10.831999999999999
330,0,0,12.763
331,0,0,80.276
332,0,0,89.99600000000001
333,0,0,84.867
334,0,0,82.456
335,0,0,83.06099999999999
336,0,0,81.391
337,0,0,84.803
338,0,0,89.934
339,0,0,101.405
340,0,0,106.443
341,0,0,105.67699999999999
342,0,0,84.547
343,0,0,22.215
344,0,0,29.061
345,0,0,24.617
346,0,0,17.389000000000003
347,0,0,14.069999999999999
348,0,0,13.355
349,0,0,11.162
350,0,0,11.502
351,0,0,11.207999999999998
352,0,0,11.77
353,0,0,11.598
354,0,0,11.861
355,0,0,11.139
356,0,0,10.534
357,0,0,10.541
358,0,0,19.084
359,0,0,27.289
360,0,0,19.490000000000002
361,0,0,19.235
362,0,0,24.266
363,0,0,29.395
364,0,0,36.846
365,0,0,41.334999999999994
366,0,0,71.191
367,0,0,34.831
368,0,0,17.373
369,0,0,16.779
370,0,0,15.394
371,0,0,17.498
372,0,0,11.837
373,0,0,10.508999999999999
374,0,0,10.928
375,0,0,12.843
376,0,0,12.239
377,0,0,10.626999999999999
378,0,0,11.622
379,0,0,21.963
380,0,0,20.35
381,0,0,19.843
382,0,0,19.611
383,0,0,22.9
384,0,0,25.471
385,0,0,26.252000000000002
386,0,0,33.618
387,0,0,39.757
388,0,0,41.56
389,0,0,37.699999999999996
390,0,0,107.157
391,0,0,72.38
392,0,0,9.405999999999999
393,0,0,2.2889999999999997
394,0,0,1.194
395,0,0,10.245000000000001
396,0,0,10.193000000000001
397,0,0,4.55
398,0,0,0.718
399,0,0,1.867
400,0,0,11.589
401,0,0,21.947000000000003
402,0,0,26.155
403,0,0,108.88000000000001
404,0,0,120.047
405,0,0,46.522
406,0,0,32.919999999999995
407,0,0,39.771
408,0,0,13.865
409,0,0,31.746000000000002
410,0,0,31.826
411,0,0,31.113
412,0,0,37.63699999999999
413,0,0,39.733
414,0,0,63.622
415,0,0,105.18900000000001
416,0,0,47.4
417,0,0,13.449
418,0,0,10.389000000000001
