,domestic,commercial,public
0,0,0,57.437000000000005
1,0,0,56.025999999999996
2,0,0,55.689
3,0,0,54.244
4,0,0,54.055
5,0,0,53.835
6,0,0,56.071000000000005
7,0,0,54.711999999999996
8,0,0,54.578
9,0,0,58.361000000000004
10,0,0,57.456
11,0,0,58.043
12,0,0,54.102
13,0,0,53.071
14,0,0,51.263000000000005
15,0,0,49.958000000000006
16,0,0,49.45
17,0,0,50.59
18,0,0,53.183
19,0,0,58.45
20,0,0,63.224000000000004
21,0,0,57.998
22,0,0,61.873999999999995
23,0,0,57.6
24,0,0,57.603
25,0,0,55.707
26,0,0,54.428
27,0,0,53.61
28,0,0,53.529
29,0,0,54.629999999999995
30,0,0,53.846
31,0,0,54.121
32,0,0,54.284
33,0,0,58.311
34,0,0,57.318
35,0,0,56.825
36,0,0,56.005
37,0,0,52.797999999999995
38,0,0,50.081
39,0,0,50.207
40,0,0,50.738
41,0,0,50.618
42,0,0,51.886
43,0,0,60.032000000000004
44,0,0,59.312
45,0,0,60.089
46,0,0,56.917
47,0,0,55.634
48,0,0,56.483
49,0,0,55.254
50,0,0,52.239
51,0,0,52.596
52,0,0,55.1
53,0,0,55.579
54,0,0,55.013
55,0,0,55.126000000000005
56,0,0,52.902
57,0,0,50.433
58,0,0,50.951
59,0,0,51.674
60,0,0,47.286
61,0,0,45.195
62,0,0,48.868
63,0,0,50.634
64,0,0,46.577
65,0,0,43.108
66,0,0,47.745000000000005
67,0,0,55.292
68,0,0,56.410000000000004
69,0,0,50.419
70,0,0,53.486
71,0,0,55.07
72,0,0,56.118
73,0,0,54.493
74,0,0,52.99100000000001
75,0,0,51.884
76,0,0,54.087999999999994
77,0,0,54.897
78,0,0,53.705999999999996
79,0,0,51.762
80,0,0,46.611
81,0,0,64.292
82,0,0,67.496
83,0,0,70.059
84,0,0,52.156
85,0,0,55.95
86,0,0,54.433
87,0,0,53.933
88,0,0,22.974
89,0,0,22.549
90,0,0,25.727
91,0,0,54.064
92,0,0,63.969
93,0,0,66.94200000000001
94,0,0,61.515
95,0,0,61.818
96,0,0,55.596
97,0,0,54.024
98,0,0,54.803
99,0,0,54.644
100,0,0,53.568999999999996
101,0,0,53.553000000000004
102,0,0,53.329
103,0,0,64.314
104,0,0,63.080999999999996
105,0,0,49.228
106,0,0,33.599
107,0,0,28.766
108,0,0,24.785
109,0,0,25.339
110,0,0,50.933
111,0,0,53.327
112,0,0,25.941
113,0,0,21.984
114,0,0,29.942
115,0,0,53.695
116,0,0,54.400999999999996
117,0,0,55.182
118,0,0,53.347
119,0,0,53.108000000000004
120,0,0,54.163999999999994
121,0,0,53.403
122,0,0,54.625
123,0,0,55.326
124,0,0,54.75
125,0,0,53.688
126,0,0,53.861
127,0,0,50.96
128,0,0,43.641
129,0,0,39.218
130,0,0,55.1
131,0,0,58.491
132,0,0,62.952999999999996
133,0,0,57.099
134,0,0,50.191
135,0,0,58.211
136,0,0,32.749
137,0,0,35.458000000000006
138,0,0,38.093
139,0,0,65.66900000000001
140,0,0,74.23
141,0,0,83.98700000000001
