,domestic,commercial,public
0,398.0,0.0,500.0
1,393.0,0.0,500.0
2,423.0,0.0,500.0
3,387.0,750.0,0.0
4,390.0,0.0,0.0
5,370.0,0.0,0.0
6,454.0,0.0,0.0
7,70.0,0.0,0.0
8,95.0,350.0,0.0
9,110.0,1500.0,0.0
10,120.0,2200.0,0.0
11,160.0,1450.0,0.0
12,155.0,1700.0,0.0
13,125.0,1150.0,0.0
14,165.0,1850.0,0.0
15,70.0,1100.0,0.0
16,135.0,900.0,0.0
17,644.0,2400.0,0.0
18,1184.0,950.0,500.0
19,1224.0,950.0,500.0
20,1302.0,950.0,500.0
21,1066.0,350.0,500.0
22,748.0,0.0,500.0
23,697.0,0.0,500.0
24,376.0,0.0,500.0
25,340.0,0.0,500.0
26,379.0,0.0,500.0
27,420.0,0.0,0.0
28,419.0,750.0,0.0
29,359.0,0.0,0.0
30,503.0,0.0,0.0
31,75.0,350.0,0.0
32,120.0,350.0,0.0
33,125.0,0.0,0.0
34,110.0,900.0,0.0
35,140.0,750.0,0.0
36,130.0,1800.0,0.0
37,105.0,1550.0,0.0
38,120.0,550.0,0.0
39,160.0,700.0,0.0
40,125.0,2050.0,0.0
41,697.0,1300.0,0.0
42,1197.0,1850.0,500.0
43,1282.0,200.0,500.0
44,1228.0,0.0,500.0
45,1032.0,0.0,500.0
46,800.0,0.0,500.0
47,699.0,0.0,500.0
48,400.0,0.0,500.0
49,340.0,0.0,500.0
50,404.0,0.0,500.0
51,341.0,0.0,0.0
52,361.0,0.0,0.0
53,369.0,0.0,0.0
54,493.0,0.0,0.0
55,85.0,0.0,0.0
56,80.0,700.0,0.0
57,130.0,1100.0,0.0
58,145.0,1300.0,0.0
59,150.0,1700.0,0.0
60,95.0,1500.0,0.0
61,150.0,1500.0,0.0
62,180.0,700.0,0.0
63,115.0,900.0,0.0
64,130.0,550.0,0.0
65,675.0,1100.0,0.0
66,1224.0,950.0,500.0
67,1284.0,1100.0,500.0
68,1330.0,0.0,500.0
69,1135.0,200.0,500.0
70,843.0,200.0,500.0
71,698.0,0.0,500.0
72,385.0,0.0,500.0
73,387.0,0.0,500.0
74,412.0,0.0,500.0
75,359.0,750.0,0.0
76,386.0,0.0,0.0
77,396.0,0.0,0.0
78,532.0,0.0,0.0
79,85.0,750.0,0.0
80,75.0,350.0,0.0
81,145.0,1150.0,0.0
82,145.0,750.0,0.0
83,160.0,900.0,0.0
84,125.0,900.0,0.0
85,90.0,1100.0,0.0
86,110.0,2050.0,0.0
87,135.0,1100.0,0.0
88,120.0,1850.0,0.0
89,692.0,700.0,0.0
90,1326.0,950.0,500.0
91,1295.0,1150.0,500.0
92,1309.0,950.0,500.0
93,1110.0,200.0,500.0
94,831.0,0.0,500.0
95,700.0,0.0,500.0
96,398.0,0.0,500.0
97,349.0,0.0,500.0
98,390.0,750.0,500.0
99,362.0,0.0,0.0
100,409.0,0.0,0.0
101,379.0,0.0,0.0
102,449.0,0.0,0.0
103,80.0,0.0,0.0
104,115.0,1100.0,0.0
105,80.0,2000.0,0.0
106,130.0,1300.0,0.0
107,140.0,1650.0,0.0
108,150.0,350.0,0.0
109,130.0,1300.0,0.0
110,130.0,400.0,0.0
111,135.0,2000.0,0.0
112,120.0,2200.0,0.0
113,495.0,1150.0,0.0
114,1216.0,750.0,500.0
115,1321.0,1100.0,500.0
116,1225.0,200.0,500.0
117,1090.0,0.0,500.0
118,922.0,0.0,500.0
119,697.0,0.0,500.0
120,368.0,0.0,500.0
121,400.0,0.0,500.0
122,404.0,0.0,500.0
123,373.0,0.0,0.0
124,355.0,0.0,0.0
125,385.0,0.0,0.0
126,467.0,0.0,0.0
127,95.0,0.0,0.0
128,80.0,1500.0,0.0
129,90.0,950.0,0.0
130,95.0,1600.0,0.0
131,80.0,1300.0,0.0
132,130.0,400.0,0.0
133,90.0,1100.0,0.0
134,100.0,2000.0,0.0
135,130.0,200.0,0.0
136,215.0,2050.0,0.0
137,565.0,950.0,0.0
138,1311.0,950.0,500.0
139,1227.0,200.0,500.0
140,1288.0,200.0,500.0
141,1039.0,750.0,500.0
142,816.0,0.0,500.0
143,690.0,0.0,500.0
144,426.0,0.0,500.0
145,442.0,0.0,500.0
146,335.0,0.0,500.0
147,404.0,750.0,0.0
148,388.0,0.0,0.0
149,369.0,0.0,0.0
150,494.0,0.0,0.0
151,75.0,750.0,0.0
152,115.0,550.0,0.0
153,145.0,2500.0,0.0
154,45.0,1250.0,0.0
155,160.0,200.0,0.0
156,140.0,1850.0,0.0
157,125.0,1300.0,0.0
158,130.0,1850.0,0.0
159,115.0,1300.0,0.0
160,110.0,1050.0,0.0
161,583.0,550.0,0.0
162,1177.0,400.0,500.0
163,1267.0,950.0,500.0
164,1291.0,1150.0,500.0
165,1105.0,350.0,500.0
166,848.0,350.0,500.0
167,707.0,0.0,500.0
168,411.0,0.0,500.0
169,366.0,0.0,500.0
170,373.0,0.0,500.0
171,358.0,200.0,0.0
172,415.0,750.0,0.0
173,401.0,0.0,0.0
174,451.0,0.0,0.0
175,85.0,0.0,0.0
176,95.0,400.0,0.0
177,120.0,1300.0,0.0
178,110.0,1500.0,0.0
179,150.0,350.0,0.0
180,110.0,1450.0,0.0
181,135.0,950.0,0.0
182,145.0,1300.0,0.0
183,100.0,1450.0,0.0
184,120.0,1500.0,0.0
185,607.0,1650.0,0.0
186,1249.0,2050.0,500.0
187,1319.0,0.0,500.0
188,1345.0,200.0,500.0
189,1087.0,200.0,500.0
190,789.0,750.0,500.0
191,682.0,750.0,500.0
192,380.0,0.0,500.0
193,375.0,0.0,500.0
194,332.0,0.0,500.0
195,407.0,0.0,0.0
196,379.0,0.0,0.0
197,359.0,0.0,0.0
198,446.0,0.0,0.0
199,70.0,0.0,0.0
200,95.0,350.0,0.0
201,110.0,200.0,0.0
202,135.0,1500.0,0.0
203,130.0,200.0,0.0
204,135.0,750.0,0.0
205,145.0,1450.0,0.0
206,145.0,1100.0,0.0
207,125.0,600.0,0.0
208,135.0,200.0,0.0
209,626.0,1800.0,0.0
210,1357.0,1300.0,500.0
211,1249.0,750.0,500.0
212,1204.0,1300.0,500.0
213,1131.0,750.0,500.0
214,841.0,0.0,500.0
215,644.0,0.0,500.0
216,423.0,0.0,500.0
217,404.0,0.0,500.0
218,373.0,0.0,500.0
219,421.0,0.0,0.0
220,378.0,0.0,0.0
221,385.0,0.0,0.0
222,483.0,0.0,0.0
223,85.0,200.0,0.0
224,150.0,200.0,0.0
225,110.0,1250.0,0.0
226,115.0,1100.0,0.0
227,130.0,1850.0,0.0
228,140.0,750.0,0.0
229,115.0,950.0,0.0
230,190.0,900.0,0.0
231,120.0,1300.0,0.0
232,80.0,1050.0,0.0
233,588.0,1250.0,0.0
234,1230.0,1650.0,500.0
235,1321.0,200.0,500.0
236,1303.0,950.0,500.0
237,1049.0,700.0,500.0
238,814.0,750.0,500.0
239,680.0,350.0,500.0
240,380.0,0.0,500.0
241,425.0,0.0,500.0
242,398.0,0.0,500.0
243,385.0,0.0,0.0
244,421.0,0.0,0.0
245,370.0,0.0,0.0
246,498.0,0.0,0.0
247,115.0,750.0,0.0
248,105.0,750.0,0.0
249,130.0,900.0,0.0
250,135.0,550.0,0.0
251,160.0,1450.0,0.0
252,120.0,1500.0,0.0
253,135.0,750.0,0.0
254,150.0,1650.0,0.0
255,100.0,1650.0,0.0
256,150.0,1300.0,0.0
257,551.0,750.0,0.0
258,1283.0,1700.0,500.0
259,1273.0,400.0,500.0
260,1342.0,1150.0,500.0
261,1095.0,950.0,500.0
262,786.0,0.0,500.0
263,699.0,350.0,500.0
264,374.0,0.0,500.0
265,399.0,0.0,500.0
266,372.0,0.0,500.0
267,364.0,0.0,0.0
268,391.0,0.0,0.0
269,383.0,0.0,0.0
270,422.0,0.0,0.0
271,65.0,0.0,0.0
272,90.0,750.0,0.0
273,150.0,550.0,0.0
274,180.0,1800.0,0.0
275,150.0,400.0,0.0
276,145.0,350.0,0.0
277,110.0,750.0,0.0
278,160.0,1300.0,0.0
279,135.0,550.0,0.0
280,135.0,1300.0,0.0
281,571.0,200.0,0.0
282,1210.0,0.0,500.0
283,1376.0,0.0,500.0
284,1290.0,950.0,500.0
285,1109.0,0.0,500.0
286,799.0,0.0,500.0
287,663.0,0.0,500.0
288,366.0,0.0,500.0
289,399.0,0.0,500.0
290,418.0,0.0,500.0
291,373.0,350.0,0.0
292,385.0,750.0,0.0
293,390.0,0.0,0.0
294,472.0,0.0,0.0
295,90.0,1300.0,0.0
296,65.0,1650.0,0.0
297,120.0,750.0,0.0
298,90.0,2000.0,0.0
299,120.0,1850.0,0.0
300,115.0,950.0,0.0
301,140.0,1150.0,0.0
302,125.0,1700.0,0.0
303,180.0,1050.0,0.0
304,115.0,1650.0,0.0
305,518.0,1250.0,0.0
306,1283.0,550.0,500.0
307,1220.0,400.0,500.0
308,1321.0,400.0,500.0
309,1111.0,0.0,500.0
310,847.0,0.0,500.0
311,696.0,0.0,500.0
312,424.0,0.0,500.0
313,405.0,700.0,500.0
314,379.0,0.0,500.0
315,426.0,0.0,0.0
316,347.0,0.0,0.0
317,367.0,0.0,0.0
318,531.0,0.0,0.0
319,105.0,750.0,0.0
320,105.0,200.0,0.0
321,125.0,2050.0,0.0
322,125.0,350.0,0.0
323,140.0,550.0,0.0
324,130.0,1100.0,0.0
325,110.0,1650.0,0.0
326,110.0,750.0,0.0
327,160.0,1850.0,0.0
328,170.0,1100.0,0.0
329,590.0,1650.0,0.0
330,1270.0,1450.0,500.0
331,1347.0,950.0,500.0
332,1220.0,0.0,500.0
333,1068.0,200.0,500.0
334,778.0,350.0,500.0
335,662.0,0.0,500.0
336,401.0,0.0,500.0
337,379.0,0.0,500.0
338,378.0,0.0,500.0
339,364.0,0.0,0.0
340,395.0,0.0,0.0
341,413.0,0.0,0.0
342,467.0,0.0,0.0
343,85.0,1100.0,0.0
344,110.0,950.0,0.0
345,120.0,1250.0,0.0
346,130.0,900.0,0.0
347,110.0,1450.0,0.0
348,135.0,950.0,0.0
349,150.0,1300.0,0.0
350,150.0,2000.0,0.0
351,110.0,1500.0,0.0
352,135.0,700.0,0.0
353,487.0,1300.0,0.0
354,1150.0,1150.0,500.0
355,1250.0,1350.0,500.0
356,1228.0,200.0,500.0
357,1059.0,950.0,500.0
358,861.0,0.0,500.0
359,648.0,0.0,500.0
360,404.0,0.0,500.0
361,428.0,0.0,500.0
362,357.0,0.0,500.0
363,365.0,750.0,0.0
364,339.0,0.0,0.0
365,397.0,0.0,0.0
366,504.0,0.0,0.0
367,70.0,0.0,0.0
368,115.0,550.0,0.0
369,90.0,1150.0,0.0
370,170.0,900.0,0.0
371,85.0,750.0,0.0
372,150.0,1100.0,0.0
373,125.0,1500.0,0.0
374,140.0,1450.0,0.0
375,135.0,1650.0,0.0
376,150.0,750.0,0.0
377,509.0,1450.0,0.0
378,1213.0,1150.0,500.0
379,1255.0,950.0,500.0
380,1241.0,350.0,500.0
381,1093.0,200.0,500.0
382,828.0,0.0,500.0
383,721.0,0.0,500.0
384,396.0,0.0,500.0
385,336.0,0.0,500.0
386,425.0,0.0,500.0
387,421.0,0.0,0.0
388,418.0,0.0,0.0
389,412.0,0.0,0.0
390,487.0,0.0,0.0
391,80.0,0.0,0.0
392,125.0,550.0,0.0
393,120.0,1800.0,0.0
394,150.0,1650.0,0.0
395,145.0,1650.0,0.0
396,115.0,550.0,0.0
397,150.0,0.0,0.0
398,125.0,1250.0,0.0
399,110.0,1050.0,0.0
400,105.0,750.0,0.0
401,496.0,1650.0,0.0
402,1221.0,600.0,500.0
403,1203.0,200.0,500.0
404,1173.0,0.0,500.0
405,1175.0,0.0,500.0
406,878.0,0.0,500.0
407,634.0,0.0,500.0
408,411.0,0.0,500.0
409,386.0,0.0,500.0
410,313.0,0.0,500.0
411,337.0,0.0,0.0
412,399.0,0.0,0.0
413,319.0,0.0,0.0
414,454.0,0.0,0.0
415,75.0,0.0,0.0
416,55.0,550.0,0.0
417,140.0,1850.0,0.0
418,115.0,1850.0,0.0
419,150.0,1100.0,0.0
420,140.0,1450.0,0.0
421,155.0,1100.0,0.0
422,165.0,2050.0,0.0
423,160.0,900.0,0.0
424,110.0,950.0,0.0
425,468.0,550.0,0.0
426,1299.0,900.0,500.0
427,1163.0,1150.0,500.0
428,1204.0,200.0,500.0
429,995.0,200.0,500.0
430,889.0,0.0,500.0
431,637.0,0.0,500.0
432,390.0,0.0,500.0
433,371.0,0.0,500.0
434,383.0,0.0,500.0
435,440.0,0.0,0.0
436,368.0,0.0,0.0
437,384.0,0.0,0.0
438,483.0,0.0,0.0
439,70.0,0.0,0.0
440,125.0,1300.0,0.0
441,110.0,550.0,0.0
442,105.0,750.0,0.0
443,160.0,1650.0,0.0
444,130.0,1650.0,0.0
445,100.0,350.0,0.0
446,105.0,1450.0,0.0
447,140.0,2000.0,0.0
448,170.0,2050.0,0.0
449,527.0,1250.0,0.0
450,1269.0,900.0,500.0
451,1368.0,400.0,500.0
452,1243.0,200.0,500.0
453,1181.0,0.0,500.0
454,851.0,200.0,500.0
455,717.0,0.0,500.0
456,380.0,0.0,500.0
457,429.0,0.0,500.0
458,406.0,0.0,500.0
459,427.0,0.0,0.0
460,429.0,0.0,0.0
461,433.0,0.0,0.0
462,496.0,0.0,0.0
463,75.0,0.0,0.0
464,115.0,1100.0,0.0
465,125.0,1300.0,0.0
466,120.0,1050.0,0.0
467,145.0,1300.0,0.0
468,145.0,0.0,0.0
469,145.0,1450.0,0.0
470,145.0,2700.0,0.0
471,130.0,550.0,0.0
472,150.0,550.0,0.0
473,531.0,1450.0,0.0
474,1375.0,1700.0,500.0
475,1364.0,400.0,500.0
476,1297.0,750.0,500.0
477,1112.0,0.0,500.0
478,803.0,0.0,500.0
479,710.0,0.0,500.0
480,360.0,0.0,500.0
481,365.0,0.0,500.0
482,394.0,0.0,500.0
483,386.0,0.0,0.0
484,369.0,0.0,0.0
485,395.0,0.0,0.0
486,518.0,0.0,0.0
487,75.0,1100.0,0.0
488,100.0,2000.0,0.0
489,100.0,700.0,0.0
490,90.0,1450.0,0.0
491,185.0,2000.0,0.0
492,110.0,0.0,0.0
493,155.0,0.0,0.0
494,115.0,1100.0,0.0
495,150.0,1300.0,0.0
496,130.0,1450.0,0.0
497,494.0,1850.0,0.0
498,1273.0,400.0,500.0
499,1255.0,200.0,500.0
500,1265.0,550.0,500.0
501,1141.0,600.0,500.0
502,843.0,200.0,500.0
503,693.0,0.0,500.0
504,373.0,0.0,500.0
505,398.0,0.0,500.0
506,403.0,0.0,500.0
507,400.0,0.0,0.0
508,369.0,0.0,0.0
509,408.0,0.0,0.0
510,469.0,0.0,0.0
511,70.0,750.0,0.0
512,115.0,550.0,0.0
513,145.0,750.0,0.0
514,105.0,700.0,0.0
515,115.0,2200.0,0.0
516,170.0,700.0,0.0
517,145.0,550.0,0.0
518,65.0,1650.0,0.0
519,120.0,0.0,0.0
520,155.0,1100.0,0.0
521,481.0,1300.0,0.0
522,1237.0,600.0,500.0
523,1359.0,1500.0,500.0
524,1275.0,750.0,500.0
525,965.0,750.0,500.0
526,801.0,0.0,500.0
527,702.0,750.0,500.0
528,373.0,0.0,500.0
529,386.0,0.0,500.0
530,366.0,0.0,500.0
531,397.0,350.0,0.0
532,322.0,750.0,0.0
533,389.0,350.0,0.0
534,501.0,0.0,0.0
535,80.0,0.0,0.0
536,110.0,950.0,0.0
537,100.0,1650.0,0.0
538,140.0,550.0,0.0
539,175.0,750.0,0.0
540,135.0,350.0,0.0
541,165.0,1100.0,0.0
542,130.0,1250.0,0.0
543,140.0,1300.0,0.0
544,130.0,1650.0,0.0
545,397.0,2200.0,0.0
546,1233.0,700.0,500.0
547,1233.0,1350.0,500.0
548,1262.0,1100.0,500.0
549,1066.0,750.0,500.0
550,828.0,0.0,500.0
551,688.0,0.0,500.0
552,389.0,0.0,500.0
553,372.0,0.0,500.0
554,377.0,0.0,500.0
555,365.0,0.0,0.0
556,411.0,0.0,0.0
557,378.0,0.0,0.0
558,455.0,0.0,0.0
559,90.0,0.0,0.0
560,125.0,350.0,0.0
561,145.0,1450.0,0.0
562,130.0,750.0,0.0
563,155.0,1300.0,0.0
564,85.0,200.0,0.0
565,130.0,1100.0,0.0
566,145.0,700.0,0.0
567,125.0,900.0,0.0
568,140.0,900.0,0.0
569,415.0,2000.0,0.0
570,1222.0,0.0,500.0
571,1247.0,1300.0,500.0
572,1190.0,0.0,500.0
573,1100.0,200.0,500.0
574,819.0,0.0,500.0
575,669.0,0.0,500.0
576,374.0,0.0,500.0
577,392.0,0.0,500.0
578,387.0,0.0,500.0
579,391.0,0.0,0.0
580,408.0,0.0,0.0
581,431.0,0.0,0.0
582,470.0,0.0,0.0
583,110.0,0.0,0.0
584,115.0,900.0,0.0
585,140.0,1150.0,0.0
586,130.0,1500.0,0.0
587,160.0,550.0,0.0
588,115.0,0.0,0.0
589,165.0,750.0,0.0
590,135.0,1500.0,0.0
591,145.0,2200.0,0.0
592,115.0,400.0,0.0
593,407.0,2400.0,0.0
594,1188.0,200.0,500.0
595,1287.0,400.0,500.0
596,1327.0,0.0,500.0
597,1083.0,200.0,500.0
598,808.0,750.0,500.0
599,694.0,0.0,500.0
600,386.0,0.0,500.0
601,380.0,0.0,500.0
602,351.0,0.0,500.0
603,335.0,0.0,0.0
604,398.0,0.0,0.0
605,411.0,0.0,0.0
606,502.0,0.0,0.0
607,70.0,0.0,0.0
608,120.0,1450.0,0.0
609,85.0,1100.0,0.0
610,110.0,1100.0,0.0
611,130.0,1800.0,0.0
612,100.0,550.0,0.0
613,140.0,200.0,0.0
614,140.0,350.0,0.0
615,105.0,2000.0,0.0
616,95.0,1100.0,0.0
617,479.0,1500.0,0.0
618,1245.0,1250.0,500.0
619,1241.0,750.0,500.0
620,1276.0,0.0,500.0
621,1071.0,1100.0,500.0
622,816.0,0.0,500.0
623,707.0,750.0,500.0
624,413.0,750.0,500.0
625,434.0,0.0,500.0
626,411.0,0.0,500.0
627,358.0,0.0,0.0
628,360.0,0.0,0.0
629,341.0,0.0,0.0
630,473.0,0.0,0.0
631,115.0,1100.0,0.0
632,75.0,1300.0,0.0
633,115.0,1650.0,0.0
634,75.0,1850.0,0.0
635,100.0,350.0,0.0
636,95.0,0.0,0.0
637,95.0,550.0,0.0
638,120.0,550.0,0.0
639,150.0,2000.0,0.0
640,115.0,1650.0,0.0
641,429.0,600.0,0.0
642,1302.0,550.0,500.0
643,1334.0,200.0,500.0
644,1249.0,0.0,500.0
645,1072.0,0.0,500.0
646,855.0,200.0,500.0
647,716.0,0.0,500.0
648,394.0,0.0,500.0
649,364.0,750.0,500.0
650,370.0,0.0,500.0
651,410.0,0.0,0.0
652,411.0,0.0,0.0
653,384.0,200.0,0.0
654,442.0,0.0,0.0
655,70.0,1100.0,0.0
656,115.0,350.0,0.0
657,130.0,1500.0,0.0
658,150.0,1250.0,0.0
659,135.0,350.0,0.0
660,160.0,1450.0,0.0
661,120.0,750.0,0.0
662,105.0,1300.0,0.0
663,140.0,1100.0,0.0
664,165.0,1050.0,0.0
665,362.0,1700.0,0.0
666,1188.0,950.0,500.0
667,1292.0,400.0,500.0
668,1218.0,0.0,500.0
669,1072.0,0.0,500.0
670,819.0,0.0,500.0
671,709.0,0.0,500.0
672,397.0,0.0,500.0
673,402.0,0.0,500.0
674,324.0,0.0,500.0
675,398.0,0.0,0.0
676,436.0,0.0,0.0
677,333.0,750.0,0.0
678,460.0,0.0,0.0
679,60.0,0.0,0.0
680,105.0,200.0,0.0
681,130.0,750.0,0.0
