electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,24.269,0.0
0.0,0.0,0.0,23.943,0.0
0.0,0.0,0.0,23.64,0.0
0.0,0.0,0.0,23.615,0.0
0.0,0.0,0.0,23.478,0.0
0.0,0.0,0.0,23.346,0.0
0.014,0.001,0.025,23.686,0.026000000000000002
0.179,0.108,0.092,25.564,0.2
0.386,0.317,0.109,27.455,0.426
0.556,0.515,0.11900000000000001,29.329,0.634
0.672,0.663,0.128,30.769,0.791
0.739,0.757,0.133,31.846,0.89
0.752,0.776,0.138,32.518,0.914
0.707,0.7010000000000001,0.148,32.747,0.8490000000000001
0.618,0.5740000000000001,0.152,32.65,0.7260000000000001
0.47100000000000003,0.379,0.158,32.192,0.537
0.30000000000000004,0.194,0.14300000000000002,31.393,0.337
0.101,0.029,0.094,29.957,0.123
0.001,0.0,0.008,28.048,0.008
0.0,0.0,0.0,27.127,0.0
0.0,0.0,0.0,26.621,0.0
0.0,0.0,0.0,26.24,0.0
0.0,0.0,0.0,25.907,0.0
0.0,0.0,0.0,25.633,0.0
0.0,0.0,0.0,25.398,0.0
0.0,0.0,0.0,25.133,0.0
0.0,0.0,0.0,24.867,0.0
0.0,0.0,0.0,24.59,0.0
0.0,0.0,0.0,24.289,0.0
0.0,0.0,0.0,24.039,0.0
0.014,0.0,0.026000000000000002,24.243,0.026000000000000002
0.157,0.057,0.122,25.718,0.179
0.324,0.163,0.193,27.274,0.356
0.46,0.268,0.246,28.716,0.514
0.5670000000000001,0.373,0.276,30.056,0.649
0.632,0.449,0.29,31.183,0.739
0.622,0.40900000000000003,0.32,31.868,0.7290000000000001
0.5730000000000001,0.334,0.33,32.137,0.664
0.515,0.299,0.292,32.194,0.591
0.437,0.276,0.22,32.081,0.496
0.304,0.19,0.153,31.608,0.34299999999999997
0.11800000000000001,0.046,0.095,30.189,0.14100000000000001
0.002,0.0,0.009000000000000001,27.686,0.009000000000000001
0.0,0.0,0.0,26.731,0.0
0.0,0.0,0.0,26.213,0.0
0.0,0.0,0.0,25.722,0.0
0.0,0.0,0.0,25.29,0.0
0.0,0.0,0.0,24.887,0.0
0.0,0.0,0.0,24.472,0.0
0.0,0.0,0.0,24.08,0.0
0.0,0.0,0.0,23.672,0.0
0.0,0.0,0.0,23.398,0.0
0.0,0.0,0.0,23.288,0.0
0.0,0.0,0.0,23.175,0.0
0.011,0.0,0.022,23.372,0.022
0.13,0.026000000000000002,0.124,24.722,0.15
0.292,0.107,0.215,26.456,0.322
0.459,0.258,0.254,28.064,0.512
0.602,0.451,0.242,29.622,0.6930000000000001
0.686,0.587,0.225,30.995,0.8119999999999999
0.709,0.629,0.219,31.952,0.848
0.656,0.536,0.24,32.323,0.776
0.553,0.382,0.257,32.278,0.639
0.417,0.227,0.245,31.942,0.472
0.25,0.089,0.193,31.216,0.28200000000000003
0.097,0.02,0.098,29.928,0.11800000000000001
0.001,0.0,0.008,27.909,0.008
0.0,0.0,0.0,27.037,0.0
0.0,0.0,0.0,26.52,0.0
0.0,0.0,0.0,26.083,0.0
0.0,0.0,0.0,25.658,0.0
0.0,0.0,0.0,25.267,0.0
0.0,0.0,0.0,24.94,0.0
0.0,0.0,0.0,24.651,0.0
0.0,0.0,0.0,24.4,0.0
0.0,0.0,0.0,24.248,0.0
0.0,0.0,0.0,24.165,0.0
0.0,0.0,0.0,24.094,0.0
0.012,0.0,0.023,24.492,0.023
0.146,0.047,0.12,25.964,0.16699999999999998
0.361,0.248,0.15,27.663,0.398
0.527,0.437,0.16,29.119,0.597
0.648,0.589,0.167,30.36,0.756
0.711,0.672,0.17500000000000002,31.363,0.8470000000000001
0.727,0.6970000000000001,0.178,32.122,0.875
0.6890000000000001,0.64,0.182,32.508,0.8220000000000001
0.603,0.524,0.181,32.515,0.7050000000000001
0.461,0.341,0.184,32.091,0.525
0.276,0.14200000000000002,0.169,31.139,0.31100000000000005
0.106,0.032,0.096,29.862,0.128
0.001,0.0,0.008,27.987,0.008
0.0,0.0,0.0,26.946,0.0
0.0,0.0,0.0,26.356,0.0
0.0,0.0,0.0,25.892,0.0
0.0,0.0,0.0,25.534,0.0
0.0,0.0,0.0,25.245,0.0
0.0,0.0,0.0,25.011,0.0
0.0,0.0,0.0,24.828,0.0
0.0,0.0,0.0,24.641,0.0
0.0,0.0,0.0,24.472,0.0
0.0,0.0,0.0,24.315,0.0
0.0,0.0,0.0,24.161,0.0
0.013000000000000001,0.0,0.025,24.469,0.025
0.159,0.066,0.115,26.055,0.181
0.34900000000000003,0.229,0.157,27.717,0.386
0.515,0.41400000000000003,0.17,29.488,0.5840000000000001
0.641,0.581,0.169,31.025,0.75
0.704,0.665,0.177,32.084,0.8420000000000001
0.72,0.6880000000000001,0.179,32.811,0.867
0.6880000000000001,0.649,0.17500000000000002,33.195,0.8240000000000001
0.615,0.5630000000000001,0.161,33.306,0.7240000000000001
0.481,0.399,0.153,32.968,0.552
0.313,0.222,0.132,32.229,0.354
0.112,0.042,0.093,30.813,0.135
0.001,0.0,0.008,28.641,0.008
0.0,0.0,0.0,27.474,0.0
0.0,0.0,0.0,26.758,0.0
0.0,0.0,0.0,26.22,0.0
0.0,0.0,0.0,25.819,0.0
0.0,0.0,0.0,25.514,0.0
0.0,0.0,0.0,25.308,0.0
0.0,0.0,0.0,25.134,0.0
0.0,0.0,0.0,24.957,0.0
0.0,0.0,0.0,24.771,0.0
0.0,0.0,0.0,24.625,0.0
0.0,0.0,0.0,24.529,0.0
0.013000000000000001,0.0,0.024,24.84,0.024
0.148,0.043000000000000003,0.127,26.168,0.17
0.322,0.154,0.201,27.544,0.355
0.468,0.276,0.249,29.211,0.525
0.5660000000000001,0.367,0.28400000000000003,30.571,0.651
0.635,0.449,0.296,31.588,0.745
0.635,0.434,0.313,32.136,0.747
0.617,0.423,0.30000000000000004,32.396,0.7230000000000001
0.526,0.313,0.293,32.197,0.606
0.40800000000000003,0.2,0.261,31.654,0.461
0.228,0.062,0.196,30.507,0.258
0.091,0.016,0.096,29.104,0.112
0.001,0.0,0.008,27.31,0.008
0.0,0.0,0.0,26.239,0.0
0.0,0.0,0.0,25.576999999999998,0.0
0.0,0.0,0.0,25.06,0.0
0.0,0.0,0.0,24.653,0.0
0.0,0.0,0.0,24.364,0.0
0.0,0.0,0.0,24.13,0.0
0.0,0.0,0.0,23.979,0.0
0.0,0.0,0.0,23.994,0.0
0.0,0.0,0.0,24.063,0.0
0.0,0.0,0.0,24.091,0.0
0.0,0.0,0.0,24.046,0.0
0.008,0.0,0.019,24.206,0.019
0.108,0.013000000000000001,0.114,25.415,0.127
0.268,0.073,0.224,26.842,0.297
0.438,0.202,0.28600000000000003,28.488,0.48800000000000004
0.531,0.277,0.327,29.977,0.6040000000000001
0.603,0.361,0.339,31.151,0.7
0.635,0.423,0.323,31.988,0.746
0.639,0.47500000000000003,0.278,32.546,0.7530000000000001
0.5710000000000001,0.41100000000000003,0.253,32.667,0.664
0.421,0.229,0.249,32.132,0.478
0.261,0.099,0.195,31.196,0.29400000000000004
0.098,0.02,0.1,29.661,0.12000000000000001
0.001,0.0,0.008,27.473,0.008
0.0,0.0,0.0,26.456,0.0
0.0,0.0,0.0,25.862,0.0
0.0,0.0,0.0,25.475,0.0
0.0,0.0,0.0,25.161,0.0
0.0,0.0,0.0,24.816,0.0
0.0,0.0,0.0,24.524,0.0
0.0,0.0,0.0,24.297,0.0
0.0,0.0,0.0,24.136,0.0
0.0,0.0,0.0,24.08,0.0
0.0,0.0,0.0,24.022,0.0
0.0,0.0,0.0,23.996,0.0
0.011,0.0,0.023,24.363,0.023
0.134,0.033,0.122,25.731,0.155
0.306,0.138,0.199,26.899,0.337
0.47600000000000003,0.312,0.221,28.318,0.533
0.624,0.524,0.199,29.871,0.7230000000000001
0.712,0.672,0.177,31.233,0.849
0.74,0.728,0.165,32.146,0.893
