,domestic,commercial,public
0,0,0,59.272
1,0,0,54.205000000000005
2,0,0,60.026999999999994
3,0,0,60.274
4,0,0,76.674
5,0,0,70.961
6,0,0,22.225
7,0,0,23.391
8,0,0,20.464
9,0,0,24.836000000000002
10,0,0,36.638999999999996
11,0,0,25.051000000000002
12,0,0,18.123
13,0,0,17.694000000000003
14,0,0,18.307
15,0,0,70.49
16,0,0,42.146
17,0,0,34.409
18,0,0,30.637
19,0,0,46.538999999999994
20,0,0,47.845
21,0,0,46.836999999999996
22,0,0,42.275
23,0,0,42.588
24,0,0,38.118
25,0,0,39.800000000000004
26,0,0,44.513999999999996
27,0,0,48.404999999999994
28,0,0,49.691
29,0,0,41.188
30,0,0,23.964
31,0,0,19.354
32,0,0,23.716
33,0,0,21.705
34,0,0,18.103
35,0,0,17.526
36,0,0,16.637
37,0,0,19.436
38,0,0,20.273
39,0,0,20.932
40,0,0,21.536
41,0,0,21.29
42,0,0,22.349999999999998
43,0,0,49.312000000000005
44,0,0,63.272999999999996
45,0,0,70.644
46,0,0,65.681
47,0,0,60.63
48,0,0,49.244
49,0,0,42.978
50,0,0,48.476
51,0,0,54.958
52,0,0,60.494
53,0,0,57.521
54,0,0,21.402
55,0,0,20.584000000000003
56,0,0,19.964
57,0,0,20.733999999999998
58,0,0,22.336000000000002
59,0,0,17.033
60,0,0,18.596999999999998
61,0,0,19.494999999999997
62,0,0,18.791999999999998
63,0,0,21.127
64,0,0,21.546
65,0,0,27.314
66,0,0,36.867
67,0,0,48.195
68,0,0,56.404999999999994
69,0,0,54.902
70,0,0,56.546
71,0,0,57.52
72,0,0,54.008
73,0,0,54.057
74,0,0,52.964
75,0,0,62.428
76,0,0,71.953
77,0,0,181.83599999999998
78,0,0,187.745
79,0,0,57.925
80,0,0,92.804
81,0,0,131.08700000000002
82,0,0,43.905
83,0,0,33.214
84,0,0,24.894
85,0,0,21.817
86,0,0,31.503000000000004
87,0,0,30.119
88,0,0,34.833999999999996
89,0,0,47.836
90,0,0,75.14
91,0,0,106.1
92,0,0,132.699
93,0,0,148.12900000000002
94,0,0,128.05
95,0,0,50.528999999999996
96,0,0,20.287
97,0,0,16.636000000000003
98,0,0,17.851
99,0,0,19.931
100,0,0,74.344
101,0,0,202.371
102,0,0,157.971
103,0,0,19.555
104,0,0,21.467
105,0,0,23.379
106,0,0,18.717000000000002
107,0,0,24.898
108,0,0,31.034
109,0,0,65.527
110,0,0,30.688
111,0,0,33.313
112,0,0,27.129
113,0,0,28.419
114,0,0,68.853
115,0,0,127.468
116,0,0,149.804
117,0,0,152.221
118,0,0,117.198
119,0,0,34.064
120,0,0,30.743
121,0,0,30.493
122,0,0,34.8
123,0,0,33.69
124,0,0,35.811
125,0,0,156.819
126,0,0,144.063
127,0,0,37.940000000000005
128,0,0,28.034
129,0,0,31.128
130,0,0,38.004999999999995
131,0,0,22.947
132,0,0,19.854
133,0,0,26.846
134,0,0,58.794
135,0,0,60.927
136,0,0,40.54
137,0,0,34.484
138,0,0,100.551
139,0,0,221.956
140,0,0,251.944
141,0,0,221.029
142,0,0,99.79
143,0,0,44.831
144,0,0,44.184
145,0,0,44.616
146,0,0,51.595
147,0,0,59.43
148,0,0,80.978
149,0,0,201.24900000000002
150,0,0,147.406
151,0,0,27.851999999999997
152,0,0,29.922
153,0,0,26.06
154,0,0,29.535
155,0,0,22.466
156,0,0,23.093
157,0,0,32.675000000000004
158,0,0,41.503
159,0,0,53.912
160,0,0,32.451
161,0,0,32.173
162,0,0,87.181
163,0,0,237.988
164,0,0,229.05
165,0,0,215.525
166,0,0,138.14399999999998
167,0,0,77.459
168,0,0,74.70599999999999
169,0,0,80.925
170,0,0,76.833
171,0,0,84.493
172,0,0,102.962
173,0,0,244.76700000000002
174,0,0,236.353
175,0,0,88.934
176,0,0,17.45
177,0,0,21.305999999999997
178,0,0,21.943
179,0,0,20.556
180,0,0,21.284999999999997
181,0,0,25.71
182,0,0,28.62
183,0,0,24.312
184,0,0,23.281
185,0,0,21.612
186,0,0,73.60300000000001
187,0,0,201.143
188,0,0,221.269
189,0,0,211.53900000000002
190,0,0,223.477
191,0,0,90.54299999999999
192,0,0,85.601
193,0,0,89.184
194,0,0,87.52699999999999
195,0,0,89.862
196,0,0,96.925
197,0,0,252.83499999999998
198,0,0,200.87199999999999
199,0,0,50.274
200,0,0,29.187
201,0,0,26.372
202,0,0,24.038
203,0,0,20.979999999999997
204,0,0,24.403000000000002
205,0,0,21.336000000000002
206,0,0,25.54
207,0,0,22.285
208,0,0,17.659000000000002
209,0,0,19.814
210,0,0,44.583
211,0,0,191.639
212,0,0,224.836
213,0,0,24.065
214,0,0,108.8951249999999
215,0,0,57.2705
216,0,0,50.6847777777777
217,0,0,50.3215555555555
218,0,0,52.731888888888804
219,0,0,57.0523333333333
220,0,0,72.2035555555555
221,0,0,156.6163333333333
222,0,0,126.889
223,0,0,38.4232222222222
224,0,0,31.4453333333333
225,0,0,36.289666666666605
226,0,0,28.1356666666666
227,0,0,0.8170000000000001
228,0,0,21.9911111111111
229,0,0,27.8373333333333
230,0,0,30.4466666666666
231,0,0,37.4907777777777
232,0,0,29.013555555555502
233,0,0,29.7056666666666
234,0,0,59.9738888888888
235,0,0,136.70444444444442
236,0,0,153.01388888888889
237,0,0,127.2101111111111
238,0,0,108.8951249999999
239,0,0,57.2705
240,0,0,50.6847777777777
241,0,0,50.3215555555555
242,0,0,52.731888888888804
243,0,0,57.0523333333333
244,0,0,72.2035555555555
245,0,0,156.6163333333333
246,0,0,126.889
247,0,0,38.4232222222222
248,0,0,31.4453333333333
249,0,0,36.289666666666605
250,0,0,28.1356666666666
