,domestic,commercial,public
0,0,0,65.579
1,0,0,57.054
2,0,0,51.315
3,0,0,41.086
4,0,0,36.464000000000006
5,0,0,38.153
6,0,0,40.148999999999994
7,0,0,44.26
8,0,0,52.539
9,0,0,53.468
10,0,0,76.91099999999999
11,0,0,81.937
12,0,0,61.035
13,0,0,52.727000000000004
14,0,0,69.938
15,0,0,70.824
16,0,0,63.394000000000005
17,0,0,53.303000000000004
18,0,0,50.166000000000004
19,0,0,61.29
20,0,0,58.327999999999996
21,0,0,66.084
22,0,0,69.419
23,0,0,63.582
24,0,0,50.605
25,0,0,46.887
26,0,0,47.313
27,0,0,47.574999999999996
28,0,0,43.796
29,0,0,41.085
30,0,0,39.635999999999996
31,0,0,45.876
32,0,0,56.654
33,0,0,85.93299999999999
34,0,0,92.39
35,0,0,100.571
36,0,0,80.593
37,0,0,94.729
38,0,0,117.80799999999999
39,0,0,93.39
40,0,0,79.99499999999999
41,0,0,72.76299999999999
42,0,0,85.588
43,0,0,85.56099999999999
44,0,0,88.70599999999999
45,0,0,90.82
46,0,0,87.571
47,0,0,85.69
48,0,0,88.31400000000001
49,0,0,74.185
50,0,0,72.645
51,0,0,76.246
52,0,0,61.691
53,0,0,51.92
54,0,0,54.258
55,0,0,43.22
56,0,0,41.050000000000004
57,0,0,22.422
58,0,0,30.148999999999997
59,0,0,19.052
60,0,0,37.364000000000004
61,0,0,58.611000000000004
62,0,0,56.903
63,0,0,49.81
64,0,0,53.247
65,0,0,48.137
66,0,0,67.464
67,0,0,94.52000000000001
68,0,0,53.251
69,0,0,88.284
70,0,0,98.912
71,0,0,113.13
72,0,0,89.82600000000001
73,0,0,90.80799999999999
74,0,0,71.283
75,0,0,65.255
76,0,0,61.96
77,0,0,68.461
78,0,0,73.229
79,0,0,75.472
80,0,0,34.82
81,0,0,24.157
82,0,0,28.502
83,0,0,27.808
84,0,0,37.852
85,0,0,46.569
86,0,0,65.281
87,0,0,78.292
88,0,0,70.482
89,0,0,32.0
90,0,0,34.461
91,0,0,66.974
92,0,0,55.33
93,0,0,54.787
94,0,0,21.864
95,0,0,16.997999999999998
96,0,0,14.921999999999999
97,0,0,20.807
98,0,0,28.354
99,0,0,23.866
100,0,0,28.69
101,0,0,27.538
102,0,0,29.87
103,0,0,60.491
104,0,0,24.903000000000002
105,0,0,30.131999999999998
106,0,0,33.831
107,0,0,43.951
108,0,0,40.729
109,0,0,35.861
110,0,0,64.454
111,0,0,91.86
112,0,0,69.877
113,0,0,37.193999999999996
114,0,0,61.422
115,0,0,69.648
116,0,0,96.40700000000001
117,0,0,79.00500000000001
118,0,0,31.732999999999997
119,0,0,23.522000000000002
120,0,0,23.945999999999998
121,0,0,20.504
122,0,0,33.823
123,0,0,49.954
124,0,0,41.9
125,0,0,33.213
126,0,0,39.989
127,0,0,68.958
128,0,0,41.832
129,0,0,36.326
130,0,0,29.076
131,0,0,22.444
132,0,0,28.587
133,0,0,50.480999999999995
134,0,0,61.247
135,0,0,81.653
136,0,0,70.431
137,0,0,73.77799999999999
138,0,0,70.88
139,0,0,74.474
140,0,0,74.887
141,0,0,63.18600000000001
142,0,0,31.227
143,0,0,15.347
144,0,0,24.692
145,0,0,19.241999999999997
146,0,0,20.291
147,0,0,24.162
148,0,0,43.685
149,0,0,49.359
150,0,0,54.178
151,0,0,90.977
152,0,0,37.144999999999996
153,0,0,31.109
154,0,0,56.702000000000005
155,0,0,33.463
156,0,0,54.372
157,0,0,51.303000000000004
158,0,0,54.336000000000006
159,0,0,71.31800000000001
160,0,0,54.122
161,0,0,51.325
162,0,0,69.80600000000001
163,0,0,86.79
164,0,0,101.045
165,0,0,100.18
166,0,0,99.595
167,0,0,86.642
168,0,0,88.423
169,0,0,73.89999999999999
170,0,0,75.029
171,0,0,73.952
172,0,0,63.638
173,0,0,55.439
174,0,0,66.256
175,0,0,72.176
176,0,0,91.296
177,0,0,53.047
178,0,0,69.137
179,0,0,80.72200000000001
180,0,0,115.301
181,0,0,91.539
182,0,0,82.052
183,0,0,72.72000000000001
184,0,0,48.397999999999996
185,0,0,48.345
186,0,0,46.573
187,0,0,68.882
188,0,0,84.435
189,0,0,98.803
190,0,0,103.676
191,0,0,93.144
192,0,0,81.31099999999999
193,0,0,73.502
194,0,0,74.522
195,0,0,77.533
196,0,0,56.461999999999996
197,0,0,53.141
198,0,0,51.593
199,0,0,66.06099999999999
200,0,0,66.249
201,0,0,62.330000000000005
202,0,0,86.44300000000001
203,0,0,96.04400000000001
204,0,0,72.291
205,0,0,71.214
206,0,0,78.048
207,0,0,82.29899999999999
208,0,0,84.6
209,0,0,82.69600000000001
210,0,0,76.84100000000001
211,0,0,91.5
212,0,0,101.085
213,0,0,98.01899999999999
214,0,0,104.241
215,0,0,102.717
216,0,0,86.335
217,0,0,75.655
218,0,0,66.77900000000001
219,0,0,52.532000000000004
220,0,0,56.699
221,0,0,61.462999999999994
222,0,0,56.727
223,0,0,65.80199999999999
224,0,0,65.551
225,0,0,69.79599999999999
226,0,0,109.378
227,0,0,67.91999999999999
228,0,0,48.33
229,0,0,57.893
230,0,0,84.92099999999999
231,0,0,82.996
232,0,0,78.678
233,0,0,67.99900000000001
234,0,0,61.188
235,0,0,74.739
236,0,0,82.083
237,0,0,100.61399999999999
238,0,0,107.49499999999999
239,0,0,99.701
240,0,0,88.071
241,0,0,78.164
242,0,0,72.358
243,0,0,76.85799999999999
244,0,0,65.706
245,0,0,53.372
246,0,0,71.68599999999999
247,0,0,63.95000000000001
248,0,0,82.232
249,0,0,29.305
250,0,0,24.235
251,0,0,20.812
252,0,0,26.768
253,0,0,75.419
254,0,0,63.775
255,0,0,45.309000000000005
256,0,0,22.119
257,0,0,58.697
258,0,0,91.934
259,0,0,120.06500000000001
260,0,0,121.02799999999999
261,0,0,115.055
262,0,0,101.233
263,0,0,95.523
264,0,0,93.116
265,0,0,94.263
266,0,0,82.661
267,0,0,69.263
268,0,0,82.381
269,0,0,92.945
270,0,0,108.712
271,0,0,130.585
272,0,0,118.533
273,0,0,102.53099999999999
274,0,0,71.74
275,0,0,20.597
276,0,0,28.185000000000002
277,0,0,26.128999999999998
278,0,0,40.092000000000006
279,0,0,50.5
280,0,0,57.467999999999996
281,0,0,60.073
282,0,0,87.983
283,0,0,144.717
284,0,0,150.24699999999999
285,0,0,128.686
286,0,0,107.861
287,0,0,94.39200000000001
288,0,0,98.107
289,0,0,95.79799999999999
290,0,0,92.05499999999999
291,0,0,76.837
292,0,0,67.183
293,0,0,67.266
294,0,0,75.511
295,0,0,88.072
296,0,0,83.286
297,0,0,77.97900000000001
298,0,0,65.691
299,0,0,56.768
300,0,0,65.236
301,0,0,91.92500000000001
302,0,0,97.814
303,0,0,84.065
304,0,0,75.946
305,0,0,110.576
306,0,0,88.17
307,0,0,92.738
308,0,0,106.655
309,0,0,121.794
310,0,0,130.296
311,0,0,120.952
312,0,0,106.075
313,0,0,101.65
314,0,0,90.051
315,0,0,91.45100000000001
316,0,0,93.281
317,0,0,68.20400000000001
318,0,0,72.63
319,0,0,72.005
320,0,0,93.86
321,0,0,100.797
322,0,0,66.04400000000001
323,0,0,71.455
324,0,0,72.177
325,0,0,75.137
326,0,0,79.83500000000001
327,0,0,86.36099999999999
328,0,0,90.637
329,0,0,93.63499999999999
330,0,0,86.274
331,0,0,132.738
332,0,0,116.135
333,0,0,127.61200000000001
334,0,0,130.276
335,0,0,117.80300000000001
336,0,0,93.049
337,0,0,89.529
338,0,0,87.31800000000001
339,0,0,92.111
340,0,0,84.93900000000001
341,0,0,65.53399999999999
342,0,0,68.858
343,0,0,77.431
344,0,0,99.525
345,0,0,87.298
346,0,0,68.14099999999999
347,0,0,68.152
348,0,0,71.40199999999999
349,0,0,78.50999999999999
350,0,0,78.139
351,0,0,69.861
352,0,0,98.206
353,0,0,162.319
354,0,0,137.21
355,0,0,110.94900000000001
356,0,0,100.842
357,0,0,113.371
358,0,0,123.335
359,0,0,110.565
360,0,0,99.113
361,0,0,94.735
362,0,0,92.594
363,0,0,89.56400000000001
364,0,0,90.469
365,0,0,91.864
366,0,0,90.054
367,0,0,114.503
368,0,0,140.724
369,0,0,150.288
370,0,0,101.552
371,0,0,93.931
372,0,0,96.006
373,0,0,103.417
374,0,0,99.182
375,0,0,105.754
376,0,0,98.107
377,0,0,117.977
378,0,0,105.291
379,0,0,105.499
380,0,0,122.20100000000001
381,0,0,103.78800000000001
382,0,0,119.02699999999999
383,0,0,125.326
384,0,0,109.21799999999999
385,0,0,95.207
386,0,0,90.408
387,0,0,82.366
388,0,0,66.808
389,0,0,61.705999999999996
390,0,0,71.16300000000001
391,0,0,69.282
392,0,0,68.732
393,0,0,70.438
394,0,0,80.637
395,0,0,84.675
396,0,0,97.107
397,0,0,91.864
398,0,0,82.584
399,0,0,95.667
400,0,0,72.11099999999999
401,0,0,73.896
402,0,0,61.080000000000005
403,0,0,52.737
404,0,0,52.476
405,0,0,54.246
406,0,0,54.762
407,0,0,67.468
408,0,0,65.187
409,0,0,52.144999999999996
410,0,0,46.797
411,0,0,49.894
412,0,0,46.772
413,0,0,41.165
414,0,0,63.373
415,0,0,88.075
416,0,0,35.855
