,domestic,commercial,public
0,0,0,30.255
1,0,0,31.952
2,0,0,32.377
3,0,0,32.474999999999994
4,0,0,27.247
5,0,0,26.423
6,0,0,14.585
7,0,0,25.743
8,0,0,162.228
9,0,0,158.755
10,0,0,159.721
11,0,0,161.202
12,0,0,136.53199999999998
13,0,0,158.358
14,0,0,159.15699999999998
15,0,0,115.869
16,0,0,31.715
17,0,0,89.077
18,0,0,158.691
19,0,0,154.59400000000002
20,0,0,150.964
21,0,0,151.963
22,0,0,151.659
23,0,0,123.935
24,0,0,103.965
25,0,0,111.842
26,0,0,108.071
27,0,0,89.411
28,0,0,107.99499999999999
29,0,0,86.66600000000001
30,0,0,82.762
31,0,0,109.921
32,0,0,109.155
33,0,0,62.518
34,0,0,98.051
35,0,0,96.87
36,0,0,70.357
37,0,0,97.928
38,0,0,77.151
39,0,0,52.184000000000005
40,0,0,48.626999999999995
41,0,0,46.371
42,0,0,64.466
43,0,0,48.987
44,0,0,31.419000000000004
45,0,0,11.442
46,0,0,11.518
47,0,0,10.309000000000001
48,0,0,10.404
49,0,0,9.938
50,0,0,10.316
51,0,0,10.94
52,0,0,11.020999999999999
53,0,0,28.836000000000002
54,0,0,26.758
55,0,0,12.523
56,0,0,10.673
57,0,0,9.984
58,0,0,21.003999999999998
59,0,0,48.062
60,0,0,23.266
61,0,0,25.756999999999998
62,0,0,38.259
63,0,0,35.027
64,0,0,32.132
65,0,0,24.561
66,0,0,17.073999999999998
67,0,0,10.142999999999999
68,0,0,10.974
69,0,0,29.933
70,0,0,38.714
71,0,0,32.122
72,0,0,32.461
73,0,0,32.176
74,0,0,27.41
75,0,0,26.153
76,0,0,27.072
77,0,0,28.424000000000003
78,0,0,20.719
79,0,0,21.197
80,0,0,32.044000000000004
81,0,0,31.098
82,0,0,30.981
83,0,0,29.728
84,0,0,19.752
85,0,0,61.837
86,0,0,138.354
87,0,0,157.609
88,0,0,75.727
89,0,0,15.665999999999999
90,0,0,12.819
91,0,0,12.959
92,0,0,16.314
93,0,0,10.597999999999999
94,0,0,11.504999999999999
95,0,0,11.524
96,0,0,17.645999999999997
97,0,0,10.548
98,0,0,11.112
99,0,0,9.942
100,0,0,10.6
101,0,0,22.845000000000002
102,0,0,22.426000000000002
103,0,0,13.923
104,0,0,25.238
105,0,0,30.181
106,0,0,29.926000000000002
107,0,0,11.004999999999999
108,0,0,17.571
109,0,0,17.320999999999998
110,0,0,15.720999999999998
111,0,0,16.712999999999997
112,0,0,12.216
113,0,0,18.970000000000002
114,0,0,15.440000000000001
115,0,0,10.057
116,0,0,9.934
117,0,0,10.236
118,0,0,23.639
119,0,0,41.655
120,0,0,37.083
121,0,0,31.223
122,0,0,25.475
123,0,0,26.279
124,0,0,25.919
125,0,0,15.785
126,0,0,10.805
127,0,0,15.5
128,0,0,16.84
129,0,0,18.016000000000002
130,0,0,16.345
131,0,0,14.289
132,0,0,12.196
133,0,0,13.064
134,0,0,18.671
135,0,0,19.48
136,0,0,16.070999999999998
137,0,0,22.65
138,0,0,29.308
139,0,0,50.283
140,0,0,33.834999999999994
141,0,0,17.999000000000002
142,0,0,18.106
143,0,0,15.239
144,0,0,15.035
145,0,0,15.28
146,0,0,18.037000000000003
147,0,0,16.615000000000002
148,0,0,19.820999999999998
149,0,0,22.536
150,0,0,20.846
151,0,0,23.449
152,0,0,24.977
153,0,0,29.558
154,0,0,28.177
155,0,0,29.922
156,0,0,26.776999999999997
157,0,0,37.89
158,0,0,35.276
159,0,0,31.941999999999997
160,0,0,30.73
161,0,0,30.278
162,0,0,18.198
163,0,0,23.756
164,0,0,25.933999999999997
165,0,0,38.034
166,0,0,44.153
167,0,0,39.781
168,0,0,36.985
169,0,0,25.992
170,0,0,23.501
171,0,0,22.376
172,0,0,26.154
173,0,0,28.343
174,0,0,25.489
175,0,0,41.739
176,0,0,30.673
177,0,0,20.152
178,0,0,22.474
179,0,0,19.167
180,0,0,138.505
181,0,0,157.53900000000002
182,0,0,32.086000000000006
183,0,0,37.265
184,0,0,48.108
185,0,0,42.483
186,0,0,36.812
187,0,0,35.721999999999994
188,0,0,22.789
189,0,0,33.243
190,0,0,32.282
191,0,0,36.952
192,0,0,49.545
193,0,0,50.902
194,0,0,43.086
195,0,0,28.388
196,0,0,24.802999999999997
197,0,0,29.85
198,0,0,25.428
199,0,0,20.206
200,0,0,20.496
201,0,0,33.299
202,0,0,36.659
203,0,0,31.328000000000003
204,0,0,27.154999999999998
205,0,0,18.389
206,0,0,28.253
207,0,0,35.265
208,0,0,50.901
209,0,0,37.315
210,0,0,23.807
211,0,0,18.773999999999997
212,0,0,22.72
213,0,0,41.806000000000004
214,0,0,42.211
215,0,0,25.29
216,0,0,27.795
217,0,0,40.043
218,0,0,45.165
219,0,0,48.805
220,0,0,30.360000000000003
221,0,0,30.91
222,0,0,27.186
223,0,0,16.535
224,0,0,13.988999999999999
225,0,0,17.288
226,0,0,14.045
227,0,0,14.822000000000001
228,0,0,14.545
229,0,0,16.701
230,0,0,14.088
231,0,0,23.123
232,0,0,44.962
233,0,0,11.131
234,0,0,10.346
235,0,0,24.947
236,0,0,25.332
237,0,0,31.335
238,0,0,29.707
239,0,0,28.126
240,0,0,29.038
241,0,0,39.163000000000004
242,0,0,43.426
243,0,0,39.425000000000004
244,0,0,21.087999999999997
