,domestic,commercial,public
0,0,0,62.795
1,0,0,70.342
2,0,0,71.173
3,0,0,65.891
4,0,0,56.919
5,0,0,49.476
6,0,0,14.364
7,0,0,17.273
8,0,0,21.180999999999997
9,0,0,20.195999999999998
10,0,0,14.501
11,0,0,12.359
12,0,0,12.758000000000001
13,0,0,17.361
14,0,0,19.396
15,0,0,16.782999999999998
16,0,0,18.093999999999998
17,0,0,14.814
18,0,0,39.508
19,0,0,139.633
20,0,0,149.124
21,0,0,107.119
22,0,0,53.72
23,0,0,58.961
24,0,0,64.546
25,0,0,69.167
26,0,0,68.443
27,0,0,62.032
28,0,0,56.674
29,0,0,52.422000000000004
30,0,0,22.637
31,0,0,18.339000000000002
32,0,0,21.049
33,0,0,18.313
34,0,0,35.653
35,0,0,72.387
36,0,0,58.2
37,0,0,66.334
38,0,0,45.057
39,0,0,24.427
40,0,0,13.112
41,0,0,18.506
42,0,0,28.466
43,0,0,133.93099999999998
44,0,0,140.792
45,0,0,118.33200000000001
46,0,0,53.644999999999996
47,0,0,56.308
48,0,0,60.038000000000004
49,0,0,66.813
50,0,0,69.637
51,0,0,70.159
52,0,0,64.78699999999999
53,0,0,62.181
54,0,0,23.662
55,0,0,27.240000000000002
56,0,0,33.128
57,0,0,21.731
58,0,0,13.315999999999999
59,0,0,13.011
60,0,0,32.352
61,0,0,51.545
62,0,0,41.963
63,0,0,33.546
64,0,0,21.037
65,0,0,24.666
66,0,0,43.992999999999995
67,0,0,87.131
68,0,0,86.397
69,0,0,89.806
70,0,0,53.951
71,0,0,52.62
72,0,0,55.29
73,0,0,59.617000000000004
74,0,0,64.72500000000001
75,0,0,67.425
76,0,0,67.51899999999999
77,0,0,66.199
78,0,0,21.85
79,0,0,20.399
80,0,0,27.912
81,0,0,23.785
82,0,0,21.729
83,0,0,39.477
84,0,0,70.581
85,0,0,76.866
86,0,0,55.934999999999995
87,0,0,28.980999999999998
88,0,0,18.793
89,0,0,19.619999999999997
90,0,0,21.933
91,0,0,95.581
92,0,0,96.69500000000001
93,0,0,92.614
94,0,0,61.918
95,0,0,53.602
96,0,0,55.898
97,0,0,57.868
98,0,0,63.733
99,0,0,66.303
100,0,0,67.333
101,0,0,68.934
102,0,0,29.854
103,0,0,23.671999999999997
104,0,0,37.077
105,0,0,33.795
106,0,0,20.604
107,0,0,17.021
108,0,0,22.088
109,0,0,41.834999999999994
110,0,0,50.576
111,0,0,40.091
112,0,0,31.191
113,0,0,17.054
114,0,0,19.831999999999997
115,0,0,45.089
116,0,0,60.962
117,0,0,53.553000000000004
118,0,0,53.98
119,0,0,58.23
120,0,0,60.475
121,0,0,65.622
122,0,0,69.35
123,0,0,67.94200000000001
124,0,0,62.267
125,0,0,57.677
126,0,0,35.692
127,0,0,59.169
128,0,0,41.701
129,0,0,36.503
130,0,0,25.198999999999998
131,0,0,22.558999999999997
132,0,0,37.127
133,0,0,48.356
134,0,0,34.696
135,0,0,30.456
136,0,0,20.749
137,0,0,34.101
138,0,0,61.769999999999996
139,0,0,103.525
