,domestic,commercial,public
0,0,0,225.168
1,0,0,220.39800000000002
2,0,0,217.537
3,0,0,226.285
4,0,0,220.10399999999998
5,0,0,222.71099999999998
6,0,0,114.001
7,0,0,90.144
8,0,0,91.597
9,0,0,91.933
10,0,0,92.11800000000001
11,0,0,92.675
12,0,0,93.498
13,0,0,92.901
14,0,0,90.96700000000001
15,0,0,92.613
16,0,0,92.104
17,0,0,92.709
18,0,0,187.84
19,0,0,238.03
20,0,0,216.9
21,0,0,216.446
22,0,0,216.386
23,0,0,223.58700000000002
24,0,0,223.949
25,0,0,226.579
26,0,0,225.684
27,0,0,220.53400000000002
28,0,0,208.808
29,0,0,228.967
30,0,0,89.57600000000001
31,0,0,86.94399999999999
32,0,0,86.339
33,0,0,92.668
34,0,0,91.12299999999999
35,0,0,90.896
36,0,0,91.699
37,0,0,92.284
38,0,0,90.569
39,0,0,89.975
40,0,0,90.127
41,0,0,90.413
42,0,0,91.57300000000001
43,0,0,91.033
44,0,0,322.887
45,0,0,339.428
46,0,0,294.163
47,0,0,221.84599999999998
48,0,0,223.801
49,0,0,242.70600000000002
50,0,0,255.71300000000002
51,0,0,223.904
52,0,0,222.42000000000002
53,0,0,252.511
54,0,0,187.46699999999998
55,0,0,120.014
56,0,0,120.53
57,0,0,122.67
58,0,0,120.714
59,0,0,120.36800000000001
60,0,0,120.192
61,0,0,111.711
62,0,0,90.661
63,0,0,89.602
64,0,0,109.013
65,0,0,109.711
66,0,0,225.052
67,0,0,278.858
68,0,0,322.005
69,0,0,321.315
70,0,0,292.55199999999996
71,0,0,205.97199999999998
72,0,0,206.60899999999998
73,0,0,209.49300000000002
74,0,0,222.56799999999998
75,0,0,233.06
76,0,0,231.54
77,0,0,225.03500000000003
78,0,0,106.435
79,0,0,74.27300000000001
80,0,0,11.919
81,0,0,87.723
82,0,0,90.825
83,0,0,90.797
84,0,0,89.52499999999999
85,0,0,90.23200000000001
86,0,0,89.85799999999999
87,0,0,98.167
88,0,0,116.696
89,0,0,101.802
90,0,0,137.28199999999998
91,0,0,224.374
92,0,0,226.06
93,0,0,221.51999999999998
94,0,0,217.697
95,0,0,218.57999999999998
96,0,0,218.701
97,0,0,218.912
98,0,0,221.403
99,0,0,231.682
100,0,0,223.822
101,0,0,232.774
102,0,0,123.91199999999999
103,0,0,89.151
104,0,0,89.28999999999999
105,0,0,91.259
106,0,0,91.96600000000001
107,0,0,110.084
108,0,0,123.00999999999999
109,0,0,120.985
110,0,0,131.89000000000001
111,0,0,124.71000000000001
112,0,0,124.614
113,0,0,152.26000000000002
114,0,0,174.60600000000002
115,0,0,223.124
116,0,0,223.885
117,0,0,218.66299999999998
118,0,0,215.155
119,0,0,217.079
120,0,0,217.595
121,0,0,223.48299999999998
122,0,0,230.929
123,0,0,226.135
124,0,0,229.69500000000002
125,0,0,254.10899999999998
126,0,0,163.851
127,0,0,110.02199999999999
128,0,0,90.961
129,0,0,92.094
130,0,0,88.01
131,0,0,108.262
132,0,0,113.172
133,0,0,92.557
134,0,0,91.084
135,0,0,91.249
136,0,0,88.072
137,0,0,92.446
138,0,0,146.91899999999998
139,0,0,224.01299999999998
140,0,0,224.15699999999998
141,0,0,223.276
142,0,0,218.58700000000002
143,0,0,217.32199999999997
144,0,0,219.111
145,0,0,221.699
146,0,0,226.112
147,0,0,219.553
148,0,0,223.593
149,0,0,223.602
150,0,0,151.333
151,0,0,91.553
152,0,0,98.398
153,0,0,112.64399999999999
154,0,0,97.16199999999999
155,0,0,98.20700000000001
156,0,0,91.236
157,0,0,88.825
158,0,0,91.977
159,0,0,91.244
160,0,0,101.45400000000001
161,0,0,104.112
162,0,0,199.819
163,0,0,215.46599999999998
164,0,0,214.76700000000002
165,0,0,224.02700000000002
166,0,0,219.025
167,0,0,217.459
168,0,0,217.799
169,0,0,213.625
170,0,0,223.805
171,0,0,231.666
172,0,0,234.123
173,0,0,236.48
174,0,0,109.33800000000001
175,0,0,91.333
176,0,0,91.627
177,0,0,92.033
178,0,0,91.896
179,0,0,90.155
180,0,0,90.47
181,0,0,91.651
182,0,0,89.269
183,0,0,88.786
184,0,0,90.799
185,0,0,90.333
186,0,0,92.002
187,0,0,206.944
188,0,0,215.202
189,0,0,213.544
190,0,0,215.005
191,0,0,224.672
192,0,0,221.40699999999998
193,0,0,221.389
194,0,0,219.045
195,0,0,216.681
196,0,0,227.387
197,0,0,235.55200000000002
198,0,0,112.708
199,0,0,91.796
200,0,0,91.107
201,0,0,92.192
202,0,0,92.278
203,0,0,89.527
204,0,0,91.477
205,0,0,91.346
206,0,0,89.644
207,0,0,89.935
208,0,0,90.521
209,0,0,121.184
210,0,0,233.043
211,0,0,219.815
212,0,0,216.579
213,0,0,223.01399999999998
214,0,0,271.323
215,0,0,269.683
216,0,0,265.204
217,0,0,235.286
218,0,0,249.678
219,0,0,232.929
220,0,0,234.466
221,0,0,248.15699999999998
222,0,0,191.31699999999998
223,0,0,102.409
224,0,0,10.377
225,0,0,106.944
226,0,0,111.431
227,0,0,107.834
228,0,0,90.18299999999999
229,0,0,90.527
230,0,0,100.549
231,0,0,113.204
232,0,0,113.145
233,0,0,97.217
234,0,0,177.019
235,0,0,213.457
236,0,0,221.613
237,0,0,222.714
238,0,0,203.12800000000001
239,0,0,222.715
240,0,0,215.82999999999998
241,0,0,219.37
242,0,0,232.02800000000002
243,0,0,233.071
244,0,0,230.824
245,0,0,228.685
246,0,0,67.184
247,0,0,52.732
248,0,0,90.969
249,0,0,126.43199999999999
250,0,0,137.457
251,0,0,137.844
252,0,0,132.16400000000002
253,0,0,124.28999999999999
254,0,0,89.198
255,0,0,90.045
256,0,0,92.444
257,0,0,112.946
258,0,0,180.583
259,0,0,214.722
260,0,0,225.36700000000002
261,0,0,219.201
262,0,0,217.96099999999998
263,0,0,218.428
264,0,0,218.70800000000003
265,0,0,225.84699999999998
266,0,0,231.603
267,0,0,233.696
268,0,0,228.368
269,0,0,99.67399999999999
270,0,0,72.892
271,0,0,89.82900000000001
272,0,0,98.301
273,0,0,127.617
274,0,0,128.834
275,0,0,129.63
276,0,0,119.57900000000001
277,0,0,114.655
278,0,0,124.747
279,0,0,98.356
280,0,0,90.093
281,0,0,102.333
282,0,0,208.854
283,0,0,225.742
284,0,0,221.441
285,0,0,230.689
286,0,0,224.078
287,0,0,225.07
288,0,0,222.62
289,0,0,219.92600000000002
290,0,0,221.464
291,0,0,221.72400000000002
292,0,0,221.623
293,0,0,225.055
294,0,0,55.667
295,0,0,40.492
296,0,0,105.541
297,0,0,114.31099999999999
298,0,0,104.019
299,0,0,112.583
300,0,0,113.03399999999999
301,0,0,112.805
302,0,0,103.537
303,0,0,106.929
304,0,0,102.91799999999999
305,0,0,107.279
306,0,0,219.75400000000002
307,0,0,223.445
308,0,0,220.655
309,0,0,217.582
310,0,0,215.778
311,0,0,215.568
312,0,0,212.583
313,0,0,216.945
314,0,0,217.71599999999998
315,0,0,223.72400000000002
316,0,0,233.083
317,0,0,236.875
318,0,0,169.755
319,0,0,129.495
320,0,0,119.48400000000001
321,0,0,111.944
322,0,0,112.47699999999999
323,0,0,113.552
324,0,0,95.345
325,0,0,39.434999999999995
326,0,0,90.711
327,0,0,91.99799999999999
328,0,0,97.761
329,0,0,236.16799999999998
330,0,0,238.049
331,0,0,225.729
332,0,0,221.193
333,0,0,216.274
334,0,0,215.57100000000003
335,0,0,214.086
336,0,0,216.036
337,0,0,218.596
338,0,0,221.64000000000001
339,0,0,230.87099999999998
340,0,0,237.084
341,0,0,233.05100000000002
342,0,0,96.834
343,0,0,90.771
344,0,0,89.708
345,0,0,90.68900000000001
346,0,0,89.506
347,0,0,90.98299999999999
348,0,0,91.724
349,0,0,90.787
350,0,0,92.09100000000001
351,0,0,90.56
352,0,0,89.348
353,0,0,89.616
354,0,0,91.76299999999999
355,0,0,171.945
356,0,0,217.422
357,0,0,211.62900000000002
358,0,0,217.032
359,0,0,228.17499999999998
360,0,0,225.573
361,0,0,219.56400000000002
362,0,0,219.166
363,0,0,225.289
364,0,0,220.362
365,0,0,225.964
366,0,0,127.677
367,0,0,92.169
368,0,0,90.422
369,0,0,93.634
370,0,0,90.31500000000001
371,0,0,91.46700000000001
372,0,0,91.96799999999999
373,0,0,91.678
374,0,0,90.756
375,0,0,89.844
376,0,0,90.45599999999999
377,0,0,90.053
378,0,0,91.142
379,0,0,201.427
380,0,0,227.632
381,0,0,242.68200000000002
382,0,0,268.732
383,0,0,264.185
384,0,0,236.454
385,0,0,239.627
386,0,0,221.227
387,0,0,221.586
388,0,0,239.759
389,0,0,323.839
390,0,0,258.779
391,0,0,113.194
392,0,0,90.875
393,0,0,91.038
394,0,0,90.695
395,0,0,90.225
396,0,0,91.07300000000001
397,0,0,91.832
398,0,0,91.67999999999999
399,0,0,92.225
400,0,0,91.01299999999999
401,0,0,91.67
402,0,0,92.25500000000001
403,0,0,153.229
404,0,0,214.228
405,0,0,215.014
406,0,0,216.99599999999998
407,0,0,211.812
408,0,0,225.193
