,domestic,commercial,public
0,0,0,57.647
1,0,0,57.223000000000006
2,0,0,57.9
3,0,0,57.713
4,0,0,57.446999999999996
5,0,0,57.042
6,0,0,57.986000000000004
7,0,0,58.888999999999996
8,0,0,58.71
9,0,0,51.726
10,0,0,17.041
11,0,0,13.301
12,0,0,21.273
13,0,0,17.442
14,0,0,9.237
15,0,0,2.097
16,0,0,0.857
17,0,0,0.6859999999999999
18,0,0,0.599
19,0,0,56.294
20,0,0,58.375
21,0,0,58.579
22,0,0,57.695
23,0,0,58.543
24,0,0,58.393
25,0,0,57.403000000000006
26,0,0,57.467999999999996
27,0,0,57.513
28,0,0,57.465
29,0,0,57.069
30,0,0,57.492000000000004
31,0,0,58.82
32,0,0,60.244
33,0,0,60.011
34,0,0,60.706
35,0,0,61.269999999999996
36,0,0,60.824000000000005
37,0,0,60.377
38,0,0,48.778
39,0,0,31.072
40,0,0,8.788
41,0,0,11.275
42,0,0,2.738
43,0,0,0.0
44,0,0,0.0
45,0,0,16.278000000000002
46,0,0,20.032
47,0,0,20.976000000000003
48,0,0,20.496
49,0,0,20.378
50,0,0,20.165
51,0,0,20.153000000000002
52,0,0,19.977999999999998
53,0,0,20.269
54,0,0,19.902
55,0,0,15.765999999999998
56,0,0,2.941
57,0,0,2.669
58,0,0,2.068
59,0,0,2.251
60,0,0,3.108
61,0,0,2.758
62,0,0,2.4130000000000003
63,0,0,27.529999999999998
64,0,0,37.047999999999995
65,0,0,33.456
66,0,0,58.001999999999995
67,0,0,57.688
68,0,0,57.395
69,0,0,57.663
70,0,0,57.715
71,0,0,58.622
72,0,0,58.604000000000006
73,0,0,57.858
74,0,0,57.417
75,0,0,57.166000000000004
76,0,0,57.263
77,0,0,58.089
78,0,0,57.75
79,0,0,55.504
80,0,0,2.727
81,0,0,2.588
82,0,0,3.8409999999999997
83,0,0,20.015
84,0,0,32.357
85,0,0,33.548
86,0,0,29.718
87,0,0,16.417
88,0,0,17.945
89,0,0,14.878
90,0,0,13.582
91,0,0,44.284
92,0,0,59.773
93,0,0,58.104000000000006
94,0,0,41.846000000000004
95,0,0,57.139
96,0,0,50.382000000000005
97,0,0,41.757000000000005
98,0,0,46.25
99,0,0,58.757
100,0,0,58.708000000000006
101,0,0,57.909
102,0,0,46.041
103,0,0,29.6
104,0,0,17.67
105,0,0,33.014
106,0,0,34.893
107,0,0,34.204
108,0,0,33.080999999999996
109,0,0,35.275
110,0,0,42.577
111,0,0,38.684999999999995
112,0,0,11.695
113,0,0,3.811
114,0,0,3.483
115,0,0,9.334
116,0,0,22.098
117,0,0,21.11
118,0,0,21.059
119,0,0,21.013
120,0,0,20.182
121,0,0,20.858999999999998
122,0,0,19.692
123,0,0,20.163
124,0,0,19.740000000000002
125,0,0,21.586000000000002
126,0,0,22.436
127,0,0,22.290999999999997
128,0,0,3.317
129,0,0,12.932
130,0,0,21.348
131,0,0,18.011
132,0,0,18.34
133,0,0,19.089
134,0,0,19.064
135,0,0,18.901999999999997
136,0,0,18.87
137,0,0,3.1510000000000002
138,0,0,3.2750000000000004
139,0,0,22.629
140,0,0,22.401
141,0,0,22.599
142,0,0,21.55
143,0,0,22.326999999999998
144,0,0,20.151
145,0,0,19.432000000000002
146,0,0,20.289
147,0,0,22.265
148,0,0,21.355
149,0,0,21.478
150,0,0,21.865
151,0,0,13.162999999999998
152,0,0,15.848999999999998
153,0,0,28.179
154,0,0,48.46
155,0,0,34.798
156,0,0,21.825
157,0,0,25.654
158,0,0,47.214
159,0,0,42.254
160,0,0,9.96
161,0,0,2.677
162,0,0,20.787
163,0,0,59.745
164,0,0,59.18000000000001
165,0,0,59.172000000000004
166,0,0,58.131
167,0,0,59.142
168,0,0,58.969
169,0,0,59.077
170,0,0,58.544
171,0,0,58.66
172,0,0,58.247
173,0,0,58.226
174,0,0,58.867999999999995
175,0,0,59.086
176,0,0,60.568
177,0,0,61.358999999999995
178,0,0,47.03
179,0,0,19.27
180,0,0,18.116
181,0,0,18.977999999999998
182,0,0,17.944000000000003
183,0,0,18.572000000000003
184,0,0,19.123
185,0,0,18.544999999999998
186,0,0,30.34
187,0,0,59.156
188,0,0,58.954
189,0,0,59.623000000000005
190,0,0,58.766
191,0,0,57.909
192,0,0,58.035000000000004
193,0,0,58.722
194,0,0,58.517
195,0,0,57.747
196,0,0,58.296
197,0,0,58.088
198,0,0,57.511
199,0,0,49.891999999999996
200,0,0,47.127
201,0,0,30.473
202,0,0,39.858
203,0,0,39.217
204,0,0,30.028
205,0,0,28.326
206,0,0,17.872
207,0,0,22.599999999999998
208,0,0,32.730000000000004
209,0,0,28.811
210,0,0,30.996
211,0,0,58.611999999999995
212,0,0,58.534000000000006
213,0,0,58.803000000000004
214,0,0,58.761
215,0,0,58.634
216,0,0,58.683
217,0,0,59.557
218,0,0,58.001
219,0,0,58.507000000000005
220,0,0,58.983000000000004
221,0,0,57.622
222,0,0,50.611000000000004
223,0,0,18.21
224,0,0,43.458999999999996
225,0,0,45.489000000000004
226,0,0,52.597
227,0,0,49.467
228,0,0,12.829
229,0,0,4.14
230,0,0,22.408
231,0,0,24.407999999999998
232,0,0,19.417
233,0,0,18.651999999999997
234,0,0,23.012999999999998
235,0,0,59.75599999999999
236,0,0,59.198
237,0,0,58.38
238,0,0,58.979
239,0,0,57.819
240,0,0,58.967999999999996
241,0,0,58.403
242,0,0,59.324000000000005
243,0,0,58.437000000000005
244,0,0,58.717
245,0,0,58.969
246,0,0,58.125
247,0,0,34.224
248,0,0,14.126
249,0,0,26.134
250,0,0,20.933
251,0,0,15.695
252,0,0,3.771
253,0,0,3.3409999999999997
254,0,0,39.188
255,0,0,34.306000000000004
256,0,0,45.916
257,0,0,32.819
258,0,0,38.205000000000005
259,0,0,79.702
260,0,0,64.58800000000001
261,0,0,57.901
262,0,0,57.374
263,0,0,58.611000000000004
264,0,0,59.255
265,0,0,58.349
266,0,0,57.483
267,0,0,58.84
268,0,0,59.48
269,0,0,56.352
270,0,0,57.817
271,0,0,6.11
272,0,0,35.931
273,0,0,49.545
274,0,0,27.378
275,0,0,18.215
276,0,0,19.701
277,0,0,18.78
278,0,0,23.186
279,0,0,28.793
280,0,0,51.789
281,0,0,50.228
282,0,0,38.315000000000005
283,0,0,67.28099999999999
284,0,0,63.71300000000001
285,0,0,56.853
286,0,0,59.092999999999996
287,0,0,57.074
288,0,0,53.400000000000006
289,0,0,46.543
290,0,0,58.632
291,0,0,58.48
292,0,0,57.678
293,0,0,58.196999999999996
294,0,0,58.222
295,0,0,46.753
296,0,0,48.742
297,0,0,68.19699999999999
298,0,0,38.760999999999996
299,0,0,18.169999999999998
300,0,0,16.534
301,0,0,13.076
302,0,0,17.021
303,0,0,19.84
304,0,0,21.116
305,0,0,46.343
306,0,0,36.859
307,0,0,50.749
308,0,0,61.477999999999994
309,0,0,62.087999999999994
310,0,0,63.251000000000005
311,0,0,62.504000000000005
312,0,0,61.735
313,0,0,61.782999999999994
314,0,0,61.473
315,0,0,61.928
316,0,0,61.494
317,0,0,60.995
318,0,0,60.388999999999996
319,0,0,35.363
320,0,0,12.535
321,0,0,14.796999999999999
322,0,0,14.503
323,0,0,15.232000000000001
324,0,0,5.069
325,0,0,3.009
326,0,0,16.194
327,0,0,20.204
328,0,0,17.153000000000002
329,0,0,23.371
330,0,0,21.883
331,0,0,40.518
332,0,0,58.137
333,0,0,58.95
334,0,0,59.111
335,0,0,58.786
336,0,0,58.248000000000005
337,0,0,58.245
338,0,0,57.715
339,0,0,57.8
340,0,0,57.677
341,0,0,56.967
342,0,0,48.955
343,0,0,53.552
344,0,0,50.415
345,0,0,26.616999999999997
346,0,0,27.358
347,0,0,27.956000000000003
348,0,0,19.824
349,0,0,14.602
350,0,0,15.879999999999999
351,0,0,3.658
352,0,0,22.3147857142857
353,0,0,20.6216428571428
354,0,0,23.005499999999902
355,0,0,47.5534285714285
356,0,0,50.2731428571428
357,0,0,50.4359285714285
358,0,0,49.5259285714285
359,0,0,50.6499285714285
360,0,0,50.2098666666666
361,0,0,49.0392666666666
362,0,0,49.9246666666666
363,0,0,50.9419333333333
364,0,0,50.8352
365,0,0,50.5905333333333
366,0,0,48.9313333333333
367,0,0,37.1482
368,0,0,31.624066666666604
369,0,0,34.2486666666666
370,0,0,30.4516666666666
371,0,0,25.8048
372,0,0,21.112
373,0,0,19.8929999999999
374,0,0,24.5795999999999
375,0,0,23.2892
376,0,0,22.3147857142857
377,0,0,20.6216428571428
378,0,0,23.005499999999902
379,0,0,47.5534285714285
380,0,0,50.2731428571428
381,0,0,50.4359285714285
382,0,0,49.5259285714285
383,0,0,50.6499285714285
384,0,0,50.2098666666666
385,0,0,49.0392666666666
386,0,0,49.9246666666666
387,0,0,50.9419333333333
388,0,0,50.8352
389,0,0,50.5905333333333
390,0,0,48.9313333333333
391,0,0,37.1482
392,0,0,31.624066666666604
393,0,0,34.2486666666666
394,0,0,30.4516666666666
395,0,0,25.8048
396,0,0,21.112
397,0,0,19.8929999999999
398,0,0,24.5795999999999
399,0,0,23.2892
