,domestic,commercial,public
0,0,0,400.187
1,0,0,427.70399999999995
2,0,0,410.18
3,0,0,409.804
4,0,0,0.0
5,0,0,53.875370370370305
6,0,0,57.7889999999999
7,0,0,62.4024814814814
8,0,0,0.0
9,0,0,5.7749999999999995
10,0,0,51.947
11,0,0,49.564
12,0,0,52.454
13,0,0,57.33
14,0,0,61.089
15,0,0,58.808
16,0,0,59.534
17,0,0,55.199999999999996
18,0,0,50.561
19,0,0,46.166
20,0,0,47.466
21,0,0,49.279999999999994
22,0,0,48.717999999999996
23,0,0,49.146
24,0,0,49.026
25,0,0,51.095
26,0,0,53.785
27,0,0,55.586999999999996
28,0,0,53.153
29,0,0,49.696
30,0,0,48.714
31,0,0,56.469
32,0,0,57.467
33,0,0,82.226
34,0,0,104.25800000000001
35,0,0,106.297
36,0,0,95.13199999999999
37,0,0,111.124
38,0,0,92.19
39,0,0,70.48
40,0,0,60.492999999999995
41,0,0,56.826
42,0,0,52.047999999999995
43,0,0,52.854
44,0,0,63.53
45,0,0,65.699
46,0,0,67.788
47,0,0,66.51700000000001
48,0,0,68.715
49,0,0,73.646
50,0,0,76.254
51,0,0,73.03
52,0,0,67.401
53,0,0,56.193
54,0,0,50.171
55,0,0,11.396999999999998
56,0,0,13.957
57,0,0,16.542
58,0,0,17.83
59,0,0,18.816
60,0,0,20.889000000000003
61,0,0,24.108999999999998
62,0,0,33.102
63,0,0,43.545
64,0,0,39.744
65,0,0,47.744
66,0,0,66.687
67,0,0,63.014
68,0,0,64.583
69,0,0,66.57100000000001
70,0,0,65.875
71,0,0,66.528
72,0,0,70.983
73,0,0,73.91
74,0,0,72.80300000000001
75,0,0,66.96199999999999
76,0,0,56.771
77,0,0,56.711999999999996
78,0,0,55.318
79,0,0,52.109
80,0,0,46.533
81,0,0,56.959
82,0,0,55.687
83,0,0,49.503
84,0,0,52.775000000000006
85,0,0,52.765
86,0,0,38.955999999999996
87,0,0,40.111000000000004
88,0,0,40.696000000000005
89,0,0,36.986
90,0,0,34.556000000000004
91,0,0,33.169
92,0,0,33.279999999999994
93,0,0,33.372
94,0,0,32.906
95,0,0,32.995999999999995
96,0,0,33.379
97,0,0,35.983000000000004
98,0,0,37.837
99,0,0,39.072
100,0,0,35.888000000000005
101,0,0,28.962999999999997
102,0,0,16.476000000000003
103,0,0,11.546000000000001
104,0,0,14.477
105,0,0,17.597
106,0,0,24.437
107,0,0,27.759
108,0,0,28.563000000000002
109,0,0,58.647999999999996
110,0,0,61.626
111,0,0,65.39399999999999
112,0,0,58.053
113,0,0,51.755
114,0,0,92.222
115,0,0,92.367
116,0,0,90.527
117,0,0,89.952
118,0,0,94.18799999999999
119,0,0,98.378
120,0,0,102.476
121,0,0,104.615
122,0,0,111.734
123,0,0,112.00699999999999
124,0,0,97.569
125,0,0,86.852
126,0,0,84.235
127,0,0,72.55300000000001
128,0,0,52.777
129,0,0,58.806999999999995
130,0,0,54.357
131,0,0,50.409
132,0,0,49.358
133,0,0,57.986000000000004
134,0,0,60.814
135,0,0,58.812999999999995
136,0,0,39.959
137,0,0,41.383
138,0,0,50.992999999999995
139,0,0,46.639
140,0,0,47.663
141,0,0,62.272
142,0,0,66.786
143,0,0,67.18100000000001
144,0,0,66.703
145,0,0,69.5
146,0,0,73.105
147,0,0,75.659
148,0,0,74.109
149,0,0,66.13900000000001
150,0,0,57.334
151,0,0,61.238
152,0,0,60.937
153,0,0,53.725
154,0,0,54.379
155,0,0,62.016
156,0,0,67.776
157,0,0,72.04299999999999
158,0,0,69.967
159,0,0,66.719
160,0,0,83.528
161,0,0,79.646
162,0,0,67.131
163,0,0,63.931000000000004
164,0,0,64.641
165,0,0,67.322
166,0,0,67.971
167,0,0,68.513
