,domestic,commercial,public
0,0,0,136.829
1,0,0,128.605
2,0,0,122.458
3,0,0,127.65000000000002
4,0,0,126.13499999999999
5,0,0,123.106
6,0,0,37.824999999999996
7,0,0,12.685
8,0,0,10.998000000000001
9,0,0,12.439
10,0,0,16.938000000000002
11,0,0,17.212999999999997
12,0,0,12.449
13,0,0,10.040000000000001
14,0,0,9.998
15,0,0,9.956
16,0,0,9.91
17,0,0,9.993
18,0,0,26.628
19,0,0,131.154
20,0,0,134.186
21,0,0,129.34699999999998
22,0,0,129.798
23,0,0,127.20200000000001
24,0,0,116.05600000000001
25,0,0,111.337
26,0,0,116.63900000000001
27,0,0,111.16
28,0,0,116.913
29,0,0,105.959
30,0,0,31.034
31,0,0,10.35
32,0,0,14.996
33,0,0,17.371000000000002
34,0,0,16.910999999999998
35,0,0,11.908
36,0,0,10.398
37,0,0,9.911
38,0,0,10.078
39,0,0,10.42
40,0,0,10.777
41,0,0,9.5
42,0,0,10.120000000000001
43,0,0,78.61500000000001
44,0,0,119.866
45,0,0,136.09199999999998
46,0,0,145.19000000000003
47,0,0,142.907
48,0,0,143.51500000000001
49,0,0,130.448
50,0,0,136.98
51,0,0,120.20500000000001
52,0,0,121.332
53,0,0,114.896
54,0,0,19.917
55,0,0,10.107
56,0,0,15.779000000000002
57,0,0,17.313
58,0,0,17.343
59,0,0,16.295
60,0,0,20.421000000000003
61,0,0,18.626
62,0,0,14.475999999999999
63,0,0,13.549
64,0,0,29.13
65,0,0,21.156000000000002
66,0,0,32.933
67,0,0,120.36800000000001
68,0,0,127.26100000000001
69,0,0,130.635
70,0,0,249.31900000000002
71,0,0,230.579
72,0,0,127.26100000000001
73,0,0,122.649
74,0,0,115.552
75,0,0,114.042
76,0,0,115.14
77,0,0,119.48599999999999
78,0,0,29.631999999999998
79,0,0,21.981
80,0,0,29.7
81,0,0,33.056000000000004
82,0,0,37.182
83,0,0,43.652
84,0,0,23.936
85,0,0,13.861
86,0,0,10.665
87,0,0,23.191
88,0,0,25.273
89,0,0,16.906000000000002
90,0,0,39.446000000000005
91,0,0,125.696
92,0,0,150.91299999999998
93,0,0,314.773
94,0,0,193.906
95,0,0,136.909
96,0,0,277.067
97,0,0,311.371
98,0,0,316.50800000000004
99,0,0,226.53400000000002
100,0,0,71.46945000000001
101,0,0,66.4113809523809
102,0,0,54.9090526315789
103,0,0,0.146
104,0,0,13.081000000000001
105,0,0,25.627
106,0,0,26.109
107,0,0,29.318
108,0,0,28.431
109,0,0,38.132
110,0,0,37.657000000000004
111,0,0,56.027
112,0,0,50.911
113,0,0,13.376000000000001
114,0,0,39.949
115,0,0,140.97799999999998
116,0,0,145.01
117,0,0,151.16299999999998
118,0,0,156.754
119,0,0,166.137
120,0,0,155.56400000000002
121,0,0,146.75199999999998
122,0,0,147.096
123,0,0,133.333
124,0,0,129.89600000000002
125,0,0,115.065
126,0,0,12.613
127,0,0,16.844
128,0,0,17.653
129,0,0,19.749
130,0,0,26.058999999999997
131,0,0,44.964999999999996
132,0,0,25.267000000000003
133,0,0,13.682
134,0,0,29.88
135,0,0,31.446
136,0,0,53.376
137,0,0,45.634
138,0,0,85.58200000000001
139,0,0,141.703
140,0,0,149.197
141,0,0,211.304
142,0,0,216.68
143,0,0,141.906
144,0,0,140.047
145,0,0,138.932
146,0,0,137.166
147,0,0,134.266
148,0,0,130.138
149,0,0,114.525
150,0,0,20.009
151,0,0,17.559
152,0,0,41.778999999999996
153,0,0,51.056
154,0,0,27.869
155,0,0,25.398
156,0,0,16.904
157,0,0,12.523
158,0,0,35.835
159,0,0,27.732
160,0,0,26.501
161,0,0,25.855
162,0,0,36.809000000000005
163,0,0,147.054
164,0,0,140.047
165,0,0,132.442
166,0,0,129.747
167,0,0,128.771
168,0,0,127.061
169,0,0,119.864
170,0,0,112.389
171,0,0,111.274
172,0,0,112.565
173,0,0,106.64
174,0,0,20.147000000000002
175,0,0,11.353
176,0,0,11.763
177,0,0,23.208
178,0,0,17.685
179,0,0,31.764
180,0,0,15.265
181,0,0,11.325999999999999
182,0,0,26.001
183,0,0,23.48
184,0,0,19.975
185,0,0,14.34
186,0,0,22.827
187,0,0,118.98400000000001
