,domestic,commercial,public
0,0,0,24.809
1,0,0,9.273
2,0,0,8.623000000000001
3,0,0,7.257000000000001
4,0,0,6.364
5,0,0,4.859999999999999
6,0,0,2.2529999999999997
7,0,0,1.248
8,0,0,1.083
9,0,0,1.331
10,0,0,5.241
11,0,0,3.2279999999999998
12,0,0,3.317
13,0,0,2.2439999999999998
14,0,0,2.038
15,0,0,1.166
16,0,0,1.825
17,0,0,5.074000000000001
18,0,0,6.005
19,0,0,26.779
20,0,0,17.498
21,0,0,18.679000000000002
22,0,0,16.445
23,0,0,13.438
24,0,0,7.004
25,0,0,10.439
26,0,0,8.966999999999999
27,0,0,10.395
28,0,0,5.535
29,0,0,6.947
30,0,0,2.659
31,0,0,2.245
32,0,0,1.9940000000000002
33,0,0,2.1189999999999998
34,0,0,4.123
35,0,0,4.068
36,0,0,1.245
37,0,0,3.328
38,0,0,2.823
39,0,0,2.455
40,0,0,2.57
41,0,0,5.146000000000001
42,0,0,1.785
43,0,0,12.732999999999999
44,0,0,21.52
45,0,0,18.546
46,0,0,15.831000000000001
47,0,0,15.959999999999999
48,0,0,12.405
49,0,0,8.417
50,0,0,6.11
51,0,0,7.405
52,0,0,7.097
53,0,0,3.513
54,0,0,2.0869999999999997
55,0,0,2.0869999999999997
56,0,0,4.116
57,0,0,2.873
58,0,0,3.536
59,0,0,3.337
60,0,0,2.787
61,0,0,2.991
62,0,0,4.044
63,0,0,5.543
64,0,0,1.581
65,0,0,2.367
66,0,0,2.419
67,0,0,11.431000000000001
68,0,0,19.398
69,0,0,21.701999999999998
70,0,0,17.107
71,0,0,6.662999999999999
72,0,0,5.9319999999999995
73,0,0,5.577
74,0,0,5.5729999999999995
75,0,0,6.705
76,0,0,6.987
77,0,0,3.813
78,0,0,5.152
79,0,0,6.882
80,0,0,12.33
81,0,0,8.59
82,0,0,3.542
83,0,0,3.994
84,0,0,2.9160000000000004
85,0,0,2.4160000000000004
86,0,0,1.785
87,0,0,2.579
88,0,0,2.9520000000000004
89,0,0,1.4549999999999998
90,0,0,1.707
91,0,0,13.349
92,0,0,22.332
93,0,0,27.466
94,0,0,18.743
95,0,0,18.881999999999998
96,0,0,10.424
97,0,0,7.5360000000000005
98,0,0,7.911
99,0,0,11.738999999999999
100,0,0,11.488
101,0,0,8.671
102,0,0,4.675000000000001
103,0,0,6.742999999999999
104,0,0,2.791
105,0,0,3.283
106,0,0,4.087999999999999
107,0,0,2.078
108,0,0,3.455
109,0,0,1.9980000000000002
110,0,0,4.496
111,0,0,4.275
112,0,0,2.989
113,0,0,5.2090000000000005
114,0,0,4.297
115,0,0,14.258
116,0,0,33.694
117,0,0,18.856
118,0,0,18.637
119,0,0,9.428
120,0,0,8.78
121,0,0,5.805000000000001
122,0,0,12.050999999999998
123,0,0,4.478000000000001
124,0,0,7.101999999999999
125,0,0,6.857
126,0,0,7.15
127,0,0,15.69
128,0,0,35.896
129,0,0,2.957
130,0,0,3.372
131,0,0,4.039
132,0,0,1.5410000000000001
133,0,0,2.6189999999999998
134,0,0,6.098
135,0,0,1.286
136,0,0,1.7830000000000001
137,0,0,4.574
138,0,0,0.83
139,0,0,14.62
140,0,0,5.825
141,0,0,19.709
142,0,0,16.643
143,0,0,14.342
144,0,0,20.648
145,0,0,13.932
146,0,0,7.694
147,0,0,15.892
148,0,0,7.664
149,0,0,13.145
150,0,0,4.64
151,0,0,8.913
152,0,0,5.117
153,0,0,5.375
154,0,0,3.79
155,0,0,2.5820000000000003
156,0,0,2.615
157,0,0,2.6220000000000003
158,0,0,3.1679999999999997
159,0,0,3.707
160,0,0,1.704
161,0,0,2.819
162,0,0,4.4590000000000005
163,0,0,9.273
164,0,0,6.472
165,0,0,13.665000000000001
166,0,0,11.6
167,0,0,11.66
168,0,0,10.418000000000001
169,0,0,7.997000000000001
170,0,0,7.4879999999999995
171,0,0,11.033
172,0,0,8.068000000000001
173,0,0,6.322
174,0,0,3.544
175,0,0,1.4549999999999998
176,0,0,1.5430000000000001
177,0,0,1.9949999999999999
178,0,0,2.199
179,0,0,1.2489999999999999
180,0,0,2.784
181,0,0,1.828
182,0,0,2.287
183,0,0,1.746
184,0,0,2.0370000000000004
185,0,0,1.91
186,0,0,4.859999999999999
187,0,0,10.667
188,0,0,12.963000000000001
189,0,0,14.465
190,0,0,7.039
191,0,0,12.641
192,0,0,10.362
193,0,0,10.459
194,0,0,2.552
195,0,0,6.981
196,0,0,8.226
197,0,0,9.58
198,0,0,1.125
199,0,0,1.459
200,0,0,1.792
201,0,0,1.66
202,0,0,4.457
203,0,0,1.951
204,0,0,2.487
205,0,0,2.7
206,0,0,1.828
207,0,0,1.619
208,0,0,3.161
209,0,0,2.287
210,0,0,2.412
211,0,0,18.708
212,0,0,18.406
213,0,0,9.869
214,0,0,7.583
215,0,0,6.702
216,0,0,11.318
217,0,0,14.532
218,0,0,7.612
219,0,0,4.662
220,0,0,7.204999999999999
221,0,0,11.96
222,0,0,7.933000000000001
223,0,0,17.401
224,0,0,5.351
225,0,0,11.528
226,0,0,6.731
227,0,0,2.835
228,0,0,2.8289999999999997
229,0,0,2.081
230,0,0,3.715
231,0,0,2.209
232,0,0,2.746
233,0,0,2.121
234,0,0,3.879
235,0,0,8.479000000000001
236,0,0,11.455
237,0,0,11.673
238,0,0,12.14
239,0,0,11.213000000000001
240,0,0,7.835999999999999
241,0,0,8.256
242,0,0,2.762
243,0,0,8.997
244,0,0,8.635
245,0,0,7.059
246,0,0,8.325000000000001
247,0,0,14.246
248,0,0,7.738
249,0,0,5.8919999999999995
250,0,0,7.346
251,0,0,12.104000000000001
252,0,0,7.143
253,0,0,3.9589999999999996
254,0,0,1.704
255,0,0,2.624
256,0,0,3.335
257,0,0,2.077
258,0,0,3.156
259,0,0,9.292
260,0,0,11.693
261,0,0,26.435
262,0,0,9.597
263,0,0,14.706999999999999
264,0,0,12.036
265,0,0,8.654
266,0,0,11.362
267,0,0,10.92
268,0,0,2.494
269,0,0,6.9719999999999995
270,0,0,1.2930000000000001
271,0,0,9.473
272,0,0,9.138
273,0,0,3.342
274,0,0,2.627
275,0,0,4.255
276,0,0,4.851
277,0,0,1.4120000000000001
278,0,0,2.419
279,0,0,3.254
280,0,0,4.204000000000001
281,0,0,2.989
282,0,0,2.496
283,0,0,19.25
284,0,0,19.536
285,0,0,20.483
286,0,0,9.91
287,0,0,7.6930000000000005
288,0,0,10.875
289,0,0,11.880999999999998
290,0,0,5.273
291,0,0,14.017999999999999
292,0,0,8.155000000000001
293,0,0,6.823
294,0,0,2.963
295,0,0,11.043000000000001
296,0,0,5.476
297,0,0,11.969999999999999
298,0,0,7.199
299,0,0,3.803
300,0,0,2.96
301,0,0,3.2070000000000003
302,0,0,4.382
303,0,0,3.502
304,0,0,2.205
305,0,0,3.49
306,0,0,3.408
307,0,0,15.381
308,0,0,34.372
309,0,0,26.746
310,0,0,19.868
311,0,0,20.929
312,0,0,19.331
313,0,0,16.059
314,0,0,7.854
315,0,0,13.479
316,0,0,19.488
317,0,0,13.093
318,0,0,14.259
319,0,0,14.385
320,0,0,7.274
321,0,0,6.307
322,0,0,9.507
323,0,0,3.423
324,0,0,4.784
325,0,0,12.959999999999999
326,0,0,8.622
327,0,0,2.951
328,0,0,3.7880000000000003
329,0,0,5.827
330,0,0,1.575
331,0,0,10.552999999999999
332,0,0,20.369000000000003
333,0,0,36.937999999999995
334,0,0,19.849
335,0,0,15.630999999999998
336,0,0,8.741999999999999
337,0,0,17.409000000000002
338,0,0,13.0
339,0,0,12.55
340,0,0,18.617
341,0,0,7.420000000000001
342,0,0,3.797
343,0,0,1.874
344,0,0,1.747
345,0,0,4.041
346,0,0,1.668
347,0,0,5.243
348,0,0,1.915
349,0,0,3.66
350,0,0,2.408
351,0,0,3.532
352,0,0,1.4569999999999999
353,0,0,1.536
354,0,0,1.617
355,0,0,20.319
356,0,0,19.431
357,0,0,27.508000000000003
358,0,0,18.671
359,0,0,9.091999999999999
360,0,0,11.610000000000001
361,0,0,12.297
362,0,0,21.06
363,0,0,8.276
364,0,0,8.888
365,0,0,8.076
366,0,0,9.308
367,0,0,1.9949999999999999
368,0,0,3.615
369,0,0,3.622
370,0,0,2.6310000000000002
371,0,0,1.58
372,0,0,3.5260000000000002
373,0,0,2.0349999999999997
374,0,0,4.401999999999999
375,0,0,1.738
376,0,0,3.161
377,0,0,2.4130000000000003
378,0,0,2.951
379,0,0,1.91
380,0,0,10.883000000000001
381,0,0,18.349
382,0,0,11.934000000000001
383,0,0,2.9090000000000003
384,0,0,13.2
385,0,0,9.995000000000001
386,0,0,4.031
387,0,0,7.7780000000000005
388,0,0,9.232000000000001
389,0,0,10.486
390,0,0,11.096
391,0,0,13.064
392,0,0,5.4990000000000006
393,0,0,3.055
394,0,0,3.7520000000000002
395,0,0,4.048
396,0,0,4.414000000000001
397,0,0,6.186999999999999
398,0,0,6.0889999999999995
399,0,0,6.168
400,0,0,3.5010000000000003
401,0,0,3.858
402,0,0,2.407
403,0,0,23.328000000000003
404,0,0,25.862
405,0,0,32.368
406,0,0,27.067
407,0,0,10.843
408,0,0,21.529
409,0,0,25.27
410,0,0,19.834999999999997
411,0,0,21.11
412,0,0,16.404
413,0,0,18.781
414,0,0,8.285
415,0,0,15.254999999999999
416,0,0,5.303999999999999
417,0,0,4.087000000000001
418,0,0,5.114
419,0,0,5.013
420,0,0,4.712
421,0,0,3.9659999999999997
422,0,0,4.002000000000001
423,0,0,2.4160000000000004
424,0,0,2.918
425,0,0,3.994
426,0,0,2.2009999999999996
427,0,0,23.067
428,0,0,44.282000000000004
429,0,0,48.231
430,0,0,35.388999999999996
431,0,0,14.021
432,0,0,23.972
433,0,0,13.408
434,0,0,15.902
435,0,0,22.841
436,0,0,9.610000000000001
437,0,0,12.491
438,0,0,11.457
439,0,0,32.904
440,0,0,17.086000000000002
441,0,0,14.678999999999998
442,0,0,2.009
443,0,0,2.5010000000000003
444,0,0,4.5009999999999994
445,0,0,5.507
446,0,0,3.2529999999999997
447,0,0,2.085
448,0,0,3.3739999999999997
449,0,0,2.868
450,0,0,6.201
451,0,0,34.611999999999995
452,0,0,32.205
453,0,0,35.028999999999996
454,0,0,31.994000000000003
455,0,0,19.706000000000003
456,0,0,21.42
457,0,0,19.076
458,0,0,19.852999999999998
459,0,0,11.869
460,0,0,16.1
461,0,0,15.363
462,0,0,6.859999999999999
463,0,0,4.39
464,0,0,1.001
465,0,0,3.887
466,0,0,4.289000000000001
467,0,0,9.919
468,0,0,9.579
469,0,0,6.34
470,0,0,9.020999999999999
