,domestic,commercial,public
0,0,0,51.742999999999995
1,0,0,49.701
2,0,0,56.300999999999995
3,0,0,64.653
4,0,0,62.74399999999999
5,0,0,61.836
6,0,0,48.995
7,0,0,45.986
8,0,0,46.869
9,0,0,53.537
10,0,0,50.17400000000001
11,0,0,65.571
12,0,0,65.23700000000001
13,0,0,65.27199999999999
14,0,0,55.39
15,0,0,54.468
16,0,0,65.478
17,0,0,66.844
18,0,0,72.18900000000001
19,0,0,60.636
20,0,0,53.636
21,0,0,52.737
22,0,0,65.166
23,0,0,60.058
24,0,0,61.997
25,0,0,72.34
26,0,0,62.717999999999996
27,0,0,60.273
28,0,0,60.685
29,0,0,60.681
30,0,0,47.246
31,0,0,50.014
32,0,0,51.833999999999996
33,0,0,64.285
34,0,0,66.596
35,0,0,67.256
36,0,0,61.377
37,0,0,55.894
38,0,0,61.892999999999994
39,0,0,59.025
40,0,0,64.694
41,0,0,63.038999999999994
42,0,0,60.946
43,0,0,57.018
44,0,0,60.638999999999996
45,0,0,69.43299999999999
46,0,0,65.129
47,0,0,78.337
48,0,0,85.37100000000001
49,0,0,76.272
50,0,0,70.409
51,0,0,72.578
52,0,0,64.96499999999999
53,0,0,59.99
54,0,0,55.414
55,0,0,51.208999999999996
56,0,0,48.407
57,0,0,62.024
58,0,0,74.82600000000001
59,0,0,70.669
60,0,0,63.95000000000001
61,0,0,75.561
62,0,0,85.89
63,0,0,72.56899999999999
64,0,0,56.11
65,0,0,66.181
66,0,0,91.696
67,0,0,78.71300000000001
68,0,0,72.387
69,0,0,74.601
70,0,0,73.176
71,0,0,75.05000000000001
72,0,0,74.505
73,0,0,79.899
74,0,0,79.857
75,0,0,81.19
76,0,0,83.52
77,0,0,75.754
78,0,0,50.668
79,0,0,47.190000000000005
80,0,0,46.212999999999994
81,0,0,62.92399999999999
82,0,0,90.70100000000001
83,0,0,90.134
84,0,0,77.167
85,0,0,79.375
86,0,0,105.36
87,0,0,107.57700000000001
88,0,0,87.659
89,0,0,64.19999999999999
90,0,0,62.205999999999996
91,0,0,63.482
92,0,0,69.169
93,0,0,67.736
94,0,0,61.493
95,0,0,82.689
96,0,0,86.503
97,0,0,85.9
98,0,0,85.952
99,0,0,84.798
100,0,0,84.105
101,0,0,83.914
102,0,0,70.232
103,0,0,102.934
104,0,0,76.491
105,0,0,74.693
106,0,0,72.602
107,0,0,84.133
108,0,0,110.47800000000001
109,0,0,95.259
110,0,0,75.585
111,0,0,89.799
112,0,0,65.86
113,0,0,22.613
114,0,0,51.246
115,0,0,58.913
116,0,0,51.784
117,0,0,54.232
118,0,0,53.169000000000004
119,0,0,61.786
120,0,0,60.057
121,0,0,60.044
122,0,0,59.054
123,0,0,68.038
124,0,0,68.115
125,0,0,63.10300000000001
126,0,0,55.107000000000006
127,0,0,46.688
128,0,0,49.154
129,0,0,41.95
130,0,0,26.956
131,0,0,50.338
132,0,0,49.910000000000004
133,0,0,32.214
134,0,0,52.129000000000005
135,0,0,58.84
136,0,0,42.248
137,0,0,47.037
138,0,0,48.171
139,0,0,38.085
140,0,0,38.839999999999996
141,0,0,30.508
142,0,0,37.033
143,0,0,54.326
144,0,0,51.123000000000005
145,0,0,47.326
146,0,0,52.205
147,0,0,46.736
148,0,0,37.971
149,0,0,36.651
150,0,0,30.212
151,0,0,57.292
152,0,0,102.18
153,0,0,89.13799999999999
154,0,0,88.63300000000001
155,0,0,81.873
156,0,0,88.907
157,0,0,81.054
158,0,0,73.568
159,0,0,81.606
160,0,0,74.115
161,0,0,62.315000000000005
162,0,0,71.991
163,0,0,65.68499999999999
164,0,0,66.787
165,0,0,56.071999999999996
166,0,0,54.725
167,0,0,63.512
168,0,0,67.013
169,0,0,65.782
170,0,0,75.491
171,0,0,85.177
172,0,0,76.414
173,0,0,77.308
174,0,0,61.735
175,0,0,52.934000000000005
176,0,0,52.91
177,0,0,45.174
178,0,0,53.117999999999995
179,0,0,71.677
180,0,0,59.276
181,0,0,44.947
182,0,0,41.491
183,0,0,44.247
184,0,0,43.176
185,0,0,46.876
186,0,0,54.231
187,0,0,64.788
188,0,0,62.22
189,0,0,66.103
190,0,0,50.796
191,0,0,63.431000000000004
192,0,0,62.461999999999996
193,0,0,63.734
194,0,0,62.97
