,domestic,commercial,public
0,0,0,40.400999999999996
1,0,0,41.539
2,0,0,46.912
3,0,0,42.458999999999996
4,0,0,17.228
5,0,0,6.513
6,0,0,4.237
7,0,0,1.883
8,0,0,13.370999999999999
9,0,0,13.011999999999999
10,0,0,9.440999999999999
11,0,0,9.905000000000001
12,0,0,9.397
13,0,0,7.979
14,0,0,5.987
15,0,0,8.841999999999999
16,0,0,5.619
17,0,0,9.389
18,0,0,11.841000000000001
19,0,0,24.587999999999997
20,0,0,33.131
21,0,0,38.150999999999996
22,0,0,40.847
23,0,0,41.169
24,0,0,40.715
25,0,0,42.668
26,0,0,45.936
27,0,0,48.328
28,0,0,52.41
29,0,0,35.735
30,0,0,2.387
31,0,0,0.41800000000000004
32,0,0,6.798
33,0,0,9.728
34,0,0,9.41
35,0,0,9.483
36,0,0,9.232000000000001
37,0,0,6.54
38,0,0,4.1339999999999995
39,0,0,4.182
40,0,0,1.795
41,0,0,8.717
42,0,0,14.187
43,0,0,22.844
44,0,0,31.011
45,0,0,39.247
46,0,0,41.19
47,0,0,43.015
48,0,0,38.478
49,0,0,42.215999999999994
50,0,0,43.632
51,0,0,48.842999999999996
52,0,0,49.317
53,0,0,26.252000000000002
54,0,0,3.483
55,0,0,3.016
56,0,0,10.841
57,0,0,11.769
58,0,0,7.927999999999999
59,0,0,9.404
60,0,0,11.384
61,0,0,9.908999999999999
62,0,0,9.401
63,0,0,9.655000000000001
64,0,0,5.62
65,0,0,8.558
66,0,0,15.285
67,0,0,28.881
68,0,0,36.393
69,0,0,37.181
70,0,0,38.003
71,0,0,40.254
72,0,0,41.534
73,0,0,44.471999999999994
74,0,0,48.006
75,0,0,51.035
76,0,0,53.219
77,0,0,35.028
78,0,0,20.295
79,0,0,42.874
80,0,0,23.744
81,0,0,15.235
82,0,0,8.736
83,0,0,12.326
84,0,0,11.77
85,0,0,11.253
86,0,0,27.552
87,0,0,22.955
88,0,0,9.817
89,0,0,6.084
90,0,0,16.753
91,0,0,24.122999999999998
92,0,0,36.518
93,0,0,38.202
94,0,0,40.294000000000004
95,0,0,41.494
