,domestic,commercial,public
0,0,0,30.078
1,0,0,30.592000000000002
2,0,0,31.295
3,0,0,33.215
4,0,0,33.664
5,0,0,28.277
6,0,0,11.057
7,0,0,12.815999999999999
8,0,0,13.902
9,0,0,13.355
10,0,0,18.950000000000003
11,0,0,20.745
12,0,0,17.652
13,0,0,15.305
14,0,0,15.089
15,0,0,15.049
16,0,0,14.856
17,0,0,15.145999999999999
18,0,0,18.654
19,0,0,44.526
20,0,0,43.359
21,0,0,40.855000000000004
22,0,0,37.379000000000005
23,0,0,35.827
24,0,0,31.399000000000004
25,0,0,30.702
26,0,0,32.73800000000001
27,0,0,33.029
28,0,0,34.261
29,0,0,31.877999999999997
30,0,0,13.445
31,0,0,14.346
32,0,0,14.057
33,0,0,13.934000000000001
34,0,0,20.703
35,0,0,19.41
36,0,0,16.473000000000003
37,0,0,15.015
38,0,0,15.183
39,0,0,15.221
40,0,0,14.8
41,0,0,14.808
42,0,0,19.616000000000003
43,0,0,42.437999999999995
44,0,0,42.281
45,0,0,39.28
46,0,0,34.978
47,0,0,34.21
48,0,0,30.822
49,0,0,30.533
50,0,0,33.67
51,0,0,33.245999999999995
52,0,0,32.33
53,0,0,25.258
54,0,0,12.561
55,0,0,27.718
56,0,0,33.188
57,0,0,38.394999999999996
58,0,0,55.446000000000005
59,0,0,66.55
60,0,0,53.197
61,0,0,63.537
62,0,0,64.293
63,0,0,24.836000000000002
64,0,0,14.637
65,0,0,15.389
66,0,0,24.094
67,0,0,46.529
68,0,0,43.99
69,0,0,39.565000000000005
70,0,0,37.682
71,0,0,32.412000000000006
72,0,0,30.365
73,0,0,30.831
74,0,0,34.295
75,0,0,33.309
76,0,0,29.195
77,0,0,25.76
78,0,0,15.547
79,0,0,41.506
80,0,0,44.831999999999994
81,0,0,35.409000000000006
82,0,0,40.598
83,0,0,40.325
84,0,0,43.352000000000004
85,0,0,64.358
86,0,0,73.051
87,0,0,73.842
88,0,0,38.508
89,0,0,38.585
90,0,0,45.411
91,0,0,64.043
92,0,0,60.18
93,0,0,57.495
94,0,0,54.908
95,0,0,50.965
96,0,0,47.641000000000005
97,0,0,46.062
98,0,0,46.806
99,0,0,47.548
100,0,0,49.663
101,0,0,48.413
102,0,0,31.674
103,0,0,48.466
104,0,0,49.785000000000004
105,0,0,39.485
106,0,0,44.274
107,0,0,64.219
108,0,0,71.925
109,0,0,52.253
110,0,0,51.785
111,0,0,57.174
112,0,0,23.437
113,0,0,15.517
114,0,0,25.086000000000002
115,0,0,47.077
116,0,0,47.467
117,0,0,43.772
118,0,0,41.156
119,0,0,36.141
120,0,0,32.153
121,0,0,31.537000000000003
122,0,0,32.541000000000004
123,0,0,35.668
124,0,0,33.741
125,0,0,26.423
126,0,0,20.293
127,0,0,64.843
128,0,0,94.202
129,0,0,90.007
130,0,0,64.724
131,0,0,53.415
132,0,0,53.285
133,0,0,51.562999999999995
134,0,0,66.228
135,0,0,101.25099999999999
136,0,0,32.466
137,0,0,27.548
138,0,0,33.329
139,0,0,56.46
140,0,0,52.762
141,0,0,47.684999999999995
142,0,0,42.842999999999996
143,0,0,39.707
144,0,0,38.574999999999996
145,0,0,40.944
146,0,0,41.385
147,0,0,39.176
148,0,0,37.545
149,0,0,36.327999999999996
150,0,0,30.846999999999998
151,0,0,84.451
152,0,0,94.925
153,0,0,88.673
154,0,0,61.708
155,0,0,42.344
156,0,0,47.184999999999995
157,0,0,62.971
158,0,0,57.492000000000004
159,0,0,65.95700000000001
160,0,0,22.516000000000002
161,0,0,15.976
162,0,0,25.898
163,0,0,43.171
164,0,0,36.713
165,0,0,31.541
166,0,0,31.712999999999997
167,0,0,32.453
168,0,0,33.698
169,0,0,34.031
170,0,0,33.123
171,0,0,31.666
172,0,0,29.696
173,0,0,28.002
174,0,0,12.906
175,0,0,16.788
176,0,0,17.661
177,0,0,14.182
178,0,0,15.189
179,0,0,19.532999999999998
180,0,0,19.657999999999998
181,0,0,18.318
182,0,0,16.264
183,0,0,15.391
184,0,0,16.191
185,0,0,16.907
186,0,0,27.819
187,0,0,42.046
188,0,0,38.17
189,0,0,32.867
190,0,0,31.546
191,0,0,34.522
192,0,0,34.649
193,0,0,33.878
194,0,0,31.659
195,0,0,30.047
196,0,0,31.282999999999998
197,0,0,27.605999999999998
198,0,0,10.644
199,0,0,12.023000000000001
200,0,0,14.187
