,domestic,commercial,public
0,0,0,22.479
1,0,0,21.822000000000003
2,0,0,21.69
3,0,0,21.368000000000002
4,0,0,21.332
5,0,0,21.315
6,0,0,21.82
7,0,0,21.016
8,0,0,20.500999999999998
9,0,0,21.633
10,0,0,20.345
11,0,0,20.057
12,0,0,21.555999999999997
13,0,0,23.181
14,0,0,23.477999999999998
15,0,0,22.647000000000002
16,0,0,23.519000000000002
17,0,0,22.984
18,0,0,22.671
19,0,0,26.686999999999998
20,0,0,26.360000000000003
21,0,0,26.817
22,0,0,27.657999999999998
23,0,0,25.691
24,0,0,25.495
25,0,0,24.867
26,0,0,24.598
27,0,0,23.921999999999997
28,0,0,25.482999999999997
29,0,0,23.764
30,0,0,20.093
31,0,0,22.294
32,0,0,22.136
33,0,0,22.102
34,0,0,22.181
35,0,0,23.129
36,0,0,22.555
37,0,0,21.346
38,0,0,22.657
39,0,0,22.669999999999998
40,0,0,22.338
41,0,0,22.359
42,0,0,22.191
43,0,0,29.741
44,0,0,27.159
45,0,0,25.207
46,0,0,26.505999999999997
47,0,0,26.379
48,0,0,24.401
49,0,0,23.591
50,0,0,25.87
51,0,0,24.701
52,0,0,25.803
53,0,0,26.991
54,0,0,21.489
55,0,0,22.4
56,0,0,34.833999999999996
57,0,0,59.625
58,0,0,66.219
59,0,0,44.221999999999994
60,0,0,28.410999999999998
61,0,0,26.869
62,0,0,33.041000000000004
63,0,0,69.09899999999999
64,0,0,51.799
65,0,0,34.516
66,0,0,40.038
67,0,0,65.238
68,0,0,65.247
69,0,0,65.298
70,0,0,64.648
71,0,0,65.64699999999999
72,0,0,63.214999999999996
73,0,0,64.726
74,0,0,65.423
75,0,0,66.231
76,0,0,66.289
77,0,0,64.71499999999999
78,0,0,30.71
79,0,0,63.427
80,0,0,59.974
81,0,0,72.08399999999999
82,0,0,70.679
83,0,0,69.688
84,0,0,49.014
85,0,0,29.966
86,0,0,38.854
87,0,0,32.791000000000004
88,0,0,42.041000000000004
89,0,0,27.192999999999998
90,0,0,37.638
91,0,0,142.163
92,0,0,138.11200000000002
93,0,0,124.366
94,0,0,111.926
95,0,0,112.01700000000001
96,0,0,114.372
97,0,0,109.429
98,0,0,114.33200000000001
99,0,0,113.453
100,0,0,112.898
101,0,0,119.12599999999999
102,0,0,113.488
103,0,0,66.213
104,0,0,53.719
105,0,0,40.848
106,0,0,27.134999999999998
107,0,0,26.571
108,0,0,26.395
109,0,0,22.047
110,0,0,26.642
111,0,0,40.391999999999996
112,0,0,91.769
113,0,0,51.315
114,0,0,48.891999999999996
115,0,0,136.935
116,0,0,136.65099999999998
117,0,0,123.409
118,0,0,113.739
