,domestic,commercial,public
0,0,0,34.1
1,0,0,35.742000000000004
2,0,0,40.995999999999995
3,0,0,43.144
4,0,0,45.195
5,0,0,50.016
6,0,0,28.961000000000002
7,0,0,26.685
8,0,0,20.603
9,0,0,25.909000000000002
10,0,0,29.39
11,0,0,65.751
12,0,0,108.486
13,0,0,93.418
14,0,0,73.7
15,0,0,45.16
16,0,0,49.806000000000004
17,0,0,56.33
18,0,0,30.956999999999997
19,0,0,36.572
20,0,0,31.729
21,0,0,23.088
22,0,0,23.737000000000002
23,0,0,22.682000000000002
24,0,0,25.328
25,0,0,28.506
26,0,0,27.454
27,0,0,29.035999999999998
28,0,0,32.044000000000004
29,0,0,33.034
30,0,0,21.919
31,0,0,25.55
32,0,0,31.517999999999997
33,0,0,20.978
34,0,0,19.328000000000003
35,0,0,20.144
36,0,0,20.508
37,0,0,21.422
38,0,0,22.835
39,0,0,20.412
40,0,0,27.917
41,0,0,40.117
42,0,0,42.287
43,0,0,39.353
44,0,0,36.225
45,0,0,31.532999999999998
46,0,0,25.225
47,0,0,22.608
48,0,0,24.594
49,0,0,27.033
50,0,0,28.466
51,0,0,29.147
52,0,0,34.344
53,0,0,35.624
54,0,0,24.055
55,0,0,24.930999999999997
56,0,0,31.635999999999996
57,0,0,28.419
58,0,0,16.418
59,0,0,18.428
60,0,0,24.544
61,0,0,24.985
62,0,0,16.507
63,0,0,14.612
64,0,0,18.492
65,0,0,15.601
66,0,0,20.43
67,0,0,17.779
68,0,0,19.121
69,0,0,18.506
70,0,0,15.644000000000002
71,0,0,15.85
72,0,0,16.244
73,0,0,17.598
74,0,0,18.492
75,0,0,17.891000000000002
76,0,0,18.895
77,0,0,21.218
78,0,0,14.093
79,0,0,13.939
80,0,0,16.194
81,0,0,15.640999999999998
82,0,0,22.183999999999997
83,0,0,34.119
84,0,0,17.000999999999998
85,0,0,15.035
86,0,0,12.596
87,0,0,17.713
88,0,0,14.066
89,0,0,14.845
90,0,0,16.349
91,0,0,25.06
92,0,0,23.015
93,0,0,19.18
94,0,0,17.663
95,0,0,14.866000000000001
96,0,0,15.858
97,0,0,15.905
98,0,0,18.043
99,0,0,18.405
100,0,0,18.374000000000002
101,0,0,19.759
102,0,0,14.834
103,0,0,16.636000000000003
104,0,0,18.316
105,0,0,19.769
106,0,0,23.099
107,0,0,14.834999999999999
108,0,0,15.959000000000001
109,0,0,27.044999999999998
110,0,0,23.401000000000003
111,0,0,14.321
112,0,0,18.866
113,0,0,19.088
114,0,0,18.816
115,0,0,19.154999999999998
116,0,0,18.415999999999997
117,0,0,18.07
118,0,0,16.337999999999997
119,0,0,15.493
120,0,0,16.324
121,0,0,18.047
122,0,0,16.86
123,0,0,17.81
124,0,0,19.281
125,0,0,20.262
126,0,0,22.561
127,0,0,27.418000000000003
128,0,0,31.953000000000003
129,0,0,20.569
130,0,0,12.197
131,0,0,15.109
132,0,0,31.776
133,0,0,24.834
134,0,0,19.195
135,0,0,29.756999999999998
136,0,0,36.491
137,0,0,27.73
138,0,0,16.889999999999997
139,0,0,21.142999999999997
140,0,0,20.428
141,0,0,19.284
142,0,0,18.587
143,0,0,16.774
144,0,0,15.709000000000001
145,0,0,16.056
146,0,0,16.436
147,0,0,17.775
148,0,0,18.433999999999997
149,0,0,17.871000000000002
150,0,0,15.746
151,0,0,19.324
152,0,0,25.218999999999998
153,0,0,22.768
154,0,0,23.449
155,0,0,45.394
156,0,0,40.236000000000004
157,0,0,26.238
158,0,0,17.245
159,0,0,21.374000000000002
160,0,0,19.61
161,0,0,23.444
162,0,0,26.245
163,0,0,20.382
164,0,0,20.942
165,0,0,19.109
