,domestic,commercial,public
0,392.0,200.0,500.0
1,316.0,0.0,500.0
2,410.0,0.0,500.0
3,400.0,200.0,0.0
4,372.0,0.0,0.0
5,373.0,0.0,0.0
6,512.0,0.0,0.0
7,100.0,750.0,0.0
8,105.0,1850.0,0.0
9,135.0,1850.0,0.0
10,100.0,2150.0,0.0
11,140.0,2900.0,0.0
12,155.0,1100.0,0.0
13,140.0,750.0,0.0
14,105.0,900.0,0.0
15,130.0,550.0,0.0
16,130.0,1650.0,0.0
17,644.0,1850.0,0.0
18,1264.0,200.0,500.0
19,1196.0,400.0,500.0
20,1261.0,950.0,500.0
21,1140.0,0.0,500.0
22,892.0,0.0,500.0
23,657.0,0.0,500.0
24,370.0,0.0,500.0
25,383.0,0.0,500.0
26,377.0,0.0,500.0
27,413.0,0.0,0.0
28,385.0,0.0,0.0
29,424.0,0.0,0.0
30,505.0,0.0,0.0
31,80.0,0.0,0.0
32,60.0,1100.0,0.0
33,110.0,200.0,0.0
34,135.0,1500.0,0.0
35,155.0,350.0,0.0
36,140.0,1800.0,0.0
37,115.0,550.0,0.0
38,125.0,1300.0,0.0
39,150.0,1150.0,0.0
40,100.0,2000.0,0.0
41,720.0,1450.0,0.0
42,1267.0,950.0,500.0
43,1195.0,550.0,500.0
44,1179.0,200.0,500.0
45,1012.0,550.0,500.0
46,807.0,0.0,500.0
47,690.0,0.0,500.0
48,406.0,0.0,500.0
49,399.0,0.0,500.0
50,424.0,200.0,500.0
51,444.0,0.0,0.0
52,340.0,0.0,0.0
53,352.0,0.0,0.0
54,420.0,350.0,0.0
55,80.0,750.0,0.0
56,80.0,950.0,0.0
57,125.0,900.0,0.0
58,130.0,2000.0,0.0
59,120.0,1500.0,0.0
60,140.0,350.0,0.0
61,85.0,900.0,0.0
62,100.0,1850.0,0.0
63,130.0,1450.0,0.0
64,150.0,1500.0,0.0
65,590.0,2200.0,0.0
66,1290.0,750.0,500.0
67,1266.0,400.0,500.0
68,1262.0,750.0,500.0
69,1129.0,200.0,500.0
70,784.0,0.0,500.0
71,672.0,0.0,500.0
72,400.0,0.0,500.0
73,386.0,0.0,500.0
74,392.0,0.0,500.0
75,367.0,750.0,0.0
76,427.0,0.0,0.0
77,363.0,0.0,0.0
78,460.0,0.0,0.0
79,55.0,750.0,0.0
80,130.0,2050.0,0.0
81,110.0,900.0,0.0
82,120.0,950.0,0.0
83,90.0,1100.0,0.0
