electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,24.282,0.0
0.0,0.0,0.0,24.21,0.0
0.0,0.0,0.0,24.123,0.0
0.0,0.0,0.0,24.135,0.0
0.0,0.0,0.0,23.996,0.0
0.0,0.0,0.0,23.945,0.0
0.011,0.0,0.023,24.205,0.023
0.149,0.052000000000000005,0.11800000000000001,25.494,0.17
0.34600000000000003,0.226,0.155,27.302,0.381
0.555,0.504,0.128,29.527,0.632
0.671,0.659,0.133,31.35,0.792
0.73,0.737,0.145,32.667,0.882
0.741,0.748,0.153,33.468,0.901
0.708,0.7030000000000001,0.153,33.868,0.8560000000000001
0.631,0.603,0.146,33.852,0.749
0.501,0.441,0.137,33.271,0.5780000000000001
0.327,0.244,0.126,32.193,0.37
0.124,0.052000000000000005,0.095,30.551,0.14700000000000002
0.003,0.0,0.012,28.477,0.012
0.0,0.0,0.0,27.071,0.0
0.0,0.0,0.0,26.251,0.0
0.0,0.0,0.0,25.697,0.0
0.0,0.0,0.0,25.281,0.0
0.0,0.0,0.0,24.952,0.0
0.0,0.0,0.0,24.738,0.0
0.0,0.0,0.0,24.608,0.0
0.0,0.0,0.0,24.493,0.0
0.0,0.0,0.0,24.384,0.0
0.0,0.0,0.0,24.265,0.0
0.0,0.0,0.0,24.128,0.0
0.012,0.0,0.024,24.244,0.024
0.159,0.074,0.107,25.723,0.181
0.385,0.319,0.108,27.859,0.427
0.5690000000000001,0.55,0.10200000000000001,30.309,0.652
0.6880000000000001,0.714,0.106,32.495,0.82
0.754,0.8150000000000001,0.11,34.129,0.925
0.771,0.848,0.11,35.201,0.958
0.739,0.802,0.109,35.681,0.911
0.658,0.687,0.106,35.541,0.793
0.523,0.505,0.10400000000000001,34.746,0.609
0.339,0.28500000000000003,0.1,33.382,0.385
0.135,0.08,0.081,31.417,0.161
0.003,0.0,0.011,28.994,0.011
0.0,0.0,0.0,27.374,0.0
0.0,0.0,0.0,26.457,0.0
0.0,0.0,0.0,25.892,0.0
0.0,0.0,0.0,25.479,0.0
0.0,0.0,0.0,25.211,0.0
0.0,0.0,0.0,24.964,0.0
0.0,0.0,0.0,24.691,0.0
0.0,0.0,0.0,24.528,0.0
0.0,0.0,0.0,24.418,0.0
0.0,0.0,0.0,24.329,0.0
0.0,0.0,0.0,24.208,0.0
0.012,0.0,0.024,24.384,0.024
0.159,0.073,0.107,25.903,0.18
0.38,0.308,0.113,27.979,0.421
0.5710000000000001,0.555,0.101,30.395,0.656
0.6900000000000001,0.718,0.106,32.542,0.824
0.754,0.8140000000000001,0.111,34.117,0.925
0.77,0.842,0.113,35.122,0.955
0.732,0.785,0.116,35.524,0.901
0.649,0.667,0.115,35.416,0.782
0.519,0.496,0.109,34.744,0.605
0.337,0.279,0.10400000000000001,33.442,0.383
0.135,0.078,0.082,31.474,0.16
0.003,0.0,0.012,28.996,0.012
0.0,0.0,0.0,27.332,0.0
0.0,0.0,0.0,26.39,0.0
0.0,0.0,0.0,25.807,0.0
0.0,0.0,0.0,25.523,0.0
0.0,0.0,0.0,25.361,0.0
0.0,0.0,0.0,25.17,0.0
0.0,0.0,0.0,25.0,0.0
0.0,0.0,0.0,24.891,0.0
0.0,0.0,0.0,24.727,0.0
0.0,0.0,0.0,24.531,0.0
0.0,0.0,0.0,24.352,0.0
0.012,0.0,0.023,24.454,0.023
0.157,0.07,0.109,25.888,0.179
0.365,0.276,0.127,27.901,0.403
0.5700000000000001,0.55,0.10400000000000001,30.188,0.654
0.6930000000000001,0.722,0.10400000000000001,32.289,0.826
0.759,0.8240000000000001,0.107,33.922,0.931
0.774,0.852,0.109,35.024,0.961
0.742,0.808,0.108,35.574,0.916
0.661,0.6940000000000001,0.10400000000000001,35.506,0.798
0.528,0.517,0.1,34.79,0.617
0.343,0.294,0.096,33.458,0.39
0.139,0.08700000000000001,0.077,31.445,0.164
0.003,0.0,0.012,28.941,0.012
0.0,0.0,0.0,27.181,0.0
0.0,0.0,0.0,26.203,0.0
0.0,0.0,0.0,25.581,0.0
0.0,0.0,0.0,25.134,0.0
0.0,0.0,0.0,24.812,0.0
0.0,0.0,0.0,24.568,0.0
0.0,0.0,0.0,24.469,0.0
0.0,0.0,0.0,24.414,0.0
0.0,0.0,0.0,24.365,0.0
0.0,0.0,0.0,24.31,0.0
0.0,0.0,0.0,24.21,0.0
0.012,0.0,0.024,24.391,0.024
0.156,0.069,0.108,25.885,0.177
0.377,0.301,0.116,27.979,0.417
0.5750000000000001,0.562,0.099,30.386,0.661
0.6940000000000001,0.726,0.10300000000000001,32.43,0.829
0.758,0.8210000000000001,0.109,33.873,0.93
0.767,0.8310000000000001,0.117,34.745,0.9480000000000001
0.736,0.79,0.115,35.135,0.905
0.658,0.681,0.11,34.94,0.791
0.525,0.506,0.105,34.113,0.611
0.34400000000000003,0.291,0.099,32.732,0.39
0.137,0.082,0.08,30.724,0.162
0.003,0.0,0.012,28.456,0.012
0.0,0.0,0.0,26.994,0.0
0.0,0.0,0.0,26.218,0.0
0.0,0.0,0.0,25.761,0.0
0.0,0.0,0.0,25.459,0.0
0.0,0.0,0.0,25.206,0.0
0.0,0.0,0.0,24.963,0.0
0.0,0.0,0.0,24.747,0.0
0.0,0.0,0.0,24.558,0.0
0.0,0.0,0.0,24.374,0.0
0.0,0.0,0.0,24.188,0.0
0.0,0.0,0.0,23.938,0.0
0.013000000000000001,0.0,0.024,24.139,0.024
0.158,0.073,0.107,25.773,0.18
0.368,0.28400000000000003,0.123,27.868,0.40700000000000003
0.5740000000000001,0.56,0.1,30.396,0.66
0.6960000000000001,0.732,0.101,32.613,0.833
0.762,0.833,0.10400000000000001,34.191,0.9369999999999999
0.776,0.858,0.107,35.129,0.965
0.743,0.81,0.108,35.483,0.918
0.661,0.6930000000000001,0.105,35.301,0.798
0.53,0.52,0.099,34.559,0.619
0.34600000000000003,0.298,0.096,33.205,0.394
0.134,0.077,0.082,31.281,0.159
0.003,0.0,0.012,28.945,0.012
0.0,0.0,0.0,27.287,0.0
0.0,0.0,0.0,26.274,0.0
0.0,0.0,0.0,25.583,0.0
0.0,0.0,0.0,25.066,0.0
0.0,0.0,0.0,24.78,0.0
0.0,0.0,0.0,24.63,0.0
0.0,0.0,0.0,24.473,0.0
0.0,0.0,0.0,24.261,0.0
0.0,0.0,0.0,24.105,0.0
0.0,0.0,0.0,23.934,0.0
0.0,0.0,0.0,23.806,0.0
0.012,0.0,0.024,24.041,0.024
0.165,0.08700000000000001,0.1,25.614,0.187
0.393,0.336,0.099,27.926,0.43500000000000005
0.5750000000000001,0.5660000000000001,0.096,30.666,0.662
0.6940000000000001,0.731,0.101,33.006,0.832
0.759,0.8310000000000001,0.105,34.698,0.936
0.774,0.86,0.106,35.802,0.966
0.742,0.8140000000000001,0.106,36.354,0.92
0.66,0.6980000000000001,0.10300000000000001,36.327,0.801
0.529,0.524,0.098,35.642,0.622
0.34700000000000003,0.303,0.093,34.247,0.396
0.137,0.084,0.078,32.076,0.162
0.003,0.0,0.012,29.337,0.012
0.0,0.0,0.0,27.604,0.0
0.0,0.0,0.0,26.61,0.0
0.0,0.0,0.0,25.995,0.0
0.0,0.0,0.0,25.544,0.0
0.0,0.0,0.0,25.178,0.0
0.0,0.0,0.0,24.884,0.0
0.0,0.0,0.0,24.639,0.0
0.0,0.0,0.0,24.409,0.0
0.0,0.0,0.0,24.234,0.0
0.0,0.0,0.0,24.085,0.0
0.0,0.0,0.0,23.973,0.0
0.013000000000000001,0.0,0.025,24.19,0.025
0.165,0.073,0.114,25.709,0.187
0.382,0.291,0.132,27.981,0.423
0.552,0.492,0.14100000000000001,30.584,0.633
0.667,0.642,0.153,32.919,0.795
0.712,0.684,0.182,34.577,0.8660000000000001
0.686,0.597,0.23600000000000002,35.442,0.833
0.61,0.433,0.294,35.583,0.727
0.485,0.24,0.323,35.02,0.563
0.356,0.125,0.281,34.113,0.406
0.234,0.065,0.203,32.889,0.268
0.085,0.012,0.095,31.103,0.107
0.001,0.0,0.008,29.046,0.008
0.0,0.0,0.0,27.717,0.0
0.0,0.0,0.0,26.939,0.0
0.0,0.0,0.0,26.47,0.0
0.0,0.0,0.0,26.18,0.0
0.0,0.0,0.0,25.958,0.0
0.0,0.0,0.0,25.732,0.0
0.0,0.0,0.0,25.476,0.0
0.0,0.0,0.0,25.231,0.0
0.0,0.0,0.0,25.015,0.0
0.0,0.0,0.0,24.83,0.0
0.0,0.0,0.0,24.738,0.0
0.009000000000000001,0.0,0.02,24.82,0.02
0.124,0.021,0.124,25.961,0.145
0.295,0.10300000000000001,0.223,27.713,0.326
0.43,0.192,0.289,29.657,0.481
0.527,0.268,0.337,31.413,0.605
0.5730000000000001,0.297,0.371,32.747,0.6679999999999999
0.585,0.305,0.382,33.661,0.687
0.5640000000000001,0.294,0.367,34.188,0.661
0.501,0.247,0.333,34.248,0.5800000000000001
0.392,0.165,0.28200000000000003,33.781,0.44700000000000006
0.263,0.095,0.20400000000000001,32.819,0.29900000000000004
0.113,0.029,0.108,31.247,0.137
0.003,0.0,0.012,28.897,0.012
0.0,0.0,0.0,27.22,0.0
0.0,0.0,0.0,26.257,0.0
0.0,0.0,0.0,25.652,0.0
0.0,0.0,0.0,25.255,0.0
0.0,0.0,0.0,24.976,0.0
0.0,0.0,0.0,24.803,0.0
0.0,0.0,0.0,24.631,0.0
0.0,0.0,0.0,24.49,0.0
0.0,0.0,0.0,24.438,0.0
0.0,0.0,0.0,24.421,0.0
0.0,0.0,0.0,24.399,0.0
0.008,0.0,0.019,24.507,0.019
0.11,0.018000000000000002,0.112,25.504,0.13
0.316,0.154,0.194,27.196,0.348
0.508,0.388,0.186,29.286,0.5740000000000001
0.657,0.614,0.159,31.401,0.773
0.742,0.759,0.14300000000000002,33.214,0.902
0.766,0.81,0.135,34.506,0.9450000000000001
0.735,0.772,0.131,35.195,0.903
