,domestic,commercial,public
0,0,0,13.91
1,0,0,13.383000000000001
2,0,0,14.721
3,0,0,15.223
4,0,0,14.764
5,0,0,16.23
6,0,0,36.719
7,0,0,45.358000000000004
8,0,0,42.073
9,0,0,22.903
10,0,0,16.081000000000003
11,0,0,17.725
12,0,0,14.238000000000001
13,0,0,13.151
14,0,0,13.11
15,0,0,16.547
16,0,0,17.311
17,0,0,15.079
18,0,0,14.082
19,0,0,14.061
20,0,0,16.925
21,0,0,18.405
22,0,0,17.151
23,0,0,17.378
24,0,0,16.822
25,0,0,13.443
26,0,0,13.273
27,0,0,12.727
28,0,0,14.013
29,0,0,12.632000000000001
30,0,0,13.284
31,0,0,14.784
32,0,0,14.923
33,0,0,15.557
34,0,0,17.394
35,0,0,15.658999999999999
36,0,0,13.831
37,0,0,14.795000000000002
38,0,0,19.945999999999998
39,0,0,21.68
40,0,0,20.368000000000002
41,0,0,18.737000000000002
42,0,0,16.215
43,0,0,19.182000000000002
44,0,0,16.25
45,0,0,17.836000000000002
46,0,0,18.529
47,0,0,17.146
48,0,0,16.475
49,0,0,15.558
50,0,0,13.839
51,0,0,13.299999999999999
52,0,0,16.014
53,0,0,14.121
54,0,0,18.271
55,0,0,41.792
56,0,0,42.505
57,0,0,50.19
58,0,0,49.939
59,0,0,16.327
60,0,0,15.396999999999998
61,0,0,20.005
62,0,0,19.239
63,0,0,25.639
64,0,0,25.177999999999997
65,0,0,21.714000000000002
66,0,0,16.785
67,0,0,14.383999999999999
68,0,0,15.657
69,0,0,17.571
70,0,0,17.916
71,0,0,18.013
72,0,0,15.237
73,0,0,13.138
74,0,0,12.796
75,0,0,13.91
76,0,0,14.52
77,0,0,15.559999999999999
78,0,0,19.167
79,0,0,48.127
80,0,0,19.755000000000003
81,0,0,17.408
82,0,0,19.309
83,0,0,40.687
84,0,0,39.357000000000006
85,0,0,28.707
86,0,0,19.871
87,0,0,21.815
88,0,0,36.947
89,0,0,48.569
90,0,0,39.209
91,0,0,23.534
92,0,0,17.416
93,0,0,15.683
94,0,0,17.27
95,0,0,16.454
96,0,0,18.838
97,0,0,17.500999999999998
98,0,0,16.102999999999998
99,0,0,14.467
100,0,0,14.74
101,0,0,13.988999999999999
102,0,0,14.416
103,0,0,42.96
104,0,0,17.94
105,0,0,17.922
106,0,0,18.970000000000002
107,0,0,14.895999999999999
108,0,0,14.951
109,0,0,17.526
110,0,0,19.484
111,0,0,19.667
112,0,0,26.049
113,0,0,8.846
114,0,0,6.097
115,0,0,15.733
116,0,0,21.072
117,0,0,41.271
118,0,0,36.821
119,0,0,39.078
120,0,0,38.482
121,0,0,38.173
122,0,0,37.492
123,0,0,35.017
124,0,0,33.809
125,0,0,36.812
126,0,0,29.097
127,0,0,25.811
128,0,0,28.304
129,0,0,18.281
130,0,0,20.532999999999998
131,0,0,27.993000000000002
132,0,0,22.351
133,0,0,16.605999999999998
134,0,0,19.937
135,0,0,21.249
136,0,0,20.840999999999998
137,0,0,22.218999999999998
138,0,0,18.126
139,0,0,31.666
140,0,0,34.391999999999996
141,0,0,34.564
142,0,0,35.924
143,0,0,36.741
144,0,0,36.158
145,0,0,36.259
146,0,0,29.893
147,0,0,23.294
148,0,0,23.963
149,0,0,26.408
150,0,0,12.919
151,0,0,3.009
152,0,0,21.205000000000002
153,0,0,21.323999999999998
154,0,0,29.377
155,0,0,31.061
156,0,0,21.276
157,0,0,16.268
158,0,0,19.536
159,0,0,19.299
160,0,0,20.166
161,0,0,20.9
162,0,0,20.698999999999998
163,0,0,15.147
164,0,0,22.415
165,0,0,47.483
166,0,0,49.394
167,0,0,46.847
168,0,0,43.725
169,0,0,35.414
170,0,0,37.907999999999994
171,0,0,33.831
172,0,0,33.699
173,0,0,38.138
174,0,0,32.374
175,0,0,13.076
176,0,0,13.513
177,0,0,16.704
178,0,0,17.901
179,0,0,16.813000000000002
180,0,0,14.205
181,0,0,13.788
182,0,0,15.951
183,0,0,20.491
184,0,0,19.419999999999998
185,0,0,18.700000000000003
186,0,0,17.111
187,0,0,13.983
188,0,0,8.318000000000001
189,0,0,19.678
190,0,0,22.776
191,0,0,20.403000000000002
192,0,0,18.884
193,0,0,19.226
194,0,0,21.076
195,0,0,16.766
196,0,0,16.978
197,0,0,19.060000000000002
198,0,0,21.323999999999998
199,0,0,19.548
200,0,0,18.397
201,0,0,16.002
202,0,0,16.062
203,0,0,15.935999999999998
204,0,0,16.993000000000002
205,0,0,14.073
206,0,0,15.645
207,0,0,24.578
208,0,0,22.701
209,0,0,18.233
210,0,0,15.433
211,0,0,19.799
212,0,0,21.509
213,0,0,23.317999999999998
214,0,0,23.223
215,0,0,19.442999999999998
216,0,0,20.667
217,0,0,19.894
218,0,0,21.423000000000002
219,0,0,20.218
220,0,0,13.131
221,0,0,23.455000000000002
222,0,0,23.173
223,0,0,21.814
224,0,0,21.976
225,0,0,20.448999999999998
226,0,0,21.913999999999998
227,0,0,30.146
228,0,0,24.964
229,0,0,15.104
230,0,0,17.43
231,0,0,21.7
