,domestic,commercial,public
0,0,0,70.31400000000001
1,0,0,69.387
2,0,0,68.334
3,0,0,70.037
4,0,0,66.43
5,0,0,61.462999999999994
6,0,0,32.47
7,0,0,31.054
8,0,0,30.582
9,0,0,28.509
10,0,0,30.355
11,0,0,27.143
12,0,0,26.822
13,0,0,31.341
14,0,0,34.596000000000004
15,0,0,30.286
16,0,0,27.744999999999997
17,0,0,28.406000000000002
18,0,0,23.523
19,0,0,77.742
20,0,0,82.45700000000001
21,0,0,78.97
22,0,0,69.925
23,0,0,55.298
24,0,0,54.407
25,0,0,55.199
26,0,0,55.434999999999995
27,0,0,53.568
28,0,0,49.673
29,0,0,49.355999999999995
30,0,0,30.849999999999998
31,0,0,31.583
32,0,0,24.535
33,0,0,26.394000000000002
34,0,0,27.518
35,0,0,26.899
36,0,0,24.63
37,0,0,27.2
38,0,0,26.806
39,0,0,29.9
40,0,0,29.475
41,0,0,26.599999999999998
42,0,0,79.493
43,0,0,68.797
44,0,0,76.546
45,0,0,69.247
46,0,0,78.131
47,0,0,68.307
48,0,0,67.959
49,0,0,72.087
50,0,0,71.65199999999999
51,0,0,65.85199999999999
52,0,0,64.524
53,0,0,65.946
54,0,0,32.217999999999996
55,0,0,26.596999999999998
56,0,0,25.302000000000003
57,0,0,63.108
58,0,0,74.046
59,0,0,117.184
60,0,0,181.12
61,0,0,203.211
62,0,0,210.43
63,0,0,147.215
64,0,0,78.87700000000001
65,0,0,43.193000000000005
66,0,0,28.061
67,0,0,67.65599999999999
68,0,0,72.784
69,0,0,50.48
70,0,0,47.995000000000005
71,0,0,49.728
72,0,0,53.205000000000005
73,0,0,52.428000000000004
74,0,0,54.295
75,0,0,55.414
76,0,0,56.25
77,0,0,48.086
78,0,0,29.498
79,0,0,30.175
80,0,0,27.669
81,0,0,165.655
82,0,0,314.23400000000004
83,0,0,336.28000000000003
84,0,0,314.08399999999995
85,0,0,293.03000000000003
86,0,0,239.903
87,0,0,206.34
88,0,0,196.806
89,0,0,110.283
90,0,0,186.38
91,0,0,177.62
92,0,0,178.852
93,0,0,67.723
94,0,0,82.032
95,0,0,75.977
96,0,0,72.8
97,0,0,68.263
98,0,0,70.215
99,0,0,72.28800000000001
100,0,0,68.716
101,0,0,67.77
102,0,0,46.199
103,0,0,30.496
104,0,0,28.31
105,0,0,23.392
106,0,0,23.159
107,0,0,56.524
108,0,0,94.95299999999999
109,0,0,132.815
110,0,0,135.95499999999998
111,0,0,174.343
112,0,0,61.438
113,0,0,63.11600000000001
114,0,0,57.784
115,0,0,66.106
116,0,0,71.588
117,0,0,60.449000000000005
118,0,0,51.987
119,0,0,50.806
120,0,0,51.9
121,0,0,54.198
122,0,0,54.117
123,0,0,57.272999999999996
124,0,0,56.943
125,0,0,53.207
126,0,0,33.979
127,0,0,31.477999999999998
128,0,0,40.32899999999999
129,0,0,184.51999999999998
130,0,0,196.625
131,0,0,291.10200000000003
132,0,0,293.35499999999996
133,0,0,254.37199999999999
134,0,0,317.836
135,0,0,315.338
136,0,0,44.208999999999996
137,0,0,161.208
138,0,0,102.227
139,0,0,86.352
140,0,0,74.77399999999999
141,0,0,75.215
142,0,0,88.05499999999999
143,0,0,81.208
144,0,0,75.509
145,0,0,75.24799999999999
146,0,0,76.197
147,0,0,79.363
148,0,0,81.74199999999999
149,0,0,77.354
150,0,0,33.594
151,0,0,31.171
152,0,0,39.114999999999995
153,0,0,27.681
154,0,0,23.536
155,0,0,22.737000000000002
156,0,0,26.636
157,0,0,30.165999999999997
158,0,0,30.662
159,0,0,30.183999999999997
160,0,0,32.900999999999996
161,0,0,25.527
162,0,0,26.651
163,0,0,45.665
164,0,0,72.35
165,0,0,73.377
166,0,0,49.315999999999995
167,0,0,53.91
168,0,0,50.946
169,0,0,54.783
170,0,0,53.769
171,0,0,53.17
172,0,0,54.392999999999994
173,0,0,54.687
174,0,0,30.581
175,0,0,31.153
176,0,0,29.406000000000002
177,0,0,28.032
178,0,0,27.195
179,0,0,27.215
180,0,0,32.07
181,0,0,31.238
182,0,0,32.681000000000004
183,0,0,31.223
184,0,0,29.069000000000003
185,0,0,34.219
186,0,0,31.282999999999998
187,0,0,68.544
188,0,0,74.88300000000001
189,0,0,74.359
190,0,0,68.03099999999999
191,0,0,68.564
192,0,0,68.429
193,0,0,69.383
194,0,0,72.122
195,0,0,71.051
196,0,0,69.214
197,0,0,69.89099999999999
198,0,0,156.418
199,0,0,140.695
200,0,0,73.14
201,0,0,30.421
202,0,0,28.843
203,0,0,27.854
204,0,0,28.844
205,0,0,30.191
206,0,0,30.302
207,0,0,29.239
208,0,0,30.828999999999997
209,0,0,27.706000000000003
210,0,0,25.919
211,0,0,74.324
212,0,0,73.67
213,0,0,50.354000000000006
214,0,0,50.395
215,0,0,54.0
216,0,0,54.061
217,0,0,55.872
218,0,0,57.409
219,0,0,51.686
220,0,0,49.386
221,0,0,50.431
222,0,0,31.831
223,0,0,30.195
224,0,0,27.515
225,0,0,27.924
226,0,0,31.376
227,0,0,40.794
228,0,0,50.016999999999996
229,0,0,290.511
230,0,0,239.978
231,0,0,150.634
232,0,0,51.003
233,0,0,74.234
234,0,0,84.198
235,0,0,86.87599999999999
236,0,0,74.827
237,0,0,80.461
238,0,0,70.836
239,0,0,69.46900000000001
240,0,0,67.25399999999999
241,0,0,67.253
242,0,0,68.631
243,0,0,73.801
244,0,0,77.86
245,0,0,74.012
246,0,0,42.821999999999996
247,0,0,30.831
248,0,0,200.018
249,0,0,467.083
250,0,0,399.478
251,0,0,381.776
252,0,0,408.762
253,0,0,362.017
254,0,0,138.75799999999998
255,0,0,55.717999999999996
256,0,0,33.285000000000004
257,0,0,27.992
258,0,0,31.325
259,0,0,52.994
260,0,0,77.891
261,0,0,66.28399999999999
262,0,0,70.98
263,0,0,73.67999999999999
264,0,0,76.732
265,0,0,75.796
266,0,0,75.129
267,0,0,75.904
268,0,0,75.938
269,0,0,75.10799999999999
270,0,0,32.405
271,0,0,26.025
272,0,0,81.735
273,0,0,325.199
274,0,0,416.3
275,0,0,486.56300000000005
276,0,0,387.40200000000004
277,0,0,320.43300000000005
278,0,0,254.72699999999998
279,0,0,229.223
280,0,0,151.323
281,0,0,114.068
282,0,0,101.735
283,0,0,83.261
284,0,0,75.617
285,0,0,80.956
286,0,0,69.437
287,0,0,70.108
288,0,0,70.715
289,0,0,72.56
290,0,0,70.385
291,0,0,69.368
292,0,0,67.49199999999999
293,0,0,66.003
294,0,0,31.595
295,0,0,31.927999999999997
296,0,0,30.982
297,0,0,195.56799999999998
298,0,0,251.263
299,0,0,270.064
300,0,0,261.69399999999996
301,0,0,292.614
302,0,0,218.154
303,0,0,159.384
304,0,0,64.503
305,0,0,65.624
306,0,0,65.213
307,0,0,178.923
308,0,0,194.746
309,0,0,119.416
310,0,0,49.608
311,0,0,52.19
312,0,0,52.253
313,0,0,56.772000000000006
314,0,0,57.655
315,0,0,57.506
316,0,0,54.796
317,0,0,53.947
318,0,0,38.392999999999994
319,0,0,34.221000000000004
320,0,0,32.152
321,0,0,94.631
322,0,0,277.471
323,0,0,305.955
324,0,0,314.685
325,0,0,381.298
326,0,0,301.09799999999996
327,0,0,172.157
328,0,0,32.647000000000006
329,0,0,33.012
330,0,0,53.778
331,0,0,84.78
332,0,0,90.67500000000001
333,0,0,89.931
334,0,0,72.379
335,0,0,71.705
336,0,0,68.838
337,0,0,66.672
338,0,0,69.066
339,0,0,70.44200000000001
340,0,0,72.102
341,0,0,69.35900000000001
342,0,0,31.856
343,0,0,33.448
344,0,0,30.138
345,0,0,29.898999999999997
346,0,0,27.177
347,0,0,30.4
348,0,0,32.016999999999996
349,0,0,33.484
350,0,0,33.126000000000005
351,0,0,30.709
352,0,0,29.733
353,0,0,29.592
354,0,0,32.093999999999994
355,0,0,68.15400000000001
