,domestic,commercial,public
0,0,0,50.832
1,0,0,64.858
2,0,0,74.324
3,0,0,63.023999999999994
4,0,0,66.197
5,0,0,67.54
6,0,0,65.693
7,0,0,77.62299999999999
8,0,0,80.24100000000001
9,0,0,67.155
10,0,0,58.083000000000006
11,0,0,68.86200000000001
12,0,0,42.160000000000004
13,0,0,45.311
14,0,0,52.202
15,0,0,53.760000000000005
16,0,0,51.504
17,0,0,48.315999999999995
18,0,0,41.589
19,0,0,52.827
20,0,0,39.532
21,0,0,45.114000000000004
22,0,0,46.411
23,0,0,42.641
24,0,0,40.008
25,0,0,44.572
26,0,0,49.442
27,0,0,49.037
28,0,0,56.288
29,0,0,51.017
30,0,0,54.155
31,0,0,59.669
32,0,0,54.202
33,0,0,39.775999999999996
34,0,0,50.462
35,0,0,51.233000000000004
36,0,0,41.989
37,0,0,55.4
38,0,0,53.807
39,0,0,52.778999999999996
40,0,0,54.765
41,0,0,43.757
42,0,0,46.619
43,0,0,50.689
44,0,0,40.669999999999995
45,0,0,38.114000000000004
46,0,0,38.982
47,0,0,38.846
48,0,0,40.148
49,0,0,46.154
50,0,0,53.975
51,0,0,60.5
52,0,0,60.427
53,0,0,51.831
54,0,0,47.398
55,0,0,67.96000000000001
56,0,0,89.472
57,0,0,84.209
58,0,0,88.78
59,0,0,81.22999999999999
60,0,0,67.736
61,0,0,59.07599999999999
62,0,0,52.239
63,0,0,54.624
64,0,0,80.771
65,0,0,74.667
66,0,0,71.79
67,0,0,86.682
68,0,0,70.022
69,0,0,55.958
70,0,0,70.972
71,0,0,88.244
72,0,0,81.481
73,0,0,98.94600000000001
74,0,0,94.134
75,0,0,96.82499999999999
76,0,0,96.42399999999999
77,0,0,68.816
78,0,0,65.05900000000001
79,0,0,80.091
80,0,0,98.94
81,0,0,84.65899999999999
82,0,0,65.72999999999999
83,0,0,44.047000000000004
84,0,0,44.321
85,0,0,53.599000000000004
86,0,0,52.015
87,0,0,54.094
88,0,0,50.462
89,0,0,39.604
90,0,0,43.474
91,0,0,50.525
92,0,0,45.818999999999996
93,0,0,38.03
94,0,0,35.037
95,0,0,44.636
96,0,0,50.645
97,0,0,51.622
98,0,0,46.481
99,0,0,54.996
100,0,0,56.033
101,0,0,53.684999999999995
102,0,0,82.032
103,0,0,89.301
104,0,0,88.041
105,0,0,85.12899999999999
106,0,0,98.63900000000001
107,0,0,93.809
108,0,0,88.577
109,0,0,114.865
110,0,0,131.805
111,0,0,101.95899999999999
112,0,0,55.228
113,0,0,45.065
114,0,0,49.446
115,0,0,50.043
116,0,0,48.201
117,0,0,42.418
118,0,0,40.0
119,0,0,40.313
120,0,0,40.835
121,0,0,40.018
122,0,0,43.594
123,0,0,50.849
124,0,0,60.289
125,0,0,56.605000000000004
126,0,0,80.413
127,0,0,91.041
128,0,0,86.848
129,0,0,77.356
130,0,0,72.728
131,0,0,80.988
132,0,0,58.679
133,0,0,48.446999999999996
134,0,0,54.997
135,0,0,53.676
136,0,0,44.181
137,0,0,49.74
138,0,0,40.635999999999996
139,0,0,50.93
140,0,0,53.519
141,0,0,51.405
142,0,0,46.629999999999995
143,0,0,38.864000000000004
144,0,0,39.102
145,0,0,41.553
146,0,0,43.232
147,0,0,47.554
148,0,0,50.145
149,0,0,53.386
150,0,0,90.05799999999999
151,0,0,90.287
152,0,0,53.75
153,0,0,52.855
154,0,0,59.526
155,0,0,51.412
156,0,0,58.747
157,0,0,55.985
158,0,0,49.620999999999995
159,0,0,71.738
160,0,0,97.02199999999999
161,0,0,90.297
162,0,0,71.95
163,0,0,95.594
164,0,0,86.78
165,0,0,71.31899999999999
166,0,0,64.72500000000001
167,0,0,63.74
168,0,0,73.637
169,0,0,73.961
170,0,0,81.318
171,0,0,76.712
172,0,0,96.422
173,0,0,83.536
174,0,0,58.757999999999996
175,0,0,52.711
176,0,0,61.53
177,0,0,58.906
178,0,0,49.817
179,0,0,43.306
180,0,0,53.927
181,0,0,53.346
182,0,0,49.626000000000005
183,0,0,49.516
184,0,0,48.109
185,0,0,43.248000000000005
186,0,0,42.861000000000004
187,0,0,77.116
188,0,0,99.021
189,0,0,88.55399999999999
190,0,0,77.643
191,0,0,77.487
192,0,0,83.70700000000001
193,0,0,93.794
194,0,0,113.58600000000001
195,0,0,114.328
196,0,0,123.682
197,0,0,98.79499999999999
198,0,0,60.296
199,0,0,48.062
200,0,0,56.932
201,0,0,44.567
202,0,0,37.830000000000005
203,0,0,46.087
204,0,0,46.358999999999995
205,0,0,50.099
206,0,0,43.058
207,0,0,45.525000000000006
208,0,0,45.315
209,0,0,44.112
210,0,0,48.174
211,0,0,90.616
212,0,0,82.20700000000001
213,0,0,64.514
214,0,0,66.131
215,0,0,65.494
216,0,0,75.811
217,0,0,97.035
218,0,0,92.739
219,0,0,102.557
220,0,0,98.998
221,0,0,72.071
222,0,0,73.7
223,0,0,85.804
224,0,0,96.426
225,0,0,86.013
226,0,0,80.645
227,0,0,78.613
228,0,0,65.042
229,0,0,50.492000000000004
230,0,0,48.896
231,0,0,55.936
232,0,0,55.683
233,0,0,84.185
234,0,0,75.056
235,0,0,102.223
236,0,0,89.268
237,0,0,72.506
238,0,0,62.362
239,0,0,63.416
240,0,0,63.505
241,0,0,70.427
242,0,0,86.51
243,0,0,99.383
