,domestic,commercial,public
0,0,0,62.785
1,0,0,62.475
2,0,0,54.986
3,0,0,47.465
4,0,0,43.392
5,0,0,44.699999999999996
6,0,0,44.844
7,0,0,37.509
8,0,0,45.491
9,0,0,53.187
10,0,0,61.1
11,0,0,55.982
12,0,0,49.308
13,0,0,46.813
14,0,0,37.297
15,0,0,37.751
16,0,0,33.00899999999999
17,0,0,31.046
18,0,0,39.097
19,0,0,87.396
20,0,0,98.542
21,0,0,97.413
22,0,0,100.324
23,0,0,72.373
24,0,0,72.432
25,0,0,72.31899999999999
26,0,0,68.928
27,0,0,67.478
28,0,0,60.007
29,0,0,55.284
30,0,0,32.442
31,0,0,30.842000000000002
32,0,0,38.316
33,0,0,52.191
34,0,0,78.742
35,0,0,59.132
36,0,0,41.753
37,0,0,31.793000000000003
38,0,0,41.735
39,0,0,53.306
40,0,0,52.116
41,0,0,51.431999999999995
42,0,0,37.035
43,0,0,67.428
44,0,0,96.827
45,0,0,99.368
46,0,0,98.65
47,0,0,95.202
48,0,0,84.214
49,0,0,70.18
50,0,0,61.769
51,0,0,62.98
52,0,0,58.136
53,0,0,60.177
54,0,0,38.454
55,0,0,39.727
56,0,0,42.67
57,0,0,22.18
58,0,0,25.340999999999998
59,0,0,27.461
60,0,0,21.092
61,0,0,29.852
62,0,0,43.729
63,0,0,49.971000000000004
64,0,0,30.056
65,0,0,26.357
66,0,0,20.905
67,0,0,44.2
68,0,0,56.184
69,0,0,92.158
70,0,0,87.705
71,0,0,77.602
72,0,0,49.555
73,0,0,39.643
74,0,0,41.766999999999996
75,0,0,37.541
76,0,0,35.914
77,0,0,30.101
78,0,0,34.335
79,0,0,30.273999999999997
80,0,0,31.951
81,0,0,43.708
82,0,0,32.661
83,0,0,40.901
84,0,0,34.516
85,0,0,27.456
86,0,0,43.485
87,0,0,55.171
88,0,0,67.653
89,0,0,31.648999999999997
90,0,0,35.93
91,0,0,66.854
92,0,0,83.361
93,0,0,92.42
94,0,0,93.219
95,0,0,98.658
96,0,0,103.301
97,0,0,92.664
98,0,0,75.134
99,0,0,66.024
100,0,0,62.858999999999995
101,0,0,64.807
102,0,0,96.263
103,0,0,91.386
104,0,0,72.732
105,0,0,99.05
106,0,0,87.07
107,0,0,64.793
108,0,0,45.856
109,0,0,35.678000000000004
