,domestic,commercial,public
0,0,0,79.204
1,0,0,89.077
2,0,0,100.003
3,0,0,110.446
4,0,0,108.589
5,0,0,86.644
6,0,0,87.473
7,0,0,94.633
8,0,0,108.174
9,0,0,118.665
10,0,0,103.333
11,0,0,76.087
12,0,0,63.708
13,0,0,98.403
14,0,0,108.079
15,0,0,84.563
16,0,0,86.33399999999999
17,0,0,96.932
18,0,0,56.45
19,0,0,50.8
20,0,0,69.274
21,0,0,80.058
22,0,0,78.496
23,0,0,79.509
24,0,0,77.956
25,0,0,83.57199999999999
26,0,0,99.525
27,0,0,102.81400000000001
28,0,0,70.021
29,0,0,68.053
30,0,0,65.837
31,0,0,76.2
32,0,0,111.446
33,0,0,99.669
34,0,0,83.755
35,0,0,57.207
36,0,0,74.472
37,0,0,110.42399999999999
38,0,0,86.471
39,0,0,59.99
40,0,0,69.184
41,0,0,88.738
42,0,0,113.001
43,0,0,86.605
44,0,0,73.101
45,0,0,62.153
46,0,0,73.401
47,0,0,56.681000000000004
48,0,0,56.199
49,0,0,73.149
50,0,0,78.555
51,0,0,100.143
52,0,0,108.21300000000001
53,0,0,95.723
54,0,0,92.932
55,0,0,108.44
56,0,0,68.94699999999999
57,0,0,15.75
58,0,0,14.033
59,0,0,15.523
60,0,0,24.462999999999997
61,0,0,18.697
62,0,0,12.307
63,0,0,15.663
64,0,0,10.987
65,0,0,10.065
66,0,0,13.559
67,0,0,17.13
68,0,0,13.186
69,0,0,11.376000000000001
70,0,0,12.674
71,0,0,10.074
72,0,0,10.534
73,0,0,11.967
74,0,0,17.105999999999998
75,0,0,17.645
76,0,0,17.576
77,0,0,17.363
78,0,0,17.322
79,0,0,17.572
80,0,0,17.538999999999998
81,0,0,16.820999999999998
82,0,0,13.171999999999999
83,0,0,12.004000000000001
84,0,0,22.428
85,0,0,28.476000000000003
86,0,0,33.586999999999996
87,0,0,26.165
88,0,0,20.034
89,0,0,10.496
90,0,0,27.406
91,0,0,55.017
92,0,0,82.09
93,0,0,88.196
94,0,0,67.29400000000001
95,0,0,50.972
96,0,0,41.058
97,0,0,35.077999999999996
98,0,0,50.71
99,0,0,54.516000000000005
100,0,0,71.914
101,0,0,81.974
102,0,0,85.18
103,0,0,47.724000000000004
104,0,0,20.316000000000003
105,0,0,22.078
106,0,0,13.914
107,0,0,12.432
108,0,0,16.884
109,0,0,25.579
110,0,0,24.067
111,0,0,17.413
112,0,0,36.666
113,0,0,45.919000000000004
114,0,0,62.685
115,0,0,59.668
