,domestic,commercial,public
0,0,0,77.24499999999999
1,0,0,73.739
2,0,0,71.847
3,0,0,64.796
4,0,0,69.642
5,0,0,74.45100000000001
6,0,0,39.657
7,0,0,13.719
8,0,0,11.235
9,0,0,25.551000000000002
10,0,0,32.641000000000005
11,0,0,25.851
12,0,0,12.602
13,0,0,9.938
14,0,0,49.22
15,0,0,84.71
16,0,0,99.063
17,0,0,73.532
18,0,0,88.134
19,0,0,104.551
20,0,0,111.955
21,0,0,113.79
22,0,0,108.584
23,0,0,91.387
24,0,0,77.696
25,0,0,76.479
26,0,0,73.027
27,0,0,68.057
28,0,0,71.536
29,0,0,72.921
30,0,0,39.883
31,0,0,14.238000000000001
32,0,0,10.343
33,0,0,10.291
34,0,0,16.156
35,0,0,33.465
36,0,0,33.448
37,0,0,31.386999999999997
38,0,0,38.917
39,0,0,26.006
40,0,0,94.046
41,0,0,87.92099999999999
42,0,0,64.271
43,0,0,118.997
44,0,0,181.92
45,0,0,197.40099999999998
46,0,0,207.167
47,0,0,194.967
48,0,0,159.906
49,0,0,121.839
50,0,0,114.356
51,0,0,110.24000000000001
52,0,0,106.847
53,0,0,108.428
54,0,0,49.657
55,0,0,30.558
56,0,0,35.224
57,0,0,61.424
58,0,0,58.105999999999995
59,0,0,51.028999999999996
60,0,0,87.799
61,0,0,118.212
62,0,0,69.461
63,0,0,56.87
64,0,0,50.089
65,0,0,47.567
66,0,0,72.04299999999999
67,0,0,117.165
68,0,0,167.80100000000002
69,0,0,174.348
70,0,0,148.761
71,0,0,172.46800000000002
72,0,0,140.956
73,0,0,121.28
74,0,0,115.946
75,0,0,106.69099999999999
76,0,0,111.97500000000001
77,0,0,110.726
78,0,0,34.808
79,0,0,55.25
80,0,0,88.081
81,0,0,146.507
82,0,0,165.75799999999998
83,0,0,84.86200000000001
84,0,0,62.752
85,0,0,50.439
86,0,0,70.096
87,0,0,57.865
88,0,0,36.111999999999995
89,0,0,10.764
90,0,0,28.496000000000002
91,0,0,97.554
92,0,0,99.698
93,0,0,101.83200000000001
94,0,0,106.59299999999999
95,0,0,103.577
96,0,0,84.283
97,0,0,75.38300000000001
98,0,0,71.115
99,0,0,66.668
100,0,0,77.45100000000001
101,0,0,66.103
102,0,0,10.091
103,0,0,10.173
104,0,0,10.209
105,0,0,10.0
106,0,0,8.975
107,0,0,9.714
108,0,0,7.212
109,0,0,7.165
110,0,0,1.676
111,0,0,3.606
112,0,0,1.55
113,0,0,41.092999999999996
114,0,0,56.161
115,0,0,84.261
116,0,0,125.197
117,0,0,146.534
118,0,0,129.61
119,0,0,141.007
120,0,0,117.54199999999999
121,0,0,96.504
122,0,0,90.66000000000001
123,0,0,89.507
124,0,0,80.37700000000001
125,0,0,53.476000000000006
126,0,0,26.087
127,0,0,34.226
128,0,0,82.91900000000001
129,0,0,51.92
130,0,0,17.180999999999997
131,0,0,22.595
132,0,0,17.048000000000002
133,0,0,17.273
134,0,0,109.07
135,0,0,104.531
136,0,0,27.951
137,0,0,1.9220000000000002
138,0,0,18.12
139,0,0,90.67
140,0,0,107.546
141,0,0,129.757
142,0,0,120.395
143,0,0,103.975
144,0,0,102.407
145,0,0,101.346
146,0,0,82.334
147,0,0,75.943
148,0,0,77.752
149,0,0,68.339
150,0,0,20.459000000000003
151,0,0,89.88
152,0,0,128.261
153,0,0,104.57900000000001
154,0,0,31.376
155,0,0,11.128
156,0,0,8.571
157,0,0,1.857
158,0,0,16.011
159,0,0,35.006
160,0,0,9.336
161,0,0,3.313
162,0,0,6.4479999999999995
163,0,0,83.677
164,0,0,101.87100000000001
165,0,0,113.099
166,0,0,116.40599999999999
167,0,0,108.824
168,0,0,97.054
169,0,0,95.05199999999999
170,0,0,89.238
171,0,0,82.715
172,0,0,75.202
173,0,0,76.673
174,0,0,51.809
175,0,0,19.198
176,0,0,23.316
177,0,0,34.781
178,0,0,22.8
179,0,0,10.119
180,0,0,14.335
181,0,0,20.643
182,0,0,7.353
183,0,0,12.783
184,0,0,17.913999999999998
185,0,0,23.827
186,0,0,51.201
187,0,0,96.277
188,0,0,116.354
189,0,0,103.15599999999999
190,0,0,93.598
191,0,0,96.64200000000001
192,0,0,92.369
193,0,0,83.846
194,0,0,79.387
195,0,0,78.696
196,0,0,71.335
197,0,0,66.594
198,0,0,30.069
199,0,0,30.744
200,0,0,50.512
201,0,0,39.347
202,0,0,21.932
203,0,0,20.614
204,0,0,28.85
205,0,0,25.128999999999998
206,0,0,18.576999999999998
207,0,0,12.296
208,0,0,9.872
209,0,0,6.762
210,0,0,35.756
211,0,0,82.365
212,0,0,93.414
213,0,0,92.14500000000001
214,0,0,89.682
215,0,0,91.105
216,0,0,81.006
217,0,0,75.921
218,0,0,70.23
219,0,0,67.661
220,0,0,69.93900000000001
221,0,0,49.571
222,0,0,18.151
223,0,0,30.266000000000002
224,0,0,66.759
225,0,0,67.745
226,0,0,82.94500000000001
227,0,0,65.63900000000001
228,0,0,53.455000000000005
229,0,0,105.09400000000001
230,0,0,87.448
231,0,0,36.686
232,0,0,33.443
233,0,0,21.349
234,0,0,53.26199999999999
235,0,0,110.404
236,0,0,124.491
237,0,0,102.934
238,0,0,96.676
239,0,0,93.261
240,0,0,93.10799999999999
241,0,0,94.429
242,0,0,90.503
243,0,0,86.494
244,0,0,51.256
