,domestic,commercial,public
0,0,0,39.285000000000004
1,0,0,42.37
2,0,0,33.717999999999996
3,0,0,26.325999999999997
4,0,0,23.871
5,0,0,23.754
6,0,0,21.908
7,0,0,20.763
8,0,0,30.970000000000002
9,0,0,38.650999999999996
10,0,0,37.801
11,0,0,47.786
12,0,0,66.246
13,0,0,38.638
14,0,0,25.718999999999998
15,0,0,19.939999999999998
16,0,0,27.983
17,0,0,23.219
18,0,0,24.454
19,0,0,21.325
20,0,0,25.069000000000003
21,0,0,21.622
22,0,0,27.794
23,0,0,30.868
24,0,0,37.151
25,0,0,42.300999999999995
26,0,0,42.056999999999995
27,0,0,37.416
28,0,0,30.551
29,0,0,25.599
30,0,0,19.823
31,0,0,24.502
32,0,0,43.214000000000006
33,0,0,38.506
34,0,0,42.115
35,0,0,69.09400000000001
36,0,0,45.982
37,0,0,28.244
38,0,0,26.109
39,0,0,26.234
40,0,0,22.971999999999998
41,0,0,17.906
42,0,0,22.758
43,0,0,23.546
44,0,0,30.664
45,0,0,30.58
46,0,0,32.904999999999994
47,0,0,34.903000000000006
48,0,0,40.007
49,0,0,37.851000000000006
50,0,0,28.782
51,0,0,25.99
52,0,0,24.291
53,0,0,22.926
54,0,0,18.171
55,0,0,21.024
56,0,0,25.392000000000003
57,0,0,24.765
58,0,0,19.614
59,0,0,21.712
60,0,0,27.631
61,0,0,20.187
62,0,0,19.774
63,0,0,20.292
64,0,0,27.23
65,0,0,40.514
66,0,0,55.609
67,0,0,32.796
68,0,0,29.765
69,0,0,27.578
70,0,0,30.904
71,0,0,34.607
72,0,0,42.160000000000004
73,0,0,39.001
74,0,0,27.584
75,0,0,23.887999999999998
76,0,0,21.717
77,0,0,23.294
78,0,0,22.249000000000002
79,0,0,26.438
80,0,0,34.36
81,0,0,41.982
82,0,0,24.416
83,0,0,27.373
84,0,0,31.946
85,0,0,22.62
86,0,0,23.105
87,0,0,30.501
88,0,0,24.412
89,0,0,38.622
90,0,0,35.91
91,0,0,21.496000000000002
92,0,0,28.201
93,0,0,31.788999999999998
94,0,0,33.907
95,0,0,34.906
96,0,0,40.494
97,0,0,39.294000000000004
98,0,0,29.715
99,0,0,24.453
100,0,0,21.709
101,0,0,21.083000000000002
102,0,0,20.591
103,0,0,22.213
104,0,0,47.43
105,0,0,54.862
106,0,0,44.532000000000004
107,0,0,48.571999999999996
108,0,0,46.379999999999995
109,0,0,42.725
110,0,0,43.132999999999996
111,0,0,43.797000000000004
112,0,0,42.428
113,0,0,30.019000000000002
114,0,0,27.468
115,0,0,24.413
116,0,0,31.918000000000003
117,0,0,33.281
118,0,0,40.478
119,0,0,38.957
120,0,0,39.567
121,0,0,40.805
122,0,0,40.012
123,0,0,33.99400000000001
124,0,0,27.291
125,0,0,27.569
126,0,0,32.954
127,0,0,56.858
128,0,0,111.356
129,0,0,68.729
130,0,0,44.997
131,0,0,46.381
132,0,0,43.043
133,0,0,47.031000000000006
134,0,0,50.992999999999995
135,0,0,43.13
136,0,0,34.444
137,0,0,40.943
138,0,0,57.033
139,0,0,25.5
140,0,0,29.485
141,0,0,33.039
142,0,0,35.356
143,0,0,44.861
144,0,0,44.552
145,0,0,44.108000000000004
146,0,0,43.007999999999996
147,0,0,35.496
148,0,0,28.767
149,0,0,28.523
150,0,0,24.478
151,0,0,52.958999999999996
152,0,0,65.661
153,0,0,81.02900000000001
154,0,0,46.166
155,0,0,69.103
156,0,0,69.289
157,0,0,50.493
158,0,0,51.947
159,0,0,47.183
160,0,0,47.347
161,0,0,37.156
162,0,0,35.416999999999994
163,0,0,25.294
164,0,0,38.885000000000005
165,0,0,42.056000000000004
166,0,0,38.286
167,0,0,39.656
168,0,0,41.864
169,0,0,41.535000000000004
170,0,0,36.948
171,0,0,30.299
172,0,0,23.438
173,0,0,26.557000000000002
174,0,0,22.991999999999997
175,0,0,30.934
176,0,0,40.736000000000004
177,0,0,49.074
