,domestic,commercial,public
0,0,0,95.495
1,0,0,151.057
2,0,0,151.103
3,0,0,149.628
4,0,0,147.323
5,0,0,146.693
6,0,0,48.789
7,0,0,45.746
8,0,0,54.072
9,0,0,59.314
10,0,0,56.151
11,0,0,71.465
12,0,0,65.999
13,0,0,31.529
14,0,0,25.055
15,0,0,20.398
16,0,0,19.302
17,0,0,31.73
18,0,0,49.119
19,0,0,163.741
20,0,0,181.736
21,0,0,169.42
22,0,0,179.583
23,0,0,186.417
24,0,0,182.419
25,0,0,194.704
26,0,0,204.541
27,0,0,198.73
28,0,0,200.914
29,0,0,202.642
30,0,0,45.573
31,0,0,21.859
32,0,0,45.17
33,0,0,49.166
34,0,0,47.711
35,0,0,54.781
36,0,0,50.949
37,0,0,62.814
38,0,0,54.118
39,0,0,36.553
40,0,0,47.083
41,0,0,29.53
42,0,0,33.651
43,0,0,218.559
44,0,0,217.529
45,0,0,224.615
46,0,0,200.383
47,0,0,147.446
48,0,0,28.811
49,0,0,140.956
50,0,0,173.554
51,0,0,169.202
52,0,0,159.151
53,0,0,148.347
54,0,0,53.731
55,0,0,29.244
56,0,0,51.676
57,0,0,79.899
58,0,0,111.608
59,0,0,101.801
60,0,0,93.107
61,0,0,80.54
62,0,0,57.836
63,0,0,78.119
64,0,0,80.687
65,0,0,63.554
66,0,0,89.709
67,0,0,203.975
68,0,0,162.621
69,0,0,176.354
70,0,0,192.31
71,0,0,202.609
72,0,0,191.462
73,0,0,185.115
74,0,0,189.622
75,0,0,192.835
76,0,0,173.602
77,0,0,185.436
78,0,0,150.82
79,0,0,32.235
80,0,0,28.275
81,0,0,32.436
82,0,0,16.621
83,0,0,15.116
84,0,0,57.416
85,0,0,80.614
86,0,0,69.314
87,0,0,78.825
88,0,0,121.237
89,0,0,81.175
90,0,0,73.371
91,0,0,265.816
92,0,0,281.174
93,0,0,252.392
94,0,0,235.887
95,0,0,219.626
96,0,0,210.356
97,0,0,211.201
98,0,0,179.414
99,0,0,166.701
100,0,0,171.137
101,0,0,158.75
102,0,0,127.495
103,0,0,72.743
104,0,0,81.93
105,0,0,79.184
106,0,0,83.267
107,0,0,87.62
108,0,0,81.551
109,0,0,75.314
110,0,0,89.428
111,0,0,89.434
112,0,0,83.795
113,0,0,24.254
114,0,0,39.232
115,0,0,266.785
116,0,0,247.761
117,0,0,187.871
118,0,0,195.711
119,0,0,210.881
120,0,0,226.597
121,0,0,213.036
122,0,0,214.754
123,0,0,224.249
124,0,0,221.668
125,0,0,204.434
126,0,0,36.22
127,0,0,29.468
128,0,0,16.419
129,0,0,21.47
130,0,0,25.8
131,0,0,49.787
132,0,0,49.89
133,0,0,71.918
134,0,0,68.863
135,0,0,72.965
136,0,0,66.555
137,0,0,27.969
138,0,0,69.392
139,0,0,233.655
140,0,0,185.659
141,0,0,187.028
142,0,0,209.543
143,0,0,166.585
144,0,0,167.519
145,0,0,172.265
146,0,0,181.526
147,0,0,181.854
148,0,0,187.085
149,0,0,217.014
150,0,0,144.497
151,0,0,87.501
152,0,0,61.348
153,0,0,59.582
154,0,0,76.17
155,0,0,94.026
156,0,0,69.61
157,0,0,75.827
158,0,0,38.081
159,0,0,100.467
160,0,0,100.369
161,0,0,71.666
162,0,0,64.654
163,0,0,238.013
164,0,0,176.712
165,0,0,169.635
166,0,0,177.531
167,0,0,174.711
168,0,0,165.999
169,0,0,167.926
170,0,0,186.865
171,0,0,189.469
172,0,0,194.595
173,0,0,198.115
174,0,0,86.129
175,0,0,26.153
176,0,0,47.008
177,0,0,41.012
178,0,0,55.456
179,0,0,100.444
180,0,0,88.291
181,0,0,54.673
182,0,0,82.411
183,0,0,89.167
184,0,0,77.382
185,0,0,70.044
186,0,0,126.017
187,0,0,208.378
188,0,0,217.193
189,0,0,229.013
190,0,0,181.793
191,0,0,193.917
192,0,0,186.809
193,0,0,195.136
194,0,0,191.387
195,0,0,195.594
196,0,0,196.683
197,0,0,183.82
198,0,0,32.456
199,0,0,28.656
200,0,0,30.972
201,0,0,29.387
202,0,0,43.094
203,0,0,58.623
204,0,0,62.933
205,0,0,76.026
206,0,0,75.638
207,0,0,63.451
208,0,0,60.672
209,0,0,60.646
210,0,0,38.169
211,0,0,234.1
212,0,0,238.391
213,0,0,217.099
214,0,0,273.565
215,0,0,211.377
216,0,0,192.009
217,0,0,192.828
218,0,0,188.182
219,0,0,189.143
220,0,0,172.732
221,0,0,175.384
222,0,0,47.472
223,0,0,49.467
224,0,0,33.504
