,domestic,commercial,public
0,0,0,149.281
1,0,0,141.37199999999999
2,0,0,148.794
3,0,0,153.034
4,0,0,150.44299999999998
5,0,0,120.06400000000001
6,0,0,37.844
7,0,0,35.528999999999996
8,0,0,30.044999999999998
9,0,0,37.42
10,0,0,42.163
11,0,0,39.003
12,0,0,34.621
13,0,0,39.148
14,0,0,30.326999999999998
15,0,0,29.625
16,0,0,29.997
17,0,0,28.558
18,0,0,36.37
19,0,0,161.69
20,0,0,154.358
21,0,0,150.803
22,0,0,148.817
23,0,0,149.606
24,0,0,147.185
25,0,0,147.54600000000002
26,0,0,149.227
27,0,0,148.94299999999998
28,0,0,152.061
29,0,0,109.02499999999999
30,0,0,112.745
31,0,0,259.058
32,0,0,275.791
33,0,0,312.529
34,0,0,349.30899999999997
35,0,0,288.93
36,0,0,264.06800000000004
37,0,0,97.213
38,0,0,33.309
39,0,0,29.144
40,0,0,30.336
41,0,0,29.264
42,0,0,29.605
43,0,0,107.924
44,0,0,149.31900000000002
45,0,0,164.718
46,0,0,159.382
47,0,0,143.654
48,0,0,143.17499999999998
49,0,0,140.179
50,0,0,138.687
51,0,0,149.915
52,0,0,151.619
53,0,0,130.718
54,0,0,46.817
55,0,0,33.037
56,0,0,28.31
57,0,0,41.653999999999996
58,0,0,56.772000000000006
59,0,0,42.391999999999996
60,0,0,29.786
61,0,0,43.861
62,0,0,45.242999999999995
63,0,0,42.23
64,0,0,86.988
65,0,0,50.427
66,0,0,108.896
67,0,0,146.73
68,0,0,147.011
69,0,0,149.16299999999998
70,0,0,150.909
71,0,0,144.08599999999998
72,0,0,147.33499999999998
73,0,0,142.86599999999999
74,0,0,149.454
75,0,0,152.148
76,0,0,148.423
77,0,0,103.28800000000001
78,0,0,43.201
79,0,0,75.44
80,0,0,40.135
81,0,0,47.658
82,0,0,58.507000000000005
83,0,0,57.989
84,0,0,43.241
85,0,0,50.034
86,0,0,60.16
87,0,0,62.038999999999994
88,0,0,53.769
89,0,0,100.354
90,0,0,155.143
91,0,0,136.321
92,0,0,146.067
93,0,0,145.324
94,0,0,150.312
95,0,0,152.307
96,0,0,148.886
97,0,0,149.928
98,0,0,147.68800000000002
99,0,0,144.157
100,0,0,138.49900000000002
101,0,0,118.622
102,0,0,44.177
103,0,0,73.007
104,0,0,71.357
105,0,0,132.62099999999998
106,0,0,105.865
107,0,0,56.414
108,0,0,40.116
109,0,0,135.879
110,0,0,450.382
111,0,0,432.29499999999996
112,0,0,61.339
113,0,0,64.805
114,0,0,101.66799999999999
115,0,0,168.09
116,0,0,168.268
117,0,0,160.429
118,0,0,138.21800000000002
119,0,0,144.423
120,0,0,144.245
121,0,0,143.758
122,0,0,142.283
123,0,0,148.244
124,0,0,151.04600000000002
125,0,0,120.656
126,0,0,28.899
127,0,0,29.966
128,0,0,55.626000000000005
129,0,0,56.185
130,0,0,52.793
131,0,0,53.927
132,0,0,64.399
133,0,0,90.449
134,0,0,10.995
135,0,0,14.0
136,0,0,20.253
137,0,0,52.793
138,0,0,84.143
139,0,0,150.271
140,0,0,152.053
141,0,0,149.058
142,0,0,141.347
143,0,0,145.298
144,0,0,147.357
145,0,0,148.688
146,0,0,150.529
147,0,0,140.91600000000003
148,0,0,143.78199999999998
149,0,0,128.29
150,0,0,73.742
151,0,0,86.45400000000001
152,0,0,71.702
153,0,0,75.491
154,0,0,75.27300000000001
155,0,0,76.751
156,0,0,63.61600000000001
157,0,0,20.666
158,0,0,11.084
159,0,0,16.491
160,0,0,13.131
161,0,0,34.732
162,0,0,22.287000000000003
163,0,0,64.76899999999999
164,0,0,43.956
165,0,0,64.13199999999999
166,0,0,94.712
167,0,0,85.479
168,0,0,93.292
169,0,0,120.549
170,0,0,114.553
171,0,0,123.143
172,0,0,120.45100000000001
173,0,0,94.519
174,0,0,0.0
175,0,0,1.282
176,0,0,14.194999999999999
177,0,0,41.437000000000005
178,0,0,42.903
179,0,0,34.868
180,0,0,30.221
181,0,0,25.680999999999997
182,0,0,24.487
183,0,0,27.278
184,0,0,17.636
185,0,0,6.628
186,0,0,8.167
187,0,0,57.412
188,0,0,78.226
189,0,0,57.466
190,0,0,114.812
191,0,0,116.27600000000001
192,0,0,108.18700000000001
193,0,0,118.1
194,0,0,60.759
195,0,0,105.87
196,0,0,102.893
197,0,0,74.907
198,0,0,14.276
199,0,0,179.24
200,0,0,240.761
201,0,0,120.184
202,0,0,192.911
203,0,0,154.755
204,0,0,158.689
205,0,0,72.78
206,0,0,26.123
207,0,0,7.815
208,0,0,6.883
209,0,0,1.645
210,0,0,2.415
211,0,0,39.807
212,0,0,68.536
213,0,0,89.613
214,0,0,61.177
215,0,0,105.062
216,0,0,122.797
217,0,0,126.283
218,0,0,119.612
219,0,0,128.69
220,0,0,75.27499999999999
221,0,0,97.634
222,0,0,20.697
223,0,0,33.577000000000005
224,0,0,26.128999999999998
225,0,0,21.843999999999998
226,0,0,18.221999999999998
227,0,0,17.415
228,0,0,20.864
229,0,0,21.59
230,0,0,30.548
231,0,0,19.364
232,0,0,10.902000000000001
233,0,0,12.266
234,0,0,26.497
235,0,0,49.396
236,0,0,82.165
237,0,0,108.883
238,0,0,113.06099999999999
239,0,0,112.815
240,0,0,118.059
241,0,0,121.55199999999999
242,0,0,117.148
243,0,0,128.839
244,0,0,125.824
245,0,0,37.932
246,0,0,20.367
247,0,0,77.461
248,0,0,102.643
249,0,0,79.322
250,0,0,64.236
251,0,0,235.27100000000002
252,0,0,55.201
253,0,0,68.062
254,0,0,32.878
255,0,0,30.675
