,domestic,commercial,public
0,0,0,219.87599999999998
1,0,0,221.506
2,0,0,221.31300000000002
3,0,0,222.43699999999998
4,0,0,223.237
5,0,0,221.301
6,0,0,217.90699999999998
7,0,0,71.012
8,0,0,2.979
9,0,0,2.026
10,0,0,0.0
11,0,0,0.0
12,0,0,0.256
13,0,0,1.0330000000000001
14,0,0,0.761
15,0,0,1.1119999999999999
16,0,0,0.0
17,0,0,0.16799999999999998
18,0,0,55.366
19,0,0,211.622
20,0,0,215.63299999999998
21,0,0,216.82100000000003
22,0,0,213.671
23,0,0,215.408
24,0,0,219.394
25,0,0,221.122
26,0,0,222.866
27,0,0,222.992
28,0,0,222.297
29,0,0,223.03500000000003
30,0,0,91.911
31,0,0,0.08600000000000001
32,0,0,0.0
33,0,0,0.0
34,0,0,0.0
35,0,0,0.08399999999999999
36,0,0,1.029
37,0,0,1.108
38,0,0,1.28
39,0,0,0.602
40,0,0,0.768
41,0,0,0.257
42,0,0,36.385
43,0,0,209.253
44,0,0,213.481
45,0,0,208.57
46,0,0,214.225
47,0,0,214.979
48,0,0,216.889
49,0,0,220.716
50,0,0,221.96699999999998
51,0,0,222.039
52,0,0,218.258
53,0,0,218.054
54,0,0,103.36
55,0,0,0.0
56,0,0,0.0
57,0,0,133.553
58,0,0,94.827
59,0,0,37.263
60,0,0,28.72
61,0,0,28.962999999999997
62,0,0,27.675
63,0,0,27.584
64,0,0,23.729
65,0,0,0.33799999999999997
66,0,0,67.274
67,0,0,494.573
68,0,0,487.661
69,0,0,337.814
70,0,0,352.04999999999995
71,0,0,303.18
72,0,0,349.437
73,0,0,354.127
74,0,0,353.30699999999996
75,0,0,352.72700000000003
76,0,0,351.845
77,0,0,350.66700000000003
78,0,0,152.65400000000002
79,0,0,15.087
80,0,0,17.353
81,0,0,25.897
82,0,0,6.1739999999999995
83,0,0,8.016
84,0,0,113.303
85,0,0,112.116
86,0,0,208.27300000000002
87,0,0,135.606
88,0,0,94.671
89,0,0,76.387
90,0,0,68.22699999999999
91,0,0,349.492
92,0,0,464.314
93,0,0,369.959
94,0,0,271.849
95,0,0,200.094
96,0,0,206.49200000000002
97,0,0,213.46
98,0,0,214.701
99,0,0,217.071
100,0,0,215.84900000000002
101,0,0,212.292
102,0,0,209.426
103,0,0,57.675
104,0,0,52.931
105,0,0,156.805
106,0,0,81.653
107,0,0,117.36399999999999
108,0,0,90.199
109,0,0,114.911
110,0,0,193.021
111,0,0,81.641
112,0,0,113.594
113,0,0,106.443
114,0,0,173.026
115,0,0,477.069
116,0,0,478.731
117,0,0,486.553
118,0,0,325.70300000000003
119,0,0,190.38
120,0,0,191.12
121,0,0,196.155
122,0,0,204.14499999999998
123,0,0,207.131
124,0,0,212.762
125,0,0,334.287
126,0,0,255.14399999999998
127,0,0,73.289
128,0,0,90.821
129,0,0,56.141999999999996
130,0,0,0.515
131,0,0,56.623
132,0,0,45.894999999999996
133,0,0,28.342
134,0,0,81.92099999999999
135,0,0,137.843
136,0,0,42.308
137,0,0,139.66400000000002
138,0,0,58.663
139,0,0,320.96000000000004
140,0,0,479.293
141,0,0,379.321
142,0,0,191.1
143,0,0,184.595
144,0,0,184.18699999999998
145,0,0,185.076
146,0,0,186.565
147,0,0,187.23600000000002
148,0,0,190.917
149,0,0,201.50799999999998
150,0,0,244.181
151,0,0,9.601
152,0,0,1.21
153,0,0,2.576
154,0,0,127.377
155,0,0,45.278999999999996
156,0,0,47.724000000000004
157,0,0,47.946999999999996
158,0,0,99.25399999999999
159,0,0,68.72300000000001
160,0,0,35.699
161,0,0,13.418
162,0,0,51.676
163,0,0,512.002
164,0,0,490.931
165,0,0,448.635
166,0,0,211.701
167,0,0,197.75
168,0,0,196.909
169,0,0,202.793
170,0,0,207.728
171,0,0,214.173
172,0,0,218.938
173,0,0,219.771
174,0,0,144.498
175,0,0,32.818
176,0,0,3.0959999999999996
177,0,0,35.43
178,0,0,32.567
179,0,0,131.74
180,0,0,82.25699999999999
181,0,0,38.003
182,0,0,63.425999999999995
183,0,0,142.946
184,0,0,69.941
185,0,0,27.182000000000002
186,0,0,78.03200000000001
187,0,0,422.604
188,0,0,388.95099999999996
189,0,0,264.654
190,0,0,209.396
191,0,0,206.131
192,0,0,211.585
193,0,0,213.505
194,0,0,217.304
195,0,0,218.04999999999998
196,0,0,220.704
197,0,0,224.22400000000002
198,0,0,220.863
199,0,0,31.319
200,0,0,11.88
201,0,0,6.443
202,0,0,74.97099999999999
203,0,0,117.804
204,0,0,51.724
205,0,0,82.459
206,0,0,62.72899999999999
207,0,0,58.921
208,0,0,54.050000000000004
209,0,0,105.322
210,0,0,66.77199999999999
211,0,0,427.045
212,0,0,484.977
213,0,0,513.2900000000001
214,0,0,312.475
215,0,0,213.553
216,0,0,213.51500000000001
217,0,0,218.504
218,0,0,219.805
219,0,0,220.161
220,0,0,215.01999999999998
221,0,0,209.607
222,0,0,161.411
223,0,0,4.263
224,0,0,0.0
225,0,0,3.965
226,0,0,0.17200000000000001
227,0,0,5.595
228,0,0,30.229
229,0,0,15.174
230,0,0,29.424
231,0,0,25.125
232,0,0,28.526
233,0,0,29.715
234,0,0,94.611
235,0,0,446.36199999999997
236,0,0,442.815
237,0,0,404.274
238,0,0,213.348
239,0,0,192.54299999999998
240,0,0,193.236
241,0,0,198.209
242,0,0,203.071
243,0,0,202.46
244,0,0,201.85500000000002
245,0,0,211.601
246,0,0,135.653
247,0,0,102.885
248,0,0,111.952
249,0,0,88.409
250,0,0,45.774
251,0,0,28.762
252,0,0,22.941
253,0,0,7.873
254,0,0,53.338
255,0,0,41.764
256,0,0,29.692
257,0,0,114.451
258,0,0,122.202
259,0,0,424.206
260,0,0,487.04999999999995
261,0,0,465.937
262,0,0,361.365
263,0,0,193.86800000000002
264,0,0,198.256
265,0,0,206.403
266,0,0,208.005
267,0,0,212.656
268,0,0,216.51999999999998
269,0,0,238.07
270,0,0,274.887
271,0,0,99.91
272,0,0,82.783
273,0,0,168.173
274,0,0,185.96599999999998
275,0,0,129.28799999999998
276,0,0,118.485
277,0,0,121.147
278,0,0,29.111
279,0,0,97.605
280,0,0,113.701
281,0,0,117.426
282,0,0,120.45500000000001
283,0,0,477.35499999999996
284,0,0,436.805
285,0,0,398.83299999999997
286,0,0,343.99600000000004
287,0,0,189.433
288,0,0,181.127
289,0,0,200.983
290,0,0,203.255
291,0,0,204.457
292,0,0,201.52200000000002
293,0,0,206.92
294,0,0,136.614
295,0,0,78.479
296,0,0,103.993
297,0,0,114.163
298,0,0,111.006
299,0,0,127.254
300,0,0,109.77099999999999
301,0,0,106.577
302,0,0,5.9959999999999996
303,0,0,84.566
304,0,0,107.596
305,0,0,88.521
306,0,0,44.346999999999994
307,0,0,468.764
308,0,0,468.315
309,0,0,486.425
310,0,0,461.557
311,0,0,223.526
312,0,0,207.719
313,0,0,214.144
314,0,0,217.333
315,0,0,220.252
316,0,0,222.01399999999998
317,0,0,220.092
318,0,0,113.88900000000001
319,0,0,1.157
320,0,0,22.319
321,0,0,118.697
322,0,0,118.206
323,0,0,115.22699999999999
324,0,0,107.964
325,0,0,107.727
326,0,0,440.622
327,0,0,165.188
328,0,0,110.716
329,0,0,204.089
330,0,0,153.01600000000002
331,0,0,521.8230000000001
332,0,0,498.25199999999995
333,0,0,496.871
334,0,0,484.27500000000003
335,0,0,228.222
336,0,0,198.495
337,0,0,206.703
338,0,0,213.81300000000002
339,0,0,216.901
340,0,0,218.712
341,0,0,219.592
342,0,0,34.704
343,0,0,0.171
344,0,0,64.497
345,0,0,109.47500000000001
346,0,0,112.64
347,0,0,124.706
348,0,0,131.00300000000001
349,0,0,129.07299999999998
350,0,0,115.32900000000001
351,0,0,108.847
352,0,0,120.625
353,0,0,105.046
354,0,0,132.513
355,0,0,442.652
356,0,0,483.009
357,0,0,463.945
358,0,0,314.315
359,0,0,191.479
360,0,0,200.87
361,0,0,201.547
362,0,0,208.86599999999999
363,0,0,211.846
364,0,0,218.23899999999998
365,0,0,219.578
366,0,0,112.815
367,0,0,0.0
368,0,0,0.0
369,0,0,2.278
370,0,0,1.671
371,0,0,0.08600000000000001
372,0,0,11.084
373,0,0,117.562
374,0,0,119.909
375,0,0,114.25
376,0,0,106.64800000000001
377,0,0,108.16499999999999
378,0,0,143.626
379,0,0,417.795
380,0,0,429.298
381,0,0,470.841
382,0,0,199.322
383,0,0,192.374
384,0,0,194.238
385,0,0,200.585
386,0,0,212.082
387,0,0,217.483
388,0,0,220.20899999999997
389,0,0,235.126
390,0,0,215.042
391,0,0,0.0
392,0,0,0.666
393,0,0,6.292
394,0,0,10.721
395,0,0,0.258
396,0,0,103.852
397,0,0,104.149
398,0,0,166.289
399,0,0,151.81900000000002
400,0,0,142.98
401,0,0,97.149
402,0,0,146.563
403,0,0,460.45799999999997
404,0,0,402.871
405,0,0,408.089
406,0,0,230.625
407,0,0,191.144
408,0,0,190.652
409,0,0,200.604
410,0,0,209.224
411,0,0,216.16
412,0,0,215.172
413,0,0,214.744
414,0,0,356.605
415,0,0,72.973
416,0,0,158.602
417,0,0,81.724
418,0,0,87.475
419,0,0,101.69
420,0,0,95.218
421,0,0,97.246
422,0,0,97.408
423,0,0,94.36
424,0,0,94.572
425,0,0,159.394
426,0,0,250.15900000000002
427,0,0,494.69
428,0,0,509.17900000000003
429,0,0,487.891
430,0,0,406.325
431,0,0,212.444
432,0,0,218.15699999999998
433,0,0,220.996
434,0,0,220.972
435,0,0,222.165
436,0,0,221.68099999999998
437,0,0,271.853
438,0,0,225.669
439,0,0,139.399
