,domestic,commercial,public
0,0,0,48.922
1,0,0,16.19
2,0,0,23.953
3,0,0,86.295
4,0,0,47.348
5,0,0,17.997
6,0,0,24.819999999999997
7,0,0,84.134
8,0,0,36.43
9,0,0,10.324
10,0,0,23.143
11,0,0,89.60799999999999
12,0,0,52.696
13,0,0,23.150000000000002
14,0,0,30.419999999999998
15,0,0,96.236
16,0,0,58.977000000000004
17,0,0,19.812
18,0,0,22.044999999999998
19,0,0,73.26599999999999
20,0,0,45.625
21,0,0,16.442999999999998
22,0,0,20.939
23,0,0,78.519
24,0,0,46.672
25,0,0,15.122
26,0,0,20.534
27,0,0,85.346
28,0,0,48.771
29,0,0,17.442
30,0,0,18.764
31,0,0,71.909
32,0,0,41.094
33,0,0,17.869
34,0,0,19.909
35,0,0,88.77
36,0,0,62.846
37,0,0,17.657
38,0,0,17.423000000000002
39,0,0,91.61999999999999
40,0,0,67.438
41,0,0,19.176
42,0,0,19.134
43,0,0,71.78099999999999
44,0,0,52.352999999999994
45,0,0,16.608999999999998
46,0,0,16.246
47,0,0,75.386
48,0,0,51.485
49,0,0,16.256
50,0,0,16.304
51,0,0,82.83699999999999
52,0,0,55.967999999999996
53,0,0,17.739
54,0,0,15.646
55,0,0,69.117
56,0,0,75.96600000000001
57,0,0,63.874
58,0,0,15.143
59,0,0,32.120000000000005
60,0,0,89.95100000000001
61,0,0,90.137
62,0,0,55.788
63,0,0,21.311
64,0,0,55.11
65,0,0,87.60600000000001
66,0,0,67.643
67,0,0,11.626
68,0,0,24.43
69,0,0,81.449
70,0,0,75.984
71,0,0,22.28
72,0,0,15.089
73,0,0,61.79
74,0,0,79.512
75,0,0,22.761
76,0,0,17.537
77,0,0,65.33200000000001
78,0,0,83.76
79,0,0,30.198
80,0,0,8.623000000000001
81,0,0,59.799
82,0,0,80.854
83,0,0,48.779
84,0,0,25.463
85,0,0,64.581
86,0,0,88.483
87,0,0,84.04899999999999
88,0,0,76.88300000000001
89,0,0,17.638
90,0,0,31.326
91,0,0,75.722
92,0,0,70.103
93,0,0,15.276
94,0,0,19.751
95,0,0,79.856
96,0,0,67.471
97,0,0,16.298
98,0,0,17.006
99,0,0,81.364
100,0,0,69.42099999999999
101,0,0,18.333
102,0,0,18.789
103,0,0,79.831
104,0,0,53.512
105,0,0,10.305
106,0,0,33.147000000000006
107,0,0,169.922
108,0,0,138.963
109,0,0,75.828
