,domestic,commercial,public
0,0,0,40.792
1,0,0,30.973
2,0,0,29.97
3,0,0,25.149
4,0,0,23.754
5,0,0,24.944000000000003
6,0,0,23.286
7,0,0,21.12
8,0,0,21.617
9,0,0,23.101
10,0,0,20.831
11,0,0,18.25
12,0,0,21.305
13,0,0,31.933999999999997
14,0,0,33.451
15,0,0,32.726
16,0,0,22.259999999999998
17,0,0,23.523
18,0,0,21.044
19,0,0,30.53
20,0,0,41.742000000000004
21,0,0,33.187000000000005
22,0,0,35.364
23,0,0,41.0
24,0,0,33.179
25,0,0,31.322999999999997
26,0,0,29.451999999999998
27,0,0,25.859
28,0,0,24.46
29,0,0,27.812
30,0,0,24.304
31,0,0,22.889
32,0,0,19.753
33,0,0,20.563000000000002
34,0,0,15.233
35,0,0,19.522000000000002
36,0,0,19.341
37,0,0,18.104
38,0,0,20.937
39,0,0,20.86
40,0,0,18.771
41,0,0,19.650000000000002
42,0,0,32.377
43,0,0,52.845000000000006
44,0,0,44.657000000000004
45,0,0,33.325
46,0,0,33.323
47,0,0,39.95
48,0,0,36.156
49,0,0,33.833
50,0,0,30.837
51,0,0,28.466
52,0,0,25.529
53,0,0,27.040000000000003
54,0,0,31.79
55,0,0,30.481
56,0,0,39.912000000000006
57,0,0,23.903000000000002
58,0,0,25.154
59,0,0,18.674
60,0,0,18.922
61,0,0,22.349
62,0,0,28.405
63,0,0,40.257
64,0,0,45.449999999999996
65,0,0,29.797
66,0,0,51.033
67,0,0,46.781000000000006
68,0,0,29.641000000000002
69,0,0,22.422
70,0,0,20.977
71,0,0,21.723
72,0,0,23.094
73,0,0,22.91
74,0,0,25.215999999999998
75,0,0,20.592
76,0,0,18.512
77,0,0,17.384
78,0,0,19.223
79,0,0,18.844
80,0,0,19.855999999999998
81,0,0,26.648000000000003
82,0,0,23.781
83,0,0,14.368
84,0,0,17.679000000000002
85,0,0,19.031
86,0,0,11.052
87,0,0,11.434
88,0,0,12.956999999999999
89,0,0,18.801
90,0,0,16.689
91,0,0,16.82
92,0,0,23.711
93,0,0,28.761
94,0,0,22.288
95,0,0,22.619
96,0,0,25.860999999999997
97,0,0,26.22
98,0,0,21.801000000000002
99,0,0,21.628999999999998
100,0,0,20.505
101,0,0,22.186999999999998
102,0,0,18.794999999999998
103,0,0,18.988000000000003
104,0,0,25.180999999999997
105,0,0,30.424
106,0,0,20.142
107,0,0,23.509
108,0,0,28.757
109,0,0,19.899
110,0,0,19.477999999999998
111,0,0,16.099
112,0,0,32.001000000000005
113,0,0,41.739
114,0,0,21.624000000000002
115,0,0,31.951
116,0,0,54.567
117,0,0,64.95700000000001
118,0,0,62.90800000000001
119,0,0,68.33699999999999
120,0,0,68.23899999999999
121,0,0,64.083
122,0,0,69.802
123,0,0,61.518
124,0,0,55.139
125,0,0,49.258
126,0,0,35.467999999999996
127,0,0,23.82
128,0,0,18.991999999999997
129,0,0,21.063
130,0,0,23.022000000000002
131,0,0,22.463
132,0,0,21.441000000000003
133,0,0,20.997999999999998
134,0,0,25.773999999999997
135,0,0,19.676
136,0,0,20.706
137,0,0,22.832
138,0,0,20.637
139,0,0,27.195
140,0,0,38.502
141,0,0,45.220000000000006
142,0,0,37.931
143,0,0,33.163
144,0,0,32.239999999999995
145,0,0,35.544
146,0,0,29.946
147,0,0,29.249000000000002
148,0,0,26.708
149,0,0,25.874000000000002
150,0,0,26.956999999999997
151,0,0,28.718
152,0,0,39.603
153,0,0,20.647
154,0,0,28.474
155,0,0,21.023
156,0,0,14.577
157,0,0,17.134
158,0,0,18.422
159,0,0,21.563
160,0,0,31.99
161,0,0,35.58
162,0,0,12.665
163,0,0,36.202
164,0,0,56.589
165,0,0,53.089
166,0,0,52.366
167,0,0,49.244
168,0,0,47.872
169,0,0,45.637
170,0,0,41.975
171,0,0,42.641
172,0,0,38.987
173,0,0,35.796
174,0,0,34.021
175,0,0,20.026
176,0,0,19.335
177,0,0,19.084
178,0,0,19.041
179,0,0,20.080000000000002
180,0,0,13.052
181,0,0,12.935
182,0,0,18.166
183,0,0,18.631
184,0,0,18.854
185,0,0,18.786
186,0,0,26.014
187,0,0,39.822
188,0,0,58.58
189,0,0,86.065
190,0,0,72.217
191,0,0,69.205
192,0,0,63.077999999999996
193,0,0,59.355
194,0,0,57.562000000000005
195,0,0,52.768
196,0,0,46.961000000000006
197,0,0,43.573
198,0,0,31.069
199,0,0,17.371000000000002
200,0,0,20.129
201,0,0,23.436
202,0,0,22.353
203,0,0,17.81
204,0,0,16.972
205,0,0,19.676
206,0,0,21.362
207,0,0,37.297999999999995
208,0,0,64.727
209,0,0,49.312000000000005
210,0,0,24.269
211,0,0,39.189
212,0,0,40.318
213,0,0,37.246
214,0,0,35.171
215,0,0,31.385
216,0,0,29.080000000000002
217,0,0,25.995
218,0,0,27.341
219,0,0,24.112000000000002
220,0,0,22.578
221,0,0,24.372
222,0,0,30.457
223,0,0,23.25
224,0,0,20.913999999999998
225,0,0,20.993000000000002
226,0,0,24.269
227,0,0,17.704
228,0,0,14.911000000000001
229,0,0,17.786
230,0,0,21.503999999999998
231,0,0,21.463
232,0,0,17.515
233,0,0,17.576999999999998
234,0,0,14.954
235,0,0,21.083000000000002
236,0,0,35.064
237,0,0,34.234
238,0,0,23.083
239,0,0,22.102
240,0,0,20.587
241,0,0,21.149
242,0,0,21.320999999999998
243,0,0,19.074
244,0,0,19.593
245,0,0,19.005000000000003
246,0,0,17.248
247,0,0,28.967
248,0,0,40.358
249,0,0,71.893
250,0,0,78.16
251,0,0,65.229
252,0,0,39.502
253,0,0,18.11
254,0,0,31.648999999999997
255,0,0,36.149
256,0,0,45.994
257,0,0,26.256999999999998
258,0,0,15.218
259,0,0,34.651
260,0,0,45.877
261,0,0,44.137
262,0,0,38.339
263,0,0,42.153999999999996
264,0,0,34.969
265,0,0,31.682000000000002
266,0,0,28.472
267,0,0,26.346
268,0,0,23.652
269,0,0,25.433999999999997
270,0,0,24.589
271,0,0,35.836
272,0,0,45.513999999999996
273,0,0,52.833
274,0,0,29.044
275,0,0,32.521
276,0,0,25.338
277,0,0,29.492
278,0,0,22.006999999999998
279,0,0,20.307
280,0,0,18.9
281,0,0,21.851
282,0,0,32.057
283,0,0,34.706
284,0,0,56.874
285,0,0,79.334
286,0,0,63.038999999999994
287,0,0,58.903
288,0,0,57.272999999999996
289,0,0,55.695
290,0,0,58.097
291,0,0,59.739
292,0,0,60.564
293,0,0,61.714
294,0,0,36.255
295,0,0,46.385000000000005
296,0,0,56.47
297,0,0,34.225
298,0,0,18.873
299,0,0,20.188000000000002
300,0,0,20.459999999999997
301,0,0,18.74
302,0,0,14.946
303,0,0,23.161
304,0,0,26.737000000000002
305,0,0,34.38999999999999
306,0,0,33.732
307,0,0,52.998999999999995
308,0,0,54.205000000000005
309,0,0,58.924
310,0,0,61.135000000000005
311,0,0,61.618
312,0,0,66.038
313,0,0,58.511
314,0,0,54.934999999999995
315,0,0,57.7
316,0,0,57.086999999999996
317,0,0,56.908
318,0,0,52.163000000000004
319,0,0,22.423
320,0,0,21.864
321,0,0,21.638
322,0,0,25.337
323,0,0,22.251
324,0,0,24.427
325,0,0,17.122
326,0,0,31.674
327,0,0,28.407
328,0,0,25.096
329,0,0,24.804
330,0,0,18.359
331,0,0,23.55
332,0,0,38.32
333,0,0,39.689
334,0,0,31.697000000000003
335,0,0,36.5
336,0,0,35.409000000000006
337,0,0,33.265
338,0,0,31.599000000000004
339,0,0,29.283
340,0,0,26.755000000000003
341,0,0,23.777
342,0,0,25.353
343,0,0,20.888
344,0,0,21.53
345,0,0,21.726
346,0,0,16.558
347,0,0,18.238999999999997
348,0,0,18.696
349,0,0,14.005
350,0,0,11.986
351,0,0,15.727000000000002
352,0,0,14.506
353,0,0,26.891000000000002
354,0,0,32.412000000000006
355,0,0,31.884999999999998
356,0,0,36.607
357,0,0,41.036
358,0,0,29.214
359,0,0,27.570999999999998
360,0,0,38.092
361,0,0,36.161
362,0,0,32.28
363,0,0,27.491999999999997
364,0,0,25.294
365,0,0,23.416
366,0,0,23.164
367,0,0,18.659
368,0,0,21.963
369,0,0,19.692
370,0,0,15.997999999999998
371,0,0,18.761
372,0,0,21.139000000000003
373,0,0,15.535
374,0,0,13.929
375,0,0,13.835
376,0,0,13.628
377,0,0,38.086
378,0,0,64.80199999999999
379,0,0,37.21
380,0,0,25.297
381,0,0,31.851999999999997
382,0,0,29.226
383,0,0,35.065
384,0,0,37.722
385,0,0,36.026
386,0,0,36.096999999999994
387,0,0,28.735
388,0,0,24.379
389,0,0,30.720999999999997
390,0,0,24.192
391,0,0,37.109
392,0,0,51.187000000000005
393,0,0,40.265
394,0,0,22.634999999999998
395,0,0,32.137
396,0,0,41.333
397,0,0,20.272
398,0,0,20.539
399,0,0,22.707
400,0,0,25.037
401,0,0,40.634
402,0,0,44.17
403,0,0,34.391999999999996
404,0,0,28.042
405,0,0,40.461
406,0,0,42.372
407,0,0,51.339999999999996
408,0,0,45.878
409,0,0,40.014
410,0,0,36.276
411,0,0,31.618
412,0,0,28.252
413,0,0,34.931
414,0,0,25.761
415,0,0,27.253
416,0,0,31.764
417,0,0,33.354
418,0,0,36.987
419,0,0,25.643
420,0,0,35.19
421,0,0,16.476000000000003
422,0,0,14.983
423,0,0,24.421000000000003
424,0,0,28.336
425,0,0,28.744
426,0,0,23.636
427,0,0,33.859
428,0,0,43.92
429,0,0,37.937
430,0,0,37.152
431,0,0,36.958999999999996
432,0,0,36.681
433,0,0,35.52
434,0,0,30.646
435,0,0,35.274
436,0,0,30.855
437,0,0,25.948
438,0,0,28.612
439,0,0,32.357
440,0,0,37.398
441,0,0,43.947
442,0,0,34.563
443,0,0,18.166999999999998
444,0,0,15.078
445,0,0,11.328
446,0,0,15.675999999999998
447,0,0,17.219
448,0,0,13.440000000000001
449,0,0,21.352
450,0,0,28.679
451,0,0,37.55
452,0,0,49.653000000000006
453,0,0,35.324
454,0,0,33.669
455,0,0,29.866
456,0,0,27.834
457,0,0,24.902
458,0,0,23.066
459,0,0,23.614
460,0,0,23.972
461,0,0,30.835
462,0,0,30.079
463,0,0,24.176
464,0,0,20.309
465,0,0,23.400000000000002
466,0,0,29.893
467,0,0,37.313
468,0,0,42.056999999999995
469,0,0,28.523
470,0,0,32.904
471,0,0,27.657
472,0,0,25.622
473,0,0,30.061
474,0,0,27.732
475,0,0,31.276
476,0,0,33.342
477,0,0,37.997
478,0,0,33.413
479,0,0,34.407000000000004
480,0,0,38.727
481,0,0,35.348
482,0,0,31.918000000000003
483,0,0,30.362000000000002
484,0,0,25.272
485,0,0,26.936
486,0,0,27.579
487,0,0,28.097
488,0,0,37.589999999999996
489,0,0,38.924
490,0,0,44.43
491,0,0,45.792
492,0,0,47.847
493,0,0,41.287
494,0,0,16.602
495,0,0,18.246
496,0,0,28.222
497,0,0,43.478
498,0,0,27.839
499,0,0,28.934
500,0,0,26.805
501,0,0,29.398
502,0,0,31.051
503,0,0,30.238999999999997
504,0,0,30.47
505,0,0,34.236000000000004
506,0,0,33.9
507,0,0,30.186
508,0,0,29.951999999999998
509,0,0,27.351
510,0,0,26.323
511,0,0,21.193
512,0,0,29.228
513,0,0,53.220000000000006
514,0,0,65.374
515,0,0,46.257
516,0,0,20.990000000000002
517,0,0,17.531000000000002
518,0,0,19.087
519,0,0,19.939
520,0,0,20.763
521,0,0,17.866
522,0,0,19.977999999999998
523,0,0,36.5
524,0,0,43.339000000000006
525,0,0,59.513000000000005
526,0,0,57.032
527,0,0,38.059000000000005
528,0,0,36.802
529,0,0,34.614
530,0,0,31.048
531,0,0,25.725
532,0,0,26.226
533,0,0,30.616999999999997
534,0,0,18.943
535,0,0,20.242
536,0,0,22.073
537,0,0,21.998
538,0,0,22.238
539,0,0,20.951999999999998
540,0,0,17.994
541,0,0,18.384999999999998
542,0,0,17.793
543,0,0,21.528
544,0,0,43.511
545,0,0,40.455999999999996
546,0,0,24.995
547,0,0,40.594
548,0,0,33.966
549,0,0,33.204
550,0,0,30.961
551,0,0,30.886
552,0,0,30.761
553,0,0,26.325999999999997
554,0,0,23.982
555,0,0,23.993000000000002
556,0,0,25.397
557,0,0,35.446
558,0,0,33.473000000000006
559,0,0,25.005
560,0,0,22.71
561,0,0,20.435
562,0,0,23.039
563,0,0,26.994
564,0,0,18.983
565,0,0,29.223
566,0,0,19.952
567,0,0,17.207
568,0,0,19.114
569,0,0,18.697
570,0,0,22.377000000000002
571,0,0,36.156
572,0,0,36.617999999999995
573,0,0,47.923
574,0,0,38.571
575,0,0,30.345
576,0,0,27.641
577,0,0,23.689
578,0,0,23.153
579,0,0,22.259999999999998
580,0,0,23.529
581,0,0,34.566
582,0,0,32.396
583,0,0,27.7
584,0,0,32.620000000000005
585,0,0,44.056
586,0,0,40.54
587,0,0,37.186
588,0,0,33.779
589,0,0,37.365
590,0,0,18.392
591,0,0,17.073
592,0,0,16.453
593,0,0,14.059999999999999
594,0,0,31.661
595,0,0,38.454
596,0,0,49.185
597,0,0,33.885
598,0,0,32.969
599,0,0,30.107
600,0,0,25.785
601,0,0,23.833
602,0,0,22.436
603,0,0,24.485
604,0,0,29.259
605,0,0,26.606
606,0,0,32.529
607,0,0,25.981
608,0,0,28.782
609,0,0,34.641
610,0,0,38.626
611,0,0,36.577
612,0,0,20.294
613,0,0,18.313
614,0,0,16.447
615,0,0,18.736
616,0,0,22.788
617,0,0,14.198
618,0,0,18.226
619,0,0,35.056999999999995
620,0,0,44.035
621,0,0,39.928
622,0,0,30.483
623,0,0,32.992
624,0,0,28.94
625,0,0,23.447
626,0,0,23.455000000000002
627,0,0,28.497
628,0,0,31.652
629,0,0,33.779
630,0,0,28.011000000000003
631,0,0,26.541
632,0,0,31.364000000000004
633,0,0,28.552
634,0,0,19.257
635,0,0,30.290000000000003
636,0,0,30.243
637,0,0,22.369
638,0,0,20.424999999999997
639,0,0,27.355
640,0,0,17.88
641,0,0,14.229000000000001
642,0,0,14.690999999999999
643,0,0,57.581
644,0,0,65.595
645,0,0,76.267
646,0,0,58.217
647,0,0,48.397000000000006
648,0,0,43.653
649,0,0,41.734
650,0,0,41.910000000000004
651,0,0,47.203
652,0,0,54.873
653,0,0,71.265
654,0,0,35.611
655,0,0,25.483999999999998
656,0,0,31.169
657,0,0,36.231
658,0,0,27.709999999999997
659,0,0,28.551
660,0,0,27.351
661,0,0,25.481
662,0,0,20.607
663,0,0,16.88
664,0,0,29.612
665,0,0,40.039
666,0,0,35.579
667,0,0,29.974
668,0,0,45.032000000000004
669,0,0,51.117999999999995
670,0,0,33.859
671,0,0,35.458999999999996
672,0,0,31.426000000000002
673,0,0,30.082
674,0,0,25.703
675,0,0,25.079
676,0,0,23.123
677,0,0,22.648000000000003
678,0,0,31.866
679,0,0,17.732999999999997
