,domestic,commercial,public
0,0,0,12.902000000000001
1,0,0,11.04
2,0,0,10.854000000000001
3,0,0,9.955
4,0,0,6.971
5,0,0,2.458
6,0,0,8.735
7,0,0,9.045
8,0,0,9.702
9,0,0,9.43
10,0,0,9.202
11,0,0,9.143
12,0,0,5.083
13,0,0,11.726
14,0,0,8.424
15,0,0,11.686
16,0,0,12.406
17,0,0,8.032
18,0,0,11.908
19,0,0,15.157
20,0,0,22.398
21,0,0,23.662
22,0,0,20.094
23,0,0,17.108999999999998
24,0,0,13.327
25,0,0,9.823
26,0,0,9.870000000000001
27,0,0,9.781
28,0,0,15.173
29,0,0,9.542
30,0,0,10.087
31,0,0,9.92
32,0,0,10.763
33,0,0,8.728
34,0,0,6.115
35,0,0,6.545
36,0,0,12.659
37,0,0,9.348
38,0,0,6.476
39,0,0,9.996
40,0,0,12.479000000000001
41,0,0,16.212
42,0,0,10.902999999999999
43,0,0,15.174
44,0,0,17.343
45,0,0,13.638000000000002
46,0,0,20.148
47,0,0,19.637999999999998
48,0,0,16.665
49,0,0,14.258
50,0,0,13.563
51,0,0,11.574
52,0,0,9.838
53,0,0,9.273
54,0,0,9.12
55,0,0,9.372
56,0,0,10.755
57,0,0,10.0
58,0,0,6.567
59,0,0,10.231
60,0,0,9.549999999999999
61,0,0,8.433
62,0,0,7.702
63,0,0,15.705
64,0,0,12.151
65,0,0,8.945
66,0,0,8.997
67,0,0,14.513
68,0,0,13.715
69,0,0,21.447999999999997
70,0,0,19.872
71,0,0,13.058
72,0,0,7.992000000000001
73,0,0,9.719
74,0,0,9.447000000000001
75,0,0,6.575
76,0,0,17.103
77,0,0,19.017
78,0,0,6.764
79,0,0,7.453
80,0,0,13.692
81,0,0,10.669
82,0,0,8.286999999999999
83,0,0,7.3340000000000005
84,0,0,11.546000000000001
85,0,0,7.404
86,0,0,8.846
87,0,0,19.529999999999998
88,0,0,17.186
89,0,0,10.661
90,0,0,9.953
91,0,0,13.795
92,0,0,15.142
93,0,0,15.209999999999999
94,0,0,12.435
95,0,0,14.624
96,0,0,12.276
97,0,0,17.866
98,0,0,13.468
99,0,0,15.001000000000001
100,0,0,15.802
101,0,0,7.15
102,0,0,9.696
103,0,0,10.481
104,0,0,9.639
105,0,0,10.035
106,0,0,2.286
107,0,0,12.415000000000001
108,0,0,11.180000000000001
109,0,0,7.9030000000000005
110,0,0,8.597000000000001
111,0,0,14.63
112,0,0,11.799999999999999
113,0,0,7.955
114,0,0,11.129
115,0,0,17.746000000000002
116,0,0,27.892
117,0,0,21.712
118,0,0,15.615
119,0,0,13.301
120,0,0,10.417
121,0,0,9.545
122,0,0,10.142999999999999
123,0,0,9.098
124,0,0,10.14
125,0,0,10.841
126,0,0,6.226
127,0,0,13.312
128,0,0,7.151
129,0,0,9.619000000000002
130,0,0,7.472
131,0,0,1.286
132,0,0,6.637
133,0,0,7.803
134,0,0,5.83
135,0,0,1.416
136,0,0,7.188
137,0,0,8.167
138,0,0,10.1
139,0,0,11.171000000000001
140,0,0,17.086000000000002
141,0,0,12.172
142,0,0,22.114
143,0,0,18.275
144,0,0,20.724
145,0,0,16.650000000000002
146,0,0,18.794
147,0,0,18.645
148,0,0,16.0
149,0,0,14.623000000000001
150,0,0,4.208
151,0,0,8.876
152,0,0,10.539
153,0,0,9.205
154,0,0,6.354
155,0,0,6.4590000000000005
156,0,0,10.474
157,0,0,9.979
158,0,0,9.892
159,0,0,6.49
160,0,0,14.61
161,0,0,16.645
162,0,0,11.85
163,0,0,17.194000000000003
164,0,0,17.212000000000003
165,0,0,13.889999999999999
166,0,0,23.001
167,0,0,18.114
168,0,0,17.447
169,0,0,15.422
170,0,0,17.812
171,0,0,13.976
172,0,0,15.063
173,0,0,12.789
174,0,0,19.041
175,0,0,13.788
176,0,0,11.362
177,0,0,13.584999999999999
178,0,0,20.956
179,0,0,20.247
180,0,0,15.249
181,0,0,13.194
182,0,0,15.782
183,0,0,9.914
184,0,0,7.82
185,0,0,11.479
186,0,0,46.635999999999996
187,0,0,15.723999999999998
188,0,0,13.554
189,0,0,10.977
190,0,0,16.812
191,0,0,17.367
192,0,0,18.069000000000003
193,0,0,18.289
194,0,0,17.497
195,0,0,13.344
196,0,0,15.873000000000001
197,0,0,17.808999999999997
198,0,0,15.391
199,0,0,15.975
200,0,0,14.843
201,0,0,9.594
202,0,0,10.909
203,0,0,6.614
204,0,0,6.83
205,0,0,10.123999999999999
206,0,0,9.907
207,0,0,9.882
208,0,0,12.127
209,0,0,10.770999999999999
210,0,0,10.283999999999999
211,0,0,18.615
212,0,0,19.466
213,0,0,19.366999999999997
214,0,0,17.375999999999998
215,0,0,21.127
216,0,0,19.006
217,0,0,17.988
218,0,0,15.657999999999998
219,0,0,21.274
220,0,0,16.108999999999998
221,0,0,19.696
222,0,0,13.499
223,0,0,9.364
224,0,0,9.706
225,0,0,9.783999999999999
226,0,0,8.458
227,0,0,2.823
228,0,0,11.194
229,0,0,11.440999999999999
230,0,0,10.413
231,0,0,3.7030000000000003
232,0,0,8.62
233,0,0,7.318
234,0,0,11.413
235,0,0,17.124
236,0,0,12.812000000000001
237,0,0,16.633
238,0,0,22.503
239,0,0,25.298000000000002
240,0,0,21.353
241,0,0,17.767000000000003
242,0,0,15.663
243,0,0,14.116999999999999
244,0,0,11.181
245,0,0,13.558
246,0,0,11.351999999999999
247,0,0,10.28
248,0,0,10.402
249,0,0,9.73
250,0,0,7.75
251,0,0,0.9129999999999999
252,0,0,5.708
253,0,0,11.332
254,0,0,12.203000000000001
255,0,0,8.585
256,0,0,9.871
257,0,0,16.461
258,0,0,14.213
259,0,0,69.618
260,0,0,23.178
261,0,0,19.203000000000003
262,0,0,22.044999999999998
263,0,0,16.907999999999998
264,0,0,16.714
265,0,0,11.367
266,0,0,12.98
267,0,0,14.571000000000002
268,0,0,9.568
269,0,0,9.269
270,0,0,12.125
271,0,0,12.138
272,0,0,10.458
273,0,0,9.197000000000001
274,0,0,9.787
275,0,0,8.43
276,0,0,4.791
277,0,0,8.716
278,0,0,10.924
279,0,0,8.728
280,0,0,8.88
281,0,0,11.171000000000001
282,0,0,10.678999999999998
283,0,0,13.018
284,0,0,23.276
285,0,0,27.096
286,0,0,27.392
287,0,0,20.727
288,0,0,18.647000000000002
289,0,0,16.079
290,0,0,10.577
291,0,0,8.637
292,0,0,16.993000000000002
293,0,0,20.384
294,0,0,18.504
295,0,0,15.368
296,0,0,10.113000000000001
297,0,0,8.95
298,0,0,5.205
299,0,0,8.136
300,0,0,8.595
301,0,0,3.79
302,0,0,8.593
303,0,0,14.059000000000001
304,0,0,15.831000000000001
305,0,0,15.287
306,0,0,7.395
307,0,0,14.194
308,0,0,14.415000000000001
309,0,0,15.43
310,0,0,15.855999999999998
311,0,0,14.523
312,0,0,18.32
313,0,0,13.485999999999999
314,0,0,11.835999999999999
315,0,0,15.656
316,0,0,11.33
317,0,0,14.992999999999999
318,0,0,9.497
319,0,0,9.818999999999999
320,0,0,6.266
321,0,0,9.229
322,0,0,4.126
323,0,0,9.27
324,0,0,7.039
325,0,0,12.59
326,0,0,12.744
327,0,0,21.262
328,0,0,14.754
329,0,0,9.825000000000001
330,0,0,8.351
331,0,0,15.388
332,0,0,18.098
333,0,0,15.266
334,0,0,18.651
335,0,0,20.224
336,0,0,15.428
337,0,0,17.753
338,0,0,15.185
339,0,0,6.244000000000001
340,0,0,10.286
341,0,0,10.282
342,0,0,10.116
343,0,0,9.822
344,0,0,8.031
345,0,0,6.639
346,0,0,3.0820000000000003
347,0,0,10.622
348,0,0,9.821
349,0,0,9.676
350,0,0,12.158000000000001
351,0,0,11.816
352,0,0,9.513
353,0,0,9.104
354,0,0,10.988
355,0,0,12.424
356,0,0,12.142999999999999
357,0,0,26.354
358,0,0,27.609
359,0,0,23.664
360,0,0,17.253
361,0,0,17.729000000000003
362,0,0,15.318999999999999
363,0,0,11.458
364,0,0,9.457
365,0,0,13.355
366,0,0,9.998999999999999
367,0,0,7.894
368,0,0,9.041
369,0,0,9.305000000000001
370,0,0,7.301
371,0,0,10.014000000000001
372,0,0,9.389
373,0,0,14.623000000000001
374,0,0,9.512
375,0,0,12.216
376,0,0,13.775
377,0,0,9.288
378,0,0,7.966000000000001
379,0,0,14.734
380,0,0,15.542
381,0,0,13.136
382,0,0,15.678
383,0,0,17.705
384,0,0,19.258
385,0,0,19.355
386,0,0,10.247
387,0,0,9.83
388,0,0,10.543999999999999
389,0,0,11.093
390,0,0,10.411999999999999
391,0,0,8.911000000000001
392,0,0,9.373
393,0,0,6.3870000000000005
394,0,0,6.3020000000000005
395,0,0,9.338000000000001
396,0,0,6.0809999999999995
397,0,0,17.805
398,0,0,15.712
399,0,0,11.339
400,0,0,12.927
401,0,0,10.883000000000001
402,0,0,8.699
403,0,0,16.381
404,0,0,24.094
405,0,0,16.076
406,0,0,29.295
407,0,0,16.240000000000002
408,0,0,15.239
409,0,0,13.453
410,0,0,11.535
411,0,0,8.163
412,0,0,15.747
413,0,0,15.620000000000001
414,0,0,8.183
415,0,0,9.955
416,0,0,9.718
417,0,0,8.875
418,0,0,9.404
419,0,0,7.093
420,0,0,2.794
421,0,0,7.425
422,0,0,9.963
423,0,0,8.378
424,0,0,9.964
425,0,0,10.139000000000001
426,0,0,10.699
427,0,0,13.593
428,0,0,20.983999999999998
429,0,0,13.555
430,0,0,14.3
431,0,0,22.159000000000002
432,0,0,9.009
433,0,0,2.7590000000000003
434,0,0,2.676
435,0,0,4.524
436,0,0,12.452
437,0,0,13.199
438,0,0,12.975999999999999
439,0,0,9.448
440,0,0,10.353
441,0,0,10.701
442,0,0,15.529
443,0,0,19.779
444,0,0,13.648
