,domestic,commercial,public
0,0,0,58.12
1,0,0,56.660000000000004
2,0,0,57.082
3,0,0,54.368
4,0,0,55.916000000000004
5,0,0,55.779
6,0,0,56.561
7,0,0,58.088
8,0,0,59.686
9,0,0,60.872
10,0,0,61.437
11,0,0,57.51
12,0,0,24.823999999999998
13,0,0,24.172
14,0,0,24.835
15,0,0,25.314
16,0,0,25.706
17,0,0,25.463
18,0,0,24.787
19,0,0,35.134
20,0,0,57.747
21,0,0,56.885
22,0,0,57.238
23,0,0,56.771
24,0,0,57.315
25,0,0,55.931000000000004
26,0,0,57.136
27,0,0,55.984
28,0,0,55.964
29,0,0,57.811
30,0,0,56.167
31,0,0,29.413999999999998
32,0,0,27.458
33,0,0,27.035
34,0,0,25.407
35,0,0,25.608999999999998
36,0,0,25.805999999999997
37,0,0,22.84
38,0,0,22.858
39,0,0,22.999
40,0,0,21.876
41,0,0,22.773999999999997
42,0,0,52.405
43,0,0,57.946
44,0,0,58.105999999999995
45,0,0,57.34
46,0,0,56.729
47,0,0,56.678
48,0,0,57.145
49,0,0,57.611000000000004
50,0,0,55.991
51,0,0,55.032
52,0,0,56.488
53,0,0,56.524
54,0,0,56.300000000000004
55,0,0,28.049
56,0,0,28.625999999999998
57,0,0,47.828
58,0,0,48.604
59,0,0,33.135999999999996
60,0,0,40.069
61,0,0,36.019000000000005
62,0,0,31.004
63,0,0,30.192
64,0,0,36.738
65,0,0,57.916000000000004
66,0,0,57.422000000000004
67,0,0,58.567
68,0,0,57.699
69,0,0,57.018
70,0,0,56.743
71,0,0,56.83
72,0,0,57.202000000000005
73,0,0,56.473
74,0,0,57.001999999999995
75,0,0,56.532
76,0,0,55.481
77,0,0,55.291
78,0,0,54.937
79,0,0,35.973
80,0,0,63.940999999999995
81,0,0,41.565
82,0,0,127.97
83,0,0,208.899
84,0,0,53.594
85,0,0,203.822
86,0,0,252.183
87,0,0,191.595
88,0,0,45.641
89,0,0,55.775999999999996
90,0,0,54.095
91,0,0,57.029999999999994
92,0,0,63.888
93,0,0,59.741
94,0,0,58.923
95,0,0,56.172
96,0,0,54.205999999999996
97,0,0,54.885999999999996
98,0,0,54.203
99,0,0,53.587
100,0,0,52.246
101,0,0,51.189
102,0,0,51.402
103,0,0,19.345000000000002
104,0,0,22.819
105,0,0,25.98
106,0,0,26.907
107,0,0,36.769000000000005
108,0,0,71.866
109,0,0,37.055
