,domestic,commercial,public
0,0,0,15.115
1,0,0,17.288
2,0,0,16.677
3,0,0,15.638
4,0,0,14.536999999999999
5,0,0,12.33
6,0,0,10.416
7,0,0,10.51
8,0,0,19.009
9,0,0,16.580000000000002
10,0,0,17.243000000000002
11,0,0,20.723
12,0,0,17.391000000000002
13,0,0,12.622
14,0,0,7.9430000000000005
15,0,0,9.529
16,0,0,9.745999999999999
17,0,0,11.986
18,0,0,13.717
19,0,0,7.702999999999999
20,0,0,8.036
21,0,0,9.782
22,0,0,10.444
23,0,0,13.953
24,0,0,14.607999999999999
25,0,0,16.516
26,0,0,17.680999999999997
27,0,0,15.003
28,0,0,15.254999999999999
29,0,0,14.526000000000002
30,0,0,13.568999999999999
31,0,0,18.277
32,0,0,15.682000000000002
33,0,0,9.54
34,0,0,13.200999999999999
35,0,0,16.192999999999998
36,0,0,9.110999999999999
37,0,0,8.815
38,0,0,9.818999999999999
39,0,0,17.243000000000002
40,0,0,17.145
41,0,0,9.059
42,0,0,15.578
43,0,0,8.777
44,0,0,7.662999999999999
45,0,0,7.908999999999999
46,0,0,9.311
47,0,0,11.801
48,0,0,14.452
49,0,0,15.283
50,0,0,17.945
51,0,0,18.002
52,0,0,17.846
53,0,0,17.085
54,0,0,17.707
55,0,0,17.318
56,0,0,14.713000000000001
57,0,0,8.575
58,0,0,8.247000000000002
59,0,0,18.172
60,0,0,15.726
61,0,0,10.533000000000001
62,0,0,11.414
63,0,0,17.723
64,0,0,20.924000000000003
65,0,0,15.562
66,0,0,15.538
67,0,0,11.498
68,0,0,8.184000000000001
69,0,0,7.953999999999999
70,0,0,12.017
71,0,0,12.605
72,0,0,14.664
73,0,0,19.111
74,0,0,18.647000000000002
75,0,0,17.679000000000002
76,0,0,13.114
77,0,0,10.472
78,0,0,11.861
79,0,0,13.315000000000001
80,0,0,58.58
81,0,0,84.422
82,0,0,75.454
83,0,0,76.629
84,0,0,61.347
85,0,0,54.805
86,0,0,68.38900000000001
87,0,0,67.448
88,0,0,39.77
89,0,0,31.916
90,0,0,11.395999999999999
91,0,0,15.712
92,0,0,15.675999999999998
93,0,0,12.13
94,0,0,9.847
95,0,0,10.042
96,0,0,9.377
97,0,0,7.541
98,0,0,8.875
99,0,0,12.389000000000001
100,0,0,14.445
101,0,0,17.921
102,0,0,16.964
103,0,0,16.479
104,0,0,24.975
105,0,0,38.633
106,0,0,43.079
107,0,0,55.82899999999999
108,0,0,35.022
109,0,0,38.032000000000004
110,0,0,32.184999999999995
111,0,0,30.433000000000003
112,0,0,29.898
113,0,0,11.027000000000001
114,0,0,12.949
115,0,0,15.632
116,0,0,14.109
117,0,0,9.503
118,0,0,8.878
119,0,0,8.418999999999999
120,0,0,8.708
121,0,0,9.795
122,0,0,13.318999999999999
123,0,0,13.568999999999999
124,0,0,17.038
125,0,0,18.079
126,0,0,17.331
127,0,0,43.044
128,0,0,69.608
129,0,0,61.79
130,0,0,80.154
131,0,0,83.69600000000001
132,0,0,39.749
133,0,0,41.832
134,0,0,53.707
135,0,0,42.399
136,0,0,26.931
137,0,0,24.603
138,0,0,9.778
139,0,0,14.462
140,0,0,10.290000000000001
141,0,0,8.965
142,0,0,9.844999999999999
143,0,0,7.966000000000001
144,0,0,7.792000000000001
145,0,0,8.085
146,0,0,8.921999999999999
147,0,0,12.603
148,0,0,12.187999999999999
149,0,0,13.270000000000001
150,0,0,12.819
151,0,0,14.545
152,0,0,53.841
153,0,0,86.464
154,0,0,88.534
155,0,0,82.74199999999999
156,0,0,71.034
157,0,0,62.56100000000001
158,0,0,63.75699999999999
159,0,0,60.065
160,0,0,40.602
161,0,0,22.235999999999997
162,0,0,14.335
163,0,0,11.797
164,0,0,8.961
165,0,0,9.207
166,0,0,10.895
167,0,0,8.546
168,0,0,8.087
169,0,0,9.045
170,0,0,10.421
171,0,0,11.184
