,domestic,commercial,public
0,0,0,21.748
1,0,0,21.680999999999997
2,0,0,20.254
3,0,0,19.177
4,0,0,19.869999999999997
5,0,0,19.245
6,0,0,19.817999999999998
7,0,0,20.102999999999998
8,0,0,20.206
9,0,0,21.529
10,0,0,20.02
11,0,0,18.948
12,0,0,18.695
13,0,0,20.767999999999997
14,0,0,20.060000000000002
15,0,0,19.431
16,0,0,20.964
17,0,0,20.229
18,0,0,19.804
19,0,0,20.662
20,0,0,20.542
21,0,0,20.849
22,0,0,21.691
23,0,0,21.498
24,0,0,21.099
25,0,0,20.406
26,0,0,19.942
27,0,0,18.623
28,0,0,19.549
29,0,0,19.354
30,0,0,19.241
31,0,0,26.020000000000003
32,0,0,20.997999999999998
33,0,0,21.241
34,0,0,19.781
35,0,0,19.705000000000002
36,0,0,19.188
37,0,0,20.313000000000002
38,0,0,18.139
39,0,0,20.854000000000003
40,0,0,21.312
41,0,0,22.131
42,0,0,21.223
43,0,0,18.827
44,0,0,19.387
45,0,0,20.088
46,0,0,19.768
47,0,0,20.154
48,0,0,19.512
49,0,0,20.414
50,0,0,19.842
51,0,0,20.813000000000002
52,0,0,19.762999999999998
53,0,0,18.953999999999997
54,0,0,19.862000000000002
55,0,0,27.742
56,0,0,29.291
57,0,0,42.513000000000005
58,0,0,46.074999999999996
59,0,0,57.739
60,0,0,45.053999999999995
61,0,0,40.184
62,0,0,42.355999999999995
63,0,0,43.257999999999996
64,0,0,28.475
65,0,0,20.441000000000003
66,0,0,20.11
67,0,0,18.637
68,0,0,17.635
69,0,0,19.501
70,0,0,18.482
71,0,0,19.469
72,0,0,20.993000000000002
73,0,0,20.674999999999997
74,0,0,20.742
75,0,0,20.006
76,0,0,19.746
77,0,0,18.496
78,0,0,18.786
79,0,0,33.694
80,0,0,44.335
81,0,0,41.834
82,0,0,59.632999999999996
83,0,0,55.7
84,0,0,69.562
85,0,0,57.306000000000004
86,0,0,62.767
87,0,0,47.903
88,0,0,35.251
89,0,0,26.163
90,0,0,20.698
91,0,0,17.688
92,0,0,18.631999999999998
93,0,0,18.96
94,0,0,17.662
95,0,0,17.491
96,0,0,20.143
97,0,0,19.585
98,0,0,20.284
99,0,0,21.91
100,0,0,20.379
101,0,0,19.368
102,0,0,29.284000000000002
103,0,0,75.46700000000001
104,0,0,88.276
105,0,0,79.289
106,0,0,85.438
107,0,0,87.255
108,0,0,86.576
109,0,0,86.823
110,0,0,80.06099999999999
111,0,0,68.97399999999999
112,0,0,65.65899999999999
113,0,0,73.985
114,0,0,60.966
115,0,0,19.598999999999997
116,0,0,19.182000000000002
117,0,0,21.262
118,0,0,20.461
119,0,0,17.203
120,0,0,17.701
121,0,0,19.7
122,0,0,20.935
123,0,0,21.465999999999998
124,0,0,20.644
125,0,0,19.627
126,0,0,22.587
127,0,0,84.106
128,0,0,88.907
129,0,0,92.70100000000001
130,0,0,94.356
131,0,0,89.96
132,0,0,101.26599999999999
133,0,0,136.93099999999998
134,0,0,111.689
135,0,0,96.22500000000001
136,0,0,90.39
137,0,0,81.995
138,0,0,58.472
139,0,0,21.416
140,0,0,21.616
141,0,0,24.034
142,0,0,24.342
143,0,0,20.497999999999998
144,0,0,23.093
145,0,0,23.099999999999998
