,domestic,commercial,public
0,0,0,13.313
1,0,0,12.988
2,0,0,13.155
3,0,0,15.559
4,0,0,18.172
5,0,0,16.066
6,0,0,14.466
7,0,0,18.939999999999998
8,0,0,16.049
9,0,0,16.224
10,0,0,17.516000000000002
11,0,0,18.482
12,0,0,17.680999999999997
13,0,0,17.854
14,0,0,18.339000000000002
15,0,0,17.572
16,0,0,18.872
17,0,0,18.665999999999997
18,0,0,17.387
19,0,0,19.963
20,0,0,16.915
21,0,0,18.813
22,0,0,17.51
23,0,0,17.665
24,0,0,16.060000000000002
25,0,0,15.418
26,0,0,15.907999999999998
27,0,0,15.254
28,0,0,16.869
29,0,0,16.542
30,0,0,17.325
31,0,0,16.704
32,0,0,16.868000000000002
33,0,0,18.977
34,0,0,18.346
35,0,0,18.192
36,0,0,18.193
37,0,0,19.174
38,0,0,18.845
39,0,0,17.717
40,0,0,16.264
41,0,0,18.523999999999997
42,0,0,20.277
43,0,0,18.988999999999997
44,0,0,27.205
45,0,0,29.495
46,0,0,28.444
47,0,0,26.799
48,0,0,28.18
49,0,0,29.027
50,0,0,28.236
51,0,0,29.918
52,0,0,30.341
53,0,0,29.919
54,0,0,30.884
55,0,0,23.066
56,0,0,17.027
57,0,0,16.545
58,0,0,18.168
59,0,0,19.64
60,0,0,17.721
61,0,0,19.002000000000002
62,0,0,22.536
63,0,0,21.119
64,0,0,20.145
65,0,0,23.185000000000002
66,0,0,21.56
67,0,0,26.52
68,0,0,20.407999999999998
69,0,0,18.789
70,0,0,19.761999999999997
71,0,0,18.805
72,0,0,19.092000000000002
73,0,0,20.225
74,0,0,21.193
75,0,0,21.488
76,0,0,22.288
77,0,0,22.928
78,0,0,23.767
79,0,0,27.231
80,0,0,17.322
81,0,0,14.936
82,0,0,17.69
83,0,0,20.107
84,0,0,21.389
85,0,0,24.11
86,0,0,23.476
87,0,0,21.854
88,0,0,19.643
89,0,0,22.504
90,0,0,23.372
91,0,0,34.101
92,0,0,30.518
93,0,0,30.669999999999998
94,0,0,30.552
95,0,0,29.198
96,0,0,29.495
97,0,0,29.925
98,0,0,31.237000000000002
99,0,0,31.887999999999998
100,0,0,33.195
101,0,0,31.831
102,0,0,30.302
103,0,0,22.75
104,0,0,16.374
105,0,0,16.872
106,0,0,18.674
107,0,0,18.672
108,0,0,20.599
109,0,0,20.746000000000002
110,0,0,22.006999999999998
111,0,0,23.502
112,0,0,20.577
113,0,0,22.19
114,0,0,19.776
115,0,0,21.025
116,0,0,19.765
117,0,0,18.950000000000003
118,0,0,18.953
119,0,0,19.459
120,0,0,19.093
121,0,0,20.395
122,0,0,21.185
123,0,0,21.826999999999998
124,0,0,23.406
125,0,0,23.112000000000002
126,0,0,22.139
127,0,0,25.111
128,0,0,24.701
129,0,0,22.969
130,0,0,25.343999999999998
131,0,0,19.298
132,0,0,20.735
133,0,0,22.461
134,0,0,24.913
135,0,0,20.308
136,0,0,11.916
137,0,0,193.079
138,0,0,35.297000000000004
139,0,0,24.25
140,0,0,31.159
141,0,0,31.143
142,0,0,31.215
143,0,0,29.821
144,0,0,29.207
145,0,0,30.555
146,0,0,30.596999999999998
147,0,0,30.678
148,0,0,30.459
149,0,0,32.493
150,0,0,29.74
151,0,0,19.412
152,0,0,17.675
153,0,0,18.647000000000002
154,0,0,18.628
155,0,0,19.945999999999998
156,0,0,20.251
157,0,0,20.272
158,0,0,21.243000000000002
159,0,0,20.939
160,0,0,16.761000000000003
161,0,0,16.92
162,0,0,16.242
163,0,0,17.214
164,0,0,13.181
165,0,0,13.331000000000001
166,0,0,12.999
167,0,0,13.804
168,0,0,13.775
169,0,0,14.605
170,0,0,15.106
171,0,0,16.86
172,0,0,17.481
173,0,0,16.52
174,0,0,13.632
175,0,0,18.136
176,0,0,16.54
177,0,0,14.61
178,0,0,13.637
179,0,0,13.652
180,0,0,18.185
181,0,0,17.863
182,0,0,17.842
183,0,0,17.704
184,0,0,17.378
185,0,0,17.208000000000002
186,0,0,19.471
187,0,0,17.371000000000002
188,0,0,17.675
189,0,0,26.505999999999997
190,0,0,30.464000000000002
191,0,0,31.55
192,0,0,30.05
193,0,0,30.577
194,0,0,30.75
195,0,0,32.333
196,0,0,30.034000000000002
197,0,0,30.227
198,0,0,31.247
199,0,0,28.43
200,0,0,17.493000000000002
201,0,0,16.072
202,0,0,15.734000000000002
203,0,0,16.547
204,0,0,17.225
205,0,0,18.199
206,0,0,16.092
207,0,0,17.246000000000002
208,0,0,19.648
209,0,0,19.345000000000002
210,0,0,18.511
211,0,0,19.464
212,0,0,16.061
213,0,0,17.982000000000003
214,0,0,16.393
215,0,0,15.748000000000001
216,0,0,15.890999999999998
217,0,0,16.049
218,0,0,19.755000000000003
219,0,0,17.968
220,0,0,16.857
221,0,0,17.343999999999998
222,0,0,16.702
223,0,0,19.432000000000002
224,0,0,17.822000000000003
225,0,0,13.173
226,0,0,13.801
227,0,0,16.073
228,0,0,16.563000000000002
229,0,0,16.878
230,0,0,19.454
231,0,0,24.101000000000003
232,0,0,23.687
233,0,0,21.543
234,0,0,41.348000000000006
235,0,0,76.818
236,0,0,61.98
237,0,0,31.459
238,0,0,30.612000000000002
239,0,0,31.154
240,0,0,32.150999999999996
241,0,0,31.017
242,0,0,33.050000000000004
243,0,0,32.099999999999994
244,0,0,31.941999999999997
245,0,0,35.549
246,0,0,45.062
247,0,0,50.278000000000006
248,0,0,53.172
249,0,0,31.708
250,0,0,21.353
251,0,0,24.261000000000003
252,0,0,31.952
253,0,0,33.471000000000004
254,0,0,26.99
255,0,0,18.494
256,0,0,19.634
257,0,0,22.692
258,0,0,16.576
259,0,0,25.8
260,0,0,29.680999999999997
261,0,0,28.778000000000002
262,0,0,30.909
263,0,0,30.993
264,0,0,32.376000000000005
265,0,0,33.228
266,0,0,32.102
267,0,0,32.655
268,0,0,32.695
269,0,0,34.391
270,0,0,38.752
271,0,0,32.744
272,0,0,34.159
273,0,0,33.641
274,0,0,33.059
275,0,0,34.997
276,0,0,24.52
277,0,0,20.452
278,0,0,21.065
279,0,0,23.833
280,0,0,24.299999999999997
281,0,0,29.128999999999998
282,0,0,38.708
283,0,0,44.096999999999994
284,0,0,26.294999999999998
285,0,0,19.258999999999997
286,0,0,20.064999999999998
287,0,0,19.772000000000002
288,0,0,20.214
289,0,0,22.301000000000002
290,0,0,21.657
291,0,0,21.005
292,0,0,21.816
293,0,0,23.877
294,0,0,32.347
295,0,0,34.221000000000004
296,0,0,18.444
297,0,0,14.945
298,0,0,17.206
299,0,0,20.624
300,0,0,22.541999999999998
301,0,0,22.215
302,0,0,20.788
303,0,0,19.646
304,0,0,19.983
305,0,0,28.034
306,0,0,29.693
307,0,0,20.448999999999998
308,0,0,21.215999999999998
309,0,0,22.464000000000002
310,0,0,31.287000000000003
311,0,0,31.62
312,0,0,31.194
313,0,0,30.716
314,0,0,29.851
315,0,0,31.875
316,0,0,32.135
317,0,0,31.817999999999998
318,0,0,32.444
319,0,0,30.359
320,0,0,28.811
321,0,0,16.558
322,0,0,23.975
