,domestic,commercial,public
0,0,0,52.544
1,0,0,42.969
2,0,0,41.146
3,0,0,39.158
4,0,0,42.277
5,0,0,45.524
6,0,0,48.686
7,0,0,43.45
8,0,0,52.837
9,0,0,67.985
10,0,0,37.883
11,0,0,27.787
12,0,0,23.032
13,0,0,17.455
14,0,0,15.216999999999999
15,0,0,37.338
16,0,0,29.739
17,0,0,25.279
18,0,0,17.246000000000002
19,0,0,86.98
20,0,0,95.546
21,0,0,57.274
22,0,0,42.973
23,0,0,36.617999999999995
24,0,0,42.882000000000005
25,0,0,38.285
26,0,0,33.693
27,0,0,29.729
28,0,0,25.616
29,0,0,22.314
30,0,0,15.088000000000001
31,0,0,11.393
32,0,0,10.782
33,0,0,18.389
34,0,0,20.129
35,0,0,18.537000000000003
36,0,0,12.426
37,0,0,10.431
38,0,0,11.926
39,0,0,11.059
40,0,0,11.180000000000001
41,0,0,10.599
42,0,0,13.09
43,0,0,75.42
44,0,0,86.455
45,0,0,86.35600000000001
46,0,0,45.835
47,0,0,33.281
48,0,0,30.03
49,0,0,27.217000000000002
50,0,0,25.653
51,0,0,22.842000000000002
52,0,0,22.012
53,0,0,24.401
54,0,0,12.424
55,0,0,11.561
56,0,0,13.597
57,0,0,20.682
58,0,0,20.76
59,0,0,17.003999999999998
60,0,0,15.412
61,0,0,24.634
62,0,0,50.642
63,0,0,47.044000000000004
64,0,0,32.984
65,0,0,22.137
66,0,0,14.744
67,0,0,67.937
68,0,0,78.363
69,0,0,88.771
70,0,0,73.435
71,0,0,37.214
72,0,0,29.297
73,0,0,24.908
74,0,0,22.683
75,0,0,23.949
76,0,0,25.590000000000003
77,0,0,40.943
78,0,0,63.839000000000006
79,0,0,40.964
80,0,0,15.604
81,0,0,47.571000000000005
82,0,0,42.745
83,0,0,33.068
84,0,0,20.912
85,0,0,18.996
86,0,0,42.705
87,0,0,38.225
88,0,0,22.073
89,0,0,20.418
90,0,0,16.320999999999998
91,0,0,59.518
92,0,0,70.94300000000001
93,0,0,82.72699999999999
94,0,0,52.803000000000004
95,0,0,46.894
96,0,0,44.092
97,0,0,31.924
98,0,0,29.938
99,0,0,26.483
100,0,0,23.823
101,0,0,24.474
102,0,0,31.812
103,0,0,14.357999999999999
104,0,0,16.157999999999998
105,0,0,20.581
106,0,0,11.062000000000001
107,0,0,10.172
108,0,0,13.151
109,0,0,15.483
110,0,0,46.690000000000005
111,0,0,54.195
112,0,0,36.413000000000004
113,0,0,16.334999999999997
114,0,0,11.187000000000001
115,0,0,35.294
116,0,0,85.06700000000001
117,0,0,87.034
118,0,0,46.118
119,0,0,37.747
120,0,0,30.028
121,0,0,28.995
122,0,0,30.28
123,0,0,28.377
124,0,0,24.334000000000003
125,0,0,22.576
126,0,0,31.878999999999998
127,0,0,25.902
128,0,0,25.669
129,0,0,34.799
130,0,0,45.341
131,0,0,42.374
132,0,0,34.59
133,0,0,21.8
134,0,0,12.99
135,0,0,19.804
136,0,0,11.223
137,0,0,10.501
138,0,0,10.773
139,0,0,26.851
140,0,0,82.944
141,0,0,89.52799999999999
142,0,0,66.996
143,0,0,32.342999999999996
144,0,0,29.201
145,0,0,27.974
146,0,0,26.58
147,0,0,24.209999999999997
148,0,0,21.895
149,0,0,23.681
150,0,0,31.936
151,0,0,36.538000000000004
152,0,0,19.301
153,0,0,14.033999999999999
154,0,0,27.648
155,0,0,65.058
156,0,0,51.201
157,0,0,28.663999999999998
158,0,0,18.783
159,0,0,14.118
160,0,0,11.268
161,0,0,10.498999999999999
162,0,0,10.798
163,0,0,66.03
164,0,0,87.267
165,0,0,98.818
166,0,0,47.522
