,domestic,commercial,public
0,0,0,27.489
1,0,0,28.794
2,0,0,28.323
3,0,0,24.14
4,0,0,20.858
5,0,0,24.907
6,0,0,22.367
7,0,0,22.25
8,0,0,28.624
9,0,0,20.395
10,0,0,15.447000000000001
11,0,0,6.968
12,0,0,24.573999999999998
13,0,0,19.630000000000003
14,0,0,20.029
15,0,0,26.917
16,0,0,26.571
17,0,0,22.343999999999998
18,0,0,18.092
19,0,0,19.504
20,0,0,21.943
21,0,0,22.801
22,0,0,22.058
23,0,0,23.891
24,0,0,25.229000000000003
25,0,0,29.102
26,0,0,28.126
27,0,0,25.418
28,0,0,22.631999999999998
29,0,0,25.372
30,0,0,26.009999999999998
31,0,0,23.143
32,0,0,24.69
33,0,0,19.234
34,0,0,20.986
35,0,0,26.248
36,0,0,21.132
37,0,0,20.104
38,0,0,23.811
39,0,0,27.611
40,0,0,27.18
41,0,0,24.091
42,0,0,19.409
43,0,0,19.593
44,0,0,25.073999999999998
45,0,0,28.097
46,0,0,27.549
47,0,0,28.807
48,0,0,29.097
49,0,0,29.576999999999998
50,0,0,26.932000000000002
51,0,0,28.207
52,0,0,25.07
53,0,0,19.099
54,0,0,20.808
55,0,0,35.181999999999995
56,0,0,91.605
57,0,0,58.297000000000004
58,0,0,39.964
59,0,0,24.684
60,0,0,18.014
61,0,0,21.153000000000002
62,0,0,24.875
63,0,0,26.609
64,0,0,23.286
65,0,0,19.449
66,0,0,27.442
67,0,0,25.515
68,0,0,20.867
69,0,0,17.065
70,0,0,12.788
71,0,0,15.928
72,0,0,29.49
73,0,0,26.897000000000002
74,0,0,27.807
75,0,0,24.072
76,0,0,19.403
77,0,0,18.466
78,0,0,19.233
79,0,0,24.105999999999998
80,0,0,54.077
81,0,0,83.775
82,0,0,70.095
83,0,0,67.104
84,0,0,90.06400000000001
85,0,0,117.945
86,0,0,83.688
87,0,0,64.653
88,0,0,44.806
89,0,0,36.516
90,0,0,24.211
91,0,0,21.294
92,0,0,23.695
93,0,0,22.701
94,0,0,22.802
95,0,0,21.459
96,0,0,21.546
97,0,0,22.349999999999998
98,0,0,28.337
99,0,0,26.974
100,0,0,19.987000000000002
101,0,0,18.968
102,0,0,19.015
103,0,0,46.096
104,0,0,67.88900000000001
105,0,0,68.00399999999999
106,0,0,61.642
107,0,0,63.183
108,0,0,67.577
109,0,0,64.441
110,0,0,62.663
111,0,0,61.787
112,0,0,47.447
113,0,0,31.842000000000002
114,0,0,15.883000000000001
115,0,0,21.584
116,0,0,26.401
117,0,0,27.775000000000002
118,0,0,28.084
119,0,0,29.125
120,0,0,28.877
121,0,0,27.473000000000003
122,0,0,23.310000000000002
123,0,0,18.952
124,0,0,17.25
125,0,0,16.823999999999998
126,0,0,19.384999999999998
127,0,0,67.08
128,0,0,173.224
129,0,0,93.633
130,0,0,64.07300000000001
131,0,0,144.455
132,0,0,222.73299999999998
133,0,0,75.35600000000001
134,0,0,37.900000000000006
135,0,0,20.749
136,0,0,24.822
137,0,0,37.216
138,0,0,33.361000000000004
139,0,0,23.834999999999997
140,0,0,18.287000000000003
141,0,0,20.854000000000003
142,0,0,25.179
143,0,0,25.489
144,0,0,28.541
145,0,0,28.802999999999997
146,0,0,29.526
147,0,0,27.459999999999997
148,0,0,22.892
149,0,0,18.991999999999997
150,0,0,20.26
151,0,0,37.504999999999995
152,0,0,41.515
153,0,0,34.266
154,0,0,17.697999999999997
155,0,0,31.967000000000002
156,0,0,82.371
157,0,0,78.121
158,0,0,74.018
159,0,0,65.751
160,0,0,29.74
161,0,0,22.229
162,0,0,18.701999999999998
163,0,0,20.07
164,0,0,21.007
165,0,0,23.439999999999998
166,0,0,27.143
167,0,0,28.29
168,0,0,28.922
169,0,0,28.464
170,0,0,28.632
171,0,0,28.444
172,0,0,27.096
173,0,0,24.464
174,0,0,22.886
175,0,0,41.785000000000004
176,0,0,57.933
177,0,0,44.403
178,0,0,25.322
179,0,0,20.475
180,0,0,18.32
181,0,0,28.56
182,0,0,23.683
183,0,0,21.69
184,0,0,24.29
185,0,0,12.043999999999999
186,0,0,20.997999999999998
187,0,0,21.055
188,0,0,25.826999999999998
189,0,0,26.743
190,0,0,24.144
191,0,0,26.39
192,0,0,28.320999999999998
193,0,0,29.358999999999998
194,0,0,29.252
195,0,0,25.599
196,0,0,20.726000000000003
197,0,0,18.271
198,0,0,20.535
199,0,0,21.675
200,0,0,28.035
201,0,0,28.836000000000002
202,0,0,24.160999999999998
203,0,0,19.817
204,0,0,23.614
205,0,0,24.261000000000003
206,0,0,21.182
207,0,0,21.166
208,0,0,24.72
209,0,0,20.654
210,0,0,16.211
211,0,0,21.331
212,0,0,20.364
213,0,0,3.8939999999999997
214,0,0,27.431
215,0,0,29.105
216,0,0,28.57
217,0,0,23.104
218,0,0,19.162
219,0,0,18.308999999999997
220,0,0,18.994
221,0,0,18.269000000000002
222,0,0,19.006999999999998
223,0,0,21.908
224,0,0,35.635
225,0,0,45.008
226,0,0,58.555
227,0,0,47.096
228,0,0,44.753
229,0,0,286.93600000000004
230,0,0,180.654
231,0,0,33.978
232,0,0,24.337999999999997
233,0,0,27.819
234,0,0,40.523
235,0,0,25.712
236,0,0,20.426
237,0,0,14.101
238,0,0,14.998
239,0,0,14.498000000000001
240,0,0,13.911
241,0,0,14.505
242,0,0,14.429
243,0,0,13.913
244,0,0,22.006999999999998
245,0,0,23.848000000000003
246,0,0,20.084
247,0,0,33.494
248,0,0,49.994
249,0,0,56.027
250,0,0,51.062999999999995
251,0,0,57.707
252,0,0,42.374
253,0,0,38.135000000000005
254,0,0,44.907000000000004
255,0,0,37.987
256,0,0,21.281000000000002
257,0,0,24.393
258,0,0,35.39
259,0,0,23.897000000000002
260,0,0,25.744
261,0,0,28.927999999999997
262,0,0,28.150000000000002
263,0,0,28.400000000000002
264,0,0,28.63
265,0,0,28.593
266,0,0,26.245
267,0,0,21.025
268,0,0,19.241
269,0,0,18.3
270,0,0,18.596
271,0,0,83.77999999999999
272,0,0,124.97800000000001
273,0,0,84.753
274,0,0,76.335
275,0,0,148.044
276,0,0,275.571
277,0,0,122.38499999999999
278,0,0,109.898
279,0,0,71.73
280,0,0,56.207
281,0,0,24.35
282,0,0,21.102
283,0,0,27.039
284,0,0,26.699
285,0,0,27.156
286,0,0,26.695
287,0,0,20.6
288,0,0,17.090999999999998
289,0,0,18.065
290,0,0,20.953
291,0,0,18.779
292,0,0,12.377
293,0,0,12.288
294,0,0,16.424
295,0,0,82.134
296,0,0,79.783
297,0,0,46.883
298,0,0,22.782
299,0,0,27.352
300,0,0,33.685
301,0,0,34.814
302,0,0,24.846
303,0,0,28.61
304,0,0,33.403
305,0,0,21.185
306,0,0,15.673
307,0,0,32.25
308,0,0,40.978
309,0,0,39.961999999999996
310,0,0,47.253
311,0,0,47.633
312,0,0,47.773999999999994
313,0,0,40.443
314,0,0,41.279
315,0,0,33.952999999999996
316,0,0,32.38
317,0,0,28.877
318,0,0,14.215
319,0,0,25.267999999999997
320,0,0,107.78699999999999
321,0,0,54.523
322,0,0,43.049
323,0,0,17.953
324,0,0,17.976
325,0,0,26.96
326,0,0,50.945
327,0,0,34.157
328,0,0,9.835
329,0,0,10.215
330,0,0,15.273
331,0,0,39.343999999999994
332,0,0,40.977
333,0,0,42.723
334,0,0,35.244
335,0,0,31.387999999999998
336,0,0,33.784
337,0,0,30.058
338,0,0,24.064
339,0,0,21.708000000000002
340,0,0,20.581
341,0,0,19.344
342,0,0,11.549
343,0,0,10.238999999999999
344,0,0,20.767999999999997
345,0,0,22.078
346,0,0,24.479
347,0,0,15.828999999999999
348,0,0,12.511
349,0,0,10.882
350,0,0,10.539
351,0,0,11.443999999999999
352,0,0,14.222999999999999
353,0,0,14.116
354,0,0,13.282
355,0,0,13.981
356,0,0,13.343
357,0,0,11.931000000000001
358,0,0,50.063
359,0,0,50.865
360,0,0,46.103
361,0,0,66.14699999999999
362,0,0,63.137
363,0,0,59.854
364,0,0,61.436
365,0,0,52.153
366,0,0,27.282
367,0,0,13.32
368,0,0,11.459
369,0,0,10.396
370,0,0,10.224
371,0,0,11.839
372,0,0,11.075
373,0,0,10.336
374,0,0,10.113000000000001
375,0,0,10.93
376,0,0,12.762
377,0,0,15.751999999999999
378,0,0,10.556
379,0,0,31.365
380,0,0,47.126000000000005
381,0,0,34.122
382,0,0,37.982
383,0,0,46.422
384,0,0,48.716
385,0,0,48.99
386,0,0,40.503
387,0,0,33.884
388,0,0,30.972
389,0,0,28.753
390,0,0,15.841000000000001
391,0,0,21.070999999999998
392,0,0,31.091
393,0,0,21.945
394,0,0,10.61
395,0,0,11.937
396,0,0,16.86
397,0,0,27.633000000000003
398,0,0,78.112
399,0,0,75.34299999999999
400,0,0,40.537
401,0,0,32.574
402,0,0,22.541999999999998
403,0,0,25.6
404,0,0,33.748
405,0,0,47.959
406,0,0,45.233000000000004
407,0,0,49.961
408,0,0,52.35
409,0,0,40.953
410,0,0,35.564
411,0,0,27.266
412,0,0,28.709
413,0,0,31.489000000000004
414,0,0,22.186999999999998
415,0,0,54.826
416,0,0,42.315
417,0,0,29.333000000000002
418,0,0,30.271
419,0,0,21.924
420,0,0,24.874
421,0,0,19.246
422,0,0,36.73
423,0,0,46.704
424,0,0,11.795
425,0,0,16.044
426,0,0,18.229
427,0,0,12.781
428,0,0,29.348
429,0,0,43.219
430,0,0,39.352
431,0,0,44.784
432,0,0,42.26
433,0,0,39.631
434,0,0,28.317
435,0,0,24.84
436,0,0,18.723
437,0,0,20.362000000000002
438,0,0,21.801000000000002
439,0,0,91.261
440,0,0,69.68
441,0,0,42.038
442,0,0,34.28
443,0,0,26.917
444,0,0,29.345
445,0,0,12.88
446,0,0,19.273
447,0,0,18.315
448,0,0,19.392
449,0,0,27.652
450,0,0,32.737
451,0,0,27.208
452,0,0,36.034
453,0,0,42.528000000000006
454,0,0,39.688
455,0,0,45.888
456,0,0,44.672999999999995
457,0,0,35.896
458,0,0,31.835
459,0,0,24.125
460,0,0,22.506
461,0,0,20.881
462,0,0,17.768
463,0,0,59.454
464,0,0,74.59599999999999
465,0,0,57.751999999999995
466,0,0,23.881
