,domestic,commercial,public
0,0,0,101.315
1,0,0,96.604
2,0,0,103.412
3,0,0,118.515
4,0,0,120.55499999999999
5,0,0,125.15499999999999
6,0,0,128.968
7,0,0,116.948
8,0,0,116.05
9,0,0,92.795
10,0,0,99.464
11,0,0,88.999
12,0,0,38.142
13,0,0,36.882
14,0,0,41.099999999999994
15,0,0,41.910999999999994
16,0,0,43.109
17,0,0,36.775000000000006
18,0,0,43.059
19,0,0,124.734
20,0,0,138.292
21,0,0,118.161
22,0,0,120.269
23,0,0,120.084
24,0,0,110.899
25,0,0,99.27
26,0,0,101.26400000000001
27,0,0,100.161
28,0,0,100.206
29,0,0,99.98700000000001
30,0,0,97.563
31,0,0,102.242
32,0,0,123.119
33,0,0,152.49599999999998
34,0,0,143.536
35,0,0,125.503
36,0,0,130.75300000000001
37,0,0,140.08599999999998
38,0,0,146.3
39,0,0,122.386
40,0,0,60.815
41,0,0,55.678
42,0,0,55.96
43,0,0,92.403
44,0,0,83.84400000000001
45,0,0,78.555
46,0,0,68.708
47,0,0,73.295
48,0,0,72.779
49,0,0,73.747
50,0,0,71.945
51,0,0,58.733
52,0,0,60.059000000000005
53,0,0,68.277
54,0,0,45.898
55,0,0,37.593
56,0,0,31.826
57,0,0,60.143
58,0,0,53.523
59,0,0,49.105999999999995
60,0,0,43.757
61,0,0,40.921
62,0,0,39.199
63,0,0,23.607
64,0,0,9.977
65,0,0,9.976
66,0,0,8.886
67,0,0,42.645
68,0,0,54.321
69,0,0,50.23
70,0,0,66.49900000000001
71,0,0,59.138999999999996
72,0,0,51.65
73,0,0,55.36
74,0,0,58.044
75,0,0,58.332
76,0,0,56.677
77,0,0,59.955
78,0,0,58.761
79,0,0,16.858
80,0,0,19.738
81,0,0,43.478
82,0,0,50.499
83,0,0,42.401
84,0,0,37.393
85,0,0,24.811
86,0,0,31.29
87,0,0,49.174
88,0,0,43.507999999999996
89,0,0,22.342000000000002
90,0,0,24.964
91,0,0,58.054
92,0,0,58.181
93,0,0,64.155
94,0,0,80.422
95,0,0,81.196
96,0,0,65.54400000000001
97,0,0,58.062999999999995
98,0,0,52.297000000000004
99,0,0,48.32
100,0,0,46.35
101,0,0,49.410000000000004
102,0,0,61.205000000000005
103,0,0,51.71
104,0,0,22.671
105,0,0,10.141
106,0,0,10.217
107,0,0,14.482999999999999
108,0,0,14.781
109,0,0,13.723
110,0,0,16.018
111,0,0,26.233
112,0,0,9.964
113,0,0,50.037
114,0,0,92.60799999999999
115,0,0,91.325
116,0,0,73.166
117,0,0,65.494
118,0,0,63.265
119,0,0,60.653
120,0,0,62.493
121,0,0,70.467
122,0,0,66.928
123,0,0,71.55799999999999
124,0,0,73.07600000000001
125,0,0,65.535
126,0,0,70.589
127,0,0,22.988000000000003
128,0,0,34.401
129,0,0,44.231
130,0,0,65.925
131,0,0,56.364999999999995
132,0,0,26.268
133,0,0,24.179
134,0,0,34.043
135,0,0,34.922000000000004
136,0,0,33.473000000000006
137,0,0,11.594
138,0,0,11.709000000000001
139,0,0,103.01
140,0,0,96.374
141,0,0,98.944
142,0,0,104.707
143,0,0,97.664
144,0,0,93.72800000000001
145,0,0,94.03
146,0,0,98.179
147,0,0,111.288
148,0,0,118.756
149,0,0,114.05
150,0,0,109.925
151,0,0,61.386
152,0,0,42.751999999999995
153,0,0,37.137
154,0,0,33.221000000000004
155,0,0,36.594
156,0,0,39.440999999999995
157,0,0,26.618
158,0,0,26.308999999999997
159,0,0,12.932
160,0,0,11.579
161,0,0,9.126999999999999
162,0,0,8.25
163,0,0,9.957
164,0,0,69.523
165,0,0,92.887
166,0,0,92.345
167,0,0,94.11500000000001
168,0,0,94.819
169,0,0,99.649
170,0,0,97.658
171,0,0,100.635
172,0,0,106.937
173,0,0,121.987
174,0,0,121.422
175,0,0,49.537
176,0,0,49.638
177,0,0,58.785
178,0,0,55.743
179,0,0,35.019
180,0,0,42.590999999999994
181,0,0,21.115
182,0,0,35.164
183,0,0,39.370000000000005
184,0,0,22.199
185,0,0,22.977999999999998
186,0,0,47.338
187,0,0,84.165
188,0,0,75.586
189,0,0,66.937
190,0,0,63.565
191,0,0,67.151
192,0,0,71.80799999999999
193,0,0,76.487
194,0,0,81.14
195,0,0,78.57799999999999
196,0,0,128.692
197,0,0,128.924
198,0,0,86.617
199,0,0,43.445
200,0,0,32.535000000000004
201,0,0,35.749
202,0,0,39.864999999999995
203,0,0,38.546
204,0,0,30.273999999999997
205,0,0,26.784
206,0,0,24.023
207,0,0,25.399
208,0,0,26.096
209,0,0,16.448
210,0,0,54.957
211,0,0,148.103
212,0,0,127.357
213,0,0,116.518
214,0,0,98.04599999999999
215,0,0,92.164
216,0,0,99.713
217,0,0,111.66900000000001
218,0,0,123.541
219,0,0,123.83800000000001
220,0,0,122.422
221,0,0,121.89800000000001
222,0,0,107.806
223,0,0,14.697999999999999
224,0,0,11.242
225,0,0,12.364
226,0,0,12.182
227,0,0,15.385
228,0,0,11.679
229,0,0,10.040000000000001
230,0,0,10.575
231,0,0,16.544
232,0,0,13.442
233,0,0,9.297
234,0,0,9.924999999999999
235,0,0,54.113
236,0,0,62.291
237,0,0,82.927
238,0,0,96.94800000000001
239,0,0,110.00999999999999
240,0,0,103.13600000000001
241,0,0,95.86600000000001
242,0,0,102.768
243,0,0,103.691
244,0,0,103.586
245,0,0,119.108
246,0,0,115.79299999999999
247,0,0,47.715
248,0,0,61.223
249,0,0,57.974
250,0,0,36.099
251,0,0,37.971
252,0,0,33.165
253,0,0,105.421
254,0,0,158.25
255,0,0,116.31400000000001
256,0,0,73.192
257,0,0,40.903
258,0,0,26.054000000000002
259,0,0,78.044
260,0,0,99.985
261,0,0,98.00399999999999
262,0,0,111.61200000000001
263,0,0,124.888
264,0,0,127.40299999999999
265,0,0,131.438
266,0,0,132.28699999999998
267,0,0,137.679
268,0,0,134.22
269,0,0,144.43200000000002
270,0,0,213.199
271,0,0,161.417
272,0,0,83.86200000000001
273,0,0,45.115
274,0,0,69.383
275,0,0,143.43900000000002
276,0,0,144.923
277,0,0,131.018
278,0,0,121.634
279,0,0,94.153
280,0,0,55.736000000000004
281,0,0,22.727
282,0,0,24.619
283,0,0,60.638999999999996
284,0,0,61.787
285,0,0,59.818000000000005
286,0,0,89.994
287,0,0,99.02
288,0,0,104.526
289,0,0,108.898
290,0,0,105.912
291,0,0,112.05
292,0,0,118.68900000000001
293,0,0,131.793
294,0,0,99.66600000000001
295,0,0,35.513999999999996
296,0,0,32.788
297,0,0,46.214999999999996
298,0,0,223.522
299,0,0,432.923
300,0,0,400.632
301,0,0,160.266
302,0,0,416.98600000000005
303,0,0,360.587
304,0,0,22.082
305,0,0,10.241999999999999
306,0,0,9.16
307,0,0,70.393
308,0,0,71.37100000000001
309,0,0,76.079
310,0,0,70.82
311,0,0,60.301
312,0,0,59.782000000000004
313,0,0,58.259
314,0,0,59.339000000000006
315,0,0,61.102
316,0,0,61.753
317,0,0,64.818
318,0,0,77.18700000000001
319,0,0,30.618
320,0,0,20.209999999999997
321,0,0,36.031
322,0,0,29.353
323,0,0,19.194
324,0,0,14.632
325,0,0,47.753
326,0,0,45.498
327,0,0,193.906
328,0,0,10.486
329,0,0,9.908999999999999
330,0,0,42.823
331,0,0,87.32900000000001
332,0,0,76.18700000000001
333,0,0,68.06700000000001
334,0,0,72.05300000000001
335,0,0,70.563
336,0,0,71.009
337,0,0,66.993
338,0,0,71.691
339,0,0,70.503
340,0,0,71.607
341,0,0,69.101
342,0,0,61.364000000000004
343,0,0,63.23
344,0,0,25.776
345,0,0,24.531000000000002
346,0,0,26.967000000000002
347,0,0,25.437
348,0,0,20.72
349,0,0,21.173000000000002
