electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,20.488,0.0
0.0,0.0,0.0,20.178,0.0
0.0,0.0,0.0,19.903,0.0
0.0,0.0,0.0,19.789,0.0
0.0,0.0,0.0,19.587,0.0
0.0,0.0,0.0,19.414,0.0
0.009000000000000001,0.0,0.02,19.698,0.02
0.148,0.067,0.1,21.408,0.167
0.398,0.34400000000000003,0.088,24.049,0.43200000000000005
0.579,0.5630000000000001,0.09,26.969,0.653
0.6990000000000001,0.721,0.099,29.03,0.82
0.767,0.8170000000000001,0.106,30.49,0.923
0.77,0.8130000000000001,0.12,31.347,0.933
0.735,0.759,0.125,31.761,0.884
0.649,0.636,0.127,31.644,0.763
0.523,0.47900000000000004,0.11900000000000001,31.172,0.5980000000000001
0.341,0.265,0.117,30.152,0.382
0.121,0.044,0.099,28.236,0.14300000000000002
0.004,0.0,0.013000000000000001,25.633,0.013000000000000001
0.0,0.0,0.0,24.362,0.0
0.0,0.0,0.0,23.428,0.0
0.0,0.0,0.0,22.387,0.0
0.0,0.0,0.0,21.533,0.0
0.0,0.0,0.0,20.873,0.0
0.0,0.0,0.0,20.393,0.0
0.0,0.0,0.0,20.237,0.0
0.0,0.0,0.0,20.295,0.0
0.0,0.0,0.0,20.281,0.0
0.0,0.0,0.0,20.208,0.0
0.0,0.0,0.0,20.133,0.0
0.008,0.0,0.018000000000000002,20.358,0.018000000000000002
0.137,0.046,0.109,21.794,0.155
0.365,0.269,0.127,24.063,0.396
0.538,0.468,0.133,26.512,0.601
0.655,0.611,0.146,28.389,0.757
0.723,0.704,0.153,29.928,0.857
0.745,0.744,0.151,31.123,0.895
0.719,0.717,0.145,31.952,0.862
0.643,0.621,0.137,32.234,0.758
0.522,0.47900000000000004,0.121,32.043,0.6000000000000001
0.35000000000000003,0.289,0.105,31.231,0.39399999999999996
0.14300000000000002,0.081,0.08600000000000001,29.45,0.167
0.004,0.0,0.013000000000000001,26.204,0.013000000000000001
0.0,0.0,0.0,24.894,0.0
0.0,0.0,0.0,24.278,0.0
0.0,0.0,0.0,23.42,0.0
0.0,0.0,0.0,22.453,0.0
0.0,0.0,0.0,21.841,0.0
0.0,0.0,0.0,21.354,0.0
0.0,0.0,0.0,21.196,0.0
0.0,0.0,0.0,21.122,0.0
0.0,0.0,0.0,20.95,0.0
0.0,0.0,0.0,20.788,0.0
0.0,0.0,0.0,20.598,0.0
0.008,0.0,0.019,20.727,0.019
0.14300000000000002,0.052000000000000005,0.109,21.984,0.161
0.363,0.263,0.131,23.857,0.394
0.55,0.489,0.127,26.383,0.616
0.676,0.653,0.132,28.397,0.785
0.737,0.731,0.145,29.889,0.876
0.74,0.723,0.164,30.943,0.887
0.6970000000000001,0.652,0.176,31.559,0.8280000000000001
0.617,0.547,0.17400000000000002,31.712,0.7210000000000001
0.488,0.39,0.167,31.325,0.557
0.315,0.199,0.154,30.237,0.353
0.115,0.033,0.10400000000000001,28.312,0.137
0.004,0.0,0.012,25.785,0.012
0.0,0.0,0.0,24.451,0.0
0.0,0.0,0.0,23.632,0.0
0.0,0.0,0.0,22.9,0.0
0.0,0.0,0.0,22.396,0.0
0.0,0.0,0.0,22.179,0.0
0.0,0.0,0.0,22.13,0.0
0.0,0.0,0.0,22.125,0.0
0.0,0.0,0.0,22.023,0.0
0.0,0.0,0.0,21.744,0.0
0.0,0.0,0.0,21.496,0.0
0.0,0.0,0.0,21.181,0.0
0.005,0.0,0.014,20.905,0.014
0.096,0.01,0.10400000000000001,21.436,0.114
0.241,0.049,0.213,22.573,0.262
0.43,0.181,0.289,24.571,0.47
0.554,0.301,0.32,26.479,0.621
0.582,0.299,0.361,27.662,0.6599999999999999
0.647,0.40900000000000003,0.338,28.696,0.7470000000000001
0.61,0.361,0.34,29.2,0.7010000000000001
0.494,0.212,0.34400000000000003,28.918,0.556
0.38,0.13,0.292,28.178,0.422
0.272,0.091,0.21,27.355,0.301
0.11900000000000001,0.027,0.112,25.956,0.139
0.004,0.0,0.013000000000000001,24.042,0.013000000000000001
0.0,0.0,0.0,22.962,0.0
0.0,0.0,0.0,22.365,0.0
0.0,0.0,0.0,21.775,0.0
0.0,0.0,0.0,21.401,0.0
0.0,0.0,0.0,21.179,0.0
0.0,0.0,0.0,20.971,0.0
0.0,0.0,0.0,20.74,0.0
0.0,0.0,0.0,20.516,0.0
0.0,0.0,0.0,20.28,0.0
0.0,0.0,0.0,20.095,0.0
0.0,0.0,0.0,19.983,0.0
0.008,0.0,0.018000000000000002,20.153,0.018000000000000002
0.14100000000000001,0.051000000000000004,0.108,21.344,0.159
0.384,0.305,0.11,23.21,0.415
0.56,0.509,0.116,25.567,0.625
0.685,0.667,0.124,27.29,0.791
0.743,0.738,0.14,28.458,0.878
0.761,0.762,0.145,29.273,0.907
0.734,0.73,0.14200000000000002,29.743,0.872
0.654,0.624,0.138,29.737,0.762
0.514,0.442,0.14,29.16,0.5820000000000001
0.334,0.23700000000000002,0.133,28.117,0.37
0.132,0.055,0.099,26.503,0.154
0.003,0.0,0.012,24.52,0.012
0.0,0.0,0.0,23.481,0.0
0.0,0.0,0.0,22.851,0.0
0.0,0.0,0.0,22.333,0.0
0.0,0.0,0.0,21.819,0.0
0.0,0.0,0.0,21.352,0.0
0.0,0.0,0.0,21.098,0.0
0.0,0.0,0.0,20.995,0.0
0.0,0.0,0.0,20.919,0.0
0.0,0.0,0.0,20.853,0.0
0.0,0.0,0.0,20.786,0.0
0.0,0.0,0.0,20.721,0.0
0.006,0.0,0.015,20.812,0.015
0.105,0.014,0.109,21.711,0.123
0.276,0.082,0.218,23.277,0.3
0.41000000000000003,0.159,0.29,25.32,0.44899999999999995
0.508,0.224,0.343,26.765,0.5670000000000001
0.5740000000000001,0.28500000000000003,0.366,27.916,0.651
0.625,0.371,0.34800000000000003,28.987,0.7190000000000001
0.628,0.417,0.31,29.751,0.727
0.56,0.357,0.28400000000000003,29.912,0.641
0.44,0.242,0.252,29.476,0.494
0.295,0.136,0.192,28.67,0.328
0.13,0.041,0.11,27.246,0.151
0.004,0.0,0.013000000000000001,24.541,0.013000000000000001
0.0,0.0,0.0,23.38,0.0
0.0,0.0,0.0,22.946,0.0
0.0,0.0,0.0,22.422,0.0
