,domestic,commercial,public
0,0,0,130.099
1,0,0,130.86800000000002
2,0,0,142.279
3,0,0,142.344
4,0,0,145.66799999999998
5,0,0,103.445
6,0,0,9.998
7,0,0,10.005999999999998
8,0,0,9.927
9,0,0,9.926
10,0,0,10.001
11,0,0,9.880999999999998
12,0,0,10.293999999999999
13,0,0,10.131
14,0,0,10.26
15,0,0,10.045
16,0,0,9.927999999999999
17,0,0,10.172
18,0,0,10.584
19,0,0,93.386
20,0,0,101.08399999999999
21,0,0,107.59100000000001
22,0,0,103.45400000000001
23,0,0,97.305
24,0,0,98.86
25,0,0,99.635
26,0,0,99.23400000000001
27,0,0,100.32000000000001
28,0,0,102.092
29,0,0,82.009
30,0,0,10.002
31,0,0,9.878
32,0,0,9.835999999999999
33,0,0,10.081
34,0,0,10.253
35,0,0,10.263
36,0,0,10.552000000000001
37,0,0,10.049000000000001
38,0,0,10.38
39,0,0,10.34
40,0,0,10.258
41,0,0,10.376
42,0,0,35.793
43,0,0,92.309
44,0,0,95.512
45,0,0,95.189
46,0,0,101.283
47,0,0,90.928
48,0,0,95.554
49,0,0,91.369
50,0,0,94.288
51,0,0,102.326
52,0,0,98.74900000000001
53,0,0,83.677
54,0,0,9.804
55,0,0,10.001
56,0,0,9.878
57,0,0,10.049000000000001
58,0,0,9.957
59,0,0,10.045
60,0,0,10.0
61,0,0,10.083
62,0,0,10.091
63,0,0,10.333
64,0,0,10.013
65,0,0,10.309000000000001
66,0,0,10.345
67,0,0,23.730999999999998
68,0,0,101.695
69,0,0,108.157
70,0,0,109.254
71,0,0,97.62
72,0,0,96.886
73,0,0,99.29100000000001
74,0,0,102.565
75,0,0,104.99
76,0,0,104.616
77,0,0,94.753
78,0,0,9.793
79,0,0,9.926
80,0,0,9.958
81,0,0,9.835999999999999
82,0,0,10.046
83,0,0,10.007
84,0,0,10.085
85,0,0,10.373999999999999
86,0,0,10.517
87,0,0,10.427999999999999
88,0,0,10.717
89,0,0,10.219000000000001
90,0,0,18.433
91,0,0,84.495
92,0,0,182.954
93,0,0,180.418
94,0,0,209.75900000000001
95,0,0,209.72899999999998
96,0,0,205.76500000000001
97,0,0,179.407
98,0,0,168.96
99,0,0,162.31
100,0,0,168.29
101,0,0,166.074
102,0,0,146.498
103,0,0,135.782
104,0,0,151.18699999999998
105,0,0,90.304
106,0,0,0.0
107,0,0,91.051
108,0,0,179.34
109,0,0,132.349
110,0,0,128.382
111,0,0,155.595
112,0,0,135.462
113,0,0,89.199
114,0,0,82.93499999999999
115,0,0,203.921
116,0,0,190.18699999999998
117,0,0,198.117
118,0,0,195.23
119,0,0,182.126
120,0,0,188.532
121,0,0,194.674
122,0,0,187.363
123,0,0,178.44199999999998
124,0,0,183.842
125,0,0,188.335
126,0,0,95.07000000000001
127,0,0,11.577
128,0,0,10.071
129,0,0,89.741
130,0,0,109.643
131,0,0,95.727
132,0,0,94.33999999999999
133,0,0,94.576
134,0,0,102.227
135,0,0,83.58
136,0,0,86.705
137,0,0,10.385
138,0,0,21.105999999999998
139,0,0,236.39499999999998
140,0,0,234.787
141,0,0,160.823
142,0,0,199.959
143,0,0,212.444
144,0,0,205.47899999999998
145,0,0,201.351
146,0,0,208.053
147,0,0,167.418
148,0,0,168.215
149,0,0,182.756
150,0,0,99.95700000000001
151,0,0,47.442
152,0,0,97.181
153,0,0,88.559
154,0,0,94.13499999999999
155,0,0,94.561
156,0,0,81.81700000000001
157,0,0,88.239
158,0,0,105.821
159,0,0,80.494
160,0,0,55.244
161,0,0,10.887
162,0,0,15.863999999999999
163,0,0,423.958
164,0,0,642.926
165,0,0,363.679
166,0,0,228.19500000000002
167,0,0,165.78799999999998
168,0,0,157.301
169,0,0,160.494
170,0,0,159.882
171,0,0,159.037
172,0,0,167.358
173,0,0,167.261
174,0,0,39.253
175,0,0,32.749
176,0,0,25.073
177,0,0,51.872
178,0,0,114.06099999999999
179,0,0,110.13000000000001
180,0,0,119.23
181,0,0,118.525
182,0,0,120.57
183,0,0,99.73899999999999
184,0,0,101.646
185,0,0,20.93
186,0,0,21.668
187,0,0,356.74899999999997
188,0,0,493.316
189,0,0,299.42400000000004
190,0,0,219.648
191,0,0,216.817
192,0,0,215.23600000000002
193,0,0,211.332
194,0,0,216.54999999999998
195,0,0,221.592
196,0,0,225.53599999999997
197,0,0,202.783
198,0,0,130.672
199,0,0,81.236
200,0,0,69.36
201,0,0,62.471
202,0,0,42.856
203,0,0,40.607
204,0,0,33.036
205,0,0,25.682
206,0,0,19.335
207,0,0,21.474
208,0,0,20.648
209,0,0,20.695
210,0,0,57.054
211,0,0,499.183
212,0,0,663.1129999999999
213,0,0,473.58
214,0,0,226.74
215,0,0,221.433
216,0,0,228.316
217,0,0,208.179
218,0,0,188.349
219,0,0,190.866
220,0,0,223.886
221,0,0,212.07999999999998
222,0,0,143.437
223,0,0,20.59
224,0,0,35.397
225,0,0,56.56
226,0,0,55.141000000000005
227,0,0,54.441
228,0,0,56.497
229,0,0,53.549
230,0,0,52.615
231,0,0,88.535
232,0,0,35.412
233,0,0,17.167
234,0,0,45.372
235,0,0,432.682
236,0,0,522.054
237,0,0,268.824
238,0,0,233.859
239,0,0,244.81
240,0,0,242.038
241,0,0,245.205
242,0,0,243.112
243,0,0,248.651
244,0,0,259.033
245,0,0,245.275
246,0,0,133.809
247,0,0,36.984
248,0,0,89.84100000000001
249,0,0,118.103
250,0,0,105.73299999999999
251,0,0,105.13300000000001
252,0,0,94.489
253,0,0,96.298
254,0,0,88.202
255,0,0,90.671
256,0,0,90.54299999999999
257,0,0,75.894
258,0,0,23.223
259,0,0,388.774
260,0,0,545.0930000000001
261,0,0,376.034
262,0,0,251.76700000000002
263,0,0,220.35
264,0,0,218.411
265,0,0,204.559
266,0,0,205.143
267,0,0,220.894
268,0,0,323.43300000000005
269,0,0,491.5
270,0,0,211.643
271,0,0,68.32199999999999
272,0,0,118.256
273,0,0,147.481
274,0,0,132.67499999999998
275,0,0,126.56899999999999
276,0,0,125.54199999999999
277,0,0,107.215
278,0,0,104.52799999999999
279,0,0,104.355
280,0,0,99.866
281,0,0,16.136000000000003
282,0,0,31.376
283,0,0,290.707
284,0,0,484.45300000000003
285,0,0,294.901
286,0,0,184.611
287,0,0,188.917
288,0,0,187.524
