,domestic,commercial,public
0,0,0,72.042
1,0,0,72.866
2,0,0,71.009
3,0,0,69.865
4,0,0,72.588
5,0,0,81.82499999999999
6,0,0,73.142
7,0,0,42.717
8,0,0,11.136
9,0,0,11.467
10,0,0,11.601
11,0,0,11.766
12,0,0,10.809
13,0,0,10.769
14,0,0,10.401
15,0,0,10.383
16,0,0,10.513
17,0,0,10.226
18,0,0,10.852
19,0,0,11.885
20,0,0,11.349
21,0,0,61.009
22,0,0,61.611
23,0,0,68.46900000000001
24,0,0,73.509
25,0,0,75.229
26,0,0,70.92
27,0,0,71.952
28,0,0,69.118
29,0,0,66.844
30,0,0,69.625
31,0,0,55.466
32,0,0,11.561
33,0,0,11.56
34,0,0,10.755
35,0,0,10.853
36,0,0,10.927
37,0,0,10.552000000000001
38,0,0,10.645999999999999
39,0,0,10.357
40,0,0,10.182
41,0,0,10.177999999999999
42,0,0,11.014
43,0,0,52.998999999999995
44,0,0,40.663
45,0,0,45.555
46,0,0,48.163
47,0,0,42.899
48,0,0,44.903
49,0,0,45.193
50,0,0,45.039
51,0,0,45.107
52,0,0,44.954
53,0,0,38.305
54,0,0,10.3
55,0,0,10.931
56,0,0,10.85
57,0,0,11.016
58,0,0,11.377
59,0,0,11.418
60,0,0,33.406
61,0,0,73.529
62,0,0,76.071
63,0,0,74.42500000000001
64,0,0,40.474999999999994
65,0,0,10.552999999999999
66,0,0,18.145000000000003
67,0,0,22.904
68,0,0,37.379000000000005
69,0,0,84.658
70,0,0,80.313
71,0,0,62.184000000000005
72,0,0,56.095
73,0,0,54.403
74,0,0,59.197
75,0,0,65.524
76,0,0,66.74199999999999
77,0,0,62.872
78,0,0,15.152000000000001
79,0,0,17.032
80,0,0,11.965
81,0,0,12.544
82,0,0,12.213
83,0,0,15.92
84,0,0,12.109
85,0,0,12.739
86,0,0,11.801
87,0,0,76.976
88,0,0,29.509
89,0,0,11.872
90,0,0,15.129
91,0,0,65.916
92,0,0,92.208
93,0,0,97.353
94,0,0,96.949
95,0,0,74.866
96,0,0,58.537
97,0,0,56.94
98,0,0,53.351
99,0,0,56.112
100,0,0,65.32300000000001
101,0,0,88.81899999999999
102,0,0,13.200999999999999
103,0,0,40.606
104,0,0,13.044
105,0,0,23.220000000000002
106,0,0,55.109
107,0,0,11.437
108,0,0,10.846
109,0,0,10.945
110,0,0,13.620999999999999
111,0,0,16.135
112,0,0,11.891
113,0,0,10.600999999999999
114,0,0,15.487
115,0,0,61.177
116,0,0,79.983
117,0,0,87.092
118,0,0,98.26
119,0,0,107.212
120,0,0,99.826
121,0,0,82.743
122,0,0,76.974
123,0,0,79.654
124,0,0,77.933
125,0,0,99.408
126,0,0,39.326
127,0,0,14.276
128,0,0,13.184
129,0,0,48.673
130,0,0,23.311999999999998
131,0,0,11.584000000000001
132,0,0,11.22
133,0,0,11.054
134,0,0,11.059
135,0,0,10.302999999999999
136,0,0,9.899
137,0,0,10.65
138,0,0,9.816
139,0,0,11.440000000000001
140,0,0,19.171
141,0,0,62.126
142,0,0,58.424
143,0,0,49.666000000000004
144,0,0,46.328
145,0,0,44.858000000000004
146,0,0,43.663000000000004
147,0,0,42.511
148,0,0,44.077
149,0,0,57.754
150,0,0,19.858
151,0,0,10.642000000000001
152,0,0,11.261999999999999
153,0,0,11.34
154,0,0,11.36
155,0,0,11.68
156,0,0,11.056
157,0,0,11.106
158,0,0,10.775
159,0,0,10.641
160,0,0,10.561
161,0,0,10.391
162,0,0,10.725999999999999
163,0,0,11.691
164,0,0,55.543
165,0,0,65.168
166,0,0,69.04
167,0,0,60.119
168,0,0,45.837999999999994
169,0,0,45.461
170,0,0,43.522999999999996
171,0,0,43.101
172,0,0,47.881
173,0,0,46.703
174,0,0,23.279
175,0,0,10.633000000000001
176,0,0,10.839
177,0,0,10.936
178,0,0,11.222
179,0,0,10.844
180,0,0,11.31
181,0,0,11.350000000000001
182,0,0,11.185
183,0,0,10.779
184,0,0,10.571
185,0,0,10.521
186,0,0,11.094
187,0,0,11.102
188,0,0,11.099
189,0,0,19.118
190,0,0,68.41600000000001
191,0,0,55.146
192,0,0,42.906
193,0,0,44.473
194,0,0,44.674
195,0,0,48.678
196,0,0,51.206
197,0,0,59.015
198,0,0,19.214
199,0,0,7.551
200,0,0,10.052
201,0,0,10.815
202,0,0,10.883000000000001
203,0,0,10.934
204,0,0,11.354
205,0,0,11.183
206,0,0,11.311
207,0,0,11.155999999999999
208,0,0,10.98
209,0,0,11.017000000000001
210,0,0,11.516
211,0,0,10.477
212,0,0,18.508
213,0,0,67.088
214,0,0,80.505
215,0,0,74.76299999999999
216,0,0,82.204
217,0,0,86.41
218,0,0,89.548
219,0,0,88.033
220,0,0,87.727
221,0,0,91.881
222,0,0,20.81
223,0,0,6.901
224,0,0,8.222999999999999
225,0,0,10.974
226,0,0,11.011999999999999
227,0,0,11.521
228,0,0,11.395000000000001
229,0,0,11.393
230,0,0,11.396999999999998
231,0,0,10.737
232,0,0,10.854000000000001
233,0,0,10.647
234,0,0,11.141
235,0,0,11.061
236,0,0,10.689
237,0,0,49.19
238,0,0,80.137
