,domestic,commercial,public
0,0,0,1.674
1,0,0,2.1719999999999997
2,0,0,5.433999999999999
3,0,0,10.982000000000001
4,0,0,14.696000000000002
5,0,0,15.12
6,0,0,5.71
7,0,0,0.0
8,0,0,6.804
9,0,0,15.12
10,0,0,14.87
11,0,0,15.12
12,0,0,14.774000000000001
13,0,0,2.506
14,0,0,0.0
15,0,0,2.016
16,0,0,15.026
17,0,0,13.184
18,0,0,10.146
19,0,0,15.12
20,0,0,15.12
21,0,0,15.116
22,0,0,15.112
23,0,0,14.952
24,0,0,8.815999999999999
25,0,0,0.16799999999999998
26,0,0,1.838
27,0,0,8.71
28,0,0,13.92
29,0,0,15.100000000000001
30,0,0,15.026
31,0,0,10.568
32,0,0,1.842
33,0,0,15.116
34,0,0,15.088000000000001
35,0,0,14.86
36,0,0,8.128
37,0,0,0.0
38,0,0,10.246
39,0,0,15.100000000000001
40,0,0,15.096
41,0,0,15.11
42,0,0,11.322000000000001
43,0,0,15.100000000000001
44,0,0,15.114
45,0,0,14.61
46,0,0,14.604000000000001
47,0,0,15.116
48,0,0,12.756
49,0,0,0.75
50,0,0,8.042
51,0,0,14.936
52,0,0,15.12
53,0,0,14.864
54,0,0,13.596
55,0,0,0.166
56,0,0,0.0
57,0,0,11.006
58,0,0,14.872
59,0,0,15.118
60,0,0,14.947999999999999
61,0,0,10.564
62,0,0,0.082
63,0,0,0.0
64,0,0,0.166
65,0,0,7.196
66,0,0,15.112
67,0,0,15.118
68,0,0,15.12
69,0,0,15.11
70,0,0,15.116
71,0,0,14.947999999999999
72,0,0,2.7680000000000002
73,0,0,3.012
74,0,0,10.746
75,0,0,15.032
76,0,0,15.12
77,0,0,15.122
78,0,0,15.122
79,0,0,12.92
80,0,0,1.088
81,0,0,0.16799999999999998
82,0,0,7.303999999999999
83,0,0,15.12
84,0,0,15.122
85,0,0,15.03
86,0,0,9.472
87,0,0,2.346
88,0,0,0.502
89,0,0,14.432
90,0,0,10.388
91,0,0,15.09
92,0,0,15.112
93,0,0,14.864
94,0,0,14.61
95,0,0,14.612
96,0,0,14.27
97,0,0,6.048
98,0,0,1.004
99,0,0,4.352
100,0,0,12.234
101,0,0,15.108
102,0,0,5.872
103,0,0,0.0
104,0,0,11.344
105,0,0,15.12
106,0,0,15.12
107,0,0,15.116
108,0,0,10.4
109,0,0,0.166
110,0,0,0.0
111,0,0,13.934000000000001
112,0,0,14.344000000000001
113,0,0,15.022
114,0,0,12.068000000000001
115,0,0,15.12
116,0,0,14.357999999999999
117,0,0,14.364
118,0,0,14.354000000000001
119,0,0,14.352
120,0,0,14.347999999999999
121,0,0,15.026
122,0,0,14.852
123,0,0,8.88
124,0,0,0.08399999999999999
125,0,0,2.35
126,0,0,1.674
127,0,0,0.0
128,0,0,0.0
129,0,0,3.276
130,0,0,15.116
131,0,0,15.122
132,0,0,15.12
133,0,0,15.12
134,0,0,13.996
135,0,0,4.5120000000000005
136,0,0,0.082
137,0,0,0.0
138,0,0,9.972
139,0,0,15.108
140,0,0,15.108
141,0,0,15.114
142,0,0,14.602
143,0,0,15.032
144,0,0,14.952
145,0,0,10.082
146,0,0,0.16799999999999998
147,0,0,1.51
148,0,0,5.787999999999999
149,0,0,12.508000000000001
150,0,0,4.029999999999999
151,0,0,0.0
152,0,0,0.0
153,0,0,0.0
154,0,0,0.0
155,0,0,0.0
156,0,0,14.53
157,0,0,15.12
158,0,0,15.11
159,0,0,15.112
160,0,0,15.014
161,0,0,12.581999999999999
162,0,0,14.946
163,0,0,15.12
164,0,0,15.118
165,0,0,15.114
166,0,0,15.036000000000001
167,0,0,14.78
168,0,0,9.648
169,0,0,0.16799999999999998
170,0,0,0.416
