,domestic,commercial,public
0,0,0,160.934
1,0,0,164.413
2,0,0,110.241
3,0,0,103.964
4,0,0,179.557
5,0,0,165.73399999999998
6,0,0,70.487
7,0,0,87.047
8,0,0,186.837
9,0,0,109.283
10,0,0,69.345
11,0,0,136.08100000000002
12,0,0,99.116
13,0,0,72.316
14,0,0,130.826
15,0,0,147.197
16,0,0,87.924
17,0,0,91.447
18,0,0,153.51999999999998
19,0,0,181.84
20,0,0,95.381
21,0,0,161.05700000000002
22,0,0,208.753
23,0,0,92.82300000000001
24,0,0,169.49800000000002
25,0,0,173.019
26,0,0,109.544
27,0,0,95.678
28,0,0,183.097
29,0,0,149.67
30,0,0,84.19
31,0,0,151.635
32,0,0,158.442
33,0,0,52.887
34,0,0,96.055
35,0,0,140.921
36,0,0,78.99499999999999
37,0,0,109.075
38,0,0,135.988
39,0,0,145.284
40,0,0,62.793
41,0,0,148.951
42,0,0,118.562
43,0,0,91.169
44,0,0,137.587
45,0,0,189.266
46,0,0,121.057
47,0,0,117.69300000000001
48,0,0,178.894
49,0,0,168.829
50,0,0,79.14200000000001
51,0,0,193.139
52,0,0,169.732
53,0,0,104.132
54,0,0,123.908
55,0,0,186.863
56,0,0,90.268
57,0,0,70.882
58,0,0,120.625
59,0,0,142.537
60,0,0,95.03699999999999
61,0,0,136.973
62,0,0,167.754
63,0,0,134.39100000000002
64,0,0,112.861
65,0,0,143.13
66,0,0,155.024
67,0,0,185.267
68,0,0,205.839
69,0,0,220.388
70,0,0,194.207
71,0,0,85.576
72,0,0,219.924
73,0,0,181.597
74,0,0,112.329
75,0,0,141.541
76,0,0,188.64600000000002
77,0,0,123.88499999999999
78,0,0,58.733
79,0,0,103.06700000000001
80,0,0,147.872
81,0,0,163.36100000000002
82,0,0,67.053
83,0,0,132.064
84,0,0,159.942
85,0,0,129.09
86,0,0,87.242
87,0,0,134.27
88,0,0,157.184
89,0,0,122.309
90,0,0,121.871
91,0,0,114.703
92,0,0,195.631
93,0,0,209.654
94,0,0,138.217
95,0,0,181.91
96,0,0,215.20700000000002
97,0,0,159.04999999999998
98,0,0,167.27800000000002
99,0,0,114.982
100,0,0,189.629
101,0,0,211.16199999999998
102,0,0,45.534
103,0,0,128.98499999999999
104,0,0,188.566
105,0,0,199.896
106,0,0,152.554
107,0,0,109.825
108,0,0,118.09100000000001
109,0,0,158.435
110,0,0,175.94099999999997
111,0,0,112.304
112,0,0,158.51100000000002
113,0,0,228.981
114,0,0,223.432
115,0,0,247.047
116,0,0,234.033
117,0,0,304.03200000000004
118,0,0,309.497
119,0,0,275.94
120,0,0,191.42000000000002
121,0,0,304.871
122,0,0,297.17
123,0,0,235.226
124,0,0,268.324
125,0,0,260.46000000000004
126,0,0,99.95700000000001
127,0,0,172.597
128,0,0,160.195
129,0,0,177.711
130,0,0,188.434
131,0,0,114.018
132,0,0,124.34299999999999
133,0,0,218.332
134,0,0,159.575
135,0,0,181.782
136,0,0,168.703
137,0,0,150.34300000000002
138,0,0,60.873
139,0,0,187.341
140,0,0,179.165
141,0,0,199.52100000000002
142,0,0,126.28
143,0,0,194.045
144,0,0,174.923
145,0,0,205.52300000000002
146,0,0,171.25
147,0,0,95.667
148,0,0,200.759
149,0,0,211.753
150,0,0,99.505
151,0,0,53.544000000000004
152,0,0,121.879
153,0,0,143.421
154,0,0,192.34799999999998
155,0,0,69.955
156,0,0,153.856
157,0,0,170.767
158,0,0,215.781
159,0,0,98.855
160,0,0,113.866
161,0,0,154.023
162,0,0,246.727
163,0,0,264.88800000000003
164,0,0,193.023
165,0,0,262.133
166,0,0,271.218
167,0,0,190.166
168,0,0,191.10399999999998
169,0,0,254.01600000000002
170,0,0,276.434
171,0,0,183.762
172,0,0,213.53
173,0,0,273.877
174,0,0,246.003
175,0,0,172.197
176,0,0,195.604
177,0,0,213.555
178,0,0,230.536
179,0,0,176.1
180,0,0,170.348
181,0,0,242.43
182,0,0,237.13
183,0,0,181.649
184,0,0,209.837
185,0,0,238.428
186,0,0,234.814
187,0,0,264.789
188,0,0,182.529
189,0,0,274.144
190,0,0,243.167
191,0,0,213.98
192,0,0,180.72199999999998
193,0,0,231.981
194,0,0,208.784
195,0,0,137.203
196,0,0,155.90699999999998
197,0,0,208.22899999999998
198,0,0,193.59799999999998
199,0,0,114.262
200,0,0,237.09
201,0,0,249.465
202,0,0,229.283
203,0,0,160.70999999999998
204,0,0,214.366
205,0,0,205.861
206,0,0,222.48100000000002
207,0,0,156.645
208,0,0,232.47
209,0,0,233.58100000000002
210,0,0,210.901
211,0,0,180.392
212,0,0,238.59
213,0,0,156.37
214,0,0,191.832
215,0,0,166.722
216,0,0,226.786
217,0,0,207.362
218,0,0,179.318
219,0,0,165.386
220,0,0,182.885
221,0,0,139.99200000000002
222,0,0,131.54399999999998
223,0,0,185.586
224,0,0,162.649
225,0,0,102.975
226,0,0,60.245
227,0,0,33.893
228,0,0,124.74000000000001
229,0,0,104.187
230,0,0,137.623
231,0,0,200.419
232,0,0,192.07399999999998
233,0,0,228.93
234,0,0,241.865
235,0,0,196.17000000000002
236,0,0,251.20999999999998
237,0,0,244.11599999999999
238,0,0,225.866
239,0,0,166.83
240,0,0,187.375
241,0,0,238.068
242,0,0,219.902
243,0,0,183.60899999999998
244,0,0,122.933
245,0,0,220.914
246,0,0,175.69299999999998
247,0,0,107.50500000000001
248,0,0,87.37599999999999
249,0,0,177.65900000000002
250,0,0,174.113
251,0,0,157.524
252,0,0,91.376
253,0,0,162.68099999999998
254,0,0,160.85399999999998
255,0,0,167.69
256,0,0,85.801
257,0,0,130.591
258,0,0,168.476
259,0,0,224.926
260,0,0,178.57600000000002
261,0,0,208.844
262,0,0,164.187
263,0,0,112.759
264,0,0,208.94099999999997
265,0,0,202.539
266,0,0,181.722
267,0,0,105.14999999999999
268,0,0,146.46
269,0,0,196.155
270,0,0,103.78099999999999
271,0,0,49.147000000000006
272,0,0,80.746
