,domestic,commercial,public
0,0,0,301.417
1,0,0,254.13799999999998
2,0,0,277.924
3,0,0,241.649
4,0,0,227.573
5,0,0,237.262
6,0,0,270.336
7,0,0,358.09400000000005
8,0,0,234.146
9,0,0,389.325
10,0,0,420.49199999999996
11,0,0,395.73
12,0,0,545.179
13,0,0,792.239
14,0,0,633.6279999999999
15,0,0,277.221
16,0,0,614.05
17,0,0,254.34699999999998
18,0,0,380.62800000000004
19,0,0,229.77800000000002
20,0,0,623.336
21,0,0,395.992
22,0,0,257.027
23,0,0,276.924
24,0,0,233.06099999999998
25,0,0,226.942
26,0,0,228.08800000000002
27,0,0,260.31399999999996
28,0,0,226.909
29,0,0,227.827
30,0,0,263.167
31,0,0,227.876
32,0,0,318.178
33,0,0,219.233
34,0,0,181.561
35,0,0,15.575000000000001
36,0,0,260.032
37,0,0,1040.92
38,0,0,211.231
39,0,0,137.95499999999998
40,0,0,66.46000000000001
41,0,0,105.94099999999999
42,0,0,340.23199999999997
43,0,0,321.47700000000003
44,0,0,123.195
45,0,0,121.984
46,0,0,587.46
47,0,0,356.48400000000004
48,0,0,322.46200000000005
49,0,0,315.033
50,0,0,299.719
51,0,0,305.125
52,0,0,313.67499999999995
53,0,0,289.597
54,0,0,309.802
55,0,0,0.0
56,0,0,0.0
57,0,0,0.0
58,0,0,0.0
59,0,0,0.0
60,0,0,0.0
61,0,0,0.0
62,0,0,0.0
63,0,0,0.0
64,0,0,0.0
65,0,0,0.0
66,0,0,0.0
67,0,0,0.0
68,0,0,451.8745833333333
69,0,0,398.9891666666667
70,0,0,328.75504166666667
71,0,0,46.596
72,0,0,91.398
73,0,0,65.94500000000001
74,0,0,60.515
75,0,0,60.967
76,0,0,63.821000000000005
77,0,0,60.76199999999999
78,0,0,64.631
79,0,0,65.379
80,0,0,106.14500000000001
81,0,0,367.32399999999996
82,0,0,593.271
83,0,0,638.138
84,0,0,651.5790000000001
85,0,0,606.835
86,0,0,463.145
87,0,0,458.99600000000004
88,0,0,501.14099999999996
89,0,0,305.592
90,0,0,247.06
91,0,0,583.482
92,0,0,481.114
93,0,0,472.97
94,0,0,306.904
95,0,0,285.60799999999995
96,0,0,286.10799999999995
97,0,0,288.348
98,0,0,271.61800000000005
99,0,0,251.80700000000002
100,0,0,296.055
101,0,0,266.988
102,0,0,299.147
103,0,0,235.254
104,0,0,230.033
105,0,0,225.973
106,0,0,263.683
107,0,0,238.97299999999998
108,0,0,215.511
109,0,0,177.649
110,0,0,248.001
111,0,0,244.011
112,0,0,238.455
113,0,0,282.14
114,0,0,220.32
115,0,0,259.93
116,0,0,288.863
117,0,0,274.518
118,0,0,206.035
119,0,0,86.181
120,0,0,154.212
121,0,0,98.511
122,0,0,91.361
123,0,0,90.374
124,0,0,123.806
125,0,0,91.223
126,0,0,112.628
127,0,0,152.73700000000002
128,0,0,232.50799999999998
129,0,0,285.58
130,0,0,335.719
131,0,0,278.1
132,0,0,399.038
133,0,0,434.46000000000004
134,0,0,469.245
135,0,0,439.82500000000005
136,0,0,457.68399999999997
137,0,0,431.999
138,0,0,216.12400000000002
139,0,0,328.157
140,0,0,367.065
141,0,0,337.841
142,0,0,237.883
143,0,0,233.733
144,0,0,201.526
145,0,0,175.892
146,0,0,165.119
147,0,0,188.322
148,0,0,140.72299999999998
149,0,0,274.12199999999996
150,0,0,173.542
151,0,0,162.667
152,0,0,320.498
153,0,0,381.05
154,0,0,559.418
155,0,0,536.37
156,0,0,601.572
157,0,0,567.468
158,0,0,565.493
159,0,0,517.79
160,0,0,479.889
161,0,0,373.064
162,0,0,432.594
163,0,0,445.82899999999995
164,0,0,457.749
165,0,0,396.924
166,0,0,263.724
167,0,0,256.834
168,0,0,266.883
169,0,0,224.56799999999998
170,0,0,232.62099999999998
171,0,0,227.103
172,0,0,257.12
173,0,0,217.432
174,0,0,223.124
175,0,0,221.56
176,0,0,335.69
177,0,0,453.038
178,0,0,362.772
179,0,0,365.236
180,0,0,362.16700000000003
181,0,0,370.514
182,0,0,400.90700000000004
183,0,0,370.444
184,0,0,361.836
185,0,0,404.78999999999996
186,0,0,525.691
187,0,0,490.272
188,0,0,458.964
189,0,0,438.685
190,0,0,410.982
191,0,0,387.115
192,0,0,380.303
193,0,0,231.892
194,0,0,225.488
195,0,0,221.661
196,0,0,223.894
197,0,0,209.211
198,0,0,344.724
199,0,0,223.82399999999998
200,0,0,258.003
201,0,0,436.92199999999997
202,0,0,617.0799999999999
203,0,0,593.975
204,0,0,547.177
205,0,0,507.92199999999997
206,0,0,484.32
207,0,0,410.085
208,0,0,388.978
209,0,0,390.572
210,0,0,412.01500000000004
211,0,0,428.516
212,0,0,364.862
213,0,0,357.82199999999995
214,0,0,307.24
215,0,0,295.79499999999996
216,0,0,280.44
217,0,0,283.089
218,0,0,249.346
219,0,0,237.375
220,0,0,222.09599999999998
221,0,0,218.53300000000002
222,0,0,278.663
223,0,0,238.531
224,0,0,331.447
225,0,0,453.52
226,0,0,486.90299999999996
227,0,0,470.96500000000003
228,0,0,482.765
229,0,0,476.94199999999995
230,0,0,479.94
231,0,0,423.076
232,0,0,448.44800000000004
233,0,0,427.286
234,0,0,353.48
235,0,0,415.251
236,0,0,439.56600000000003
237,0,0,267.60499999999996
238,0,0,205.309
239,0,0,263.168
240,0,0,225.13
241,0,0,204.91799999999998
242,0,0,213.279
243,0,0,178.647
244,0,0,180.46200000000002
245,0,0,211.543
246,0,0,209.57899999999998
247,0,0,366.958
248,0,0,476.851
249,0,0,387.492
250,0,0,423.61199999999997
251,0,0,478.366
252,0,0,422.315
253,0,0,291.375
254,0,0,355.757
255,0,0,451.252
256,0,0,530.8380000000001
257,0,0,417.155
258,0,0,409.343
259,0,0,561.714
260,0,0,610.056
261,0,0,573.5219999999999
262,0,0,382.46200000000005
263,0,0,417.624
264,0,0,359.602
265,0,0,337.74199999999996
266,0,0,339.856
267,0,0,302.23100000000005
268,0,0,296.451
269,0,0,280.841
270,0,0,187.1
271,0,0,370.068
272,0,0,363.23
273,0,0,474.10600000000005
274,0,0,406.074
275,0,0,430.682
276,0,0,438.047
277,0,0,418.979
278,0,0,271.126
279,0,0,295.861
280,0,0,482.657
281,0,0,505.90100000000007
282,0,0,554.592
283,0,0,651.445
284,0,0,569.057
285,0,0,440.749
286,0,0,353.633
287,0,0,456.488
288,0,0,330.429
289,0,0,334.199
290,0,0,312.786
291,0,0,301.825
292,0,0,328.869
293,0,0,271.142
294,0,0,171.61499999999998
295,0,0,245.731
296,0,0,332.278
297,0,0,540.515
298,0,0,497.893
299,0,0,594.9870000000001
300,0,0,604.7379999999999
301,0,0,563.701
302,0,0,519.0989999999999
303,0,0,549.45
304,0,0,419.24699999999996
305,0,0,309.265
306,0,0,373.887
307,0,0,664.092
308,0,0,531.221
309,0,0,565.501
310,0,0,395.853
311,0,0,384.301
312,0,0,364.125
313,0,0,315.176
314,0,0,303.3
315,0,0,331.255
316,0,0,296.277
317,0,0,319.927
318,0,0,8.383
319,0,0,213.0801249999999
320,0,0,188.23775
321,0,0,245.564625
322,0,0,0.0
323,0,0,0.0
324,0,0,249.328
325,0,0,489.016
326,0,0,508.582
327,0,0,491.016
328,0,0,489.547
329,0,0,305.36600000000004
330,0,0,309.55100000000004
331,0,0,537.4290000000001
332,0,0,707.1460000000001
333,0,0,496.869
334,0,0,475.98400000000004
335,0,0,311.58200000000005
336,0,0,333.058
337,0,0,323.021
338,0,0,203.042
339,0,0,221.74103999999988
340,0,0,220.41716
341,0,0,178.6833199999999
342,0,0,147.110625
343,0,0,0.0
344,0,0,0.0
345,0,0,85.49600000000001
346,0,0,429.053
347,0,0,329.48699999999997
348,0,0,266.752
349,0,0,250.86599999999999
350,0,0,230.206
351,0,0,265.40999999999997
352,0,0,229.177
353,0,0,228.783
354,0,0,277.883
355,0,0,656.866
356,0,0,418.676
357,0,0,299.074
358,0,0,258.702
359,0,0,503.01399999999995
360,0,0,400.11
361,0,0,303.12899999999996
362,0,0,320.12
363,0,0,272.625
364,0,0,267.798
365,0,0,149.16299999999998
366,0,0,147.110625
367,0,0,213.0801249999999
368,0,0,188.23775
369,0,0,245.564625
370,0,0,0.0
371,0,0,7.96
372,0,0,392.396
373,0,0,378.97999999999996
374,0,0,259.65
375,0,0,281.479
376,0,0,235.36599999999999
377,0,0,161.20000000000002
378,0,0,256.565
379,0,0,453.586
380,0,0,496.911
381,0,0,512.0949999999999
382,0,0,392.046
383,0,0,306.656
384,0,0,287.69800000000004
385,0,0,269.17999999999995
386,0,0,261.41700000000003
387,0,0,286.572
388,0,0,320.40200000000004
389,0,0,132.263
390,0,0,127.154
391,0,0,137.976
392,0,0,471.80499999999995
393,0,0,530.416
394,0,0,500.58899999999994
395,0,0,412.441
396,0,0,437.028
397,0,0,117.12
398,0,0,114.486
399,0,0,505.981
400,0,0,626.075
401,0,0,537.6220000000001
402,0,0,318.154
403,0,0,720.74
404,0,0,501.85400000000004
405,0,0,377.629
406,0,0,255.996
407,0,0,258.382
408,0,0,295.184
409,0,0,244.553
410,0,0,300.721
411,0,0,237.702
412,0,0,232.14399999999998
413,0,0,140.037
414,0,0,118.658
415,0,0,931.939
416,0,0,180.606
417,0,0,338.49800000000005
418,0,0,384.457
419,0,0,432.55100000000004
420,0,0,465.322
421,0,0,398.822
422,0,0,445.103
423,0,0,376.79699999999997
424,0,0,200.87
425,0,0,89.639
426,0,0,208.966
427,0,0,202.17
428,0,0,65.821
429,0,0,346.65200000000004
430,0,0,211.834
431,0,0,191.821
432,0,0,191.008
433,0,0,220.43099999999998
434,0,0,187.904
435,0,0,172.848
436,0,0,220.772
437,0,0,156.00300000000001
438,0,0,65.581
439,0,0,99.438
440,0,0,0.0
441,0,0,0.0
442,0,0,0.0
443,0,0,0.0
444,0,0,0.0
445,0,0,0.0
446,0,0,0.0
447,0,0,0.0
448,0,0,0.0
449,0,0,0.0
450,0,0,0.0
451,0,0,0.0
452,0,0,451.8745833333333
453,0,0,398.9891666666667
454,0,0,328.75504166666667
455,0,0,8.453000000000001
456,0,0,15.755999999999998
457,0,0,17.368000000000002
458,0,0,17.39
459,0,0,17.416
460,0,0,17.41
461,0,0,17.418
462,0,0,17.12
463,0,0,17.375999999999998
464,0,0,17.386
465,0,0,17.4
466,0,0,17.27
467,0,0,12.975999999999999
468,0,0,10.508999999999999
469,0,0,11.033
470,0,0,10.286999999999999
471,0,0,10.416
472,0,0,10.279
473,0,0,10.286
474,0,0,59.862
475,0,0,597.581
476,0,0,545.219
477,0,0,539.122
478,0,0,356.391
479,0,0,234.81
480,0,0,210.504
481,0,0,235.109
482,0,0,204.391
483,0,0,206.57
484,0,0,209.151
485,0,0,211.10000000000002
486,0,0,198.646
487,0,0,972.534
488,0,0,230.37099999999998
489,0,0,244.059
490,0,0,303.894
491,0,0,342.02
492,0,0,246.889
493,0,0,173.09199999999998
494,0,0,232.87
495,0,0,315.501
496,0,0,321.306
497,0,0,393.498
498,0,0,343.826
499,0,0,489.322
500,0,0,399.474
501,0,0,384.256
502,0,0,426.621
503,0,0,497.942
504,0,0,364.483
505,0,0,233.018
506,0,0,237.406
507,0,0,196.128
508,0,0,180.603
509,0,0,18.700000000000003
510,0,0,17.413999999999998
511,0,0,17.397
512,0,0,16.23
513,0,0,11.897
514,0,0,10.531
515,0,0,11.449000000000002
516,0,0,10.746
517,0,0,10.167
518,0,0,10.213
519,0,0,9.958
520,0,0,9.991999999999999
521,0,0,10.158999999999999
522,0,0,44.571
523,0,0,278.389
524,0,0,373.581
525,0,0,434.697
526,0,0,351.17900000000003
527,0,0,311.844
528,0,0,367.03400000000005
529,0,0,230.643
530,0,0,195.785
531,0,0,211.499
532,0,0,200.849
533,0,0,94.39200000000001
534,0,0,17.415
535,0,0,17.353
536,0,0,16.602999999999998
537,0,0,13.030999999999999
538,0,0,10.426
539,0,0,11.758
540,0,0,12.168999999999999
541,0,0,11.25
542,0,0,10.472
543,0,0,10.131
544,0,0,10.211
545,0,0,9.913
546,0,0,11.198
547,0,0,371.986
548,0,0,443.844
549,0,0,407.12199999999996
550,0,0,302.88300000000004
551,0,0,206.05100000000002
552,0,0,232.89399999999998
553,0,0,175.807
554,0,0,200.21
555,0,0,259.113
556,0,0,199.593
557,0,0,125.10499999999999
558,0,0,17.395
559,0,0,17.378
560,0,0,17.35
561,0,0,16.364
562,0,0,12.017999999999999
563,0,0,338.395
564,0,0,426.46
565,0,0,417.173
566,0,0,375.596
567,0,0,412.44599999999997
568,0,0,10.279
569,0,0,10.16
570,0,0,10.949
571,0,0,691.524
572,0,0,490.662
573,0,0,312.12
574,0,0,189.602
575,0,0,247.75300000000001
576,0,0,222.459
577,0,0,215.342
578,0,0,265.336
579,0,0,220.79399999999998
580,0,0,190.553
581,0,0,44.608000000000004
582,0,0,17.405
583,0,0,17.406000000000002
584,0,0,16.735
585,0,0,11.488999999999999
586,0,0,10.706999999999999
587,0,0,11.988999999999999
588,0,0,10.387
589,0,0,10.171
590,0,0,9.873
591,0,0,9.754000000000001
592,0,0,10.004000000000001
593,0,0,9.932
594,0,0,265.372
595,0,0,644.397
596,0,0,634.009
597,0,0,525.5889999999999
598,0,0,503.00100000000003
599,0,0,381.13599999999997
600,0,0,316.456
601,0,0,325.818
602,0,0,275.471
603,0,0,263.604
604,0,0,273.423
605,0,0,201.88400000000001
606,0,0,17.426000000000002
607,0,0,16.447
608,0,0,11.613
609,0,0,10.822999999999999
610,0,0,11.895
611,0,0,10.375
612,0,0,10.241
613,0,0,9.92
614,0,0,9.918
615,0,0,10.859
616,0,0,10.7
617,0,0,10.822999999999999
618,0,0,69.339
619,0,0,733.0569999999999
620,0,0,452.745
621,0,0,296.402
622,0,0,251.36999999999998
623,0,0,260.033
624,0,0,45.643
625,0,0,236.5312307692307
626,0,0,228.4697307692307
627,0,0,221.74103999999988
628,0,0,220.41716
629,0,0,178.6833199999999
630,0,0,147.110625
631,0,0,213.0801249999999
632,0,0,188.23775
633,0,0,245.564625
634,0,0,263.0506923076923
635,0,0,267.6345384615384
