electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,26.016,0.0
0.0,0.0,0.0,25.242,0.0
0.0,0.0,0.0,24.494,0.0
0.0,0.0,0.0,26.373,0.0
0.0,0.0,0.0,26.357,0.0
0.0,0.0,0.0,26.135,0.0
0.0,0.0,0.002,25.906,0.002
0.078,0.024,0.073,27.044,0.097
0.28600000000000003,0.166,0.153,29.665,0.319
0.542,0.496,0.13,32.239,0.626
0.6950000000000001,0.722,0.117,34.144,0.839
0.778,0.852,0.11800000000000001,35.627,0.97
0.783,0.849,0.136,36.654,0.985
0.758,0.81,0.14100000000000001,37.373,0.9510000000000001
0.673,0.677,0.149,37.636,0.8260000000000001
0.5630000000000001,0.537,0.135,37.488,0.672
0.389,0.326,0.125,36.868,0.451
0.176,0.115,0.092,35.766,0.20700000000000002
0.008,0.005,0.014,32.931,0.019
0.0,0.0,0.0,31.668,0.0
0.0,0.0,0.0,31.484,0.0
0.0,0.0,0.0,31.07,0.0
0.0,0.0,0.0,30.292,0.0
0.0,0.0,0.0,29.422,0.0
0.0,0.0,0.0,28.691,0.0
0.0,0.0,0.0,28.19,0.0
0.0,0.0,0.0,27.666,0.0
0.0,0.0,0.0,27.081,0.0
0.0,0.0,0.0,26.616,0.0
0.0,0.0,0.0,26.343,0.0
0.0,0.0,0.002,26.165,0.002
0.05,0.008,0.059000000000000004,27.128,0.067
0.187,0.048,0.165,29.0,0.21300000000000002
0.385,0.197,0.23500000000000001,30.923000000000002,0.43200000000000005
0.67,0.649,0.15,33.264,0.799
0.788,0.868,0.116,35.144,0.984
0.809,0.905,0.11900000000000001,36.424,1.024
0.788,0.88,0.11800000000000001,37.274,0.998
0.72,0.781,0.114,37.633,0.895
0.598,0.61,0.109,37.497,0.719
0.424,0.393,0.1,36.879,0.493
0.201,0.154,0.081,35.745,0.235
0.009000000000000001,0.007,0.014,32.757,0.021
0.0,0.0,0.0,31.099,0.0
0.0,0.0,0.0,30.284,0.0
0.0,0.0,0.0,29.55,0.0
0.0,0.0,0.0,28.851,0.0
0.0,0.0,0.0,28.418,0.0
0.0,0.0,0.0,27.961,0.0
0.0,0.0,0.0,27.611,0.0
0.0,0.0,0.0,27.332,0.0
0.0,0.0,0.0,26.987,0.0
0.0,0.0,0.0,26.397,0.0
0.0,0.0,0.0,25.667,0.0
0.0,0.001,0.003,25.023,0.004
0.163,0.129,0.057,27.12,0.186
0.401,0.374,0.075,30.157,0.449
0.587,0.601,0.084,32.657,0.6849999999999999
0.716,0.781,0.091,34.535,0.872
0.792,0.898,0.096,35.945,0.994
0.806,0.916,0.106,36.868,1.022
0.783,0.883,0.108,37.463,0.991
0.713,0.78,0.105,37.717,0.885
0.6000000000000001,0.627,0.096,37.545,0.723
0.426,0.406,0.09,36.849,0.496
0.198,0.155,0.077,35.621,0.23199999999999998
0.008,0.006,0.013000000000000001,33.418,0.019000000000000003
0.0,0.0,0.0,31.958,0.0
0.0,0.0,0.0,31.258,0.0
0.0,0.0,0.0,30.609,0.0
0.0,0.0,0.0,29.877,0.0
0.0,0.0,0.0,29.231,0.0
0.0,0.0,0.0,28.659,0.0
0.0,0.0,0.0,28.09,0.0
0.0,0.0,0.0,27.519,0.0
0.0,0.0,0.0,27.02,0.0
0.0,0.0,0.0,26.539,0.0
0.0,0.0,0.0,26.102,0.0
0.0,0.001,0.003,25.611,0.004
0.154,0.115,0.062,27.43,0.177
0.393,0.357,0.083,29.993,0.44
0.581,0.584,0.091,32.077,0.6749999999999999
0.712,0.764,0.098,33.714,0.862
0.79,0.882,0.10300000000000001,34.998,0.985
0.798,0.886,0.11800000000000001,35.915,1.004
0.778,0.86,0.117,36.548,0.977
0.708,0.756,0.115,36.838,0.871
0.583,0.582,0.113,36.652,0.695
0.40700000000000003,0.364,0.107,35.922,0.471
0.185,0.131,0.085,34.669,0.21600000000000003
0.008,0.005,0.013000000000000001,32.973,0.018000000000000002
0.0,0.0,0.0,31.843,0.0
0.0,0.0,0.0,31.035,0.0
0.0,0.0,0.0,30.256,0.0
0.0,0.0,0.0,29.562,0.0
0.0,0.0,0.0,28.919,0.0
0.0,0.0,0.0,28.354,0.0
0.0,0.0,0.0,27.997,0.0
0.0,0.0,0.0,27.814,0.0
0.0,0.0,0.0,27.379,0.0
0.0,0.0,0.0,26.767,0.0
0.0,0.0,0.0,26.077,0.0
0.0,0.001,0.003,25.559,0.004
0.126,0.075,0.07200000000000001,26.724,0.14700000000000002
0.34,0.26,0.11800000000000001,28.901,0.378
0.553,0.521,0.115,31.022,0.636
0.705,0.74,0.107,32.926,0.847
0.789,0.875,0.106,34.483,0.981
0.8180000000000001,0.928,0.106,35.675,1.034
0.796,0.898,0.106,36.444,1.004
0.724,0.793,0.10400000000000001,36.811,0.897
0.599,0.617,0.101,36.684,0.718
0.423,0.395,0.095,36.059,0.49
0.199,0.154,0.078,34.891,0.23199999999999998
0.009000000000000001,0.007,0.014,32.982,0.021
0.0,0.0,0.0,31.465,0.0
0.0,0.0,0.0,30.609,0.0
0.0,0.0,0.0,29.904,0.0
0.0,0.0,0.0,29.237,0.0
0.0,0.0,0.0,28.505,0.0
0.0,0.0,0.0,27.762,0.0
0.0,0.0,0.0,27.066,0.0
0.0,0.0,0.0,26.426,0.0
0.0,0.0,0.0,25.818,0.0
0.0,0.0,0.0,25.275,0.0
0.0,0.0,0.0,24.793,0.0
0.0,0.001,0.003,24.382,0.004
0.162,0.124,0.059000000000000004,26.327,0.183
0.398,0.363,0.081,29.189,0.444
0.5630000000000001,0.549,0.10200000000000001,31.702,0.651
0.6980000000000001,0.734,0.108,33.707,0.842
0.776,0.855,0.111,35.309,0.966
0.804,0.905,0.112,36.525,1.0170000000000001
0.783,0.879,0.111,37.335,0.99
0.714,0.779,0.108,37.687,0.887
0.587,0.598,0.107,37.563,0.705
0.41400000000000003,0.383,0.099,37.003,0.482
0.196,0.151,0.078,35.922,0.22899999999999998
0.009000000000000001,0.008,0.014,33.028,0.022
