,domestic,commercial,public
0,0,0,22.639
1,0,0,21.593
2,0,0,26.719
3,0,0,32.018
4,0,0,38.889
5,0,0,31.192
6,0,0,15.862999999999998
7,0,0,10.035
8,0,0,14.958
9,0,0,9.824
10,0,0,9.809
11,0,0,9.808000000000002
12,0,0,9.703
13,0,0,9.754999999999999
14,0,0,7.095
15,0,0,4.974
16,0,0,10.197
17,0,0,9.138
18,0,0,9.39
19,0,0,22.791
20,0,0,26.414
21,0,0,32.904999999999994
22,0,0,36.177
23,0,0,26.965
24,0,0,24.819999999999997
25,0,0,22.107000000000003
26,0,0,26.536
27,0,0,26.047
28,0,0,33.359
29,0,0,39.77
30,0,0,21.755
31,0,0,14.006
32,0,0,12.077
33,0,0,9.806000000000001
34,0,0,10.495000000000001
35,0,0,9.806000000000001
36,0,0,10.897
37,0,0,9.025
38,0,0,6.607
39,0,0,3.062
40,0,0,9.463
41,0,0,9.34
42,0,0,9.303
43,0,0,22.532
44,0,0,26.895
45,0,0,36.290000000000006
46,0,0,34.478
47,0,0,26.517
48,0,0,22.142
49,0,0,23.395
50,0,0,27.512999999999998
51,0,0,30.559
52,0,0,38.235
53,0,0,35.129
54,0,0,16.016
55,0,0,27.816
56,0,0,30.576
57,0,0,15.902
58,0,0,9.814
59,0,0,9.888
60,0,0,9.767
61,0,0,9.782
62,0,0,9.089
63,0,0,7.998999999999999
64,0,0,7.922999999999999
65,0,0,8.936
66,0,0,9.799999999999999
67,0,0,24.819
68,0,0,29.027
69,0,0,36.638999999999996
70,0,0,28.035
71,0,0,26.12
72,0,0,22.654
73,0,0,27.043000000000003
74,0,0,28.326
75,0,0,37.967
76,0,0,35.583999999999996
77,0,0,27.067
78,0,0,18.075999999999997
79,0,0,9.828
80,0,0,9.867
81,0,0,19.171
82,0,0,11.727
83,0,0,24.849
84,0,0,31.075
85,0,0,17.772
86,0,0,20.881
87,0,0,21.176000000000002
88,0,0,24.936
89,0,0,13.983
90,0,0,9.889
91,0,0,32.785000000000004
92,0,0,37.114000000000004
93,0,0,30.089000000000002
94,0,0,24.913
95,0,0,20.160999999999998
96,0,0,25.384
97,0,0,25.693
98,0,0,34.567
99,0,0,38.247
100,0,0,27.906
101,0,0,25.765
102,0,0,15.789000000000001
103,0,0,19.542
104,0,0,12.085
105,0,0,30.636
106,0,0,25.838
107,0,0,18.751
108,0,0,22.811
109,0,0,11.02
110,0,0,10.33
