,domestic,commercial,public
0,0,0,36.155
1,0,0,26.74
2,0,0,30.265
3,0,0,23.912
4,0,0,20.674000000000003
5,0,0,27.396
6,0,0,17.269
7,0,0,10.166
8,0,0,11.147
9,0,0,10.517
10,0,0,10.247
11,0,0,10.072
12,0,0,10.331
13,0,0,13.738999999999999
14,0,0,17.8
15,0,0,13.548
16,0,0,10.158000000000001
17,0,0,10.156
18,0,0,10.152
19,0,0,10.465
20,0,0,22.444
21,0,0,21.961000000000002
22,0,0,27.612000000000002
23,0,0,30.662
24,0,0,39.818
25,0,0,38.104
26,0,0,26.014
27,0,0,26.366
28,0,0,20.048
29,0,0,19.809
30,0,0,18.293
31,0,0,10.173
32,0,0,12.768
33,0,0,12.552000000000001
34,0,0,18.116
35,0,0,11.123
36,0,0,14.297
37,0,0,17.696
38,0,0,16.75
39,0,0,10.666
40,0,0,11.084999999999999
41,0,0,14.995
42,0,0,29.541
43,0,0,43.332
44,0,0,42.706
45,0,0,37.67
46,0,0,38.186
47,0,0,44.484
48,0,0,55.234
49,0,0,59.346000000000004
50,0,0,45.028
51,0,0,39.440000000000005
52,0,0,32.01
53,0,0,32.111000000000004
54,0,0,16.653000000000002
55,0,0,13.126000000000001
56,0,0,12.831999999999999
57,0,0,14.017
58,0,0,17.069000000000003
59,0,0,15.853
60,0,0,14.179
61,0,0,18.505
62,0,0,21.697000000000003
63,0,0,15.514
64,0,0,12.661999999999999
65,0,0,12.189
66,0,0,13.587
67,0,0,15.127
68,0,0,37.055
69,0,0,30.841
70,0,0,35.492000000000004
71,0,0,39.152
72,0,0,43.323
73,0,0,36.046
74,0,0,25.551000000000002
75,0,0,26.478
76,0,0,20.285
77,0,0,30.313
78,0,0,15.078
79,0,0,11.280999999999999
80,0,0,10.98
81,0,0,12.335
82,0,0,14.166
83,0,0,11.107000000000001
84,0,0,10.263
85,0,0,11.875
86,0,0,17.737
87,0,0,15.982
88,0,0,10.197
89,0,0,10.158999999999999
90,0,0,10.929
91,0,0,21.683
92,0,0,22.193
93,0,0,27.29
94,0,0,28.608
95,0,0,33.172
96,0,0,40.949
97,0,0,36.613
98,0,0,26.696
99,0,0,28.442999999999998
100,0,0,20.491
101,0,0,22.706
102,0,0,18.822
103,0,0,12.167000000000002
104,0,0,12.761
105,0,0,16.382
106,0,0,24.89
107,0,0,34.590999999999994
108,0,0,42.912
109,0,0,20.433
110,0,0,17.945
111,0,0,11.020999999999999
112,0,0,10.16
113,0,0,10.207
114,0,0,10.208
115,0,0,21.325
116,0,0,28.337999999999997
117,0,0,33.592
118,0,0,39.497
119,0,0,39.624
120,0,0,27.725
121,0,0,26.234
122,0,0,30.386
123,0,0,21.297
124,0,0,21.002
125,0,0,24.794
126,0,0,23.412
127,0,0,10.678999999999998
128,0,0,22.668
129,0,0,51.812
130,0,0,78.93
131,0,0,57.774
132,0,0,35.797000000000004
133,0,0,44.037
134,0,0,40.055
135,0,0,25.644
136,0,0,13.109
137,0,0,10.424
138,0,0,12.077
139,0,0,23.54
140,0,0,26.316
141,0,0,29.038
142,0,0,23.616000000000003
143,0,0,21.965
144,0,0,17.935
145,0,0,16.706
146,0,0,13.724
147,0,0,12.325
148,0,0,13.004999999999999
149,0,0,14.401
150,0,0,10.333
151,0,0,18.534
152,0,0,39.964
153,0,0,54.201
154,0,0,59.235
155,0,0,35.338
156,0,0,25.48
157,0,0,35.124
158,0,0,16.554
159,0,0,10.41
160,0,0,10.149999999999999
161,0,0,10.152
162,0,0,10.148000000000001
163,0,0,25.47
164,0,0,22.205
165,0,0,21.305999999999997
166,0,0,25.706
167,0,0,28.535999999999998
168,0,0,39.086999999999996
169,0,0,37.6
170,0,0,26.183
171,0,0,27.669
172,0,0,21.745
173,0,0,21.492
174,0,0,14.046
175,0,0,10.168
176,0,0,13.075
177,0,0,29.296
178,0,0,25.299
179,0,0,13.684999999999999
180,0,0,11.034
181,0,0,16.044
182,0,0,16.85
183,0,0,10.207
184,0,0,10.167
185,0,0,10.163
186,0,0,14.95
187,0,0,28.447
188,0,0,29.895000000000003
189,0,0,27.445
190,0,0,21.221
191,0,0,28.611
192,0,0,34.6
193,0,0,41.424
194,0,0,29.705
195,0,0,28.413999999999998
196,0,0,22.906
197,0,0,20.977
198,0,0,15.450000000000001
199,0,0,10.17
200,0,0,10.216
201,0,0,10.207
202,0,0,10.678
203,0,0,10.981
204,0,0,13.896
205,0,0,17.779
206,0,0,14.795000000000002
207,0,0,33.998
208,0,0,36.262
209,0,0,10.164
210,0,0,17.137
211,0,0,32.793
212,0,0,34.835
213,0,0,30.805
214,0,0,22.051000000000002
215,0,0,29.102
216,0,0,32.058
217,0,0,39.568
218,0,0,39.995999999999995
219,0,0,29.134
220,0,0,27.915
