,domestic,commercial,public
0,0,0,55.032
1,0,0,52.316
2,0,0,52.505
3,0,0,53.333999999999996
4,0,0,48.683
5,0,0,47.983
6,0,0,43.647999999999996
7,0,0,45.007
8,0,0,47.565999999999995
9,0,0,52.665
10,0,0,37.966
11,0,0,15.007
12,0,0,34.80348
13,0,0,39.6728
14,0,0,45.622714285714196
15,0,0,34.8338999999999
16,0,0,0.0
17,0,0,28.6346428571428
18,0,0,40.2075555555555
19,0,0,57.707333333333295
20,0,0,9.582
21,0,0,18.212
22,0,0,18.415
23,0,0,18.212
24,0,0,17.932
25,0,0,18.143
26,0,0,18.311
27,0,0,17.068
28,0,0,15.415
29,0,0,15.998999999999999
30,0,0,13.49
31,0,0,13.948
32,0,0,16.429
33,0,0,17.572
34,0,0,17.517999999999997
35,0,0,17.921
36,0,0,4.995
37,0,0,39.6728
38,0,0,45.622714285714196
39,0,0,34.8338999999999
40,0,0,0.0
41,0,0,28.6346428571428
42,0,0,40.2075555555555
43,0,0,57.707333333333295
44,0,0,1.7730000000000001
45,0,0,17.615
46,0,0,18.21
47,0,0,18.044999999999998
48,0,0,17.429
49,0,0,18.096999999999998
50,0,0,17.242
51,0,0,16.074
52,0,0,16.17
53,0,0,15.125
54,0,0,20.415
55,0,0,18.904
56,0,0,15.411
57,0,0,16.611
58,0,0,18.15
59,0,0,18.091
60,0,0,0.29300000000000004
61,0,0,39.6728
62,0,0,45.622714285714196
63,0,0,34.8338999999999
64,0,0,39.398
65,0,0,2.8800000000000003
66,0,0,40.2075555555555
67,0,0,57.707333333333295
68,0,0,33.353555555555495
69,0,0,35.999
70,0,0,52.523
71,0,0,52.971
72,0,0,52.699999999999996
73,0,0,52.803000000000004
74,0,0,47.468999999999994
75,0,0,45.821
76,0,0,44.626
77,0,0,45.165
78,0,0,50.024
79,0,0,53.591
80,0,0,47.637
81,0,0,46.635999999999996
82,0,0,50.989
83,0,0,51.557
84,0,0,23.546
85,0,0,39.6728
86,0,0,45.622714285714196
87,0,0,34.8338999999999
88,0,0,0.0
89,0,0,28.6346428571428
